	1s	2s	2p+	2p-	3s	3p+	3p-	3d+	3d-	4s	4p+	4p-	4d+	4d-	4f+	4f-	5s	5p+	5p-	5d+	5d-	5f+	5f-	6s	6p+	6p-	6d+	6d-	7s
H	0.5000067																												
He	0.9179907																												
Li	2.477979	0.1963389																											
Be	4.733498	0.3093221																											
B	7.697645	0.4949194	0.3098143	0.3097214																									
C	11.3436	0.7126026	0.4069311	0.4066424																									
N	15.67641	0.9647882	0.5088819	0.5081844																									
O	20.69855	1.252412	0.6168139	0.615373																									
F	26.41175	1.575983	0.7313315	0.7286629																									
Ne	32.81746	1.935846	0.8528295	0.8482667																									
Na	40.54494	2.805377	1.522001	1.514595	0.1823377																								
Mg	49.12664	3.780141	2.288297	2.276731	0.2534426																								
Al	58.63364	43929315.0	3.22827	3.210914	0.394455	0.2099418	0.2094058																						
Si	69.00015	6.189921	4.277842	4.252707	0.5455057	0.2790898	0.2779426																						
P	80.23021	7.56646	5.441235	5.405921	0.7094586	0.3514642	0.3493914																						
S	92.34644	9.061275	6.720543	6.672206	0.88732	0.4280256	0.4246346																						
Cl	105.2911	10.67592	8.117107	8.052416	1.079595	0.5092472	0.5040579																						
Ar	119.1266	12.41158	9.631959	9.547059	1.286586	0.5953876	0.5878183																						
K	134.1794	14.60443	11.59857	11.48909	1.761278	0.9605403	0.9495615			0.1480289																			
Ca	150.1639	16.96741	13.73165	13.59248	2.262051	1.349205	1.333801			0.1963128																			
Sc	166.8847	19.26579	15.80314	15.62834	2.591638	1.588449	1.568176	0.3360686	0.3352965	0.2114214																			
Ti	184.4828	21.66728	17.97623	17.75928	2.914632	1.82265	1.796622	0.3977645	0.3963858	0.223644																			
V	202.9704	24.18446	20.26301	19.99666	3.240939	2.060049	2.027243	0.4525573	0.4503923	0.2345795																			
Cr	222.1811	26.62614	22.47646	22.15239	3.389948	2.135153	2.094849	0.3180328	0.3150115	0.2109081																			
Mn	240.6393	29.58579	25.19659	24.80639	3.916827	2.555206	2.505239	0.5513318	0.5469026	0.2544197																			
Fe	263.8305	32.47589	27.84899	27.38261	4.269687	2.815574	2.754948	0.5974537	0.5914697	0.2637154																			
