Z	Element	1s	2s	2p-	2p+	3s	3p-	3p+	3d-	3d+	4s	4p-	4p+	4d-	4d+	4f-	4f+	5s	5p-	5p+	5d-	5d+	6s	6p-	6p+
1	H	13.6																							
2	He	24.6																							
3	Li	54.7																							
4	Be	111.5																							
5	B	188.0																							
6	C	284.2																							
7	N	409.9	37.3																						
8	0	543.1	41.6																						
9	F	696.7																							
10	Ne	870.2	48.5	21.7	21.6																				
11	Na	1070.8	63.5	30.4	30.5																				
12	Mg	1303.0	88.6	49.6	49.21																				
13	Al	1559.0	117.8	72.9	72.5																				
14	Si	1839.0	149.7	99.8	99.2																				
15	P	2145.5	189.0	136.0	135.0																				
16	S	2472.0	230.9	163.6	162.5																				
17	Cl	2822.0	270.0	202.0	200.0																				
18	Ar	3205.9	326.3	250.6	248.4	29.3	15.9	15.7																	
19	K	3608.4	378.6	297.3	294.6	34.8	18.3	18.3																	
20	Ca	4038.5	438.4	349.7	346.2	44.3	25.4	25.4																	
21	Sc	4492.0	498.0	403.6	398.7	51.1	28.3	28.3																	
22	Ti	4966.0	560.9	460.2	453.8	58.7	32.6	32.6																	
23	V	5465.0	626.7	519.8	512.1	66.3	37.2	37.2																	
24	Cr	5989.0	696.0	583.8	574.1	74.1	42.2	42.2																	
25	Mn	6539.0	769.1	649.9	638.7	82.3	47.2	47.2																	
26	Fe	7112.0	844.6	719.9	706.8	91.3	52.7	52.7																	
27	Co	7709.0	925.1	793.2	778.1	101.0	58.9	59.9																	
28	Ni	8333.0	1008.6	870.0	852.7	110.8	68.0	66.2																	
29	Cu	8979.0	1096.7	952.3	932.7	122.5	77.3	75.1																	
30	Zn	9659.0	1196.2	1044.9	1021.8	139.8	91.4	88.6	10.2	10.1															
31	Ga	10367.0	1299.0	1143.2	1116.4	159.51	103.5	100.0	18.7	18.7															
32	Ge	11103.0	1414.6	1248.1	1217.0	180.1	124.9	120.8	29.8	29.2															
33	As	11867.0	1527.0	1359.1	1323.6	204.7	146.2	141.2	41.7	41.7															
34	Se	12658.0	1652.0	1474.3	1433.9	229.6	166.5	160.7	55.5	54.6															
35	Br	13474.0	1782.0	1596.0	1550.0	257.0	189.0	182.0	70.0	69.0															
36	Kr	14326.0	1921.0	1730.9	1678.4	292.8	222.2	214.4	95.0	93.8	27.5	14.1	14.1												
37	Rb	15200.0	2065.0	1864.0	1804.0	326.7	248.7	239.1	113.0	112.0	30.5	16.3	15.3												
38	Sr	16105.0	2216.0	2007.0	1940.0	358.7	280.3	270.0	136.0	134.2	38.9	21.6	20.1												
39	Y	17038.0	2373.0	2156.0	2080.0	392.0	310.6	298.8	157.7	155.8	43.8	24.4	23.1												
40	Zr	17998.0	2532.0	2307.0	2223.0	430.3	343.5	329.8	181.1	178.8	50.6	28.5	27.1												
