Z	Element	1s	2s	2p-	2p+	3s	3p-	3p+	3d-	3d+	4s	4p-	4p+	4d-	4d+	4f-	4f+	5s	5p-	5p+	5d-	5d+	6s	6p-	6p+
1	H	[1]																							
2	He	[2]																							
3	Li	[2]																							
4	Be	[2]																							
5	B	[2]																							
6	C	[2]																							
7	N	[2]	[2]																						
8	O	[2]	[2]																						
9	F	[2]																							
10	Ne	[2]	[2]	[2]	[2]																				
11	Na	[3]	[3]	[3]	[2]																				
12	Mg	[3]	[2]	[3]	[1]																				
13	Al	[1]	[2]	[2]	[2]																				
14	Si	[1]	[2, 'b']	[2]	[2]																				
15	P	[1]	[2]	[2]	[2]																				
16	S	[1]	[1]	[2]	[2]																				
17	Cl	[1]	[2]	[2]	[2]																				
18	Ar	[2]	[2]	[3]	[2]	[2]	[2]	[2]																	
19	K	[2]	[2]	[2]	[2]	[2]	[2]	[2]																	
20	Ca	[2]	[3]	[3]	[3]	[3]	[3]	[3]																	
21	Sc	[1]	[2]	[2]	[2]	[2]	[2]	[2]																	
22	Ti	[1]	[3]	[3]	[3]	[3]	[3]	[3]																	
23	V	[1]	[3]	[3]	[3]	[3]	[3]	[3]																	
24	Cr	[1]	[3]	[3]	[3]	[3]	[3]	[3]																	
25	Mn	[1]	[3]	[3]	[3]	[3]	[3]	[3]																	
26	Fe	[1]	[3]	[3]	[3]	[3]	[3]	[3]																	
27	Co	[1]	[3]	[3]	[3]	[3]	[3]	[3]																	
28	Ni	[1]	[3]	[3]	[3]	[3]	[3]	[3]																	
29	Cu	[1]	[3]	[3]	[1]	[3]	[3]	[3]																	
30	Zn	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]															
31	Ga	[1]	[2, 'b']	[3]	[3]	[1]	[3]	[3]	[3]	[3]															
32	Ge	[1]	[2, 'b']	[2, 'b']	[2, 'b']	[2]	[2]	[2]	[2]	[2]															
33	As	[1]	[2, 'b']	[2, 'b']	[2, 'b']	[2]	[2]	[2]	[2]	[2]															
34	Se	[1]	[2, 'b']	[2, 'b']	[2, 'b']	[2]	[2]	[2]	[2]	[2]															
35	Br	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]															
36	Kr	[1]	[1]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[2]	[2]	[2]												
37	Rb	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]												
38	Sr	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]												
39	Y	[1]	[1]	[1]	[1]	[2, 'b']	[2]	[2]	[3]	[3]	[2]	[2]	[2]												
40	Zr	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]												
41	Nb	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]												
42	Mo	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]												
43	Tc	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]												
44	Ru	[1]	[1]	[1]	[1]	[2]	[3]	[3]	[3]	[3]	[3]	[3]	[3]												
45	Rh	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[2, 'b']	[3]	[3]												
46	Pd	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]												
47	Ag	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[1]	[3]	[3]	[3]												
48	Cd	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3, 'a']	[3, 'a']	[3]	[3]										
49	In	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3, 'a']	[3, 'a']	[3]	[3]										
50	Sn	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3, 'a']	[3, 'a']	[3]	[3]										
51	Sb	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3, 'a']	[3, 'a']	[3]	[3]										
52	Te	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3, 'a']	[3, 'a']	[3]	[3]										
53	I	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[1]	[1]	[2]	[2]	[2]	[1]	[1]										
54	Xe	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[2]			[2]	[2]	[2]					
55	Cs	[1]	[1]	[1]	[1]	[2, 'b']	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]			[1]	[2]	[2]					
56	Ba	[1]	[1]	[1]	[1]	[2, 'b']	[2, 'b']	[2, 'b']	[3]	[2]	[3]	[1]	[3]	[3]	[3]			[3]	[3]	[3]					
57	La	[1]	[1]	[1]	[1]	[2, 'b']	[2, 'b']	[2, 'b']	[2]	[2]	[2]	[1]	[2]	[2]	[2]			[2]	[2]	[2]					
58	Ce	[1]	[1]	[1]	[1]	[2, 'b']	[2, 'b']	[2, 'b']	[2]	[2]	[2]	[1]	[2]	[2]		[1]	[1]	[1]	[2]	[2]					
59	Pr	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[1]	[1]	[1]	[2]	[2]	[1]	[1]	[1]	[1]	[1]					
60	Nd	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[1]	[1]	[2]	[2]	[1]	[1]	[1]	[1]	[1]					
61	Pm	[1]	[1]	[1]	[1]		[1]	[1]	[1]	[1]		[1]	[1]	[1]	[1]										
62	Sm	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]					
63	Eu	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[1]	[1]	[1]	[1]	[2]	[1]	[1]	[1]	[1]	[1]					
64	Gd	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]		[1]	[1]	[1]	[1]	[1]	[1]					
65	Tb	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]					
66	Dy	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[1]	[1]					
67	Ho	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]					
68	Er	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]		[1]	[1]	[1]	[1]					
69	Tm	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]		[1]	[2]	[2]	[2]					
70	Yb	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]					
71	Lu	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]					
72	Hf	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]					
73	Ta	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]					
74	W	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[3]	[3]	[1]	[3]	[3]	[2]	[3]	[3]	[2, 'b']	[3]					
75	Re	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[2]	[2]	[3]	[3]	[2, 'b']					
76	Os	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]					
77	Ir	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[2, 'b']	[2, 'b']	[3]					
78	Pt	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]					
79	Au	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[2, 'b']	[3]	[3]					
80	Hg	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[3]			
81	Tl	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[2, 'b']	[3]	[3]	[3]	[3]			
82	Pb	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[2, 'b']	[3]	[3]	[3]	[3]			
83	Bi	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[3]	[3]	[3]	[3]	[3]	[3]	[3]	[2, 'b']	[3]	[3]	[3]	[3]			
84	Po	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[2]			
85	At	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]			
