r	P	Q	rho
8.118008432633093e-05	-5.6387231520734e-07	-3.5326655856335405e-06	1.2797678127776852e-11
8.375701682391317e-05	-5.989709161246346e-07	-3.7491601782824734e-06	1.4414968200782253e-11
8.641574993986386e-05	-6.362702872478201e-07	-3.978911494153248e-06	1.623657655673926e-11
8.91588803045455e-05	-6.759099199979104e-07	-4.222730257822757e-06	1.828830505028343e-11
9.19890869742164e-05	-7.180382858420267e-07	-4.481476676355654e-06	2.0599212180654675e-11
9.490913404750936e-05	-7.62813427022379e-07	-4.756063449177527e-06	2.3202023857048062e-11
9.79218733649664e-05	-8.104035875625786e-07	-5.047458964010003e-06	2.613359596809923e-11
0.00010103024729426608	-8.609878865259981e-07	-5.35669068072446e-06	2.943543518970478e-11
0.00010423729160386306	-9.14757037741497e-07	-5.684848723355682e-06	3.315428544553632e-11
0.00010754613842784729	-9.719141181157982e-07	-6.033089688704098e-06	3.7342788244940513e-11
0.00011096001932491737	-1.0326753887458542e-06	-6.402640684952023e-06	4.206022619912431e-11
0.0001144822684344565	-1.0972711721741573e-06	-6.7948036143344776e-06	4.7373360182657326e-11
0.00011811632573279312	-1.165946789959602e-06	-7.210959714385696e-06	5.3357371919510537e-11
0.00012186574039282592	-1.2389635648121514e-06	-7.652574373244742e-06	6.00969252529742e-11
0.00012573417425029522	-1.3165998919303144e-06	-8.121202235402313e-06	6.768736102373444e-11
0.00012972540538008556	-1.3991523845092143e-06	-8.61849261523107e-06	7.623604235387031e-11
0.0001338433317860519	-1.4869370987635854e-06	-9.14619523666308e-06	8.586386924283786e-11
0.00013809197520797412	-1.5802908442112532e-06	-9.706166318454841e-06	9.670698375380511e-11
0.00014247548504935683	-1.6795725853964774e-06	-1.0300375025619273e-05	1.0891868973801663e-10
0.0001469981424299109	-1.7851649417002632e-06	-1.0930910308807695e-05	1.2267161404827407e-10
0.00015166436436667467	-1.8974757923894845e-06	-1.159998815469679e-05	1.3816013957180992e-10
0.0001564787080878584	-2.016939994601321e-06	-1.230995927177932e-05	1.5560314421468802e-10
0.00016144587548362442	-2.1440212225474487e-06	-1.3063317237377352e-05	1.752470842470941e-10
0.00016657071769815053	-2.2792139368571006e-06	-1.3862707133196078e-05	1.9736946523072906e-10
0.0001718582398674609	-2.423045493663539e-06	-1.4710934698320069e-05	2.2228274916260056e-10
0.00017731360600765225	-2.576078403778612e-06	-1.561097603022605e-05	2.5033875255870683e-10
0.00018294214405828848	-2.738912753099712e-06	-1.6565987866151367e-05	2.8193359705056654e-10
0.00018874935108589033	-2.912188796257241e-06	-1.757931847902065e-05	3.175132817718831e-10
0.00019474089865260087	-3.0965897364442444e-06	-1.8654519224099308e-05	3.575799554781425e-10
0.00020092263835527188	-3.2928447053786986e-06	-1.9795356774617004e-05	4.0269897608811587e-10
0.00020730060754037808	-3.5017319584396007e-06	-2.100582608679237e-05	4.5350685629732404e-10
0.00021388103520034388	-3.7240823011970416e-06	-2.2290164136997923e-05	5.107202062403974e-10
0.0002206703480570383	-3.960782764831464e-06	-2.365286447623728e-05	5.751457980414334e-10
0.00022767517683838168	-4.212780549316202e-06	-2.5098692649671383e-05	6.476918926793652e-10
0.00023490236275419273	-4.4810872547289336e-06	-2.6632702531633313e-05	7.293809871229616e-10
0.00024235896417760107	-4.766783422671216e-06	-2.826025362941877e-05	8.2136415939773e-10
0.0002500522635385512	-5.071023411521192e-06	-2.9987029412138557e-05	9.249372114046589e-10
0.0002579897744361284	-5.395040631133846e-06	-3.18190567240773e-05	1.041558834221634e-09
0.000266179248976656	-5.740153164647921e-06	-3.376272634532751e-05	1.17287104862309e-09
0.00027462868534472706	-6.1077698072720285e-06	-3.5824814765965736e-05	1.3207222050343805e-09
0.0002833463356145676	-6.499396554318513e-06	-3.801250724371856e-05	1.4871928625240432e-09
0.0002923407138093583	-6.916643573347984e-06	-4.033342221893588e-05	1.6746249062116866e-09
0.00030162060421638727	-7.361232698096592e-06	-4.279563716475794e-05	1.8856543071731375e-09
0.00031119506996615364	-7.835005484900346e-06	-4.540771595463823e-05	2.1232479791655255e-09
0.000321073461883801	-8.339931875625716e-06	-4.817873783387568e-05	2.390745242955402e-09
0.0003312654276215261	-8.878119514684806e-06	-5.111832808652633e-05	2.691904472478774e-09
0.00034178092108088075	-9.45182377157956e-06	-5.4236690494014295e-05	3.030955568352497e-09
0.00035263021213416976	-1.0063458524608112e-05	-5.754464168695584e-05	3.4126589843566433e-09
0.00036382389665443976	-1.0715607765904544e-05	-6.105364749715641e-05	3.842372122499746e-09
0.00037537290686385307	-1.1411038092900722e-05	-6.47758614224486e-05	4.326124013377897e-09
0.000387288522010555	-1.2152712156627308e-05	-6.87241653230195e-05	4.870699312107554e-09
0.0003995823793844613	-1.2943803143045668e-05	-7.29122124741366e-05	5.48373276767956e-09
0.00041226648568272326	-1.3787710369860468e-05	-7.735447310673446e-05	6.173815466863662e-09
0.000425353228735973	-1.4688076088045257e-05	-8.206628257417563e-05	6.95061431471265e-09
0.000438855389606798	-1.564880358466474e-05	-8.706389229066227e-05	7.825006394431457e-09
0.00045278615507226406	-1.6674076691545397e-05	-9.236452359425396e-05	8.809230052309034e-09
0.0004671591305026748	-1.7768380812982754e-05	-9.798642469525559e-05	9.917054781274167e-09
0.00048198835314914765	-1.8936525595035224e-05	-0.00010394893087888144	1.1163972232473896e-08
0.0004972883058529825	-2.018366936910211e-05	-0.00011027252813958774	1.25674109714974e-08
0.0005130739311902121	-2.1515345513482865e-05	-0.00011697892043330162	1.4146977918305258e-08
0.0005293606460651496	-2.29374908885378e-05	-0.00012409110074296768	1.592472977186311e-08
0.000546164356767184	-2.445647651399444e-05	-0.0001316334261623876	1.7925478126728315e-08
0.0005635014745055299	-2.6079140670952296e-05	-0.00013963169721324873	2.0177132444787693e-08
