r	P	Q	rho
8.118008432633093e-05	1.112277634725147e-12	-8.46746333852087e-14	1.2443313302486869e-24
8.375701682391317e-05	1.2584942345162873e-12	-9.580482888838675e-14	1.592986303549069e-24
8.641574993986386e-05	1.4239296437344552e-12	-1.0839783895216951e-13	2.039325721795233e-24
8.91588803045455e-05	1.6111095982167926e-12	-1.2264588223122637e-13	2.610716149894551e-24
9.19890869742164e-05	1.8228916994602e-12	-1.3876642960218545e-13	3.342190269945434e-24
9.490913404750936e-05	2.0625089464656443e-12	-1.570055158941436e-13	4.278593886272008e-24
9.79218733649664e-05	2.3336192213789933e-12	-1.7764150446666284e-13	5.477335174498679e-24
0.00010103024729426608	2.640360937128121e-12	-2.0098932031239317e-13	7.011902585191726e-24
0.00010423729160386306	2.9874161926344712e-12	-2.274052543061661e-13	8.976368657700693e-24
0.00010754613842784729	3.380082191225778e-12	-2.572923956634374e-13	1.1491154996307888e-23
0.00011096001932491737	3.824352020057457e-12	-2.9110677634728185e-13	1.471041152855286e-23
0.0001144822684344565	4.3270060397147045e-12	-3.2936432223184553e-13	1.8831462124486772e-23
0.00011811632573279312	4.895715270669684e-12	-3.7264871648185253e-13	2.4106895077363912e-23
0.00012186574039282592	5.539158350757952e-12	-4.2162029477570446e-13	3.08600389077383e-23
0.00012573417425029522	6.26715384473365e-12	-4.770261077395966e-13	3.950477122102496e-23
0.00012972540538008556	7.090809919803637e-12	-5.397113036411595e-13	5.0570873610063706e-23
0.0001338433317860519	8.02269366521347e-12	-6.106320044576265e-13	6.473648509072427e-23
0.00013809197520797412	9.077022632607353e-12	-6.908698711151479e-13	8.286964105168078e-23
0.00014247548504935683	1.026988151160952e-11	-7.816485793434999e-13	1.0608144076408875e-22
0.0001469981424299109	1.1619467237048068e-11	-8.843524565957442e-13	1.357940981403204e-22
0.00015166436436667467	1.31463662562272e-11	-1.0005475632824176e-12	1.7382804116925958e-22
0.0001564787080878584	1.487386817319182e-11	-1.132005538660387e-12	2.225133909730463e-22
0.00016144587548362442	1.6828320539416046e-11	-1.2807305736582105e-12	2.8483264297963483e-22
0.00016657071769815053	1.9039530185143448e-11	-1.4489899203461133e-12	3.6460328146025315e-22
0.0001718582398674609	2.154121719216305e-11	-1.6393484013856176e-12	4.667115013010665e-22
0.00017731360600765225	2.4371528407805505e-11	-1.8547074434308155e-12	5.974113366331883e-22
0.00018294214405828848	2.7573618303465867e-11	-2.098349227015044e-12	7.647074958237426e-22
0.00018874935108589033	3.11963060026569e-11	-2.3739866229772216e-12	9.788453206974815e-22
0.00019474089865260087	3.52948184589016e-11	-2.6858196731298506e-12	1.2529378373633922e-21
0.00020092263835527188	3.993163107013166e-11	-3.038599471966228e-12	1.6037682466721374e-21
0.00020730060754037808	4.517741849338613e-11	-3.437700418240114e-12	2.0528169258921152e-21
0.00021388103520034388	5.11121300937888e-11	-3.889201931913356e-12	2.627575734391589e-21
0.0002206703480570383	5.782620635021136e-11	-4.399980875161482e-12	3.363229972559012e-21
0.00022767517683838168	6.542195467517033e-11	-4.977816078007203e-12	4.3048108064265075e-21
0.00023490236275419273	7.401510552052991e-11	-5.631506552150221e-12	5.509949711262089e-21
0.00024235896417760107	8.37365723698499e-11	-6.371005183427437e-12	7.05240325929837e-21
0.0002500522635385512	9.473444230381107e-11	-7.207569927176352e-12	9.026563622869245e-21
0.0002579897744361284	1.0717622731349936e-10	-8.153934795094624e-12	1.1553230353797541e-20
0.000266179248976656	1.212514104798934e-10	-9.224503220953915e-12	1.4786996003036993e-20
0.00027462868534472706	1.3717432559595498e-10	-1.0435566730213547e-11	1.8925696655685808e-20
0.0002833463356145676	1.5518741384723838e-10	-1.180555222024648e-11	2.4222504479819003e-20
0.0002923407138093583	1.7556490686358226e-10	-1.3355301589248544e-11	3.10014006025581e-20
0.00030162060421638727	1.9861699189370443e-10	-1.5108387939403854e-11	3.9676972855031373e-20
0.00031119506996615364	2.2469452213295686e-10	-1.7091473130809928e-11	5.0779746730339036e-20
0.000321073461883801	2.5419434346120614e-10	-1.93347120852542e-11	6.49885953390933e-20
0.0003312654276215261	2.8756531814599357e-10	-2.1872209942469883e-11	8.317220576817399e-20
0.00034178092108088075	3.2531513657499217e-10	-2.474253896647482e-11	1.0644213131931333e-19
0.00035263021213416976	3.6801801995849705e-10	-2.7989322997857333e-11	1.362206652160511e-19
0.00036382389665443976	4.163234303648015e-10	-3.166189826279065e-11	1.74327674472319e-19
0.00037537290686385307	4.70965919619301e-10	-3.581606049622967e-11	2.230916876323235e-19
0.000387288522010555	5.327762657384408e-10	-4.051490963221141e-11	2.8549200723670396e-19
0.0003995823793844613	6.026940649378054e-10	-4.582980477767992e-11	3.653405069172158e-19
0.00041226648568272326	6.817819691383828e-10	-5.1841443839495966e-11	4.675141887415744e-19
0.000425353228735973	7.712417836222044e-10	-5.864108404177378e-11	5.982526655423536e-19
0.000438855389606798	8.7243266742603e-10	-6.633192168005777e-11	7.655386830258672e-19
0.00045278615507226406	9.868917106248256e-10	-7.503065184130891e-11	9.795848472157262e-19
0.0004671591305026748	1.1163571983142131e-09	-8.486923150940963e-11	1.2534561806849573e-18
0.00048198835314914765	1.2627949113819259e-09	-9.599687251462615e-11	1.6038663877446754e-18
0.0004972883058529825	1.428427859659685e-09	-1.0858229421697929e-10	2.0521962648693718e-18
0.0005130739311902121	1.6157698944426208e-09	-1.228162696882891e-10	2.6257961878872646e-18
