r	P	Q	rho
8.118008432633093e-05	-1.5819414108857972e-05	2.453652894900768e-06	2.5627427527618956e-10
8.375701682391317e-05	-1.678850144404426e-05	2.6039851246365806e-06	2.886345192660048e-10
8.641574993986386e-05	-1.7816892907259904e-05	2.7635192507162104e-06	3.250787115178474e-10
8.91588803045455e-05	-1.89082118167275e-05	2.9328176916031552e-06	3.6612189371841396e-10
9.19890869742164e-05	-2.006630230956464e-05	3.1124771615029088e-06	4.1234400245971645e-10
9.490913404750936e-05	-2.129524274206651e-05	3.303130753582724e-06	4.643980362188004e-10
9.79218733649664e-05	-2.259935991567706e-05	3.5054501516145256e-06	5.230192493637654e-10
0.00010103024729426608	-2.3983244135674388e-05	3.720147970568996e-06	5.890355001942886e-10
0.00010423729160386306	-2.5451765192943487e-05	3.947980242840927e-06	6.63378899434592e-10
0.00010754613842784729	-2.7010089305379373e-05	4.1897490518321625e-06	7.470989214018977e-10
0.00011096001932491737	-2.866369707813623e-05	4.44630532557736e-06	8.413771612354131e-10
0.0001144822684344565	-3.0418402544498012e-05	4.718551798103071e-06	9.475439444305049e-10
0.00011811632573279312	-3.22803733512178e-05	5.007446149315919e-06	1.0670970206323113e-09
0.00012186574039282592	-3.4256152156360284e-05	5.31400433378601e-06	1.201722602619204e-09
0.00012573417425029522	-3.6352679311584726e-05	5.639304109730848e-06	1.3533190439729473e-09
0.00012972540538008556	-3.857731690496879e-05	5.984488780084296e-06	1.524023485545346e-09
0.0001338433317860519	-4.093787424489836e-05	6.350771158245441e-06	1.7162418419955147e-09
0.00013809197520797412	-4.344263487020823e-05	6.7394377718312656e-06	1.932682545946618e-09
0.00014247548504935683	-4.6100385176679705e-05	7.151853318531868e-06	2.1763945193280254e-09
0.0001469981424299109	-4.8920444755196606e-05	7.58946538898428e-06	2.4508098999368333e-09
0.00015166436436667467	-5.1912698542342846e-05	8.05380947244405e-06	2.7597921169665947e-09
0.0001564787080878584	-5.508763089000946e-05	8.54651426194492e-06	3.1076899831035527e-09
0.00016144587548362442	-5.845636166668071e-05	9.069307276598755e-06	3.499398553783145e-09
