r	P	Q	rho
0.0001161714999842322	-5.982260797222482e-09	4.240204134805673e-10	3.5967237557033195e-17
0.00011985917924801368	-6.563605319246621e-09	4.6522255955933437e-10	4.329734681676548e-17
0.00012366391801739136	-7.201427592033612e-09	5.104270626888827e-10	5.212109514962823e-17
0.00012758943215995303	-7.901212305255127e-09	5.600225431466862e-10	6.274278114154752e-17
0.00013163955549758556	-8.668976497924174e-09	6.14435333386496e-10	7.552868430047545e-17
0.00013581824355074617	-9.511321149998151e-09	6.74133131880123e-10	9.091968549790065e-17
0.00014012957740158985	-1.043548793367916e-08	7.396290222099225e-10	1.0944645950445855e-16
0.00014457776767972557	-1.1449421232034329e-08	8.114858646130927e-10	1.3174775585702532e-16
0.0001491671586744937	-1.2561836307815313e-08	8.903211239291051e-10	1.5859240312806144e-16
0.00015390223257778145	-1.3782294050277798e-08	9.768121620602333e-10	1.9090579128827159e-16
0.00015878761386151966	-1.5121282953143353e-08	1.0717020429482147e-09	2.2980174341788314e-16
0.00016382807379413603	-1.659030903367692e-08	1.175805899299369e-09	2.766208733457292e-16
0.00016902853510037633	-1.820199445748879e-08	1.2900179155486844e-09	3.329767484528892e-16
0.000174394076769044	-1.997018571085618e-08	1.4153189864718475e-09	4.008114451595521e-16
0.00017992993901335352	-2.191007224347768e-08	1.5527851167495906e-09	4.824624073332102e-16
0.0001856415283887431	-2.4038316593316177e-08	1.7035966330196767e-09	5.807429061285358e-16
0.0001915344230731432	-2.6373197102780964e-08	1.869048286856378e-09	6.99038866920735e-16
0.00019761437831485956	-2.8934764442398884e-08	2.0505603346670134e-09	8.414253910232205e-16
0.00020388733205339	-3.174501327528777e-08	2.2496906887717943e-09	1.0128069760433432e-15
0.0002103594107186656	-3.482807052416363e-08	2.468148243003217e-09	1.2190862521855554e-15
0.0002170369352143793	-3.821040184335461e-08	2.707807486100488e-09	1.4673670304124192e-15
0.00022392642709124567	-4.1921038052537186e-08	2.970724527065815e-09	1.7661986356179812e-15
0.0002310346149162212	-4.599182345794294e-08	3.2591546685835324e-09	2.1258699141403404e-15
0.00023836844084390503	-5.045768817201735e-08	3.5755716776792124e-09	2.5587630084867613e-15
0.0002459350673965389	-5.535694674549017e-08	3.9226889171227205e-09	3.079779041323552e-15
0.0002537418844592265	-6.073162564823066e-08	4.303482516775628e-09	3.706850315649021e-15
0.000261796516497206	-6.662782237895965e-08	4.721216781279376e-09	4.461556602858031e-15
0.0002701068300022224	-7.309609925089961e-08	5.179472049318552e-09	5.369866656407039e-15
0.0002786809411752737	-8.019191519297982e-08	5.6821752403292615e-09	6.463030377779879e-15
0.0002875272238532339	-8.797609922669907e-08	6.233633347126147e-09	7.778652219852405e-15
0.0002966543176870928	-9.651536962983977e-08	6.8385701576793905e-09	9.361982616586099e-15
0.0003060711365798024	-1.05882903182822e-07	7.502166516388946e-09	1.1267471688862486e-14
0.0003157868773919686	-1.161589593147654e-07	8.230104464899815e-09	1.3560638448592486e-14
0.0003258110289238911	-1.2743156442775638e-07	9.028615635023343e-09	1.6320319512790413e-14
0.00033615338118272406	-1.3979726218320424e-07	9.904534301941383e-09	1.964137431365788e-14
0.00034682403494380845	-1.5336193608765745e-07	1.086535554486418e-08	2.363793939167104e-14
0.0003578334116155128	-1.6824171132159272e-07	1.191929900500688e-08	2.84473431171889e-14
0.00036919226341721817	-1.8456394341843826e-07	1.3075378777492088e-08	3.423481474033937e-14
0.0003809116838803869	-2.0246830212789098e-07	1.4343480024956374e-08	4.1199148785777266e-14
0.00039300311868297133	-2.2210795959335802e-07	1.573444295665271e-08	4.957951840988092e-14
0.0004054783768277432	-2.4365089284458586e-07	1.7260154878152504e-08	5.966367053038168e-14
0.00041834964217546096	-2.6728131156032864e-07	1.8933651083854803e-08	7.179778265277463e-14
0.00043162948534414047	-2.9320122309997916e-07	2.076922543794898e-08	8.63983179526161e-14
0.0004453308759860475	-3.2163214794592093e-07	2.278255156984044e-08	1.0396628324833921e-13
0.00045946719545440486	-3.528169999491833e-07	2.499081569798281e-08	1.2510437632239254e-13
0.000474052249872184	-3.8702214713989177e-07	2.741286219226836e-08	1.5053760739034432e-13
0.0004891002836157431	-4.245396703620272e-07	3.0069353090380486e-08	1.811380977063727e-13
0.0005046259932264843	-4.656898386311648e-07	3.298294289864552e-08	2.1795490032657561e-13
0.0005206445417641121	-5.108238219072992e-07	3.6178470133852414e-08	2.622498587292062e-13
0.0005371715736155137	-5.60326663936906e-07	3.968316720023519e-08	3.1554072407770427e-13
0.0005542232297737253	-6.146205399646881e-07	4.352689034642286e-08	3.7965299832971435e-13
0.0005718161636019015	-6.741683264630771e-07	4.774237161184243e-08	4.567822664531494e-13
0.0005899675570976902	-7.394775125951127e-07	5.236549485210506e-08	5.495691366849608e-13
0.0006086951376738924	-8.111044859341343e-07	5.743559812972449e-08	6.611893350349956e-13
0.0006280171954717972	-8.896592280338788e-07	6.299580497164529e-08	7.954620134698627e-13
0.000647952601224102	-9.758104587992898e-07	6.909338723017104e-08	9.569799476610188e-13
0.0006685208246848622	-1.0702912722778247e-06	7.578016254079905e-08	1.1512660405487946e-12
0.0006897419536444699	-1.1739053105020403e-06	8.31129296511755e-08	1.384961437100093e-12
0.0007116367135482336	-1.2875335263978734e-06	9.115394520203808e-08	1.6660516233244395e-12
0.0007342264877377173	-1.4121415915633995e-06	9.997144587596627e-08	2.0041381646137422e-12
0.0007575333383346106	-1.5487880099568875e-06	1.0964022019556189e-07	2.4107652776707472e-12
0.0007815800277875219	-1.6986330042510078e-06	1.2024223465211944e-07	2.8998122781249398e-12
0.0008063900411027409	-1.862948247855922e-06	1.318673192819333e-07	3.487965164084053e-12
0.0008319876087806837	-2.043127522435388e-06	1.4461391828340954e-07	4.1952832582942476e-12
0.0008583977304804128	-2.240698388188782e-06	1.5858991178767382e-07	5.045880026952629e-12
0.0008856461994353575	-2.457334962304535e-06	1.739135154622608e-07	6.068741027824673e-12
0.0009137596276440656	-2.694871909868067e-06	1.907142652459401e-07	7.298706541564263e-12
0.0009427654718605993	-2.9553197611965696e-06	2.0913409518733965e-07	8.777651960688777e-12
0.0009726920604099544	-3.2408816801461447e-06	2.2932851709571546e-07	1.0555905633460217e-11
0.001003568620854689	-3.553971819472371e-06	2.514679115143491e-07	1.2693951804125144e-11
0.0010354253085397922	-3.897235411908529e-06	2.757389404014405e-07	1.5264475819087548e-11
0.001068293236043655	-4.273570759348784e-06	3.0234609285630305e-07	1.8354820195026415e-11
0.0011022045035639237	-4.6861532974868665e-06	3.3151337626696493e-07	2.2069933846190953e-11
0.0011371922302678996	-5.1384619295726174e-06	3.634861663863145e-07	2.6535913194821364e-11
0.0011732905866381068	-5.634307840726925e-06	3.9853323107567125e-07	3.190425358034851e-11
0.0012105348278446213	-6.177866023627218e-06	4.369489437957234e-07	3.835695298537177e-11
0.0012489613281767493	-6.773709767478672e-06	4.79055704384475e-07	4.6112638381939275e-11
0.0012886076165676845	-7.4268483851696195e-06	5.252065862502099e-07	5.543391889453718e-11
0.00132951241324684	-8.142768478534264e-06	5.757882308353802e-07	6.663621058177975e-11
0.0013717156675556498	-8.927479068885918e-06	6.312240120864019e-07	8.009832627883063e-11
0.0014152585969637724	-9.78756094962719e-06	6.919774957072304e-07	9.627518219723235e-11
0.0014601837273238018	-1.0730220649992673e-05	7.585562201947844e-07	1.1571304273672538e-10
0.0015065349344037997	-1.1763349434053212e-05	8.315158290664143e-07	1.39067808481628e-10
0.0015543574867382137	-1.2895587797244185e-05	9.114645863092797e-07	1.6712695232852907e-10
0.0016036980898390255	-1.4136395964126731e-05	9.990683099255777e-07	2.0083582834247609e-10
0.0016546049318103184	-1.549613093612351e-05	1.0950557615340147e-06	2.4132922111035294e-10
0.0017071277304107984	-1.6986130686881787e-05	1.2002245333361534e-06	2.899691746422491e-10
0.0017613177816102469	-1.861880615602189e-05	1.3154474773868714e-06	3.48390344741282e-10
0.001817228009687316	-2.0407741749665134e-05	1.441679726043396e-06	4.1855436375350993e-10
0.001874913018917604	-2.2367805118664647e-05	1.5799663567306964e-06	5.028149995149612e-10
0.001934429146902478	-2.4515267053271944e-05	1.7314507587777623e-06	6.039962404233129e-10
0.0019958345195907447	-2.6867932406476456e-05	1.897383765076226e-06	7.254858569509625e-10
0.0020591891080468895	-2.944528303789622e-05	2.079133616718465e-06	8.713474897779878e-10
0.002124554787021336	-3.226863385634812e-05	2.278196834617091e-06	1.0464549117723155e-09
0.002191995395379924	-3.5361303132588335e-05	2.496210078423698e-06	1.2566528239904257e-09
0.002261576798451625	-3.8748798354722e-05	2.7349630798859597e-06	1.508949396983246e-09
0.0023333669523553915	-4.24590190080047e-05	2.996412745144512e-06	1.8117467844613687e-09
