r	P	Q	rho
0.0001161714999842322	2.972806770158708e-13	-1.5766248468816245e-14	8.862437551779496e-26
0.00011985917924801368	3.3660903412867654e-13	-1.7851811581290788e-14	1.1362432903377443e-25
0.00012366391801739136	3.811396450420796e-13	-2.0213211930292605e-14	1.4567600295934138e-25
0.00012758943215995303	4.3156054289939276e-13	-2.2886924846104757e-14	1.8676831351652987e-25
0.00013163955549758556	4.886507397689306e-13	-2.591424779763089e-14	2.3945109371564015e-25
0.00013581824355074617	5.532922364562061e-13	-2.9341936777902046e-14	3.0699324817658873e-25
0.00014012957740158985	6.264836856988671e-13	-3.322293027585695e-14	3.935855715429514e-25
0.00014457776767972557	7.093557671799897e-13	-3.761716388558716e-14	5.046006554503069e-25
0.0001491671586744937	8.031886501959647e-13	-4.259249555271485e-14	6.4692612848102385e-25
0.00015390223257778145	9.094317557271515e-13	-4.8225752541370716e-14	8.293918415331507e-25
0.00015878761386151966	1.0297261252562385e-12	-5.460391648890482e-14	1.0633174807311538e-24
0.00016382807379413603	1.165929746417639e-12	-6.182546502881193e-14	1.3632145617075288e-24
0.00016902853510037633	1.3201462243832349e-12	-7.000189058637329e-14	1.747686318438977e-24
0.000174394076769044	1.494757240792986e-12	-7.925941972377881e-14	2.240581264518011e-24
0.00017992993901335352	1.6924593004812049e-12	-8.974095951029462e-14	2.8724719235991577e-24
0.0001856415283887431	1.9163053320659077e-12	-1.0160830087183497e-13	3.6825503725102904e-24
0.0001915344230731432	2.1697517831966397e-12	-1.1504461282634342e-13	4.721058063625361e-24
0.00019761437831485956	2.4567119357999377e-12	-1.3025726598144232e-13	6.0524004908428375e-24
0.00020388733205339	2.7816162623380146e-12	-1.4748102872908608e-13	7.759139684738296e-24
0.0002103594107186656	3.149480752388384e-12	-1.6698168529651755e-13	9.947111892889366e-24
0.0002170369352143793	3.565984261413734e-12	-1.8906013129096185e-13	1.275198748589421e-23
0.00022392642709124567	4.0375560723008396e-12	-2.1405700970626525e-13	1.634767944037777e-23
0.0002310346149162212	4.571475017230273e-12	-2.423579586551747e-13	2.0957121213284032e-23
0.00023836844084390503	5.175981685099176e-12	-2.7439955147791636e-13	2.686608151833339e-23
0.0002459350673965389	5.860405440777235e-12	-3.1067602049951973e-13	3.444087152000484e-23
0.0002537418844592265	6.635308210008767e-12	-3.5174686772714745e-13	4.41510409007656e-23
0.000261796516497206	7.51264724126241e-12	-3.9824547937791323e-13	5.659846803349265e-23
0.0002701068300022224	8.505959347212675e-12	-4.5088887651478946e-13	7.255464519539945e-23
0.0002786809411752737	9.630569458269314e-12	-5.104887514777978e-13	9.300846685593507e-23
0.0002875272238532339	1.0903826693690647e-11	-5.779639594951085e-13	1.1922747890451597e-22
0.0002966543176870928	1.2345371578025538e-11	-6.543546571439686e-13	1.5283637941684676e-22
0.0003060711365798024	1.3977438508373693e-11	-7.408383045438687e-13	1.9591762864884723e-22
0.0003157868773919686	1.582519811852757e-11	-8.387477766877041e-13	2.5114039332354716e-22
0.0003258110289238911	1.7917144797709932e-11	-9.495918615847354e-13	3.219258024056921e-22
0.00033615338118272406	2.0285535313677447e-11	-1.0750784593924174e-12	4.1265873665630434e-22
0.00034682403494380845	2.2966885272973002e-11	-1.217140838007251e-12	5.289592509614491e-22
0.0003578334116155128	2.600253103700832e-11	-1.3779673472947013e-12	6.780304143407914e-22
0.00036919226341721817	2.9439265714936714e-11	-1.5600350469737489e-12	8.691040751824345e-22
0.0003809116838803869	3.333005898819048e-11	-1.7661477629341002e-12	1.1140121100767743e-21
0.00039300311868297133	3.773487180435998e-11	-1.999479154359172e-12	1.4279184669801988e-21
0.0004054783768277432	4.272157842928961e-11	-2.2636214504795705e-12	1.8302572455610146e-21
0.00041834964217546096	4.836700998791458e-11	-2.562640602246916e-12	2.3459347820273132e-21
0.00043162948534414047	5.475813548139741e-11	-2.901138692004432e-12	3.0068700071093195e-21
0.0004453308759860475	6.199339836873536e-11	-3.284324554816517e-12	3.853968229086091e-21
0.00045946719545440486	7.018422917706835e-11	-3.718093690174824e-12	4.93965024586817e-21
0.000474052249872184	7.945675729244841e-11	-4.209118684210163e-12	6.331092959528821e-21
0.0004891002836157431	8.995374812255425e-11	-4.764951522440389e-12	8.11438156430714e-21
0.0005046259932264843	1.0183679526078112e-10	-5.394139353883145e-12	1.0399829608355363e-20
0.0005206445417641121	1.1528880116932237e-10	-6.106355471780752e-12	1.3328795252207293e-20
0.0005371715736155137	1.305167842960839e-10	-6.9125475072969655e-12	1.7082414296031132e-20
0.0005542232297737253	1.4775505551296862e-10	-7.825105093824614e-12	2.189278869936984e-20
0.0005718161636019015	1.6726881238632498e-10	-8.858049554911571e-12	2.8057320639048855e-20
0.0005899675570976902	1.893582061489964e-10	-1.0027248502699907e-11	3.595707594850071e-20
0.0006086951376738924	2.1436294343329576e-10	-1.1350658611181792e-11	4.6080308968293953e-20
0.0006280171954717972	2.426674929536511e-10	-1.2848600255154486e-11	5.905259866492705e-20
0.000647952601224102	2.7470697651896137e-10	-1.4544068187883092e-11	7.567545286764298e-20
0.0006685208246848622	3.109738341460647e-10	-1.646308297535376e-11	9.697575862455752e-20
0.0006897419536444699	3.5202536479324016e-10	-1.8635088520749785e-11	1.2426912398199e-19
0.0007116367135482336	3.9849225751265055e-10	-2.109340170858262e-11	1.5924101089316825e-19
0.0007342264877377173	4.510882428321759e-10	-2.3875720984113432e-11	2.0405065287393133e-19
0.0007575333383346106	5.106210111450309e-10	-2.7024701571993206e-11	2.61464151517829e-19
0.0007815800277875219	5.780045640637692e-10	-3.0588606041615726e-11	3.3502493889811705e-19
0.0008063900411027409	6.542731863703852e-10	-3.4622040060392444e-11	4.2927208806120026e-19
0.0008319876087806837	7.405972506898201e-10	-3.918678445680426e-11	5.500198918053843e-19
0.0008583977304804128	8.383010946955359e-10	-4.4352736161589607e-11	7.047158905727534e-19
0.0008856461994353575	9.488832419352226e-10	-5.0198972229140364e-11	9.028993436383603e-19
0.0009137596276440656	1.0740392727074614e-09	-5.681495298617121e-11	1.1567882982007934e-18
0.0009427654718605993	1.215687691351361e-09	-6.430188243814705e-11	1.4820312949882914e-18
0.0009726920604099544	1.3759991814232824e-09	-7.277424641639929e-11	1.898669838219018e-18
0.001003568620854689	1.557429691196234e-09	-8.236155160482977e-11	2.432370668202352e-18
0.0010354253085397922	1.7627578494823503e-09	-9.321029158346436e-11	3.116003394368715e-18
0.001068293236043655	1.995127276797682e-09	-1.0548616941068678e-10	3.991660182559075e-18
0.0011022045035639237	2.258094430320446e-09	-1.1937661008611247e-10	5.113241231279872e-18
0.0011371922302678996	2.55568270402065e-09	-1.350936005473533e-10	6.549764364539149e-18
0.0011732905866381068	2.8924435989801925e-09	-1.5287689971899828e-10	8.389601319749182e-18
0.0012105348278446213	3.273525884652988e-09	-1.729976666215111e-10	1.0745899910149614e-17
0.0012489613281767493	3.7047537911841427e-09	-1.9576256074082366e-10	1.3763523633481084e-17
0.0012886076165676845	4.192715407662301e-09	-2.215183758455502e-10	1.7627932880486102e-17
0.00132951241324684	4.744862613287988e-09	-2.5065727631855893e-10	2.257655028914955e-17
0.0013717156675556498	5.369624040120564e-09	-2.836227139562926e-10	2.891330417611262e-17
0.0014152585969637724	6.0765327598149285e-09	-3.209161132100533e-10	3.7027237532821876e-17
0.0014601837273238018	6.876370605389653e-09	-3.631044241416887e-10	4.741631752549813e-17
0.0015065349344037997	7.78133128574848e-09	-4.10828655102758e-10	6.071789676242165e-17
0.0015543574867382137	8.805204728973878e-09	-4.6481351150239e-10	7.774768191961912e-17
0.0016036980898390255	9.963585404339031e-09	-5.258782832081361e-10	9.954958207830771e-17
0.0016546049318103184	1.1274107727061957e-08	-5.949491413548582e-10	1.27459469522197e-16
0.0017071277304107984	1.2756712049136033e-08	-6.730730258759209e-10	1.631867296027342e-16
0.0017613177816102469	1.4433945189834832e-08	-7.61433328207183e-10	2.0891855445646073e-16
0.001817228009687316	1.633129996713833e-08	-8.61367599671419e-10	2.674533127584161e-16
0.001874913018917604	1.8477598763596e-08	-9.743875453924007e-10	3.423710871570602e-16
0.001934429146902478	2.0905426805161833e-08	-1.1022015966219371e-09	4.382517182655748e-16
0.0019958345195907447	2.3651621558447036e-08	-1.2467403915473254e-09	5.609535639479121e-16
0.0020591891080468895	2.6757825470908332e-08	-1.4101855364941627e-09	7.17969847178928e-16
0.002124554787021336	3.027111020126057e-08	-1.59500206652563e-09	9.188841444090827e-16
0.002191995395379924	3.4244681526829215e-08	-1.8039750774089566e-09	1.1759525389538709e-15
0.002261576798451625	3.873867528518989e-08	-2.0402510604951454e-09	1.5048475872412337e-15
0.0023333669523553915	4.382105602560641e-08	-2.3073845390480168e-09	1.9256089746103736e-15
0.002407435970368948	4.956863152980154e-08	-2.6093906798687822e-09	2.4638581514574214e-15
0.0024838561914043667	5.6068198032029135e-08	-2.9508046387058087e-09	3.152350078574643e-15
0.002562702250657285	6.34178328483128e-08	-3.3367484930494437e-09	4.0329554136824106e-15
0.0026440511524987668	7.172835323991844e-08	-3.773006722755717e-09	5.1591922382404786e-15
0.002727982345681007	8.112496271559011e-08	-4.266111318936614e-09	6.5994592813914444e-15
0.0028145778009303173	9.17491086532467e-08	-4.823437736280184e-09	8.44116449026104e-15
0.0029039220910031765	1.0376057813103865e-07	-5.4533130551872296e-09	1.079599619736525e-14
0.002996102473283537	1.1733986224056988e-07	-6.1651378898035764e-09	1.3806652195836209e-14
0.003091208975002045	1.3269082295720557e-07	-6.9695237683865095e-09	1.7655428758618578e-14
0.003189334481160418	1.500437009146201e-07	-7.878447925921557e-09	2.2575182125877427e-14
0.0032905748252468328	1.6965850722999659e-07	-8.905427688232193e-09	2.8863315717821134e-14
