r	P	Q	rho
0.0001161714999842322	5.2745750751350254e-12	6.99119840776044e-11	4.915506659890446e-21
0.00011985917924801368	5.79829018112588e-12	7.67066868762195e-11	5.917535980550925e-21
0.00012366391801739136	6.37435586740452e-12	8.416160111424137e-11	7.123807514836988e-21
0.00012758943215995303	7.008050377636959e-12	9.234085531272368e-11	8.575946329980867e-21
0.00013163955549758556	7.705189937968547e-12	1.013148041932622e-10	1.0324059500699231e-20
0.00013581824355074617	8.472184305796116e-12	1.1116063232040258e-10	1.2428464084783108e-20
0.00014012957740158985	9.316098232430176e-12	1.219630181400781e-10	1.4961767480113308e-20
0.00014457776767972557	1.0244719268828699e-11	1.3381485969587807e-10	1.8011370948324642e-20
0.0001491671586744937	1.1266632788738367e-11	1.4681807234650142e-10	2.16824833819388e-20
0.00015390223257778145	1.2391304912123882e-11	1.6108446350751615e-10	2.6101748820929528e-20
0.00015878761386151966	1.3629174194698484e-11	1.7673669206940966e-10	3.142161271286677e-20
0.00016382807379413603	1.4991753028798382e-11	1.9390932081262304e-10	3.7825577356889243e-20
0.00016902853510037633	1.6491739805832275e-11	2.127499707815621e-10	4.5534527549378804e-20
0.000174394076769044	1.8143143004088683e-11	2.3342058748532694e-10	5.481434430006198e-20
0.00017992993901335352	1.9961418496078333e-11	2.560988297449275e-10	6.598506882509696e-20
0.0001856415283887431	2.1963621512393916e-11	2.809795930484693e-10	7.94319323796231e-20
0.0001915344230731432	2.4168574858888484e-11	3.082766804215702e-10	9.561863170245264e-20
0.00019761437831485956	2.659705516176081e-11	3.382246350754926e-10	1.151033071152279e-19
0.00020388733205339	2.9271999113194397e-11	3.710807504714329e-10	1.385577733025247e-19
0.0002103594107186656	3.2218731910855894e-11	4.071272749478171e-10	1.6679066469237907e-19
0.0002170369352143793	3.5465220330457435e-11	4.466738297108739e-10	2.0077529200166664e-19
0.00022392642709124567	3.904235314467232e-11	4.900600608011383e-10	2.416831685314887e-19
0.0002310346149162212	4.298425190726717e-11	5.37658547635059e-10	2.9092435975706844e-19
0.00023836844084390503	4.732861546206984e-11	5.898779928982257e-10	3.5019604434719567e-19
0.0002459350673965389	5.2117101916465936e-11	6.471667209531288e-10	4.215409570213962e-19
0.0002537418844592265	5.7395752243142097e-11	7.100165145398003e-10	5.074177232948027e-19
0.000261796516497206	6.3215460146955e-11	7.789668224140259e-10	6.107855048233957e-19
0.0002701068300022224	6.96324933619154e-11	8.546093737090255e-10	7.3520586576313e-19
0.0002786809411752737	7.670907213284393e-11	9.375932382487799e-10	8.849653621573152e-19
0.0002875272238532339	8.451401129457673e-11	1.0286303758132491e-09	1.065223068150806e-18
0.0002966543176870928	9.312343309684947e-11	1.1285017214889931e-09	1.2821881091953646e-18
0.0003060711365798024	1.0262155874433368e-10	1.2380638587675522e-09	1.5433333027055181e-18
0.0003157868773919686	1.1310158753901271e-10	1.3582563370160291e-09	1.8576522461480457e-18
0.0003258110289238911	1.2466667353769204e-10	1.4901096953807998e-09	2.2359686837588133e-18
0.00033615338118272406	1.374310107838537e-10	1.6347542611412354e-09	2.691308777044498e-18
0.00034682403494380845	1.5152103945478876e-10	1.7934297970550919e-09	3.2393490623625277e-18
0.0003578334116155128	1.67076786698225e-10	1.967496079384705e-09	3.898955475047589e-18
0.00036919226341721817	1.8425335753575703e-10	2.158444496122398e-09	4.692831942604272e-18
0.0003809116838803869	2.03222593003744e-10	2.367910763509077e-09	5.648300806249306e-18
0.00039300311868297133	2.2417491470894468e-10	2.5976888683325003e-09	6.798241849043349e-18
0.0004054783768277432	2.4732137722178474e-10	2.84974635377832e-09	8.18222214450371e-18
0.00041834964217546096	2.7289595224374743e-10	3.1262410778722677e-09	9.84785547772698e-18
0.00043162948534414047	3.011580712994301e-10	3.4295395858879166e-09	1.1852437955081055e-17
0.0004453308759860475	3.3239545685480423e-10	3.7622372516024395e-09	1.426491587708279e-17
0.00045946719545440486	3.669272752921208e-10	4.127180357072862e-09	1.716825332516138e-17
0.000474052249872184	4.0510764912472254e-10	4.527490296798149e-09	2.066228059498075e-17
0.0004891002836157431	4.47329570263438e-10	4.966590109859779e-09	2.4867121063789043e-17
0.0005046259932264843	4.940292611082784e-10	5.448233563039296e-09	2.9927313868259054e-17
0.0005206445417641121	5.45691035800052e-10	5.976537029152968e-09	3.601677356738912e-17
0.0005371715736155137	6.028527201994889e-10	6.5560144280929095e-09	4.3344756583614324e-17
0.0005542232297737253	6.66111696148869e-10	7.1916155235086085e-09	5.216303862971632e-17
0.0005718161636019015	7.361316434054115e-10	7.888767895907662e-09	6.277454871192616e-17
0.0005899675570976902	8.13650061420789e-10	8.653422943423416e-09	7.554375506021684e-17
0.0006086951376738924	8.994866629938131e-10	9.492106294834359e-09	9.09091581693378e-17
