r	P	Q	rho
0.0001161714999842322	2.5231535873171578e-08	2.2238855727153007e-07	5.009330080783176e-14
0.00011985917924801368	2.6866839541847056e-08	2.3637631558136546e-07	5.659558963478863e-14
0.00012366391801739136	2.8609591295684013e-08	2.5124319201489704e-07	6.39416502479405e-14
0.00012758943215995303	3.0466987898320405e-08	2.67044372478604e-07	7.22409342240878e-14
0.00013163955549758556	3.2446720773550645e-08	2.838385007596021e-07	8.16170842024154e-14
0.00013581824355074617	3.4557011147126774e-08	3.016878945027308e-07	9.220977270891348e-14
0.00014012957740158985	3.6806647784976154e-08	3.20658774910308e-07	1.0417677924814687e-13
0.00014457776767972557	3.920502751504016e-08	3.408215103068282e-07	1.1769633607028243e-13
0.0001491671586744937	4.176219879374279e-08	3.6225087510332473e-07	1.3296977776121265e-13
0.00015390223257778145	4.448890848558772e-08	3.850263248020174e-07	1.502245337687876e-13
0.00015878761386151966	4.739665216476484e-08	4.092322880655574e-07	1.6971750823179904e-13
0.00016382807379413603	5.049772818020013e-08	4.3495847692045694e-07	1.9173889719632505e-13
0.00016902853510037633	5.380529579344845e-08	4.623002162049496e-07	2.1661649975856364e-13
0.000174394076769044	5.733343770479413e-08	4.913587934462495e-07	2.4472058697600353e-13
0.00017992993901335352	6.109722731479701e-08	5.222418304232016e-07	2.76469400629332e-13
0.0001856415283887431	6.511280109561831e-08	5.550636777462151e-07	3.123353632196717e-13
0.0001915344230731432	6.93974364776191e-08	5.899458338671432e-07	3.528520910868641e-13
0.00019761437831485956	7.396963569016781e-08	6.270173900171683e-07	3.9862231438807786e-13
0.00020388733205339	7.884921603198232e-08	6.664155026612084e-07	4.5032682105604933e-13
0.0002103594107186656	8.405740708582179e-08	7.082858951531342e-07	5.087345569588681e-13
0.0002170369352143793	8.961695543522957e-08	7.527833903774978e-07	5.747140315297202e-13
0.00022392642709124567	9.55522374876048e-08	8.000724762708146e-07	6.492461973750009e-13
0.0002310346149162212	1.0188938105847325e-07	8.503279062290505e-07	7.334389940843596e-13
0.00023836844084390503	1.0865639642679229e-07	9.037353365282116e-07	8.285437709742161e-13
0.0002459350673965389	1.158833176308463e-07	9.6049200301215e-07	9.359738311554234e-13
0.0002537418844592265	1.2360235483918906e-07	1.0208074394362836e-06	1.0573253705302547e-12
