r	P	Q	rho
0.0001161714999842322	-7.202028060494008e-06	7.709259315769434e-07	5.2463534976120864e-11
0.00011985917924801368	-7.654851113406232e-06	8.194021181135119e-07	5.926816539958554e-11
0.00012366391801739136	-8.136117355830721e-06	8.709236953165388e-07	6.69549137109137e-11
0.00012758943215995303	-8.647610705147084e-06	9.256817098373124e-07	7.563805753570178e-11
0.00013163955549758556	-9.191226703888147e-06	9.83879166958067e-07	8.544666653744067e-11
0.00013581824355074617	-9.76897947693692e-06	1.0457317764075286e-06	9.652651496900319e-11
0.00014012957740158985	-1.0383009129488822e-05	1.1114687454035776e-06	1.0904224135505722e-10
0.00014457776767972557	-1.1035589589745829e-05	1.181333618994518e-06	1.231797867126732e-10
0.0001491671586744937	-1.1729136945917545e-05	1.2555851745476889e-06	1.391491476266319e-10
0.00015390223257778145	-1.246621829767213e-05	1.334498370225606e-06	1.5718748454535022e-10
0.00015878761386151966	-1.3249561154765651e-05	1.4183653529673334e-06	1.7756263106837305e-10
0.00016382807379413603	-1.4082063416937935e-05	1.507496528503573e-06	2.0057705586211204e-10
0.00016902853510037633	-1.4966803970443376e-05	1.6022216976845417e-06	2.2657233545821074e-10
0.000174394076769044	-1.5907053938941264e-05	1.7028912630235744e-06	2.559342036700688e-10
0.00017992993901335352	-1.6906288628709194e-05	1.8098775097903472e-06	2.890982517976667e-10
0.0001856415283887431	-1.796820021053096e-05	1.9235759662016188e-06	3.265563633034733e-10
0.0001915344230731432	-1.9096711183150627e-05	2.044406847540344e-06	3.6886397737094007e-10
0.00019761437831485956	-2.0295988665866566e-05	2.1728165893213534e-06	4.166482878558142e-10
0.00020388733205339	-2.157045957067721e-05	2.3092794749286504e-06	4.706174977835468e-10
0.0002103594107186656	-2.292482670739204e-05	2.4542993634733456e-06	5.315712649295011e-10
0.0002170369352143793	-2.436408587829557e-05	2.6084115239641288e-06	6.004124913633104e-10
0.00022392642709124567	-2.589354402230809e-05	2.7721845822447435e-06	6.781606293932424e-10
0.0002310346149162212	-2.7518838472134453e-05	2.946222587536348e-06	7.659666983907366e-10
0.00023836844084390503	-2.9245957391641506e-05	3.1311672058280413e-06	8.651302318245633e-10
