r	P	Q	rho
0.0001020901060467495	4.222337310144954e-07	3.3020145261997328e-06	1.1081581254840466e-11
0.00010533079388461807	4.492326457442234e-07	3.508217685664539e-06	1.2509401300011809e-11
0.0001086743521971015	4.77977029178853e-07	3.727287659476197e-06	1.4121135336906188e-11
0.0001121240464435951	5.085815147994442e-07	3.960026349296454e-06	1.59404638443179e-11
0.00011568324574030244	5.411684304677221e-07	4.207285540480092e-06	1.799411488926776e-11
0.00011935542615065572	5.75868329974916e-07	4.4699699951476566e-06	2.031225609098844e-11
0.00012314417408018505	6.128205627537123e-07	4.749040740308667e-06	2.292893699524527e-11
0.00012705318977915278	6.521738841495137e-07	5.045518553039765e-06	2.5882588244235147e-11
0.00013108629095637324	6.940871102186945e-07	5.360487664358132e-06	2.921658491630744e-11
0.00013524741650774733	7.387298192678294e-07	5.6950996908347885e-06	3.297988223442198e-11
0.00013954063036315364	7.86283104544579e-07	6.050577808361092e-06	3.722773293552397e-11
0.00014397012545545288	8.36940381449219e-07	6.428221183144178e-06	4.2022496781523894e-11
0.00014854022781548223	8.909082536126231e-07	6.8294096755548725e-06	4.7434554032917604e-11
0.00015325540079703866	9.484074422459331e-07	7.255608833502016e-06	5.3543336221299956e-11
0.00015812024943597734	1.0096737836058476e-06	7.708375192997513e-06	6.043848926532039e-11
0.00016313952494768336	1.074959299783851e-06	8.189361904634774e-06	6.822118590127507e-11
0.00016831812936730768	1.14453334844829e-06	8.700324705830034e-06	7.700560657258671e-11
0.00017366112033730078	1.2186838576181294e-06	9.243128259865896e-06	8.692061037315056e-11
0.00017917371604691846	1.2977186520358451e-06	9.819752884036746e-06	9.811162040338972e-11
0.00018486130032852432	1.3819668782360564e-06	1.0432301690529114e-05	1.107427510147581e-10
0.00019072942791566663	1.4717805359799138e-06	1.1083008165081382e-05	1.249992079333499e-10
0.0001967838298680644	1.5675361243467727e-06	1.177424420996032e-05	1.4108999621691622e-10
0.00020303041916880043	1.6696364114483751e-06	1.2508528679371404e-05	1.5925097546909112e-10
0.00020947529649918928	1.7785123374611929e-06	1.3288536437090776e-05	1.797483067743909e-10
0.0002161247561969584	1.8946250614646537e-06	1.4117107967873452e-05	2.0288234150012607e-10
0.0002229852924035627	2.018468163431994e-06	1.4997259576060828e-05	2.2899200851853675e-10
0.00023006360540663557	2.150570013652276e-06	1.593219420678564e-05	2.5845976362635424e-10
0.00023736660818377117	2.291496322873036e-06	1.69253129272605e-05	2.917171730834321e-10
0.0002449014331540284	2.4418528875498783e-06	1.7980227107842522e-05	3.2925121237403073e-10
0.00025267543914375093	2.6022885457797e-06	1.910077134489805e-05	3.716113716455747e-10
0.0002606962185735058	2.773498360786144e-06	2.0291017169954585e-05	4.194176709486752e-10
0.00026897160487315965	2.956227050228327e-06	2.1555287592228264e-05	4.733697015561714e-10
0.00027750968013233603	3.151272681126381e-06	2.289817252436258e-05	5.342568244662868e-10
0.00028631878299372246	3.3594906518505243e-06	2.4324545144113996e-05	6.029696739079108e-10
0.00029540751679693925	3.5817979844155138e-06	2.58395792477814e-05	6.805131325035383e-10
0.0003047847579809226	3.819177952272017e-06	2.74487676544068e-05	7.680209659767297e-10
0.0003144596647530264	4.072685070904032e-06	2.9157941723182164e-05	8.667723292192519e-10
0.00032444168603331286	4.343450480841868e-06	3.097329205009231e-05	9.78210382499837e-10
0.00033474057068276427	4.632687755199311e-06	3.2901390413613136e-05	1.103963286986168e-09
0.00034536637702442947	4.941699166558796e-06	3.494921304328002e-05	1.245867882997342e-09
0.00035632948266680465	5.271882450978888e-06	3.712416528915125e-05	1.4059963929931615e-09
0.00036764059463904154	5.6247381101045e-06	3.9434107774626655e-05	1.5866865347881324e-09
0.00037931075984788096	6.0018772958447294e-06	4.188738411975272e-05	1.790575479470089e-09
0.00039135137586652656	6.405030325870251e-06	4.449285032706321e-05	2.020638143701766e-09
0.00040377420206599217	6.836055882298554e-06	4.725990592718005e-05	2.280230368271817e-09
0.0004165913710997981	7.2969509504097724e-06	5.019852698684389e-05	2.57313760482158e-09
0.0004298154007532288	7.789861559099923e-06	5.3319301087770325e-05	2.9036298115982486e-09
0.00044345920616872873	8.317094390066308e-06	5.663346439074683e-05	3.2765233479912614e-09
0.0004575361124593712	8.881129328468585e-06	6.015294090571114e-05	3.697250757754962e-09
0.00047205986772272434	9.484633034059426e-06	6.389038409519494e-05	4.17193944362231e-09
0.0004870446564678192	1.0130473618574307e-05	6.785922094549146e-05	4.707500363065658e-09
0.0005025051134683377	1.0821736522558898e-05	7.207369864722461e-05	5.311728018054632e-09
0.0005184563380555459	1.1561741692846534e-05	7.65489340346727e-05	5.993413172816778e-09
0.0005349139088649357	1.2354062170633988e-05	8.130096594124665e-05	6.762469915095637e-09
0.0005518938990509732	1.3202544209602326e-05	8.634681063695185e-05	7.630078880780126e-09
0.0005694128919848169	1.4111329053857928e-05	9.170452052248959e-05	8.608848691925969e-09
0.0005874879974503335	1.5084876516699123e-05	9.739324626388973e-05	9.712997917342732e-09
0.0006061368683542313	1.612799051342481e-05	0.00010343330256122428	1.0958560156722888e-08
0.0006253777179666295	1.7245846714678533e-05	0.00010984623775504484	1.2363615177844026e-08
0.0006452293377089033	1.844402250125736e-05	0.00011665490748472458	1.394854940629654e-08
0.0006657111155061729	1.972852941701014e-05	0.0001238835526238842	1.5736349483672517e-08
0.0006868430547223676	2.1105848333513407e-05	0.00013155788172954487	1.7752933079042185e-08
0.0007086457936963482	2.2582967558764203e-05	0.00013970515825359453	2.002752166642209e-08
0.0007311406258981765	2.4167424142295115e-05	0.0001483542927775836	2.259306057521058e-08
0.0007543495207252114	2.5867348651038068e-05	0.00015753594054478834	2.5486692289565445e-08
0.0007782951449583443	2.7691513714089926e-05	0.00016728260457690204	2.87502897258098e-08
0.0008030008848993302	2.9649386660429088e-05	0.00017762874467663992	3.2431057064738565e-08
0.0008284908692108298	3.175118660177474e-05	0.00018861089263197132	3.658220667004973e-08
0.000854789992481475	3.4007946343361484e-05	0.00020026777395262853	4.126372169843407e-08
0.0008819239395389693	3.643157953862908e-05	0.00021264043648497208	4.65432152161989e-08
0.0009099192105349688	3.903495353992521e-05	0.0002257723862672234	5.249689799866045e-08
0.0009388031468262422	4.183196843653136e-05	0.0002397097310034832	5.921066872103723e-08
0.0009686039576773873	4.4837642813911215e-05	0.00025450133155183576	6.678134197476532e-08
0.0009993507478111843	4.8068206814331266e-05	0.0002701989618391684	7.53180314853097e-08
0.0010310735458334878	5.154120312922184e-05	0.00028685747763309053	8.494370809402674e-08
0.0010638033335604248	5.527559660816503e-05	0.0003045349946194904	9.579695452828165e-08
0.0010975720762765372	5.929189322857061e-05	0.0003232930762527757	1.0803394175561125e-07
0.0011324127539534196	6.361226923432009e-05	0.00034319693186467607	1.2183065483846673e-07
0.0011683593934593442	6.826071132133464e-05	0.0003643156255365714	1.373853997201979e-07
0.0012054471017913283	7.326316882360755e-05	0.0003867222962596111	1.5492162633038285e-07
0.0012437121003621033	7.864771893521382e-05	0.0004104943899263141	1.7469110785468918e-07
0.0012831917603754622	8.444474609269085e-05	0.0004357139037168233	1.9697752103481217e-07
0.0013239246393245514	9.068713673853095e-05	0.000462467643462424	2.2210047801952074e-07
0.001365950518648733	9.741049079093912e-05	0.0004908474945882324	2.5042006665967653e-07
0.0014093104425858104	0.00010465335125813208	0.0005209507072559781	2.823419633200618e-07
0.0014540467582575523	0.00011245745355797504	0.000552880196346424	3.1832319037280444e-07
0.0015002031570276711	0.0001208679962364149	0.0005867448569390198	3.5887859965859686e-07
0.0015478247171726409	0.0001299339349217617	0.0006226598959637084	4.045881734857888e-07
0.0015969579479070354	0.00013970830150724102	0.0006607471807161915	4.561052463344336e-07
0.0016476508348063793	0.00015024855072229864	0.0007011356049432074	5.141657635132285e-07
0.0016999528866718748	0.00016161693643484544	0.0007439614732182258	5.795987077756178e-07
0.001753915183882776	0.00017388092022302087	0.0007893689043401595	6.533378415567885e-07
0.0018095904282836304	0.00018711361496722095	0.0008375102544979315	7.364349312952914e-07
0.0018670329946551133	0.0002013942664422487	0.0008885465609516798	8.300746415348686e-07
0.0019262989838187208	0.00021680877613674087	0.0009426480069866883	9.355913104858869e-07
0.0019874462774271866	0.00023345026879381675	0.000999994408898366	1.0544878458278977e-06
0.002050534594494132	0.00025141970845456635	0.001060775725765349	1.188457010172382e-06
0.0021156255497181663	0.0002708265670960265	0.0011251925927625672	1.3394054002527669e-06
0.002182782713658383	0.0002917895502892146	0.0011934568787563794	1.5094804631089012e-06
0.002252071674820038	0.00031443738466223803	0.0012657922689090493	1.7011009369031473e-06
0.0023235601037110373	0.0003389096723401806	0.0013424348729992883	1.916991154250344e-06
0.0023973178189317943	0.0003653578179491616	0.0014236338601386373	2.16021970286981e-06
0.002473416855363006	0.0003939460342185479	0.0015096521205293426	2.434243002895262e-06
0.0025519315345179437	0.00042485243269469814	0.001600766954867324	2.742954433361809e-06
0.0026329385371279567	0.0004582702065938625	0.0016972707919428872	3.090739723434017e-06
0.0027165169780321006	0.0004944089133730019	0.0017994719349311507	3.4825394182275323e-06
0.0028027484834440043	0.0005334958651874924	0.0019076953367926244	3.923919336192476e-06
0.0028917172706714594	0.0005757776360361009	0.0020222834051209287	4.421150056786819e-06
0.0029835102303665765	0.0006215216950684982	0.002143596836678131	4.981296615657309e-06
0.0030782170113868444	0.0006710181762511508	0.002272015481747254	5.6123197421586275e-06
0.003175930108349967	0.0007245817953559495	0.0024079392383048975	6.323190153529621e-06
0.003276744951967989	0.0007825539260546378	0.0025517889758731207	7.124017624571117e-06
0.0033807600022489367	0.0008453048477731772	0.0027040074887472207	8.026196784869886e-06
0.003488076844656992	0.0009132361788857533	0.002865060478113206	9.042571861672126e-06
0.0035988002893251234	0.0009867835098102103	0.0030354375623637925	1.0187622890242399e-05
0.003713038473417059	0.0010664192516071731	0.003215653314692923	1.1477676260493986e-05
0.003830902966738583	0.0011526557167856413	0.0034062483267940855	1.2931142865226128e-05
0.003952508880701288	0.0012460484501798715	0.003607790297205124	1.4568787568803095e-05
0.00407797498074521	0.0013471998289870189	0.003820875142529642	1.6414034234023564e-05
0.00420742380233015	0.001456762952343014	0.004046128129420315	1.8493311139005474e-05
0.004340981770608941	0.0015754458421658466	0.004284205024830087	2.083644229637702e-05
0.004478779323899557	0.0017040159784104606	0.004535793261621034	2.3477090966844936e-05
0.004620951041076656	0.0018433051933570263	0.004801613116165146	2.6453262553186144e-05
