r	P	Q	rho
0.0001020901060467495	4.782047949536926e-13	-2.88847762495735e-14	2.2951415621569106e-25
0.00010533079388461807	5.413558777145e-13	-3.269890966653983e-14	2.9413540502941718e-25
0.0001086743521971015	6.128455809940187e-13	-3.7016611378795104e-14	3.7694993566186513e-25
0.0001121240464435951	6.937747838054941e-13	-4.190435341865757e-14	4.830794254797959e-25
0.00011568324574030244	7.853896761359089e-13	-4.74373801546448e-14	6.190872484168041e-25
0.00011935542615065572	8.891009069282067e-13	-5.370086396627663e-14	7.933842054912842e-25
0.00012314417408018505	1.006505363309439e-12	-6.079121968738449e-14	1.0167486187617454e-24
0.00012705318977915278	1.1394106737848762e-12	-6.881758334049205e-14	1.3029925433117312e-24
0.00013108629095637324	1.2898630325467634e-12	-7.7903491338644e-14	1.669815596693483e-24
0.00013524741650774733	1.4601786810277552e-12	-8.818878022215544e-14	2.1398990414850263e-24
0.00013954063036315364	1.6529795347058213e-12	-9.983173651325043e-14	2.7423077177715245e-24
0.00014397012545545288	1.871233510869083e-12	-1.1301153011559247e-13	3.514286458138502e-24
0.00014854022781548223	2.11830017454452e-12	-1.2793096850406825e-13	4.503561962177733e-24
0.00015325540079703866	2.3979824036111487e-12	-1.4481961395913876e-13	5.7712923286159755e-24
0.00015812024943597734	2.714584866682111e-12	-1.6393731168976396e-13	7.395846440583602e-24
0.00016313952494768336	3.0729802115635025e-12	-1.855781829650513e-13	9.477646642653478e-24
0.00016831812936730768	3.478683980408423e-12	-2.1007514450278946e-13	1.2145373801888056e-23
0.00017366112033730078	3.9379394015077145e-12	-2.3780502342384584e-13	1.5563917959112552e-23
0.00017917371604691846	4.457813359072163e-12	-2.69194346201128e-13	1.9944565540348892e-23
0.00018486130032852432	5.046305013703581e-12	-3.047258903507653e-13	2.555805215957997e-23
0.00019072942791566663	5.712468740131928e-12	-3.4494609928819253e-13	3.27512869183986e-23
0.0001967838298680644	6.466553268174047e-12	-3.9047347398086273e-13	4.1968780704015134e-23
0.00020303041916880043	7.320159161096995e-12	-4.4200806997373596e-13	5.378010127771417e-23
0.00020947529649918928	8.286417046433902e-12	-5.003422452710527e-13	6.891504982983324e-23
0.0002161247561969584	9.380189332088238e-12	-5.663728236856706e-13	8.830873008123165e-23
0.0002229852924035627	1.0618298500120917e-11	-6.411148599064965e-13	1.1315929130126305e-22
0.00023006360540663557	1.2019785477426188e-11	-7.257172170145193e-13	1.4500190840241678e-22
0.00023736660818377117	1.3606202042767876e-11	-8.214801948708596e-13	1.858035637391858e-22
0.0002449014331540284	1.5401941750380333e-11	-9.298754791270701e-13	2.3808447808879057e-22
0.00025267543914375093	1.743461443946994e-11	-1.0525687160445437e-12	3.050736815549694e-22
0.0002606962185735058	1.9735470065453196e-11	-1.1914450583944713e-12	3.9090832003157177e-22
0.00026897160487315965	2.2339878342779637e-11	-1.3486380730507706e-12	5.008889890222767e-22
0.00027750968013233603	2.5287871542183558e-11	-1.5265624521735509e-12	6.418068400543632e-22
0.00028631878299372246	2.8624758750158385e-11	-1.727951027887729e-12	8.223626282595472e-22
0.00029540751679693925	3.24018209900186e-11	-1.9558966559693225e-12	1.053703535198042e-21
0.0003047847579809226	3.667709783869149e-11	-2.2138996082545026e-12	1.3501108573443774e-21
0.0003144596647530264	4.151627757011394e-11	-2.5059211974069097e-12	1.7298809443263588e-21
0.00032444168603331286	4.699370443599999e-11	-2.836444452586588e-12	2.2164536737507344e-21
0.00033474057068276427	5.319351848175992e-11	-3.2105427718941623e-12	2.839857993359496e-21
0.00034536637702442947	6.021094531658778e-11	-3.6339575988382824e-12	3.6385635837472786e-21
0.00035632948266680465	6.815375554282309e-11	-4.1131863073255915e-12	4.661852696189661e-21
0.00036764059463904154	7.714391613525971e-11	-4.655581634871736e-12	5.9728582370429384e-21
0.00037931075984788096	8.731945898526046e-11	-5.269464179219407e-12	7.65245517021466e-21
0.00039135137586652656	9.883659513157949e-11	-5.964249671969473e-12	9.80424481135335e-21
0.00040377420206599217	1.1187210693969678e-10	-6.750592967171594e-12	1.2560938816535378e-20
0.0004165913710997981	1.266260547207413e-10	-7.640550936456719e-12	1.6092535752752762e-20
0.0004298154007532288	1.43324839063585e-10	-8.647766749038594e-12	2.0616793362348318e-20
0.00044345920616872873	1.62224665561597e-10	-9.787678339072324e-12	2.6412640763841137e-20
0.0004575361124593712	1.8361546473040899e-10	-1.1077754229300522e-11	3.383735552692885e-20
0.00047205986772272434	2.078253268270009e-10	-1.2537760294136452e-11	4.3348561903942965e-20
0.0004870446564678192	2.352255190975836e-10	-1.4190061513535408e-11	5.553240268048559e-20
0.0005025051134683377	2.6623616181975155e-10	-1.6059963298198002e-11	7.11396162816524e-20
0.0005184563380555459	3.0133264949608447e-10	-1.8176097564746165e-11	9.113173617501326e-20
0.0005349139088649357	3.4105291485188223e-10	-2.05708594154494e-11	1.1674025098605542e-19
0.0005518938990509732	3.860056460585838e-10	-2.328090104094297e-11	1.4954235914238284e-19
0.0005694128919848169	4.368795820381271e-10	-2.6347690327558985e-11	1.9155796998740557e-19
0.0005874879974503335	4.944540270183258e-10	-2.981814262624008e-11	2.4537390646431805e-19
0.0006061368683542313	5.596107439495079e-10	-3.3745335242032525e-11	3.143029323943189e-19
0.0006253777179666295	6.333474072339401e-10	-3.81893154482336e-11	4.0258736206435905e-19
0.0006452293377089033	7.167928187733683e-10	-4.321801423587464e-11	5.15659741799563e-19
0.0006657111155061729	8.112241179578463e-10	-4.890827959820397e-11	6.604765893697419e-19
