r	P	Q	rho
0.0001020901060467495	2.292953240368413e-05	-2.802665584411339e-06	5.336183906296443e-10
0.00010533079388461807	2.4360881184599664e-05	-2.9776380414782783e-06	6.023188603962405e-10
0.0001086743521971015	2.588149161365366e-05	-3.163523982873884e-06	6.79859492137843e-10
0.0001121240464435951	2.749692169370512e-05	-3.3610031319992453e-06	7.673770446830599e-10
0.00011568324574030244	2.9213074684260905e-05	-3.570797453215917e-06	8.661543269600986e-10
0.00011935542615065572	3.103622046214429e-05	-3.7936737671260648e-06	9.77638941226204e-10
0.00012314417408018505	3.297301822511665e-05	-4.030446530234276e-06	1.1034644301069523e-09
0.00012705318977915278	3.503054055037567e-05	-4.28198077934366e-06	1.2454741306461826e-09
0.00013108629095637324	3.721629895778577e-05	-4.549195263892929e-06	1.405748085664312e-09
0.00013524741650774733	3.953827103876804e-05	-4.833065766355725e-06	1.5866334014370034e-09
0.00013954063036315364	4.200492924953899e-05	-5.134628629159841e-06	1.790778492418164e-09
0.00014397012545545288	4.4625271471664085e-05	-5.454984497172193e-06	2.0211717097841054e-09
0.00014854022781548223	4.7408853446577526e-05	-5.79530229036254e-06	2.281184913755747e-09
0.00015325540079703866	5.0365823197817526e-05	-6.156823420135573e-06	2.574622621020544e-09
0.00015812024943597734	5.350695756141168e-05	-6.540866264245786e-06	2.905777438965459e-09
0.00016313952494768336	5.684370095197915e-05	-6.948830915951234e-06	3.279492589016515e-09
0.00016831812936730768	6.03882064997046e-05	-7.382204224026184e-06	3.701232423456195e-09
0.00017366112033730078	6.415337970134246e-05	-7.842565141233834e-06	4.1771619550991155e-09
0.00017917371604691846	6.8152924736877e-05	-8.331590399906612e-06	4.714236548782237e-09
0.00018486130032852432	7.240139361241206e-05	-8.85106053438618e-06	5.3203030696027905e-09
0.00019072942791566663	7.691423829932355e-05	-9.40286627124344e-06	6.0042139472800175e-09
0.0001967838298680644	8.170786604970119e-05	-9.98901530943383e-06	6.775955801248016e-09
0.00020303041916880043	8.679969807866565e-05	-1.0611639513848082e-05	7.646794479719376e-09
0.00020947529649918928	9.220823181529994e-05	-1.1273002547097934e-05	8.62943860093097e-09
0.0002161247561969584	9.795310693571129e-05	-1.1975507965833238e-05	9.738223949398627e-09
0.0002229852924035627	0.00010405517540417592	-1.272170780942589e-05	1.0989321377982225e-08
0.00023006360540663557	0.0001105365757614437	-1.351431171048134e-05	1.2400971202073436e-08
0.00023736660818377117	0.0001174208119131332	-1.4356196558354445e-05	1.3993747449961512e-08
0.0002449014331540284	0.00012473283668576005	-1.525041674865776e-05	1.579085575868423e-08
0.00025267543914375093	0.00013249914043335806	-1.6200215053662053e-05	1.781846918336364e-08
0.0002606962185735058	0.00014074784499390534	-1.7209034150505477e-05	2.010610672682167e-08
0.00026897160487315965	0.00014950880331190337	-1.8280528846255485e-05	2.268706000265619e-08
0.00027750968013233603	0.0001588137050615153	-1.941857904111054e-05	2.5598874127341828e-08
0.00028631878299372246	0.0001686961886236932	-2.0627303473393795e-05	2.8883889704744157e-08
0.00029540751679693925	0.00017919195979076264	-2.1911074292483207e-05	3.258985363030501e-08
0.0003047847579809226	0.0001903389175930272	-2.3274532508448386e-05	3.6770607413972016e-08
0.0003144596647530264	0.00020217728766415852	-2.472260436993017e-05	4.1486862814068e-08
0.00032444168603331286	0.0002147497635854984	-2.6260518724711025e-05	4.6807075803718353e-08
0.00033474057068276427	0.0002281016566739616	-2.7893825420488807e-05	5.280843127399456e-08
0.00034536637702442947	0.00024228105470405865	-2.962841480659165e-05	5.9577952432462515e-08
0.00035632948266680465	0.00025733899008169146	-3.1470538400762635e-05	6.721375060349877e-08
0.00036764059463904154	0.00027332961801588006	-3.342683078870871e-05	7.582643310128387e-08
0.00037931075984788096	0.0002903104052645032	-3.5504332827855185e-05	8.554068905439121e-08
0.00039135137586652656	0.00030834233006153645	-3.771051623068252e-05	9.649707554216205e-08
0.00040377420206599217	0.00032749009386620685	-4.0053309607154805e-05	1.0885402919098358e-07
0.0004165913710997981	0.0003478223456090008	-4.2541126050085386e-05	1.2279013151055644e-07
0.0004298154007532288	0.0003694119191456348	-4.518289235183364e-05	1.3850665976813844e-07
0.00044345920616872873	0.0003923360846679583	-4.798807994549525e-05	1.562304591494386e-07
0.0004575361124593712	0.0004166768148603863	-5.0966737668743925e-05	1.7621717639079122e-07
0.00047205986772272434	0.000442521066631884	-5.412952645371408e-05	1.9875490004712366e-07
0.0004870446564678192	0.0004699610792968192	-5.748775605178808e-05	2.2416825814970106e-07
0.0005025051134683377	0.0004990946901231986	-6.1053423907877e-05	2.5282303028004655e-07
0.0005184563380555459	0.0005300256682139628	-6.483925630476624e-05	2.8513133812381297e-07
0.0005349139088649357	0.0005628640677361728	-6.885875190434591e-05	3.215574864623352e-07
0.0005518938990509732	0.0005977266015641183	-7.312622781906516e-05	3.626245354124361e-07
0.0005694128919848169	0.0006347370364556545	-7.765686835374675e-05	4.08921694651018e-07
0.0005874879974503335	0.0006740266109364419	-8.246677656498025e-05	4.6111264148748406e-07
0.0006061368683542313	0.0007157344771242661	-8.757302879268042e-05	5.199448771162702e-07
0.0006253777179666295	0.0007600081677852378	-9.299373232606045e-05	5.862602493522052e-07
0.0006452293377089033	0.0008070040899754495	-9.874808637422793e-05	6.610067857996754e-07
0.0006657111155061729	0.000856888046685555	-0.00010485644651986693	7.452519989293597e-07
0.0006868430547223676	0.00090983578797174	-0.00011134039284302504	8.401978441525961e-07
0.0007086457936963482	0.0009660335931246312	-0.00011822280191087822	9.471975339369442e-07
0.0007311406258981765	0.0010256788854977798	-0.00012552792283849402	1.0677744355681146e-06
0.0007543495207252114	0.0010889808816893865	-0.00013328145763505638	1.2036433076343187e-06
0.0007782951449583443	0.0011561612768448352	-0.00014151064605974	1.3567341610237248e-06
0.0008030008848993302	0.0012274549679232227	-0.0001502443552214255	1.5292190645553015e-06
0.0008284908692108298	0.0013031108168482892	-0.00015951317416671267	1.7235422537197554e-06
0.000854789992481475	0.0013833924555427862	-0.00016934951371120553	1.942453943846922e-06
0.0008819239395389693	0.0014685791349251785	-0.00017978771177979124	2.1890482968445986e-06
0.0009099192105349688	0.0015589666200283665	-0.00019086414453258851	2.4668060440308262e-06
0.0009388031468262422	0.0016548681334816165	-0.00020261734356438185	2.779642327126016e-06
0.0009686039576773873	0.001756615349678714	-0.0002150881194766416	3.1319603858668684e-06
0.0009993507478111843	0.0018645594420371467	-0.00022831969213263408	3.5287117947054167e-06
0.0010310735458334878	0.001979072185834432	-0.00024235782791759124	3.97546403349641e-06
0.0010638033335604248	0.0021005471191880305	-0.0002572509843374003	4.4784762688716954e-06
0.0010975720762765372	0.0022294007648240403	-0.0002730504623007228	5.044784325160654e-06
0.0011324127539534196	0.002366073915356447	-0.00028981056644079763	5.682295937350924e-06
0.0011683593934593442	0.0025110329848722825	-0.00030758877384435087	6.399897504911676e-06
0.0012054471017913283	0.0026647714296879317	-0.00032644591156593664	7.207573705659179e-06
0.0012437121003621033	0.00282781124120695	-0.00034644634331657974	8.116541484693821e-06
0.0012831917603754622	0.0030007045138692235	-0.00036765816572566673	9.139400106379895e-06
0.0013239246393245514	0.003184035091233805	-0.0003901534145845239	1.0290299149120228e-05
0.001365950518648733	0.0033784202932822067	-0.00041400828148889057	1.1585126535202416e-05
0.0014093104425858104	0.0035845127280636664	-0.00043930334130539415	1.3041718923332511e-05
0.0014540467582575523	0.003803002190827549	-0.00046612379089399166	1.4680097051876523e-05
0.0015002031570276711	0.0040346176537987095	-0.0004945596995239809	1.6522728908737454e-05
0.0015478247171726409	0.004280129349747489	-0.0005247062714253888	1.8594823921843e-05
0.0015969579479070354	0.0045403509524847945	-0.0005566641209201	2.0924661715249328e-05
0.0016476508348063793	0.0048161418573722135	-0.0005905395605777328	2.3543959362940016e-05
0.0016999528866718748	0.005108409564874703	-0.0006264449028397374	2.648828149879724e-05
0.001753915183882776	0.005418112170096124	-0.00066449877555118	2.979749811045275e-05
0.0018095904282836304	0.00574626096112294	-0.0007048264518328463	3.351629536052882e-05
0.0018670329946551133	0.006093923128855106	-0.0007475601947162997	3.769474534511947e-05
0.0019262989838187208	0.006462224590822034	-0.0007928396169509566	4.238894132043194e-05
0.0019874462774271866	0.006852352931261421	-0.0008408120563746761	4.7661705608712006e-05
0.002050534594494132	0.007265560459475357	-0.0008916329672173104	5.35833781385205e-05
0.0021156255497181663	0.007703167388166699	-0.0009454663276796611	6.023269438689103e-05
0.002182782713658383	0.008166565133094099	-0.0010024850640977167	6.769776237680725e-05
0.002252071674820038	0.008657219734960685	-0.0010628714919633814	7.607714934782122e-05
0.0023235601037110373	0.00917667540396331	-0.0011268177740274537	8.548108976556936e-05
0.0023973178189317943	0.009726558186869877	-0.0011945263956576746	9.603282747248833e-05
0.002473416855363006	0.010308579755854697	-0.0012662106575635382	0.00010787010601214476
0.0025519315345179437	0.010924541317598372	-0.0013420951859293795	0.00012114682248800881
0.0026329385371279567	0.011576337640341827	-0.0014224164599171943	0.00013603486174863834
0.0027165169780321006	0.012265961195664338	-0.0015074233564097907	0.00015272612922899307
0.0028027484834440043	0.01299550641072454	-0.0015973777117621892	0.0001714348024252172
0.0028917172706714594	0.013767174025550864	-0.0016925549002137082	0.0001923998227400398
0.0029835102303665765	0.014583275548683564	-0.0017932444284836798	0.00021588765130911965
0.0030782170113868444	0.015446237803043418	-0.001899750545929168	0.0002421953144049257
0.003175930108349967	0.016358607552320537	-0.002012392869482056	0.0002716537661119807
0.003276744951967989	0.01732305619642805	-0.002131507022404209	0.0003046315981711627
0.0033807600022489367	0.018342384522637215	-0.0022574452857016527	0.00034153912919421785
0.003488076844656992	0.019419527496888415	-0.0023905772608204443	0.000382832907842357
0.0035988002893251234	0.020557559077443097	-0.0025312905420066195	0.0004290206670306152
0.003713038473417059	0.021759697030489664	-0.002679991396448734	0.0004806667687437399
0.003830902966738583	0.023029307724526563	-0.0028371054500324214	0.0005383981816055424
0.003952508880701288	0.024369910877302427	-0.003003078376220469	0.0006029110359013861
0.00407797498074521	0.025785184225780022	-0.003178376585227424	0.0006749778032749369
0.00420742380233015	0.027278968085991423	-0.003363487910282914	0.0007554551507591579
0.004340981770608941	0.028855269765749186	-0.0035589222873710627	0.0008452925211017055
0.004478779323899557	0.030518267788956395	-0.003765212424392752	0.000945541493439255
0.004620951041076656	0.03227231588569942	-0.003982914455221305	0.001057365980183978
0.0047676357730069546	0.03412194669739584	-0.004212608573608805	0.0011820533174143656
0.004918976778156814	0.03607187514098949	-0.004454899641347994	0.0013210263070016178
0.005075121862504469	0.03812700137052048	-0.0047104177645019805	0.0014758562690238067
0.0052362235238935535	0.040292413268335256	-0.004979818830879425	0.0016482771625747003
0.005402439100968894	0.04257338839172973	-0.005263785001255022	0.001840200831692505
0.005573930926840036	0.044975395293923616	-0.005563025146113091	0.0020537334306209728
0.005750866487622569	0.047504094130940366	-0.00587827521892472	0.0022911930787506674
0.005933418586012105	0.050165336458207456	-0.006210298556155859	0.0025551287901217495
0.0061217655100506375	0.0529651641124939	-0.006559886093344616	0.0028483407150210675
0.006316091207250127	0.055909807066168354	-0.006927856485680907	0.00317390172166236
0.006516585464243368	0.05900568013169744	-0.007315056120571192	0.0035351803338513
0.006723444092137574	0.06225937838482233	-0.007722359008676419	0.003935865025523368
0.006936869117751731	0.06567767116497118	-0.008150666538874198	0.00437998985468201
0.007157068980924465	0.06926749450121095	-0.008600907081519237	0.004871961397100217
0.007384258738085138	0.07303594180144901	-0.00907403542326228	0.005416586913687266
0.007618660272286984	0.07699025263170813	-0.009571032015541693	0.0060191036541367635
0.007860502509907413	0.08113779940117066	-0.010092902017688326	0.0066852091628032675
0.008110021644227125	0.08548607175739045	-0.010640674114390134	0.007421092410118362
0.008367461366106369	0.09004265848468168	-0.011215399086055622	0.008233465523648516
0.008633073101983682	0.09481522668731389	-0.011818148109403915	0.009129595836502528
0.008907116259429493	0.09981149802788244	-0.012450010764404702	0.010117337906603774
0.009189858480494445	0.1050392217802218	-0.01311209272250598	0.011205165087758217
0.009481575903099865	0.1105061444456347	-0.0138055130899361	0.012402200151915876
0.009782553430725635	0.1162199756712085	-0.014531401378765067	0.013718244371047069
0.010093085010658906	0.1221883501997757	-0.015290894077377952	0.015163804366228616
0.010413473921075335	0.1284187855728889	-0.016085130791071156	0.01675011592058149
0.010744033067233308	0.1349186353012703	-0.016915249922654738	0.01848916383150305
0.011085085287070333	0.1416950372118675	-0.01778238386225757	0.02039369674629719
0.011436963666500112	0.1487548566772142	-0.01868765365501665	0.022477235784188393
0.011800011864718256	0.156104624431623	-0.01963216311502092	0.024754075597512862
0.012174584449834254	0.1637504686802361	-0.0206169923538096	0.027239276366714027
0.01256104724515758	0.1716980412115464	-0.02164319069193612	0.029948645059209394
0.0129597776864761	0.1799524372321835	-0.022711768922644447	0.032898704113398534
0.013371165190675688	0.1885181086550329	-0.023823690897613443	0.03610664553885583
0.013795611536061124	0.1973987705887073	-0.024979864406058344	0.03959026825567816
0.014233531254749634	0.2065973007986103	-0.026181131320291776	0.04336789633448183
0.014685352037520366	0.2161156319379848	-0.027428256983200294	0.04745827564909099
0.015151515151515152	0.2259546363820978	-0.02872191881604885	0.051880446323041736
0.015632475871198526	0.236114003540826	-0.030062694128651823	0.05665358824635007
0.016128703922997867	0.2465921095751121	-0.031451047118315915	0.06179683686954262
0.016640683944057967	0.2573858795018724	-0.03288731504913874	0.0673290664580937
0.017168915955557973	0.2684906417407382	-0.0343716936093136	0.07326863802392597
0.017713915851053096	0.2798999752353635	-0.03590422145111965	0.07963310925476813
0.018276215900317888	0.2916055493727183	-0.03748476392634496	0.08643890395157867
0.018856365269183262	0.3035969570266628	-0.03911299603907105	0.09370093877500171
0.01945493055587487	0.3158615411679234	-0.04078838464811278	0.10143220551117818
0.020072496344376748	0.3283842156121332	-0.04251016996302453	0.10964330761348123
0.02070966577536055	0.3411472806215145	-0.044277346390509134	0.1183419504788395
0.021367061135238043	0.3541302342346796	-0.04608864280235215	0.12753238579447185
0.022045324463912136	0.3673095803733557	-0.047942502311682775	0.13721481136195637
0.022745118181820043	0.3806586349649321	-0.04983706166145739	0.1473847290884133
0.023467125736880805	0.3941473315257131	-0.051770130347567646	0.15803226534504453
0.024212052271979288	0.4077420278715508	-0.05373916961886871	0.16914145964413005
0.024980625313638306	0.4214053158597695	-0.05574127151764964	0.18068952958527643
0.025773595482551526	0.4350958363183274	-0.05777313814653767	0.19264612227284367
0.02659173722667119	0.4487681015839615	-0.05983106137141608	0.20497256490410296
0.027435849577566472	0.4623723283492152	-0.0619109031944708	0.21762112995742963
0.02830675693079125	0.4758542838068732	-0.0640080770567471	0.23053433334585471
0.029205309851023403	0.4891551483770373	-0.06611753035532614	0.2436442870040488
0.030132385902762	0.5022113986039308	-0.0682337284860984	0.2568721305908309
0.031088890507393583	0.5149547141129599	-0.07035064074873704	0.2701275702409181
0.03207575782746477	0.5273119128193885	-0.07246172847541885	0.2833085554948877
0.033093951679024514	0.5392049188732747	-0.07455993576860957	0.29630112855895396
0.034144466472927404	0.5505507681054594	-0.07663768325526678	0.308979482756246
0.03522832818601698	0.5612616559999423	-0.07868686528451736	0.3212062692641013
0.03634659536313785	0.5712450334517729	-0.08069885101258198	0.33283319279806806
0.037500360150954926	0.5804037557685771	-0.08266448983176032	0.34370193758941525
0.0386907493645898	0.5886362905292957	-0.08457412160893975	0.35364546457401314
0.03991892558811563	0.5958369900159807	-0.08641759220261569	0.3624897189134014
0.041186088309985526	0.601896433973308	-0.08818427472507916	0.37005578353857305
0.04249347509450344	0.6067018484147235	-0.08986309700751564	0.37616250907362436
0.04384236279048123	0.6101376060721878	-0.0914425757095746	0.3806296429959015
0.04523406877826297	0.6120858138660734	-0.09291085749085937	0.38328147097578025
0.0466699522563338	0.6124269924402043	-0.0942557676291524	0.3839509708007148
0.04815141556877028	0.6110408523513333	-0.09546486642849843	0.38248446396445496
0.04967990557482838	0.6078071709093839	-0.09652551370904819	0.37874673180566465
0.051256915062007115	0.6026067729214893	-0.09742494160942826	0.3726265420184519
0.052883984203967296	0.5953226176864752	-0.09815033586101875	0.36404250755870793
0.054562702064729934	0.5858409935048289	-0.0986889256116225	0.35294917370910134
0.056294708150622784	0.5740528197011637	-0.09902808178338256	0.33934320078855307
0.05808169401149106	0.5598550546919409	-0.09915542384626243	0.32326948034224806
0.05992540489273602	0.5431522069628214	-0.09905893477377936	0.30482699248709944
0.06182764143979485	0.5238579439420161	-0.09872708382182771	0.2841741825111187
0.06379026145672667	0.5018967916661193	-0.09814895663419389	0.26153360717312485
0.06581518172062185	0.477205915834775	-0.09731439202962837	0.23719557700380256
0.06790437985360703	0.4497369723466656	-0.09621412466502711	0.21152050208060283
0.07005989625427395	0.4194580127140846	-0.09483993259742254	0.18493963724513282
0.07228383609041822	0.3863554268860643	-0.09318478858432255	0.15795392070781783
0.0745783713550347	0.3504359029980566	-0.09124301376800989	0.1311306096715326
0.07694574298757699	0.3117283804461243	-0.08901043218573355	0.10509744021345467
0.07938826306255287	0.2702859695024216	-0.08648452433595039	0.08053407825947959
0.08190831704759342	0.2261878075046337	-0.08366457781342171	0.05816068584445132
0.0845083661332009	0.179540818535203	-0.08055183280662803	0.03872350328879766
0.08719094963645047	0.1304813405391253	-0.07714962003449806	0.022977444100354606
0.08995868748099405	0.0791765811065815	-0.07346348849218037	0.011665815137167797
0.09281428275578767	0.025825860774839407	-0.06950132018541091	0.005497408592276395
0.09576052435504158	-0.02933839920122853	-0.0652734288694339	0.005121362184063693
0.0988002897019714	-0.08604998897540599	-0.0607926396823989	0.011100345642221471
0.1019365475590104	-0.1440085670951566	-0.05607434648690952	0.023882799730734202
0.1051723609272278	-0.2028797070580153	-0.05113654371997671	0.043775121639571195
0.1085108900377835	-0.2622953769339284	-0.04599982961427984	0.07091484908545437
0.1119553954383431	-0.3218548932497258	-0.04068737780502118	0.10524603502144095
0.1155092411774656	-0.3811263868587156	-0.035224874587910085	0.14649811454971332
0.1191758980900741	-0.4396488137997096	-0.029640419453485937	0.19416963394087033
0.1229589471872188	-0.4969345381449332	-0.02396438699597415	0.2475182270454109
0.1268620831534434	-0.5524725065399381	-0.018229248881357032	0.3055581759973004
0.1308891179551682	-0.6057320255851637	-0.012469355253939928	0.3670667716399544
0.1350439845636172	-0.6561671434745598	-0.006720675751833136	0.43060048765812486
0.1393307407959226	-0.7032216265104266	-0.0010205011714745887	0.49452169741461094
0.1437535732781594	-0.7463345094143029	0.004592892254542324	0.55703629460195
0.1483168015341802	-0.7849461859458615	0.010080613052986858	0.6162421335904791
0.1530248822042432	-0.8185049934485598	0.015403555324981447	0.6701876938168767
0.1578824133975547	-0.8464742318053007	0.020522825430278183	0.7169398114740155
0.162894139182975	-0.8683395441626955	0.02540018897404304	0.754658733556595
0.1680649542222758	-0.883616573921881	0.029998531825322368	0.7816781616211179
0.1733999085504715	-0.8918588001416857	0.034282328332410586	0.7965873974260586
0.1789042125078963	-0.8926654418855556	0.038218109496377085	0.7983122150302114
0.1845832418288405	-0.8856893113781887	0.04177492363043004	0.7861907005338984
