r	P	Q	rho
0.0001020901060467495	1.190586657230324e-09	-9.617558650939907e-11	1.4267463318153039e-18
0.00010533079388461807	1.305922067086364e-09	-1.0549176335360723e-10	1.716560957438575e-18
0.0001086743521971015	1.4324271175779103e-09	-1.1571008263986964e-10	2.065236270397086e-18
0.0001121240464435951	1.5711831070510415e-09	-1.2691786727156218e-10	2.4847245009153263e-18
0.00011568324574030244	1.7233759551843062e-09	-1.392108876928069e-10	2.989404354159639e-18
0.00011935542615065572	1.8903063102202957e-09	-1.5269417781127286e-10	3.5965734583961295e-18
0.00012314417408018505	2.0734006637421245e-09	-1.6748293222437934e-10	4.327040844992758e-18
0.00012705318977915278	2.2742234938981487e-09	-1.837034863545504e-10	5.205839471097119e-18
0.00013108629095637324	2.4944906089697103e-09	-2.014943936511812e-10	6.263083388910934e-18
0.00013524741650774733	2.7360837744628615e-09	-2.2100760614260446e-10	7.534998782851823e-18
0.00013954063036315364	3.001066750774825e-09	-2.4240976894051326e-10	9.06516413868396e-18
0.00014397012545545288	3.291702879489231e-09	-2.6588363963467475e-10	1.0906001956663077e-17
0.00014854022781548223	3.6104743669338756e-09	-2.9162964464481927e-10	1.3120573003922234e-17
0.00015325540079703866	3.960103428594821e-09	-3.1986758569595926e-10	1.5784734437547418e-17
0.00015812024943597734	4.343575473693781e-09	-3.508385108818426e-10	1.898973555639194e-17
0.00016313952494768336	4.764164526421512e-09	-3.8480676615814343e-10	2.2845339882094198e-17
0.00016831812936730768	5.225461099214928e-09	-4.2206224463113133e-10	2.7483580237751554e-17
0.00017366112033730078	5.731402754155908e-09	-4.6292285267394515e-10	3.306327509787371e-17
0.00017917371604691846	6.286307611240304e-09	-5.077372137288949e-10	3.977546046134296e-17
0.00018486130032852432	6.894911087106753e-09	-5.568876326550383e-10	4.784992273451176e-17
0.00019072942791566663	7.562406175032101e-09	-6.107933456722926e-10	5.756305566728122e-17
0.0001967838298680644	8.294487606819788e-09	-6.699140833546807e-10	6.924730953876399e-17
0.00020303041916880043	9.097400269877074e-09	-7.347539767558989e-10	8.330255507671807e-17
0.00020947529649918928	9.977992288567442e-09	-8.058658396319307e-10	1.0020974986219701e-16
0.0002161247561969584	1.0943773218132318e-08	-8.838558628817742e-10	1.2054737343626066e-16
0.0002229852924035627	1.2002977842425944e-08	-9.693887607844985e-10	1.450111916553035e-16
0.00023006360540663557	1.3164636113753768e-08	-1.0631934123973088e-09	1.7443802423971493e-16
0.00023736660818377117	1.4438649824636541e-08	-1.1660690456262227e-09	2.0983432577764447e-16
0.0002449014331540284	1.5835876657764223e-08	-1.2788920160224406e-09	2.5241055430856775e-16
0.00025267543914375093	1.7368222322221046e-08	-1.4026232373307947e-09	3.036224985799977e-16
0.0002606962185735058	1.904874155176334e-08	-1.5383163262625167e-09	3.652209718255211e-16
0.00026897160487315965	2.0891748815071967e-08	-1.6871265299276184e-09	4.3931156448004654e-16
0.00027750968013233603	2.291293966908884e-08	-1.8503205108910326e-09	5.28426490272329e-16
0.00028631878299372246	2.512952377544736e-08	-2.0292870719647096e-09	6.356109712012172e-16
0.00029540751679693925	2.7560370697346683e-08	-2.225548910673211e-09	7.645271009289644e-16
0.0003047847579809226	3.022616970079421e-08	-2.440775501896724e-09	9.195787198318692e-16
0.0003144596647530264	3.314960490081889e-08	-2.6767972165722327e-09	1.1060615484190448e-15
0.00032444168603331286	3.635554722098876e-08	-2.9356207945969837e-09	1.3303436831872138e-15
0.00033474057068276427	3.98712647743884e-08	-3.219446301311178e-09	1.6000825891964115e-15
0.00034536637702442947	4.3726653427259086e-08	-3.5306857092298205e-09	1.9244859615249886e-15
0.00035632948266680465	4.795448947401568e-08	-3.871983260145827e-09	2.31462531508033e-15
0.00036764059463904154	5.2590706535683286e-08	-4.2462377774459786e-09	2.7838129491849702e-15
0.00037931075984788096	5.767469899442284e-08	-4.656627114586168e-09	3.3480550801815783e-15
0.00039135137586652656	6.324965449635079e-08	-5.106634943291552e-09	4.026596514351793e-15
0.00040377420206599217	6.936291829507013e-08	-5.600080104321394e-09	4.8425753315833905e-15
0.0004165913710997981	7.60663924711406e-08	-6.141148764721009e-09	5.82380977172403e-15
0.0004298154007532288	8.34169733502289e-08	-6.734429648542007e-09	7.0037439856039596e-15
0.00044345920616872873	9.147703075718621e-08	-7.384952633229587e-09	8.422584681546237e-15
0.0004575361124593712	1.0031493308730751e-07	-8.098231031451397e-09	1.0128667146149747e-14
0.00047205986772272434	1.1000562255226067e-07	-8.880307908293875e-09	1.2180096861656548e-14
0.0004870446564678192	1.2063124536961734e-07	-9.73780681671592e-09	1.4646722241024503e-14
0.0005025051134683377	1.3228184211481826e-07	-1.06779873701848e-08	1.761250516756753e-14
0.0005184563380555459	1.450561039463069e-07	-1.170880611080667e-08	2.1178369432622258e-14
0.0005349139088649357	1.5906220095233024e-07	-1.2838983174311166e-08	2.5465623260749733e-14
0.0005518938990509732	1.744186894557435e-07	-1.4078075300289958e-08	3.062007143561972e-14
0.0005694128919848169	1.912555057556551e-07	-1.5436555787487347e-08	3.6816955736431626e-14
0.0005874879974503335	2.0971505448690845e-07	-1.6925902050093003e-08	4.4266890238656325e-14
0.0006061368683542313	2.2995340054566078e-07	-1.855869149232389e-08	5.322299145242036e-14
0.0006253777179666295	2.5214157436761524e-07	-2.0348706485574413e-08	6.39894433802157e-14
0.0006452293377089033	2.764670012612504e-07	-2.2311049305570477e-08	7.693178570750382e-14
0.0006657111155061729	3.031350664986848e-07	-2.4462267966840556e-08	9.248927109524359e-14
0.0006868430547223676	3.3237082895927004e-07	-2.6820493979018597e-08	1.1118970684035091e-13
0.0007086457936963482	3.6442089731392613e-07	-2.940559314467537e-08	1.336672793072773e-13
0.0007311406258981765	3.9955548404066885e-07	-3.223933062225036e-08	1.6068395926594395e-13
0.0007543495207252114	4.38070653983549e-07	-3.5345551590999104e-08	1.9315520589884627e-13
0.0007782951449583443	4.802907857190163e-07	-3.8750378978522253e-08	2.321808307175692e-13
0.0008030008848993302	5.265712656871328e-07	-4.248242984631448e-08	2.790820546929961e-13
0.0008284908692108298	5.773014368926985e-07	-4.6573052175853575e-08	3.3544599822734913e-13
0.000854789992481475	6.329078259968837e-07	-5.1056583958116654e-08	4.031790909735738e-13
0.0008819239395389693	6.938576748182421e-07	-5.597063666422332e-08	4.845711850727759e-13
0.0009099192105349688	7.606628046590967e-07	-6.135640536542715e-08	5.823725108712097e-13
0.0009388031468262422	8.338838444867042e-07	-6.725900797827081e-08	6.998860402501469e-13
0.0009686039576773873	9.141348568472384e-07	-7.372785633686448e-08	8.410783333031505e-13
0.0009993507478111843	1.0020883984949683e-06	-8.081706204054081e-08	1.010712555915075e-12
0.0010310735458334878	1.0984810561012355e-06	-8.858588029330975e-08	1.2145080888006264e-12
0.0010638033335604248	1.204119501091986e-06	-9.709919524345316e-08	1.4593320266269396e-12
0.0010975720762765372	1.3198871116746238e-06	-1.0642805064927625e-07	1.753428917529786e-12
0.0011324127539534196	1.446751214482928e-06	-1.1665023004265057e-07	2.10669635277683e-12
0.0011683593934593442	1.585771003023038e-06	-1.2785089093788946e-07	2.531015524342304e-12
0.0012054471017913283	1.7381061952768202e-06	-1.401232580422205e-07	3.0406476735040304e-12
0.0012437121003621033	1.9050264984465915e-06	-1.5356938086839162e-07	3.652709514523982e-12
0.0012831917603754622	2.087921954945368e-06	-1.6830096163269725e-07	4.3877433036293785e-12
0.0013239246393245514	2.2883142503905165e-06	-1.8444025984610088e-07	5.270400317992409e-12
0.001365950518648733	2.5078690715901794e-06	-2.021210805755433e-07	6.3302602114516134e-12
0.0014093104425858104	2.7484096103686835e-06	-2.2148985397061217e-07	7.602813141778862e-12
0.0014540467582575523	3.0119313176104743e-06	-2.427068143214045e-07	9.130636859720813e-12
0.0015002031570276711	3.3006180211668365e-06	-2.659472876408293e-07	1.0964807281454798e-11
0.0015478247171726409	3.616859531324805e-06	-2.9140309755324697e-07	1.3166588634598713e-11
0.0015969579479070354	3.963270868446319e-06	-3.1928410012602027e-07	1.5809458313268522e-11
0.0016476508348063793	4.342713259215613e-06	-3.498198592063606e-07	1.898153238566225e-11
0.0016999528866718748	4.7583170607563855e-06	-3.8326147482826323e-07	2.2788470608772824e-11
0.001753915183882776	5.213506785774883e-06	-4.198835783391268e-07	2.7356955224679625e-11
0.0018095904282836304	5.712028416933172e-06	-4.5998650906903924e-07	3.2838856224377606e-11
0.0018670329946551133	6.257979214946587e-06	-5.038986886342386e-07	3.94162177431108e-11
0.0019262989838187208	6.855840242524235e-06	-5.519792103368768e-07	4.7307226479658887e-11
0.0019874462774271866	7.510511845331103e-06	-6.046206626032929e-07	5.6773354324505654e-11
0.002050534594494132	8.227352351750181e-06	-6.62252207000318e-07	6.812790470552603e-11
0.0021156255497181663	9.012220275475038e-06	-7.253429330918703e-07	8.174623666426969e-11
0.002182782713658383	9.871520328985484e-06	-7.944055142548884e-07	9.807799372665225e-11
0.002252071674820038	1.0812253581876117e-05	-8.700001905735303e-07	1.1766172785039087e-10
0.0023235601037110373	1.1842072125950695e-05	-9.527391070829949e-07	1.4114238404238372e-10
0.0023973178189317943	1.2969338639102336e-05	-1.0432910379491627e-06	1.6929220092557788e-10
0.002473416855363006	1.4203191272414292e-05	-1.1423865296577863e-06	2.0303568930392908e-10
0.0025519315345179437	1.5553614319789755e-05	-1.2508234989577766e-06	2.434794778343139e-10
0.0026329385371279567	1.7031515166907336e-05	-1.3694733241682442e-06	2.919479660662031e-10
0.0027165169780321006	1.8648808056564988e-05	-1.4992874715295633e-06	3.500259048528887e-10
0.0028027484834440043	2.0418505250685887e-05	-1.641304701566394e-06	4.196092377956711e-10
0.0028917172706714594	2.2354816215588047e-05	-1.7966589039469506e-06	5.029657912498502e-10
0.0029835102303665765	2.4473255506740515e-05	-1.966587613079632e-06	6.028077019381233e-10
0.0030782170113868444	2.67907600823224e-05	-2.152441260697222e-06	7.223778291693111e-10
0.003175930108349967	2.9325816831646635e-05	-2.3556932259518334e-06	8.655528234180844e-10
0.003276744951967989	3.209860116508821e-05	-2.5779507480920663e-06	1.0369660268149908e-09
0.0033807600022489367	3.513112757674648e-05	-2.8209667716283613e-06	1.2421539783402686e-09
0.003488076844656992	3.844741315984575e-05	-3.086652799023776e-06	1.4877310041856016e-09
0.0035988002893251234	4.20736551280074e-05	-3.3770928313847416e-06	1.7815972118222935e-09
0.003713038473417059	4.603842347316791e-05	-3.694558483378437e-06	2.1331861982818414e-09
0.003830902966738583	5.0372869973215176e-05	-4.04152536467716e-06	2.553759956611772e-09
0.003952508880701288	5.511095484950104e-05	-4.420690826630988e-06	3.0567598518084017e-09
0.00407797498074521	6.028969246636398e-05	-4.834993179601341e-06	3.658224176735537e-09
0.00420742380233015	6.59494175617453e-05	-5.287632493450533e-06	4.377284734119233e-09
0.004340981770608941	7.213407359994874e-05	-5.78209310107383e-06	5.2367571747523065e-09
0.004478779323899557	7.889152494458333e-05	-6.322167932575146e-06	6.263842515449495e-09
0.004620951041076656	8.627389466170017e-05	-6.911984815715156e-06	7.490960434190814e-09
0.0047676357730069546	9.433792987998593e-05	-7.556034886586683e-06	8.956738677248457e-09
0.004918976778156814	0.00010314539675644004	-8.259203263075916e-06	1.0707187310584237e-08
0.005075121862504469	0.0001127635072219947	-9.02680214252256e-06	1.2797091717925101e-08
0.0052362235238935535	0.0001232653798116976	-9.86460649406272e-06	1.529166432140477e-08
0.005402439100968894	0.00013473053701792043	-1.0778892525382244e-05	1.8268502129210968e-08
0.005573930926840036	0.00014724544174202155	-1.1776479112972685e-05	2.181990557410134e-08
0.005750866487622569	0.00016090407555926413	-1.2864772394403136e-05	2.6055623900341178e-08
0.005933418586012105	0.00017580856165271707	-1.4051813730523164e-05	3.110610381951454e-08
0.0061217655100506375	0.00019206983541328925	-1.534633125480459e-05	3.7126331558670216e-08
0.006316091207250127	0.0002098083658437272	-1.6757795236107632e-05	4.430037407919058e-08
0.006516585464243368	0.00022915493104285655	-1.8296477489896915e-05	5.2846743509794645e-08
0.006723444092137574	0.0002502514511808327	-1.997351508119289e-05	6.302473012281133e-08
0.006936869117751731	0.00027325188250465764	-2.1800978570160445e-05	7.514187395895582e-08
0.007157068980924465	0.0002983231760333699	-2.379194505802173e-05	8.956277400828094e-08
0.007384258738085138	0.00032564630471141085	-2.5960576296721453e-05	1.0671946729385494e-07
0.007618660272286984	0.00035541736288361374	-2.8322202130227128e-05	1.2712364897264782e-07
0.007860502509907413	0.00038784874203250667	-3.089340953824255e-05	1.5138104944909548e-07
0.008110021644227125	0.00042317038677414104	-3.369213755414083e-05	1.8020833637554325e-07
0.008367461366106369	0.00046163113513791046	-3.673777832774211e-05	2.144529692851741e-07
0.008633073101983682	0.0005035001471536728	-4.005128459978381e-05	2.55116503581863e-07
0.008907116259429493	0.000549068425730192	-4.365528384813407e-05	3.033819199416925e-07
0.009189858480494445	0.0005986504337260367	-4.7574199355507006e-05	3.6064564624468937e-07
0.009481575903099865	0.0006525858109804488	-5.1834378434130975e-05	4.2855504348066275e-07
0.009782553430725635	0.0007112411948794017	-5.646422802392451e-05	5.090522463398168e-07
0.010093085010658906	0.0007750121477722946	-6.149435785662113e-05	6.044253852428231e-07
0.010413473921075335	0.0008443251942178405	-6.695773134826899e-05	7.173683713783012e-07
0.010744033067233308	0.000919639970613071	-7.288982434586884e-05	8.510506020423818e-07
0.011085085287070333	0.001001451489235432	-7.932879180980275e-05	1.0091981425018677e-06
0.011436963666500112	0.0010902925180920511	-8.631564246127434e-05	1.1961881651410081e-06
