r	P	Q	rho
9.908745586890391e-05	9.967265130790285e-05	-1.2559635192981153e-05	1.0092381854927558e-08
0.0001022328293585999	0.00010588257711488886	-1.3342085386736353e-05	1.138913137895735e-08
0.00010547804772071615	0.00011247902153276104	-1.4173231574078137e-05	1.2852410778219767e-08
0.00010882628037172466	0.00011948600580437184	-1.5056099586985196e-05	1.4503591717855596e-08
0.0001122807973361759	0.00012692904053357765	-1.5993902815262335e-05	1.6366786258038656e-08
0.00011584497244034232	0.0001348352176602726	-1.6990053785193454e-05	1.846919784911685e-08
0.0001195222866072384	0.00014323330820736468	-1.8048176463625356e-05	2.0841517253688082e-08
0.00012331633125623652	0.0001521538658508287	-1.9172119288767167e-05	2.3518369051374693e-08
0.00012723081181059757	0.00016162933695582616	-2.0365969029238703e-05	2.6538815259279903e-08
0.000131269551316343	0.0001716941773402578	-2.1634065472952587e-05	2.9946923321435896e-08
0.00013543649417600205	0.00018238497618907536	-2.298101702578125e-05	3.379240668302883e-08
0.00013973571000088072	0.00019374058756103	-2.441171726031297e-05	3.813134720809059e-08
0.00014417139758561513	0.00020580226994527308	-2.5931362478525507e-05	4.302700987461973e-08
0.00014874788900889045	0.0002186138343556432	-2.754547034759592e-05	4.85507615083469e-08
0.00015346965386433094	0.00023222180147909727	-2.9259899674186376e-05	5.4783106811140716e-08
0.00015834130362569267	0.0002466755684252904	-3.108087138579216e-05	6.181485662404028e-08
0.00016336759615062215	0.00026202758565679814	-3.3014990791927085e-05	6.974844526212171e-08
0.0001685534403273802	0.00027833354471375405	-3.506927120218777e-05	7.869941589557592e-08
0.00017390390086906792	0.00029565257738291967	-3.725115898278385e-05	8.879809535872394e-08
0.0001794242032600383	0.0003140474669995285	-3.956856013791765e-05	1.0019148248020794e-07
0.00018511973885932352	0.0003335848726107343	-4.202986850746516e-05	1.1304537708147465e-07
0.00019099607016606247	0.00035433556677229126	-4.464399567776593e-05	1.2754678022991727e-07
0.000197058936252071	0.0003763746877952921	-4.742040270798374e-05	1.4390660020599092e-07
0.0002033142583668602	0.00039978200730754346	-5.0369133780472816e-05	1.623627030046439e-07
