r	P	Q	rho
9.908745586890391e-05	5.241616770570162e-13	-3.262793999139848e-14	2.7581004616330608e-25
0.0001022328293585999	5.933484408972991e-13	-3.693428804889074e-14	3.534265139489341e-25
0.00010547804772071615	6.716663923618824e-13	-4.1808919096439204e-14	4.528837283444388e-25
0.00010882628037172466	7.603204659416087e-13	-4.732681198892601e-14	5.803270380627002e-25
0.0001122807973361759	8.606745653192921e-13	-5.35728358788133e-14	7.436307561316505e-25
0.00011584497244034232	9.742725010581602e-13	-6.064305255898448e-14	9.528844861417944e-25
0.0001195222866072384	1.1028618040375282e-12	-6.864619763646343e-14	1.2210164592548556e-24
0.00012331633125623652	1.2484205158896013e-12	-7.770534675623943e-14	1.5645919054085656e-24
0.00012723081181059757	1.413187608788168e-12	-8.795980759623051e-14	2.004836145384786e-24
0.000131269551316343	1.5996974017003193e-12	-9.95672602340728e-14	2.568945416317272e-24
0.00013543649417600205	1.8108185061263962e-12	-1.1270617917752457e-13	3.2917663449546292e-24
0.00013973571000088072	2.04979790825248e-12	-1.2757857468944276e-13	4.2179477573960325e-24
0.00014417139758561513	2.3203108615651643e-12	-1.4441309532697781e-13	5.4046976363991936e-24
0.00014874788900889045	2.6265173554724384e-12	-1.634685392526034e-13	6.925315381923312e-24
0.00015346965386433094	2.9731260265087278e-12	-1.8503782816208933e-13	8.87371736735452e-24
0.00015834130362569267	3.365466492456812e-12	-2.0945250473486234e-13	1.1370235063589267e-23
0.00016336759615062215	3.809571218842441e-12	-2.3708782253017426e-13	1.456904350702478e-23
0.0001685534403273802	4.3122681733021325e-12	-2.683685063193221e-13	1.8667678453658574e-23
0.00017390390086906792	4.881285688556908e-12	-3.03775271101497e-13	2.3919229388643274e-23
0.0001794242032600383	5.525371141694586e-12	-3.438521996564048e-13	3.064796058867988e-23
0.00018511973885932352	6.254425269013733e-12	-3.8921509161682305e-13	3.92693238332198e-23
0.00019099607016606247	7.079654175042075e-12	-4.4056091189872387e-13	5.031559715528372e-23
0.000197058936252071	8.013741365163136e-12	-4.986784831317113e-13	6.446873089726527e-23
0.0002033142583668602	9.071042437696627e-12	-5.644605857440327e-13	8.260242665935165e-23
0.00020976814572057728	1.0267805417951955e-11	-6.389176508635392e-13	1.0583604386550852e-22
0.00021642690145051672	1.1622420108992796e-11	-7.231932555257632e-13	1.3560365767475807e-22
0.00022329702877702865	1.3155700277589956e-11	-8.185816572025602e-13	1.7374252572328893e-22
0.00023038523735483668	1.489120299585623e-11	-9.265476357977182e-13	2.2260641718519986e-22
0.00023769844982596876	1.6855590026994006e-11	-1.048748946472388e-12	2.852107895108267e-22
0.0002452438085806995	1.907903678608579e-11	-1.1870617264977504e-12	3.654187602273307e-22
0.0002530286827331086	2.159569513369328e-11	-1.343609244389404e-12	4.681793341090323e-22
0.0002610606753180668	2.444421708225408e-11	-1.520794430540917e-12	5.9983256446432645e-22
0.0002693476307166791	2.7668347425373283e-11	-1.7213366862152945e-12	7.68500449238471e-22
0.00027789764231743653	3.1317594352230806e-11	-1.9483135329461226e-12	9.8458764163354e-22
0.00028671906042055875	3.544798829944228e-11	-2.2052077381320015e-12	1.2614228156457141e-21
0.0002958205003932484	4.0122940638885325e-11	-2.4959606359944866e-12	1.6160801850079495e-21
0.0003052108510838197	4.5414215322658715e-11	-2.8250324573723287e-12	2.0704317617580167e-21
0.0003148992835029214	5.140302832856881e-11	-3.197470588468944e-12	2.6524951395117712e-21
0.00032489525978033	5.8181291697439255e-11	-3.6189867992668137e-12	3.398159769035782e-21
0.0003352085424060639	6.585302115662435e-11	-4.096044618692739e-12	4.353397976973136e-21
0.0003458492037648398	7.453592881573047e-11	-4.635958187819097e-12	5.577096792742846e-21
0.0003568276359731873	8.436322523841731e-11	-5.247004096743541e-12	7.144684824619174e-21
0.0003681545610288257	9.548565838087766e-11	-5.938547907930221e-12	9.152777307684456e-21
0.00037984104128221697	1.0807382049134808e-10	-6.721187291687699e-12	1.1725125034206073e-20
0.00039189849024052185	1.2232075814022002e-10	-7.606913951456205e-12	1.5020233011863062e-20
0.0004043386837145098	1.3844492515852095e-10	-8.609296801468176e-12	1.9241117293564237e-20
0.0004171737713193103	1.5669352347323786e-10	-9.74368918141097e-12	2.4647799777322092e-20
0.0004304162883402367	1.773462827197209e-10	-1.1027463256793851e-11	3.1573308940383117e-20
0.0004440791679752721	2.007197361729939e-10	-1.248027516526276e-11	4.0444169757556953e-20
0.0004581757539661736	2.2717205807150047e-10	-1.4124364934283302e-11	5.1806641653237994e-20
0.0004727198136305304	2.5710853592194133e-10	-1.598489572138912e-11	6.636031613514788e-20
0.00048772555130750426	2.9098776100040246e-10	-1.8090337522433636e-11	8.500113736370291e-20
0.0005032076222303829	3.2932863114754274e-10	-2.0472901164868317e-11	1.0887648697562074e-19
0.0005191811468394965	3.7271827225752197e-10	-2.316902916202608e-11	1.3945571438694309e-19
0.000535661725549474	4.2182099876609277e-10	-2.6219950862032518e-11	1.7862044082323143e-19
0.0005526654539852635	4.773884491611897e-10	-2.967231029407809e-11	2.2878017739071387e-19
0.0005702089387017944	5.402710503047211e-10	-3.357887620978254e-11	2.930203487248784e-19
0.0005883093134026362	6.114309844327873e-10	-3.799934505454625e-11	3.752917989490219e-19
0.0006069842556734933	6.919568553932215e-10	-4.300124900148067e-11	4.80653397141363e-19
0.0006262520042468766	7.830802763228605e-10	-4.866098275946966e-11	6.155826104090048e-19
0.000646131376814815	8.861946299447244e-10	-5.506496465052149e-11	7.883730724748303e-19
0.0006666417884070039	1.0028762854088994e-09	-6.231094946621281e-11	1.009643498258933e-18
0.0006878032703523379	1.1349085925976415e-09	-7.050951288846216e-11	1.2929891049597276e-18
0.0007096364898423477	1.2843090166148771e-09	-7.978572982967114e-11	1.655815412842726e-18
0.0007321627701156462	1.453359822403443e-09	-9.028107194929536e-11	2.1204054453288816e-18
0.000755404111283099	1.6446427727802543e-09	-1.0215555288084215e-10	2.7152856070427136e-18
0.0007793832118140558	1.8610783634401851e-09	-1.1559015340327286e-10	3.47697375842899e-18
0.000804123490704629	2.1059701865450524e-09	-1.3078956296807414e-10	4.452216336397983e-18
0.0008296491103496669	2.383055091390082e-09	-1.4798527870901623e-10	5.700851211314778e-18
0.0008559850001407643	2.6965598974606114e-09	-1.6743910838476962e-10	7.299471135609469e-18
0.0008831568808133521	3.0512655132353677e-09	-1.8944712971277814e-10	9.346111447215902e-18
0.0009111912895666467	3.4525794248015407e-09	-2.1434416533360127e-10	1.1966248105775496e-17
0.0009401156059809936	3.906617643346905e-09	-2.425088402969288e-10	1.5320471948931486e-17
0.0009699580787579144	4.420297341718388e-09	-2.7436929759467597e-10	1.9614307100665246e-17
0.0010007478533089736	5.001441569550719e-09	-3.104096570080304e-10	2.51107719287938e-17
0.0010325150002204124	5.658897616301552e-09	-3.5117731352484125e-10	3.214644773731791e-17
0.001065290544621345	6.4026707945045905e-09	-3.972911839798096e-10	4.1152033587670124e-17
