r	P	Q	rho
9.908745586890391e-05	1.2998109646375263e-11	1.4912524107116306e-10	2.240728837891169e-20
0.0001022328293585999	1.4276524484953415e-11	1.6356078850747842e-10	2.695595068855756e-20
0.00010547804772071615	1.5681317908019725e-11	1.793933747070135e-10	3.2427886620103337e-20
0.00010882628037172466	1.722506619382102e-11	1.9675815657400415e-10	3.901047508378185e-20
0.0001122807973361759	1.8921607808052605e-11	2.1580336084849367e-10	4.692911779554693e-20
0.00011584497244034232	2.0786171384548337e-11	2.3669154618669413e-10	5.645495295707578e-20
0.0001195222866072384	2.283551709720408e-11	2.596009909954634e-10	6.791413536692337e-20
0.00012331633125623652	2.508809224663896e-11	2.847272096723745e-10	8.169899630039217e-20
0.00012723081181059757	2.7564203102745076e-11	3.1228461866579834e-10	9.828146834793247e-20
0.000131269551316343	3.0286204445148377e-11	3.4250836275744816e-10	1.1822923273848104e-19
0.00013543649417600205	3.327870870355456e-11	3.7565631742269564e-10	1.4222514127255712e-19
0.00013973571000088072	3.656881676253409e-11	4.1201128450112974e-10	1.7109057691568268e-19
0.00014417139758561513	4.0186372715588725e-11	4.518833997311724e-10	2.0581355150463875e-19
0.00014874788900889045	4.416424509468967e-11	4.956127725706559e-10	2.475825008799565e-19
0.00015346965386433094	4.853863737699472e-11	5.435723806874428e-10	2.9782693236462963e-19
0.00015834130362569267	5.334943087132961e-11	5.961712436505284e-10	3.5826631353011255e-19
0.00016336759615062215	5.864056342288261e-11	6.538579027120152e-10	4.309688726175083e-19
0.0001685534403273802	6.446044774712095e-11	7.171242361547558e-10	5.184223194043012e-19
0.00017390390086906792	7.08624336178135e-11	7.865096425124699e-10	6.236189022633322e-19
0.0001794242032600383	7.790531859385446e-11	8.626056270725897e-10	7.501577065225056e-19
0.00018511973885932352	8.565391248054502e-11	9.46060830472726e-10	9.023676876779688e-19
0.00019099607016606247	9.417966128891749e-11	1.0375865419278232e-09	1.0854556405902338e-18
0.000197058936252071	1.0356133708807636e-10	1.137962743707838e-09	1.3056841566065407e-18
0.0002033142583668602	1.138858008476284e-10	1.2480447379590727e-09	1.570585643582036e-18
0.00020976814572057728	1.2524884614817532e-10	1.3687704118633472e-09	1.889219713854006e-18
0.00021642690145051672	1.3775613250658672e-10	1.5011682024986675e-09	2.2724827242362527e-18
0.00022329702877702865	1.5152421802945722e-10	1.6463658286475014e-09	2.7334800303876126e-18
0.00023038523735483668	1.6668170218406022e-10	1.8055998632429943e-09	3.2879736559860956e-18
0.00023769844982596876	1.8337049067385456e-10	1.9802262272027616e-09	3.9549206477516535e-18
0.0002452438085806995	2.0174719573926862e-10	2.1717316931327073e-09	4.757120477945715e-18
0.0002530286827331086	2.219846866898372e-10	2.3817464958534913e-09	5.72199357163517e-18
0.0002610606753180668	2.4427380712842006e-10	2.612058155979787e-09	6.882517503069538e-18
0.0002693476307166791	2.6882527717188154e-10	2.8646266329436793e-09	8.27835277581678e-18
0.00027789764231743653	2.95871801027312e-10	3.141600934982258e-09	9.957196557324543e-18
0.00028671906042055875	3.256704025732652e-10	3.445337325797075e-09	1.1976410499642773e-17
0.0002958205003932484	3.585050141491764e-10	3.778419280939764e-09	1.4404978107747465e-17
0.0003052108510838197	3.9468934660398255e-10	4.143679361593296e-09	1.7325858332016906e-17
0.0003148992835029214	4.3457007183155813e-10	4.544223189421628e-09	2.0838815542608958e-17
0.00032489525978033	4.785303525646001e-10	4.983455723682924e-09	2.5063822248233698e-17
0.0003352085424060639	5.269937581533803e-10	5.465110060986094e-09	3.0145150399824053e-17
0.0003458492037648398	5.804286094698364e-10	5.993278999073529e-09	3.6256290531426884e-17
0.0003568276359731873	6.393528010051724e-10	6.572449629005653e-09	4.36058661299697e-17
0.0003681545610288257	7.043391537313374e-10	7.207541245292065e-09	5.244474444606527e-17
0.00037984104128221697	7.760213584416787e-10	7.903946891063919e-09	6.307458560551666e-17
0.00039189849024052185	8.551005761501552e-10	8.667578885535804e-09	7.585812073231842e-17
0.0004043386837145098	9.42352769797394e-10	9.504918714006686e-09	9.123150850261934e-17
0.0004171737713193103	1.038636850081609e-09	1.0423071696764622e-08	1.0971919010224319e-16
0.0004304162883402367	1.1449037278105755e-09	1.1429826892779956e-08	1.3195174734487044e-16
0.0004440791679752721	1.2622063758781455e-09	1.2533722737314118e-08	1.5868737059117236e-16
0.0004581757539661736	1.3917110159404754e-09	1.3744118959882948e-08	1.9083766553530401e-16
0.0004727198136305304	1.5347095582549242e-09	1.5071275380773244e-08	2.2949867503130074e-16
0.00048772555130750426	1.6926334381186044e-09	1.6526438240932423e-08	2.7598816888719076e-16
0.0005032076222303829	1.8670690090946547e-09	1.8121934781984907e-08	3.3189046692723607e-16
0.0005191811468394965	2.059774671956486e-09	1.9871276860867482e-08	3.9911031578048087e-16
0.000535661725549474	2.2726999392536734e-09	2.1789274457656423e-08	4.799376464049623e-16
0.0005526654539852635	2.5080066588771713e-09	2.3892160016167865e-08	5.7712540763914265e-16
0.0005702089387017944	2.7680926462784215e-09	2.619772464548796e-08	6.93983113499188e-16
0.0005883093134026362	3.0556180044157718e-09	2.872546730742908e-08	8.344892734190867e-16
0.0006069842556734933	3.3735344434430665e-09	3.149675822077032e-08	1.0034265130587595e-15
0.0006262520042468766	3.7251179490463636e-09	3.453501782885468e-08	1.206543960173618e-15
0.000646131376814815	4.114005189654701e-09	3.78659128035828e-08	1.4507523911490415e-15
0.0006666417884070039	4.544234099037793e-09	4.151757069704681e-08	1.7443587401311377e-15
0.0006878032703523379	5.0202891226610504e-09	4.5520815003059534e-08	2.097347901417879e-15
0.0007096364898423477	5.547151674274228e-09	4.990942255581877e-08	2.5217213515526743e-15
0.0007321627701156462	6.130356414324981e-09	5.4720405373173226e-08	3.031904033971061e-15
0.000755404111283099	6.776054034766482e-09	5.999431924880827e-08	3.645233250410002e-15
0.0007793832118140558	7.491081316627601e-09	6.577560161264833e-08	4.3825460667981525e-15
0.000804123490704629	8.283039318410865e-09	7.211294141351368e-08	5.268885059659197e-15
0.0008296491103496669	9.160380656185435e-09	7.90596840343521e-08	6.3343462133778045e-15
0.0008559850001407643	1.0132506951505366e-08	8.66742745301217e-08	7.615097562445208e-15
0.0008831568808133521	1.1209877652529648e-08	9.502074278373304e-08	9.15460291615704e-15
0.0009111912895666467	1.2404131578658352e-08	1.0416923450864726e-07	1.1005091898338216e-14
0.0009401156059809936	1.3728222701546582e-08	1.1419659239025306e-07	1.322932581208886e-14
0.0009699580787579144	1.519657185766747e-08	1.2518699205469974e-07	1.5902718775928708e-14
0.0010007478533089736	1.682523629208396e-08	1.3723263798636434e-07	1.9115885504980985e-14
0.0010325150002204124	1.8632099162468168e-08	1.5043452498675382e-07	2.2977701427190307e-14
0.001065290544621345	2.063708138972153e-08	1.64903271281814e-07	2.7618978007729535e-14
0.0010991064964842015	2.28623785302143e-08	1.8076002994507138e-07	3.319687677780191e-14
0.0011339958818870103	2.533272566851424e-08	1.9813748591479482e-07	3.990021031443172e-14
0.0011699927752680543	2.8075693692812766e-08	2.1718094654881597e-07	4.795580812017231e-14
0.001207132332704394	3.112202072291079e-08	2.3804953438550375e-07	5.763616099503242e-14
0.001245450826246772	3.450598291801218e-08	2.6091749156878214e-07	6.926860026368365e-14
0.0012849856793444175	3.826580940476628e-08	2.85975606254534e-07	8.324631954205017e-14
0.0013257755033943585	4.244414664181942e-08	3.1343277225123375e-07	1.0004160830524604e-13
0.0013678601354509335	4.708857818322376e-08	3.435176941656561e-07	1.202217404002068e-13
0.0014112806771323305	5.225220652798461e-08	3.764807514319818e-07	1.444680492858328e-13
0.0014560795347621515	5.7994304556420814e-08	4.125960358071057e-07	1.7359882812472135e-13
0.0015023004607852104	6.438104496664574e-08	4.5216357822452324e-07	2.085968204238018e-13
0.0015499885964980048	7.148631714843613e-08	4.955117823226018e-07	2.5064221995996834e-13
0.0015991905161356031	7.939264208058834e-08	5.430000835097057e-07	3.011522823080838e-13
0.001649954272357996	8.819219712674739e-08	5.950218541086633e-07	3.618288705009545e-13
0.0017023294431803414	9.798796405064544e-08	6.520075769473254e-07	4.34715521495513e-13
0.0017563671803929356	1.0889501519375721e-07	7.144283117421087e-07	5.222659369527284e-13
0.0018121202595181983	1.210419545779202e-07	7.827994807700159e-07	6.274261818618498e-13
0.0018696431313534648	1.3457253273637174e-07	8.576850026550445e-07	7.537333303464656e-13
0.001928991975149916	1.4964745636569322e-07	9.397018056215754e-07	9.054338446851711e-13
0.0019902247534795987	1.6644641645827059e-07	1.0295247543055947e-06	1.0876256292797951e-12
0.002053401268844102	1.851703614536044e-07	1.1278920271809074e-06	1.3064284877391152e-12
0.0021185832220801952	2.0604404517463185e-07	1.2356109848693606e-06	1.569188654481757e-12
0.002185834272619449	2.2931888293410162e-07	1.3535645730802248e-06	1.8847242035679956e-12
0.002255220100660713	2.552761532528697e-07	1.4827183076841083e-06	2.263619494361209e-12
0.0023268084713161533	2.842305871791863e-07	1.6241278934923003e-06	2.718578441107962e-12
0.002400669300793506	3.1653439229420465e-07	1.7789475327056344e-06	3.2648483456245256e-12
0.00247687472467918	3.5258176419950076e-07	1.948438983741599e-06	3.920728373810027e-12
0.0025554991683888998	3.928139446804455e-07	2.133981436269596e-06	4.70817956547866e-12
0.0026366194198546855	4.377248929063789e-07	2.3370822738084968e-06	5.653556636419794e-12
0.002720314704519181	4.878676440557661e-07	2.559388801195829e-06	6.788485873803146e-12
0.0028066667627105342	5.438614387433943e-07	2.8027010206533734e-06	8.150918275723495e-12
0.002895759929473442	6.063997166904505e-07	3.068985547080435e-06	9.786392904590855e-12
0.0029876812169342903	6.762590793431771e-07	3.360390760635569e-06	1.174955240655898e-11
0.00308252039928085	7.543093387523549e-07	3.679263302653664e-06	1.4105961028782963e-11
0.003180370100439519	8.415247841306203e-07	4.028166029522625e-06	1.6934285523706158e-11
0.0032813258845357327	9.389968132818465e-07	4.409897548348512e-06	2.0328911402283675e-11
0.003385486349225904	1.0479480937402784e-06	4.827513468106671e-06	2.4403081491925182e-11
0.003492953221992032	1.1697484381823094e-06	5.284349510547421e-06	2.929266115825272e-11
0.003603831459493028	1.3059326007201086e-06	5.784046636436444e-06	3.5160655450095326e-11
0.003718229350069801	1.4582202253196373e-06	6.3305783548018616e-06	4.22026285318171e-11
0.0038362586195041914	1.6285382051009805e-06	6.928280395771042e-06	5.0653205927898863e-11
0.0039580345401350565	1.8190457420036105e-06	7.58188294135011e-06	6.079387634783726e-11
0.004083676043438088	2.0321624305958823e-06	8.29654562316649e-06	7.296235342160841e-11
0.004213305836179265	2.2705997280784147e-06	9.077895511797523e-06	8.75638100482634e-11
0.004347050520255452	2.537396215219593e-06	9.932068338882519e-06	1.0508436104124327e-10
0.004485040716339107	2.835957100559836e-06	1.0865753210795343e-05	1.2610724551412506e-10
0.0046274111914479275	3.1700984732726525e-06	1.1886241091271416e-05	1.5133225161007468e-10
0.004774300990563966	3.544096869174524e-06	1.3001477350063172e-05	1.8159903590229835e-10
0.0049258535724308085	3.962744780193656e-06	1.4220118695465092e-05	2.179151219060679e-10
0.00508221694966139	4.4314128108684105e-06	1.5551594830418774e-05	2.614895212698366e-10
0.005243543833293338	4.956119266951942e-06	1.700617519489017e-05	3.1377311294755e-10
0.005409991781932975	5.543608051832372e-06	1.8595041181304908e-05	3.7650714676676615e-10
0.00558172335563367	6.201435847206601e-06	2.033036423502401e-05	4.5178151649576236e-10
0.005758906274658809	6.938069666333539e-06	2.2225390278119045e-05	5.421047837096062e-10
0.005941713583284443	7.762995992403799e-06	2.429453092202588e-05	6.504883394993491e-10
0.006130323818801593	8.686842852372148e-06	2.655346196296764e-05	7.805475809605784e-10
0.006324921185883269	9.721516329398845e-06	2.901922968326644e-05	9.366235711529405e-10
0.006525695736486469	1.0880353186355703e-05	3.1710365511716894e-05	1.123929366346525e-09
0.006732843555464916	1.2178291460327548e-05	3.4647009626951724e-05	1.3487260589827723e-09
0.006946566952073746	1.3632061095479252e-05	3.7851044119043e-05	1.6185346306126186e-09
0.0071670746575532235	1.526039691101713e-05	4.134623635627117e-05	1.9423909747104213e-09
0.007394582028984425	1.7084276454366958e-05	4.5158393235839626e-05	2.3311529816119635e-09
0.007629311259616019	1.91271855694088e-05	4.931552702905805e-05	2.797870433960355e-09
0.007871491595867504	2.1415414818119068e-05	5.38480335628568e-05	3.3582307104186663e-09
0.008121359561220886	2.397839023392984e-05	5.8788883510073336e-05	4.031096022571594e-09
0.008379159187219456	2.684904225937565e-05	6.417382759035552e-05	4.839151217842415e-09
0.008645142251799213	3.0064217132210505e-05	7.004161651128133e-05	5.809685195286097e-09
0.008919568525185786	3.3665135436398584e-05	7.643423650485519e-05	6.975533854031197e-09
0.009202706023596928	3.769790303067357e-05	8.339716133728603e-05	8.376218412027383e-09
0.009494831270998413	4.221408011139048e-05	9.097962168917938e-05	1.0059320122357093e-08
0.009796229569168936	4.727131476203039e-05	9.923489281818961e-05	1.2082141151968532e-08
0.010107195276337829	5.2934047993024e-05	0.00010822060142588969	1.4513712009909044e-08
0.010428032094667625	5.927429798677958e-05	0.00011799905265412466	1.7437218829096428e-08
0.010759053366862378	6.637253203833992e-05	0.0001286375781323166	2.0952939516928315e-08
0.011100582382191283	7.431863552649757e-05	0.0001402089059848468	2.5181796903987996e-08
0.011452952692226542	8.321298816811915e-05	0.00015279155368540546	3.026966027746768e-08
0.011816508436603836	9.316765880458095e-05	0.00016647024461157042	3.63925549881629e-08
0.012191604679123535	0.00010430773104833244	0.0001813363491062283	4.376297426362715e-08
0.01257860775452092	0.00011677277328435204	0.0001974883507910004	5.263752927866791e-08
0.012977895626244053	0.00013071846778019657	0.0002150323387986538	6.332622454802132e-08
0.013389858255588735	0.00014631841501379215	0.000234082526494485	7.620370778218959e-08
0.013814897982551116	0.00016376613078407102	0.00025476179713861705	9.172291887328332e-08
0.014253429918769768	0.00018327725522955413	0.0002772022767996678	1.1043165454739878e-07
0.014705882352941176	0.0002050919945469348	0.0003015459346627838	1.329926769388918e-07
0.015172697169104452	0.00022947781797776103	0.00032794521067890754	1.6020813015106748e-07
0.015654330278203815	0.00025673243451757423	0.0003565636702745512	1.9304919389297944e-07
0.01615125206335038	0.00028718707579825174	0.00038757668557934714	2.326921037102229e-07
0.016663947839218034	0.00032121011369922386	0.00042117214232920846	2.8056191061684334e-07
0.017192918326022124	0.0003592110434533229	0.0004575511712629716	3.3838564806294216e-07
0.017738680138543832	0.0004016448653227536	0.0004969289024467446	4.082569319270591e-07
0.01830176629067787	0.00044901690032204017	0.0005395352405297235	4.927144525482795e-07
0.018882726715996195	0.0005018880779468552	0.0005856156584548409	5.948373422126855e-07
0.019482128804836255	0.0005608807364160341	0.000635432006614264	7.183610355124228e-07
0.02010055795843818	0.0006266849785306	0.0006892633338506092	8.67818005706755e-07
0.020738618160672212	0.0007000656288755398	0.0007474067160571298	1.048708683940208e-06
0.021396932567914723	0.0007818698407096852	0.0008101780874217283	1.2677089811497182e-06
0.022076144117648865	0.0008730354034728253	0.0008779130685884951	1.5329221717154267e-06
0.02277691615638431	0.0009745998043472856	0.0009509677851750989	1.8541845070746005e-06
0.023499933087509316	0.0010877100996966127	0.001029719669183876	2.243435858086166e-06
0.02424590103970777	0.0012136336544117218	0.0011145682348787332	2.7151689973214456e-06
0.025015548556594127	0.001353769809161246	0.00120593581966961	3.28697389735869e-06
0.025809627308239685	0.0015096625371945737	0.0013042682794529377	3.980196720995884e-06
0.026628912825285105	0.001683014153599456	0.001410035626702986	4.820737109787775e-06
0.02747420525635621	0.0018757001406761449	0.0015237325983992371	5.840012049157001e-06
0.02834633014952272	0.0020897851532496194	0.0016458791396144338	7.076120128960484e-06
0.02924613925856312	0.002327540267180513	0.0017770207872837846	8.575246573785415e-06
0.030174511374823187	0.002591461532920085	0.001917728937336792	1.0393357153703419e-05
0.03113235318548051	0.002884289893536804	0.002068600977010174	1.2598238192045994e-05
0.03212060015905321	0.0032090325230588186	0.0022302602627863872	1.5271950573813253e-05
0.033140217459017775	0.0035689856360493445	0.002403355923032773	1.8513778163103253e-05
0.03419220088642825	0.003967758812867059	0.002588562463069379	2.2443765622296025e-05
0.035277577852457324	0.004409300876851722	0.002786579149090064	2.720695757674887e-05
0.0363974083818092	0.00489792734949248	0.002998129146125594	3.297847069775421e-05
0.03755278614798423	0.005438349497244564	0.0032239583840966792	3.996955291656748e-05
0.03874483954140633	0.00603570496880896	0.00346483412499039	4.843480998420309e-05
0.03997473277145654	0.006695590004117886	0.003721543203340412	5.868080931757257e-05
0.04124366700348863	0.007424093175708305	0.003994889911539576	7.107630488691931e-05
0.04255288153193766	0.008227830599343363	0.004285693501106041	8.606436515691353e-05
0.043903654990667	0.009113982523386509	0.004594785270911236	0.00010417672912237756
0.04529730660173576	0.01009033117528048	0.004923005213611804	0.00012605076356008615
0.04673519746380645	0.011165299708283354	0.0052711981921681	0.0001524494479569086
0.04821873188145108	0.012347992052140006	0.005640209619441583	0.00018428487227095412
0.049749358736653954	0.013648233427427008	0.006030880615510748	0.00022264579668807927
0.05132857290385061	0.015076611234756012	0.00644404261960168	0.0002688298916072141
0.052957916709884936	0.016644515976769608	0.006880511436469134	0.0003243813497283213
0.054638981440310354	0.018364181812905268	0.00734108070076273	0.00039113463951255165
0.05637340889350603	0.020248726284322307	0.007826514747444478	0.000471265249229371
0.058162892984126136	0.022312188679381145	0.008337540881758781	0.0005673483516193032
0.06000918139744794	0.024569566438963773	0.008874841048656577	0.0006824263986375747
0.061914077296234715	0.027036848926210354	0.009439042908991788	0.0008200867308965101
0.06387944108178004	0.029731047807572603	0.010030710338273624	0.000984550353626517
0.0659071922108539	0.032670223212289164	0.010650333373281792	0.0011807730857028376
0.06799931107032471	0.0358735047565135	0.011298317642412964	0.0014145603250644567
0.07015784091128828	0.03936110643762152	0.011974973327168572	0.0016926966861801692
0.07238488984459251	0.04315433432515648	0.012680503714615423	0.0020230917455037545
0.07468263289970707	0.047275585899100955	0.013414993413802102	0.002414943070395627
0.07705331414894835	0.0517483398155553	0.014178396322791264	0.002878917595952327
0.0794992488991348	0.05659713481646767	0.014970523446911556	0.003427352241707946
0.08202282595281264	0.061847536445940654	0.015791030682726095	0.004074474414454755
0.08462650994126075	0.06752609019304416	0.016639406695691812	0.004836642711943768
0.08731284373155304	0.07366025965221022	0.01751496103213614	0.005732607711988276
0.0900844509100292	0.08027834827933344	0.01841681261756999	0.0067837921894486446
0.09294403834459916	0.08740940332667341	0.019343878803047408	0.008014589437072051
0.095894398828384	0.09508310056438096	0.02029486512885188	0.009452677563534472
0.09893841380727487	0.1033296084425126	0.02126825597986801	0.011129346693308163
0.102079056194074	0.1121794304160331	0.02226230630930408	0.013079834890674892
0.1053193932719663	0.121663224247511	0.02327503460680772	0.015343667370248245
0.1086625896901566	0.1318115972187076	0.024304217283466698	0.01796499213910877
0.112111910554599	0.1426548763236012	0.025347384639901195	0.02099290364698505
0.1156707246168366	0.1542228526821261	0.02640181857503577	0.024481744313481872
0.1193425075640653	0.16654449960679	0.02746455218280757	0.028491371975878234
0.1231308454136362	0.1796476639746033	0.028532371372843403	0.03308737938768984
0.1270394380153103	0.1935587308064469	0.029601818640009575	0.038341249938198596
0.1310721026646873	0.2083022612383284	0.03066919909779479	0.04433043181030098
0.1352327778313366	0.2239006043885923	0.031730588882825594	0.051138310916427815
0.1395255270052724	0.2403734839885334	0.03278184603343005	0.05885406123414523
0.1439545426655278	0.2577375610593714	0.03381862394479963	0.06757234970635298
0.1485241503747066	0.2760059743964786	0.0348363875072962	0.07739287179710812
0.1532388130035089	0.2951878611740295	0.03583043204259349	0.08841969324485703
0.1581031350893581	0.3152878606228244	0.0367959051637152	0.10076037369293465
0.1631218673333853	0.3363056044739548	0.037727831697905855	0.11452484888521765
0.1682999112401635	0.3582351987129096	0.03862114182304102	0.12982405019259327
0.1736423239047229	0.381064702161226	0.03947070257547949	0.14676824359502585
0.1791543229515216	0.4047756084990197	0.040271352885636186	0.16546507509899114
0.1848412916301976	0.4293423395569946	0.041017942282285565	0.18601731612534655
0.1907087840730754	0.4547317590255718	0.041705373372587735	0.20852031083463762
0.1967625307195655	0.4809027171231475	0.042328648147083446	0.23305913779038565
0.2030084439127513	0.5078056381912796	0.042882918073065435	0.259705510841314
0.2094526236736326	0.5353821645807282	0.04336353782261535	0.2885144585636393
0.2161013636586608	0.5635648714798203	0.04376612233176589	0.31952083783002544
0.2229611573063895	0.5922770684194204	0.044086606705593806	0.3527357546663165
