r	P	Q	rho
9.908745586890391e-05	0.001140129824131608	0.004139356648001139	1.8434169475225598e-05
0.0001022328293585999	0.0011726356863657464	0.004252552433952002	1.945927665644956e-05
0.00010547804772071615	0.0012061043471893352	0.004368822581789938	2.0541298447466714e-05
0.00010882628037172466	0.0012405663948346127	0.0044882493195444175	2.1683386934383875e-05
0.0001122807973361759	0.001276053503221052	0.004610916997759629	2.288886810331139e-05
0.00011584497244034232	0.0013125984763037502	0.004736912139581342	2.4161251378108018e-05
0.0001195222866072384	0.0013502352944364654	0.0048663234917321165	2.5504239676525786e-05
0.00012331633125623652	0.0013889991627377544	0.004999242076441832	2.6921740012952624e-05
0.00012723081181059757	0.0014289265622519035	0.005135761244082047	2.841787467652422e-05
0.000131269551316343	0.001470055302919589	0.0052759767268569045	2.99969930159777e-05
0.00013543649417600205	0.0015124245794589332	0.005419986693226261	3.166368386330127e-05
0.00013973571000088072	0.0015560750297205826	0.005567891803231587	3.3422788630613415e-05
0.00014417139758561513	0.0016010487958943104	0.00571979526463446	3.527941511616941e-05
0.00014874788900889045	0.0016473895886347492	0.005875802889869577	3.7238952057341836e-05
0.00015346965386433094	0.0016951427542753522	0.006036023153790497	3.9307084470467217e-05
0.00015834130362569267	0.001744355345287734	0.006200567252183697	4.1489809819486773e-05
0.00016336759615062215	0.0017950761941555495	0.00636954916102463	4.379345505753354e-05
0.0001685534403273802	0.001847355990840376	0.006543085696445576	4.622469458792452e-05
0.00017390390086906792	0.0019012473640266409	0.0067212965753814	4.879056919345199e-05
0.0001794242032600383	0.001956804966342557	0.006904304476855358	5.149850598542784e-05
0.00018511973885932352	0.002014085563764467	0.007092235103862798	5.435633942662818e-05
0.00019099607016606247	0.002073148129422981	0.007285217245806107	5.737233348512073e-05
0.000197058936252071	0.002134053942040864	0.007483382841429299	6.05552049789386e-05
0.0002033142583668602	0.002196866689244728	0.007686867042195525	6.391414817470487e-05
0.00020976814572057728	0.0022616525760053717	0.007895808276045158	6.745886070661495e-05
0.00021642690145051672	0.0023284804384749776	0.00811034831146625	7.119957088566408e-05
0.00022329702877702865	0.0023974218635034834	0.008330632321802806	7.514706647267013e-05
0.00023038523735483668	0.002468551314131165	0.008556808949719597	7.931272499250009e-05
0.00023769844982596876	0.0025419462613700183	0.008789030371735123	8.370854567097546e-05
0.0002452438085806995	0.002617687322602772	0.009027452362726647	8.83471830802142e-05
0.0002530286827331086	0.0026958584069454185	0.009272234360303177	9.324198258268515e-05
0.0002610606753180668	0.00277654686793706	0.009523539528933592	9.840701766901177e-05
0.0002693476307166791	0.0028598436639395964	0.009781534823708053	0.00010385712928958878
0.00027789764231743653	0.002945843526649444	0.010046391053600966	0.00010960796728537595
0.00028671906042055875	0.0030346451381440312	0.010318282944093576	0.00011567603402883359
0.0002958205003932484	0.003126351316907362	0.01059738919900321	0.0001220787303918783
