r	P	Q	rho
9.908745586890391e-05	9.456361966862186e-10	-7.87362612884455e-11	9.004272153248592e-19
0.0001022328293585999	1.0371644285006887e-09	-8.635668672786977e-11	1.0831675290897755e-18
0.00010547804772071615	1.1375491317442788e-09	-9.471441980555155e-11	1.3029888484512648e-18
0.00010882628037172466	1.2476469414836631e-09	-1.038807679300686e-10	1.56741410453928e-18
0.0001122807973361759	1.3683973058467803e-09	-1.1393393091222895e-10	1.8854921272618394e-18
0.00011584497244034232	1.5008304795582191e-09	-1.2495966612292858e-10	2.2681070465285076e-18
0.0001195222866072384	1.6460763136110583e-09	-1.3705201987455918e-10	2.728350486383068e-18
0.00012331633125623652	1.8053738575680886e-09	-1.5031412633568562e-10	3.2819691021663416e-18
0.00012723081181059757	1.980081910211618e-09	-1.6485908548890432e-10	3.947902889215528e-18
0.000131269551316343	2.1716905841917875e-09	-1.8081092526257187e-10	4.7489325841615745e-18
0.00013543649417600205	2.3818339849619204e-09	-1.9830565644829184e-10	5.71245826529897e-18
0.00013973571000088072	2.6123041129621496e-09	-2.1749242931194766e-10	6.8714357354069755e-18
0.00014417139758561513	2.8650661063541743e-09	-2.3853480171203224e-10	8.265502645407268e-18
0.00014874788900889045	3.142274953406841e-09	-2.6161212943726853e-10	9.942332789076666e-18
0.00015346965386433094	3.4462938160212474e-09	-2.869210905295741e-10	1.1959264778536971e-17
0.00015834130362569267	3.779714119433291e-09	-3.1467735647787443e-10	1.4385260663323283e-17
0.00016336759615062215	4.145377578027205e-09	-3.4511742440690674e-10	1.730326130103995e-17
0.0001685534403273802	4.5464003435032474e-09	-3.785006257393953e-10	2.081301880709156e-17
0.00017390390086906792	4.986199479511897e-09	-4.1511132829404975e-10	2.503450266436276e-17
0.0001794242032600383	5.468521986445548e-09	-4.5526135040761564e-10	3.011199561341333e-17
0.00018511973885932352	5.99747662152832e-09	-4.992926074502214e-10	3.621901893363319e-17
0.00019099607016606247	6.577568782843288e-09	-5.475800130542154e-10	4.356425496373099e-17
0.000197058936252071	7.21373875167906e-09	-6.005346595137335e-10	5.2398668654753444e-17
0.0002033142583668602	7.911403615777137e-09	-6.586073041530036e-10	6.302407075281523e-17
0.00020976814572057728	8.676503226951306e-09	-7.222921910252013e-10	7.58034142565124e-17
0.00021642690145051672	9.515550580385307e-09	-7.921312401116275e-10	9.117317474943195e-17
0.00022329702877702865	1.043568703997476e-08	-8.687186392661978e-10	1.0965823607050568e-16
0.00023038523735483668	1.1444742874668858e-08	-9.527058775179715e-10	1.3188978795634087e-16
0.00023769844982596876	1.2551303615221118e-08	-1.0448072620323598e-09	1.5862684465625825e-16
0.0002452438085806995	1.376478278944165e-08	-1.1458059650699312e-09	1.9078211655009886e-16
0.0002530286827331086	1.509550164735596e-08	-1.2565606517034654e-09	2.294531146567359e-16
0.0002610606753180668	1.6554776546054232e-08	-1.3780127438951768e-09	2.759595456121248e-16
0.0002693476307166791	1.8155014727938193e-08	-1.5111943818363779e-09	3.3188826823134656e-16
0.00027789764231743653	1.990981929606309e-08	-1.6572371492544279e-09	3.9914733937075516e-16
0.00028671906042055875	2.183410426690104e-08	-1.817381635743835e-09	4.800309851478451e-16
0.0002958205003932484	2.3944220664743456e-08	-1.992987916131375e-09	5.772977040757733e-16
0.0003052108510838197	2.6258094713798337e-08	-2.1855470344954888e-09	6.942641538387962e-16
0.0003148992835029214	2.879537928456692e-08	-2.396693588789498e-09	8.349180083006105e-16
0.00032489525978033	3.157761986112144e-08	-2.6282195211337004e-09	1.0040536139447597e-15
0.0003352085424060639	3.4628436416340315e-08	-2.8820892288165548e-09	1.2074350469633845e-15
0.0003458492037648398	3.7973722713963565e-08	-3.1604561219602395e-09	1.4519920996558282e-15
0.0003568276359731873	4.164186470057243e-08	-3.465680765748472e-09	1.746055838910859e-15
0.0003681545610288257	4.5663979808433836e-08	-3.800350758180228e-09	2.0996417178302543e-15
0.00037984104128221697	5.0074179162851855e-08	-4.167302508606446e-09	2.5247898290316245e-15
0.00039189849024052185	5.490985487661735e-08	-4.569645097941688e-09	3.035973818892321e-15
0.0004043386837145098	6.021199482085672e-08	-5.010786418543844e-09	3.650592300839139e-15
0.0004171737713193103	6.602552748770072e-08	-5.494461810457417e-09	4.389559390615698e-15
0.0004304162883402367	7.239969980752437e-08	-6.0247654311684515e-09	5.278014330720247e-15
0.0004440791679752721	7.938849105401428e-08	-6.606184618382609e-09	6.34617418704546e-15
0.0004581757539661736	8.70510662661451e-08	-7.243637529788745e-09	7.630358422735749e-15
0.0004727198136305304	9.545227293962753e-08	-7.942514370500318e-09	9.174219943866753e-15
0.00048772555130750426	1.0466318509407807e-07	-8.70872254808547e-09	1.1030224162456777e-14
