r	P	Q	rho
9.908745586890391e-05	3.021712257114175e-08	2.2971927612438106e-07	5.3684020319589035e-14
0.0001022328293585999	3.214314507137065e-08	2.440365715133602e-07	6.058703001107455e-14
0.00010547804772071615	3.419322022373276e-08	2.592454900131125e-07	6.837740040140749e-14
0.00010882628037172466	3.637545902715431e-08	2.7540149056921164e-07	7.716915502717975e-14
0.0001122807973361759	3.86985140168102e-08	2.9256347516562017e-07	8.709096198809369e-14
0.00011584497244034232	4.1171616440947204e-08	3.107940018808759e-07	9.828801360549035e-14
0.0001195222866072384	4.380461608949522e-08	3.3015951135129237e-07	1.1092414732647222e-13
0.00012331633125623652	4.6608023935995984e-08	3.507305667784892e-07	1.2518423836797863e-13
0.00012723081181059757	4.959305786892582e-08	3.725821089656141e-07	1.412768993100554e-13
0.000131269551316343	5.27716916644328e-08	3.9579372700236036e-07	1.5943752577554494e-13
0.00013543649417600205	5.615670750306017e-08	4.204499455869598e-07	1.799317325416617e-13
0.00013973571000088072	5.976175226280168e-08	4.4664053001871387e-07	2.0305923008891812e-13
0.00014417139758561513	6.360139788686519e-08	4.7446080993194413e-07	2.2915819797443973e-13
0.00014874788900889045	6.769120612879886e-08	5.040120229141268e-07	2.586102186291618e-13
0.00015346965386433094	7.204779800747784e-08	5.354016792186754e-07	2.918458433079037e-13
0.00015834130362569267	7.668892832928398e-08	5.687439488551878e-07	3.293508710876865e-13
0.00016336759615062215	8.163356566344848e-08	6.041600724169888e-07	3.716734321458297e-13
0.0001685534403273802	8.690197818714656e-08	6.417787970871185e-07	4.1943197820342816e-13
0.00017390390086906792	9.251582585016932e-08	6.817368393500247e-07	4.733242961597002e-13
0.0001794242032600383	9.849825934497158e-08	7.241793760273196e-07	5.341376757573072e-13
0.00018511973885932352	1.0487402640685705e-07	7.692605653523607e-07	6.027603788210197e-13
0.00019099607016606247	1.1166958601127237e-07	8.171440999003834e-07	6.801945764419367e-13
0.000197058936252071	1.1891323108091145e-07	8.680037932987719e-07	7.675709417071593e-13
0.0002033142583668602	1.2663522036488813e-07	9.220242027561241e-07	8.661651095049301e-13
0.00020976814572057728	1.3486792020594718e-07	9.794012895693694e-07	9.774162419108216e-13
0.00021642690145051672	1.4364595696990557e-07	1.0403431198957137e-06	1.1029479680681472e-12
0.00022329702877702865	1.5300638097464282e-07	1.1050706082109691e-06	1.2445920017507189e-12
0.00023038523735483668	1.6298884282440712e-07	1.17381830601826e-06	1.4044147784288165e-12
0.00023769844982596876	1.7363578312944266e-07	1.2468352385216156e-06	1.5847474972022289e-12
0.0002452438085806995	1.8499263667146334e-07	1.324385792137962e-06	1.7882200020395574e-12
0.0002530286827331086	1.9710805216285497e-07	1.4067506558889633e-06	2.0177989920714633e-12
0.0002610606753180668	2.1003412884226616e-07	1.494227819891522e-06	2.2768311130163e-12
0.0002693476307166791	2.2382667125209734e-07	1.587133634352983e-06	2.569091552058303e-12
0.00027789764231743653	2.3854546365501776e-07	1.6858039326747264e-06	2.898838837651961e-12
0.00028671906042055875	2.5425456566779684e-07	1.790595222476402e-06	3.270876634918235e-12
0.0002958205003932484	2.710226308222553e-07	1.9018859485731089e-06	3.69062342779765e-12
0.0003052108510838197	2.8892324990593334e-07	2.020077832169905e-06	4.164191092360469e-12
