r	P	Q	rho
0.00010528042186071042	0.0036291597346891327	0.01406069356102608	0.0002108739037969692
0.0001086223811935124	0.00373499560179622	0.014452507206411835	0.00022282515669682314
0.00011207042570326092	0.003844047715162844	0.014855169358908855	0.00023545275951831321
0.00011562792289495745	0.003956421310901168	0.015268976161075795	0.00024879490259685386
0.0001192983471696869	0.004072225481793353	0.01569423158202833	0.00026289192532490265
0.0001230852832178637	0.004191573339671468	0.016131247608428476	0.000277786436466274
0.0001269924295201908	0.004314582185395166	0.016580344439144093	0.00029352344115518575
0.0001310236019597513	0.004441373686627009	0.01704185068373542	0.00031015047495099615
0.0001351827375487599	0.00457207406542358	0.01751610356420956	0.0003277177453318337
0.00013947389827361444	0.004706814293420296	0.01800344912086219	0.00034627828104021914
0.0001439012750620022	0.004845730297481105	0.018504242421465613	0.00036588808970829394
0.00014846919187593577	0.004988963174918688	0.019018847774202752	0.0003866063242189917
0.00015318210993471606	0.005136659419403996	0.01954763894414172	0.0004084954582814778
0.0001580446320719461	0.005288971157932229	0.020090999373256143	0.0004316214717256177
0.00016306150723085163	0.005446056399472876	0.02064932240393855	0.00045605404604803806
0.00016823763510229845	0.005608079295914201	0.021223011505945365	0.0004818667707707509
0.00017357807091003603	0.005775210415954486	0.021812480506704195	0.0005091373612038997
0.00017908803034784144	0.005947627032625943	0.022418153824901733	0.000537947888236179
0.00018477289467338465	0.006125513425174782	0.02304046670725821	0.0005683850208102704
0.0001906382159637907	0.006309061196059877	0.023679865468381037	0.0006005402817762531
0.0001966897225380312	0.006498469603873755	0.024336807733576167	0.0006345103178535239
0.00020293332455144136	0.006693945913032916	0.02501176268448013	0.0006703971844713626
0.00020937511976782544	0.006895705761130182	0.025705211307359484	0.0007083086463000858
0.00021602139951478892	0.007103973544889721	0.026417646643907	0.0007483584943288238
0.00022287865482811337	0.007318982825715939	0.02714957404434488	0.0007906668803924902
0.000229953582791174	0.007540976755880537	0.02790151142262553	0.0008353606700996334
0.00023725309307559287	0.007770208526447887	0.028673989513498904	0.0008825738151647285
0.000244784314689514	0.00800694183809758	0.029467552131192665	0.0009324477462032349
0.0002525546029400918	0.00825145139606474	0.030282756429427033	0.000985131787105623
0.00026057154661699323	0.008504023430483489	0.03112017316246026	0.0010407835921677241
0.00026884297540392786	0.008764956243487035	0.03198038694683312	0.0010995696072194166
0.000277376967525446	0.009034560784489441	0.032863996523451185	0.0011616655560620461
0.00028618185763647154	0.009313161255149012	0.033771615019612594	0.0012272569535973317
0.0002952662449622763	0.009601095745592153	0.0347038702105556	0.0012965396471071161
0.00030463900169684367	0.009898716903559049	0.03566140478006468	0.0013697203872244258
0.0003143092816678264	0.01020639263821914	0.03664487657963673	0.0014470174302223023
0.00032428652927655847	0.010524506860495076	0.03765495888566857	0.0015286611733379982
0.000334580488721854	0.010853460261829088	0.03869234065408494	0.001614894824946857
0.00034520121351660067	0.011193671133425048	0.03975772677178108	0.001705975111502871
0.00035615907630644287	0.011545576228103895	0.04085183830420631	0.0018021730232719753
0.0003674647790001423	0.011909631667019027	0.04197541273836466	0.0019037746010001284
0.00037912936322151154	0.012286313893592323	0.04312920422045535	0.0020110817657816235
0.00039116422109312726	0.012676120677150468	0.044313983787318795	0.0021244131945244347
0.0004035811063623555	0.013079572168865886	0.0455305395907944	0.0022441052435494676
0.00041639214588055446	0.01349721201273616	0.04677967711403329	0.0023705129230099592
0.0004296098514466667	0.013929608514471527	0.048062219378741534	0.002504010924976716
0.0004432471320267672	0.014377355871301085	0.0493790071422596	0.0026449947082053606
0.00045731730636150143	0.014841075465855403	0.050730899083308495	0.002793881642784046
0.0004718341159737266	0.015321417227436431	0.05211877197515493	0.0029511122180553807
0.00048681173858905946	0.01581906106414446	0.053543520844864405	0.0031171513174155603
0.0005022648019824386	0.01633471836949769	0.05500605911722397	0.0032924895638183436
0.0005182083982642233	0.016869133607351157	0.05650731874182409	0.003477644740052768
0.0005346580986197818	0.017423085979100056	0.058048250301692174	0.0036731632881230186
0.000551629968516965	0.017997391177336855	0.05962982310176811	0.003879621892338241
0.0005691405833963162	0.01859290323032217	0.06125302523540528	0.004097629151021321
0.0005872070448593424	0.019210516441826784	0.06291886362696719	0.004327827342070593
0.0006058469973706564	0.019851167431105345	0.06462836404847207	0.004570894287959614
0.0006250786454903009	0.020515837277972213	0.06638257110811292	0.004827545326139903
0.0006449207716530867	0.021205553778165496	0.06818254820835126	0.005098535391222813
0.0006653927545123064	0.021921393814406866	0.07002937747114484	0.005384661215762403
0.0006865145878657409	0.022664485848792104	0.0719241596277283	0.005686763656945039
0.0007083069001824416	0.023436012542379897	0.07386801387021488	0.006005730157016846
0.0007307909747493591	0.024237213508083416	0.07586207766213182	0.00634249734585174
0.0007539887704574946	0.02506938820321169	0.07790750650483838	0.006698053794684764
0.0007779229432478741	0.025933898968252923	0.08000547365660526	0.007073442930713309
0.0008026168682382926	0.02683217421874125	0.08215716980095648	0.007469766123008079
0.0008280946625524344	0.027765711797299465	0.0843638026606898	0.007888185950982505
0.0008543812088736681	0.028736082493203228	0.0866265965537991	0.00832992966755086
0.0008815021797465211	0.02974493373706572	0.08894679188732256	0.0087962928700691
