r	P	Q	rho
0.00010528042186071042	-7.248509675084502e-09	5.675660996034102e-10	5.286302378721266e-17
0.0001086223811935124	-7.95127329734143e-09	6.225895165890653e-10	6.361036475518148e-17
0.00011207042570326092	-8.722152249608881e-09	6.829455838296909e-10	7.654235453582973e-17
0.00011562792289495745	-9.567746023887117e-09	7.491509011327559e-10	9.210299105027575e-17
0.0001192983471696869	-1.0495293176986813e-08	8.217720849343581e-10	1.1082648823048331e-16
0.0001230852832178637	-1.1512733120304747e-08	9.014306032149628e-10	1.333556010317744e-16
0.0001269924295201908	-1.2628774074409714e-08	9.888080926249727e-10	1.6046367606652358e-16
0.0001310236019597513	-1.3852967316498176e-08	1.084652167460295e-09	1.93081173796343e-16
0.0001351827375487599	-1.519578877335758e-08	1.1897828040634055e-09	2.323275795653452e-16
0.00013947389827361444	-1.6668728469275617e-08	1.3050993386463199e-09	2.795497930661745e-16
0.0001439012750620022	-1.8284388607134904e-08	1.4315881408937492e-09	3.363683113418723e-16
0.00014846919187593577	-2.005659112828783e-08	1.570331028611157e-09	4.04732787226733e-16
0.00015318210993471606	-2.2000495661743796e-08	1.7225144949339099e-09	4.869888655476651e-16
0.0001580446320719461	-2.4132728864896072e-08	1.8894398263230187e-09	5.859585853238836e-16
0.00016306150723085163	-2.6471526254363688e-08	2.072534197235841e-09	7.05037100234178e-16
0.00016823763510229845	-2.9036887730907884e-08	2.2733628355569345e-09	8.483090276794403e-16
0.00017357807091003603	-3.185074811825352e-08	2.4936423619304367e-09	1.0206884079216441e-15
0.00017908803034784144	-3.4937164162536924e-08	2.7352554160416316e-09	1.2280870619110393e-15
0.00018477289467338465	-3.8322519578147136e-08	3.0002666937520143e-09	1.4776171070511082e-15
0.0001906382159637907	-4.203574987809789e-08	3.2909405308874638e-09	1.7778345573918447e-15
0.0001966897225380312	-4.6108588894024026e-08	3.6097601825119206e-09	2.1390323383733644e-15
0.00020293332455144136	-5.0575839073830966e-08	3.959448960797455e-09	2.5735927340952073e-15
0.00020937511976782544	-5.547566784545769e-08	4.342993410244208e-09	3.0964113146609724e-15
0.00021602139951478892	-6.084993255481116e-08	4.763668716139972e-09	3.7254068315621975e-15
0.00022287865482811337	-6.67445367265118e-08	5.2250665609208464e-09	4.482134503402736e-15
0.000229953582791174	-7.320982065965257e-08	5.731125663656768e-09	5.392523642391118e-15
0.00023725309307559287	-8.030098965949885e-08	6.2861652604081495e-09	6.487764813976103e-15
0.000244784314689514	-8.807858352233005e-08	6.8949218078683916e-09	7.80537682203669e-15
0.0002525546029400918	-9.660899123706211e-08	7.562589219724397e-09	9.390489943549036e-15
0.00026057154661699323	-1.0596501524674563e-07	8.294862974755712e-09	1.1297389208013007e-14
0.00026884297540392786	-1.1622649002863793e-07	9.097988468095228e-09	1.3591370378542666e-14
0.000277376967525446	-1.2748096020671684e-07	9.978814012556434e-09	1.6350971944323718e-14
0.00028618185763647154	-1.3982442390897765e-07	1.0944848935783796e-08	1.9670659239704607e-14
0.0002952662449622763	-1.5336214762772444e-07	1.2004327261522185e-08	2.366405219798967e-14
0.00030463900169684367	-1.6820955943880358e-07	1.3166277509874716e-08	2.846780675006343e-14
0.0003143092816678264	-1.844932280902201e-07	1.4440599202405596e-08	3.424628211647449e-14
0.00032428652927655847	-2.02351936187171e-07	1.5838146713760002e-08	4.119715297002352e-14
0.000334580488721854	-2.2193785648506778e-07	1.7370821172569622e-08	4.9558157569395936e-14
0.00034520121351660067	-2.434178411609868e-07	1.905167118128506e-08	5.961521157027521e-14
0.00035615907630644287	-2.669748348741617e-07	2.089500319776576e-08	7.171216361472054e-14
0.0003674647790001423	-2.928094234552386e-07	2.2916502501554267e-08	8.626252455109298e-14
0.00037912936322151154	-3.211415311903844e-07	2.5133365755410768e-08	1.0376356912949988e-13
0.00039116422109312726	-3.5221228089907435e-07	2.7564446268588047e-08	1.2481328951422233e-13
0.0004035811063623555	-3.862860323534195e-07	3.023041317325768e-08	1.501307766719729e-13
0.00041639214588055446	-4.2365261606308725e-07	3.3153925840292034e-08	1.805807218957212e-13
0.0004296098514466667	-4.646297810650734e-07	3.6359824986181647e-08	2.172028703256038e-13
0.0004432471320267672	-5.09565877124729e-07	3.987534206022198e-08	2.6124742603431413e-13
0.00045731730636150143	-5.58842793687668e-07	4.373032865132781e-08	3.142176097005906e-13
0.0004718341159737266	-6.128791800368843e-07	4.795750781811874e-08	3.779208118788086e-13
0.00048681173858905946	-6.721339734224113e-07	5.259274942555991e-08	4.545300755207384e-13
0.0005022648019824386	-7.371102644605127e-07	5.767537176785524e-08	5.466579904816073e-13
0.0005182083982642233	-8.083595318657107e-07	6.324847197201685e-08	6.57445501964946e-13
0.0005346580986197818	-8.864862816037586e-07	6.935928791125443e-08	7.906686382912147e-13
0.000551629968516965	-9.721531288607578e-07	7.605959461387332e-08	9.508667678865881e-13
0.0005691405833963162	-1.0660863648389168e-06	8.340613843373684e-08	1.1434967212238836e-12
0.0005872070448593424	-1.169082054341252e-06	9.14611125547051e-08	1.3751179848925067e-12
0.0006058469973706564	-1.2820127144266131e-06	1.002926777361812e-07	1.6536152211589863e-12
