r	P	Q	rho
0.00010528042186071042	4.297033460685881e-13	-2.5163216621936135e-14	1.8527815309330327e-25
0.0001086223811935124	4.864758673352307e-13	-2.848748408591361e-14	2.374703062491101e-25
0.00011207042570326092	5.507482659370453e-13	-3.2250849579416164e-14	3.043637697312564e-25
0.00011562792289495745	6.235111505252432e-13	-3.651130205070722e-14	3.900992300067505e-25
0.0001192983471696869	7.058859465514785e-13	-4.133448685290456e-14	4.999835093422697e-25
0.0001230852832178637	7.991421423398345e-13	-4.6794714875417076e-14	6.408179090037719e-25
0.0001269924295201908	9.047169061938089e-13	-5.297611038024127e-14	8.213191486239168e-25
0.0001310236019597513	1.024237158152876e-12	-5.997390237847319e-14	1.0526586251075821e-24
0.0001351827375487599	1.1595446347257632e-12	-6.789589113534081e-14	1.3491536119543656e-24
0.00013947389827361444	1.3127242496859278e-12	-7.686410739136606e-14	1.7291530467185532e-24
0.0001439012750620022	1.4861361909419854e-12	-8.70166901226319e-14	2.2161726823874513e-24
0.00014846919187593577	1.6824522545696505e-12	-9.851001208219452e-14	2.8403498113869343e-24
0.00015318210993471606	1.9046969725766654e-12	-1.1152108567706399e-13	3.640307509893305e-24
0.0001580446320719461	2.1562941665873598e-12	-1.2625028612645633e-13	4.665543667605688e-24
0.00016306150723085163	2.441119643147809e-12	-1.4292443373344128e-13	5.979492505920111e-24
0.00016823763510229845	2.763560840391392e-12	-1.6180028259304333e-13	7.663447849991966e-24
0.00017357807091003603	3.1285843425595848e-12	-1.831684692953884e-13	9.821590676653005e-24
0.00017908803034784144	3.541812299631805e-12	-2.0735798223467858e-13	1.2587431698619571e-23
0.00018477289467338465	4.009608925957587e-12	-2.347412201137497e-13	1.613206717953925e-23
0.0001906382159637907	4.539178406417089e-12	-2.657397172626827e-13	2.0674758202614034e-23
0.0001966897225380312	5.138675713617266e-12	-3.0083062360572725e-13	2.649648715381893e-23
0.00020293332455144136	5.817332037636464e-12	-3.4055403866951535e-13	3.3957329089365734e-23
0.00020937511976782544	6.585596753886058e-12	-3.8552131210353614e-13	4.351871128688061e-23
0.00021602139951478892	7.455298108186863e-12	-4.364244379804527e-13	5.577193617200116e-23
0.00022287865482811337	8.439825085032171e-12	-4.940466868845833e-13	7.147472959475994e-23
0.000229953582791174	9.554333249608202e-12	-5.592746387367283e-13	9.159807196610292e-23
0.00023725309307559287	1.0815977721420248e-11	-6.33111800730923e-13	1.1738620462248388e-22
0.000244784314689514	1.224417685293244e-11	-7.166940189997443e-13	1.5043351712275654e-22
0.0002525546029400918	1.3860910656807992e-11	-8.11306920048309e-13	1.9278306315453163e-22
0.00026057154661699323	1.5691058557303182e-11	-9.184056490200657e-13	2.470527875848694e-22
0.00026884297540392786	1.7762781643228832e-11	-1.0396372069514694e-12	3.16597257227105e-22
0.000277376967525446	2.010795528081522e-11	-1.1768657288707454e-12	4.0571487851905516e-22
0.00028618185763647154	2.2762658715169123e-11	-1.332201089501024e-12	5.199133915261325e-22
0.0002952662449622763	2.5767729160518982e-11	-1.5080312741216438e-12	6.662500244135893e-22
0.00030463900169684367	2.9169388865365115e-11	-1.707059009593834e-12	8.537672972411219e-22
0.0003143092816678264	3.301995475397822e-11	-1.932343215539292e-12	1.0940513622574096e-21
0.00032428652927655847	3.737864150737386e-11	-2.18734590915689e-12	1.4019473230630775e-21
0.000334580488721854	4.231247037409952e-11	-2.4759852802868776e-12	1.796475652267247e-21
0.00034520121351660067	4.7897297615575845e-11	-2.8026957473412946e-12	2.3020062223272124e-21
0.00035615907630644287	5.421897831683566e-11	-3.172495911035784e-12	2.9497623400270344e-21
0.0003674647790001423	6.137468335900075e-11	-3.591065443088279e-12	3.7797475084341465e-21
0.00037912936322151154	6.94743896860415e-11	-4.0648320830102266e-12	4.8432136821110194e-21
0.00039116422109312726	7.86425666406726e-11	-4.6010700698579524e-12	6.205823133620374e-21
0.0004035811063623555	8.902008413266168e-11	-5.208011509654495e-12	7.951698762870857e-21
0.00041639214588055446	1.0076637178258791e-10	-5.894972375755567e-12	1.018861238153765e-20
0.0004296098514466667	1.1406186200630275e-10	-6.672495061677515e-12	1.3054630554692962e-20
0.0004432471320267672	1.2911075432777703e-10	-7.552509657174511e-12	1.672662728520931e-20
0.00045731730636150143	1.4614414309595775e-10	-8.548516402424701e-12	2.14311876939343e-20
0.0004718341159737266	1.6542355630847607e-10	-9.675792096328218e-12	2.745857393443492e-20
0.00048681173858905946	1.8724495949490678e-10	-1.0951623597954156e-11	3.5180612915680545e-20
0.0005022648019824386	2.1194328567897882e-10	-1.239557197054298e-11	4.5073606548878136e-20
0.0005182083982642233	2.3989756042909256e-10	-1.4029771281323764e-11	5.774767398203638e-20
0.0005346580986197818	2.7153670003995154e-10	-1.5879266594684978e-11	7.39843305761717e-20
0.000551629968516965	3.0734607110088583e-10	-1.7972396288783134e-11	9.478461444951183e-20
0.0005691405833963162	3.4787491125196227e-10	-2.034122449533668e-11	1.214307192925303e-19
0.0005872070448593424	3.9374472398054356e-10	-2.3022030219125893e-11	1.5556492153792477e-19
0.0006058469973706564	4.456587750643061e-10	-2.60558605488838e-11	1.9929065166076067e-19
0.0006250786454903009	5.044128349429076e-10	-2.948915633755037e-11	2.553019183966415e-19
0.0006449207716530867	5.709073301491244e-10	-3.337445982164313e-11	3.270490341863878e-19
0.0006653927545123064	6.461610882332259e-10	-3.7771214882988626e-11	4.1895081662048367e-19
0.0006865145878657409	7.313268846898626e-10	-4.274667204956e-11	5.366662902414922e-19
0.0007083069001824416	8.277090276040687e-10	-4.8376911906322655e-11	6.8744255998286505e-19
0.0007307909747493591	9.367832464777609e-10	-5.474800236509383e-11	8.805601946443816e-19
0.0007539887704574946	1.0602191864380587e-09	-6.195730725074745e-11	1.1279034312131425e-18
0.0007779229432478741	1.199905848280645e-09	-7.01149659292737e-11	1.4446901531853576e-18
0.0008026168682382926	1.3579803591482406e-09	-7.934556626465303e-11	1.850406374718243e-18
0.0008280946625524344	1.5368605087441076e-09	-8.979003608390734e-11	2.3700024739171466e-18
0.0008543812088736681	1.7392815425756759e-09	-1.0160778159552853e-10	3.0354244256251874e-18
0.0008815021797465211	1.9683377676514283e-09	-1.1497910489364973e-10	3.887573762125153e-18
0.0009094840626495621	2.227529598259828e-09	-1.301079368427904e-10	4.978816186353077e-18
0.0009383541858641865	2.5208167510079078e-09	-1.472249263366072e-10	6.3761922710968835e-18
0.0009681407451645623	2.8526783903908405e-09	-1.6659093222735626e-10	8.165526537703256e-18
0.0009988728313548058	3.2281811301574573e-09	-1.8850097020793824e-10	1.0456686024874012e-17
0.001030580458680284	3.653055913158007e-09	-2.13288673682436e-10	1.3390309562979892e-17
