r	P	Q	rho
0.00010528042186071042	4.4125043469767686e-08	3.551552587221859e-07	1.2808227725923172e-13
0.0001086223811935124	4.695583665647541e-08	3.7737579904107074e-07	1.446173442979962e-13
0.00011207042570326092	4.997035512093142e-08	4.0098549368969997e-07	1.632864025404844e-13
0.00011562792289495745	5.3180721836452896e-08	4.26071083031785e-07	1.8436475697092438e-13
0.0001192983471696869	5.6599878105716665e-08	4.527247134878197e-07	2.0816321240421043e-13
0.0001230852832178637	6.024164047165563e-08	4.810442733779785e-07	2.3503264819646356e-13
0.0001269924295201908	6.412076174362226e-08	5.111337499847075e-07	2.653691824600118e-13
0.0001310236019597513	6.825299641158511e-08	5.431036080523625e-07	2.9962000059865403e-13
0.0001351827375487599	7.265517085058971e-08	5.770711920867802e-07	3.382899345877859e-13
0.00013947389827361444	7.734525859468762e-08	6.131611534349447e-07	3.8194888910875084e-13
0.0001439012750620022	8.234246113024774e-08	6.515059037215742e-07	4.312402234890515e-13
0.00014846919187593577	8.766729459294411e-08	6.922460962834538e-07	4.868902123609269e-13
0.00015318210993471606	9.334168283526418e-08	7.355311373066297e-07	5.497187237021032e-13
0.0001580446320719461	9.938905734765811e-08	7.815197284848365e-07	6.206512707314687e-13
0.00016306150723085163	1.0583446456173853e-07	8.3038044312601e-07	7.007326142152187e-13
0.00016823763510229845	1.1270468110474733e-07	8.822923377494721e-07	7.911421143943512e-13
0.00017357807091003603	1.2002833762067612e-07	9.374456013395035e-07	8.932110573027662e-13
0.00017908803034784144	1.278360518230346e-07	9.960422445511192e-07	1.0084422090761332e-12
0.00018477289467338465	1.3616057149812322e-07	1.058296831301647e-06	1.1385318843738022e-12
0.0001906382159637907	1.450369282360313e-07	1.124437255327528e-06	1.2853948517206484e-12
0.0001966897225380312	1.5450260272986677e-07	1.1947055644401048e-06	1.4511924399544525e-12
0.00020293332455144136	1.6459770255234657e-07	1.2693588353774522e-06	1.6383642566363125e-12
0.00020937511976782544	1.7536515339330398e-07	1.3486701023221091e-06	1.8496639819221853e-12
0.00021602139951478892	1.8685090482240494e-07	1.432929342337333e-06	2.088199760764253e-12
0.00022287865482811337	1.9910415172895579e-07	1.5224445211678293e-06	2.357479783269648e-12
0.000229953582791174	2.121775726857285e-07	1.6175427030553445e-06	2.661463718558398e-12
0.00023725309307559287	2.2612758658687986e-07	1.7185712284356756e-06	3.0046207526225137e-12
0.000244784314689514	2.410146290219951e-07	1.825898963612163e-06	3.3919950767225803e-12
0.0002525546029400918	2.5690344996982937e-07	1.9399176267422546e-06	3.829279781151702e-12
0.00026057154661699323	2.7386343452727654e-07	2.06104319472898e-06	4.322900231309716e-12
