r	P	Q	rho
0.00010528042186071042	-7.96469402962773e-06	9.431800287459066e-07	6.432593955221275e-11
0.0001086223811935124	-8.462822788386024e-06	1.0021754506733126e-06	7.262372518155806e-11
0.00011207042570326092	-8.99207478741365e-06	1.064857595398056e-06	8.199133068091715e-11
0.00011562792289495745	-9.554391650954557e-06	1.1314565238876308e-06	9.256659368527804e-11
0.0001192983471696869	-1.01518358458087e-05	1.2022166218544745e-06	1.0450509584610963e-10
0.0001230852832178637	-1.0786598172204684e-05	1.2773974883811062e-06	1.179824444719318e-10
0.0001269924295201908	-1.1461005726572116e-05	1.3572748805323522e-06	1.3319684736584295e-10
0.0001310236019597513	-1.2177530340392945e-05	1.4421417141891162e-06	1.5037201791499503e-10
0.0001351827375487599	-1.293879754797969e-05	1.5323091285537745e-06	1.697604532530545e-10
0.00013947389827361444	-1.3747596104512976e-05	1.6281076150782969e-06	1.916471330590963e-10
0.0001439012750620022	-1.4606888089212982e-05	1.729888216507158e-06	2.163536928924024e-10
0.00014846919187593577	-1.5519819629847966e-05	1.8380237994680408e-06	2.442431328304252e-10
0.00015318210993471606	-1.648973228618092e-05	1.9529104054545457e-06	2.757251299216501e-10
0.0001580446320719461	-1.7520175132428367e-05	2.0749686848542915e-06	3.112620317140873e-10
0.00016306150723085163	-1.8614917581171047e-05	2.204645419104649e-06	3.5137561797777006e-10
0.00016823763510229845	-1.977796299367683e-05	2.3424151363260743e-06	3.9665472885013964e-10
0.00017357807091003603	-2.1013563124275268e-05	2.4887818261101326e-06	4.4776387015587747e-10
0.00017908803034784144	-2.2326233449251117e-05	2.644280759475969e-06	5.054529207653943e-10
0.00018477289467338465	-2.3720769433715384e-05	2.80948042036722e-06	5.705680827599128e-10
0.0001906382159637907	-2.5202263793075e-05	2.9849845554397573e-06	6.440642330919529e-10
0.0001966897225380312	-2.677612480906472e-05	3.171434349290929e-06	7.270188556224736e-10
0.00020293332455144136	-2.8448095763837848e-05	3.3695107327040674e-06	8.206477551662968e-10
0.00020937511976782544	-3.0224275559344894e-05	3.579936831929384e-06	9.263227808078177e-10
0.00021602139951478892	-3.2111140593172885e-05	3.803480567495044e-06	1.0455918146218277e-09
0.00022287865482811337	-3.4115567966182726e-05	4.040957411541811e-06	1.1802013144571277e-09
0.000229953582791174	-3.624486010168026e-05	4.293233313202318e-06	1.332121736071964e-09
0.00023725309307559287	-3.8506770860499375e-05	4.561227802103478e-06	1.5035762011656856e-09
0.000244784314689514	-4.0909533241276375e-05	4.845917280659145e-06	1.6970728243100876e-09
0.0002525546029400918	-4.346188876036545e-05	5.14833851644159e-06	1.9154411640982564e-09
0.00026057154661699323	-4.617311861130059e-05	5.46959234657632e-06	2.161873322730959e-09
0.00026884297540392786	-4.9053076709461895e-05	5.810847606796944e-06	2.439970284573771e-09
0.000277376967525446	-5.211222473367025e-05	6.173345298527092e-06	2.7537941588674e-09
0.00028618185763647154	-5.536166928282792e-05	6.558403008126516e-06	3.107927075798215e-09
0.0002952662449622763	-5.881320127245908e-05	6.967419593250728e-06	3.5075375797031965e-09
0.00030463900169684367	-6.247933770310113e-05	7.401880152129488e-06	3.958455469604642e-09
