r	P	Q	rho
9.358259720952035e-05	1.8308883936779623e-08	-1.6153915891170478e-09	3.37824720996657e-16
9.655322772756656e-05	2.0077842986186192e-08	-1.771453783773354e-09	4.06257827485991e-16
9.961815618067635e-05	2.2017665183668597e-08	-1.9425882704821176e-09	4.885512293287471e-16
0.00010278037590662884	2.4144847662983345e-08	-2.1302500814393155e-09	5.875116340781445e-16
0.00010604297526194391	2.6477479533327353e-08	-2.3360346301981184e-09	7.065139802312538e-16
0.00010940914063810108	2.9035395271168848e-08	-2.5616912341311877e-09	8.496164405320389e-16
0.00011288215957350292	3.184034336152909e-08	-2.8091379806409663e-09	1.0216987215743493e-15
0.00011646542396422338	3.491617050367385e-08	-3.0804779636105037e-09	1.2286283071259136e-15
0.00012016243337667548	3.828902397654709e-08	-3.378017122909895e-09	1.4774603567592701e-15
0.00012397679846543505	4.198757341837057e-08	-3.70428379133491e-09	1.776678039969805e-15
0.0001279122444995575	4.6043253937261427e-08	-4.0620501228185635e-09	2.1364814843314302e-15
0.00013197261500083178	5.0490532634989024e-08	-4.4543555824659454e-09	2.569135169419937e-15
0.00013616187549752535	5.536720078505126e-08	-4.8845326968754075e-09	3.0893855824390257e-15
0.00014048411739728543	6.071469413125765e-08	-5.356235281495333e-09	3.714963339842908e-15
0.00014494356198297922	6.657844400924519e-08	-5.873469383002674e-09	4.4671868492852665e-15
0.0001495445645353764	7.300826225167818e-08	-6.440627197297544e-09	5.3716880357043864e-15
0.0001542916185866987	8.005876312183593e-08	-7.06252424870426e-09	6.459284801361771e-15
0.0001591893603091924	8.77898258311484e-08	-7.744440143296618e-09	7.767029872596475e-15
0.00016424257304300857	9.626710153677034e-08	-8.49216323920563e-09	9.339471674772167e-15
0.00016945619196781394	1.0556256908833005e-07	-9.312039609561727e-09	1.1230170074218502e-14
0.00017483530892269442	1.1575514420162175e-07	-1.02110267096412e-08	1.3503518475603252e-14
0.000180385177379059	1.269313471846094e-07	-1.1196752199124318e-08	1.6236934157908448e-14
0.0001861112175714004	1.3918603483137213e-07	-1.2277578413454024e-08	1.952349122377845e-14
0.0001920190217909235	1.5262320263659306e-07	-1.3462673025463509e-08	2.347508554804109e-14
0.0001981143598472119	1.6735686407129872e-07	-1.4762086490105642e-08	2.822623914932052e-14
0.00020440318470326576	1.835120143046361e-07	-1.6186836921690896e-08	3.393867308367438e-14
0.00021089163828941592	2.012256864618262e-07	-1.7749003114986565e-08	4.080680400360898e-14
0.00021758605750179017	2.2064810928085162e-07	-1.946182648935505e-08	4.90643508195164e-14
0.00022449298039119273	2.419439758762508e-07	-2.1339822809367557e-08	5.899227550034303e-14
0.0002316191525484384	2.6529383424454307e-07	-2.3398904616626207e-08	7.092832722542906e-14
0.00023897153369238031	2.9089561115986175e-07	-2.5656515396526272e-08	8.527851337436167e-14
0.00024655730446706306	3.1896628221862975e-07	-2.813177660111253e-08	1.0253088604710946e-13
0.00025438387345464136	3.497437020076099e-07	-3.0845648755823226e-08	1.2327211114115543e-13
0.00026245888441091226	3.8348860970033117e-07	-3.382110799463408e-08	1.4820738111587763e-13
