r	P	Q	rho
9.358259720952035e-05	-2.94930058431788e-07	-2.123057927158153e-06	4.594358701435651e-12
9.655322772756656e-05	-3.136097333169447e-07	-2.25483444018109e-06	5.182629417457895e-12
9.961815618067635e-05	-3.334837303971796e-07	-2.3947837035562963e-06	5.84620038525843e-12
0.00010278037590662884	-3.5462946372204334e-07	-2.54341196544534e-06	6.594706482510312e-12
0.00010604297526194391	-3.771294628334506e-07	-2.7012567729638453e-06	7.439014785220096e-12
0.00010940914063810108	-4.0107171969442373e-07	-2.8688889008778795e-06	8.39138204991893e-12
0.00011288215957350292	-4.26550060049948e-07	-3.046914401142599e-06	9.465632321618777e-12
0.00011646542396422338	-4.5366454061924726e-07	-3.2359767745132078e-06	1.0677357200604176e-11
0.00012016243337667548	-4.825218746738502e-07	-3.436759277549692e-06	1.2044141691362647e-11
0.00012397679846543505	-5.132358873624792e-07	-3.649987370577253e-06	1.35858188814502e-11
0.0001279122444995575	-5.459280035072278e-07	-3.876431315462512e-06	1.532475712851181e-11
0.00013197261500083178	-5.807277699768285e-07	-4.116908932473545e-06	1.7286183901102722e-11
0.00013616187549752535	-6.177734153235857e-07	-4.3722885258214935e-06	1.9498550945710858e-11
0.00014048411739728543	-6.572124494105981e-07	-4.64349198812403e-06	2.1993946047432336e-11
0.00014494356198297922	-6.992023060201167e-07	-4.931498094634528e-06	2.4808557322127828e-11
0.0001495445645353764	-7.439110316539844e-07	-5.237345998725913e-06	2.798319673338683e-11
0.0001542916185866987	-7.915180239905566e-07	-5.5621389408046905e-06	3.156389037911784e-11
0.0001591893603091924	-8.422148237332171e-07	-5.907048183555343e-06	3.560254405216045e-11
0.00016424257304300857	-8.96205963879167e-07	-6.273317187182398e-06	4.0157693660690655e-11
0.00016945619196781394	-9.537098807545305e-07	-6.662266039128851e-06	4.529535131277846e-11
0.00017483530892269442	-1.0149598915052667e-06	-7.075296153607944e-06	5.1089959242623755e-11
0.000180385177379059	-1.080205243105006e-06	-7.5138952571929476e-06	5.7625465303298216e-11
0.0001861112175714004	-1.1497122383431776e-06	-7.979642677669328e-06	6.499653549427781e-11
0.0001920190217909235	-1.2237654446922578e-06	-8.474214954368494e-06	7.330992095646546e-11
0.0001981143598472119	-1.3026689924244463e-06	-8.999391789274744e-06	8.26859990806898e-11
0.00020440318470326576	-1.386747968858676e-06	-9.557062359330851e-06	9.326051086927223e-11
0.00021089163828941592	-1.4763499161718873e-06	-1.0149232011565502e-05	1.0518651949956666e-10
0.00021758605750179017	-1.5718464408075958e-06	-1.0778029363931431e-05	1.1863661820324768e-10
0.00022449298039119273	-1.6736349431638856e-06	-1.1445713836080012e-05	1.338054191404126e-10
0.0002316191525484384	-1.7821404769463568e-06	-1.2154683635709858e-05	1.509123589637636e-10
0.00023897153369238031	-1.897817748333908e-06	-1.2907484227617834e-05	1.7020486129209433e-10
0.00024655730446706306	-2.0211532659315973e-06	-1.3706817314154627e-05	1.9196190140799503e-10
0.00025438387345464136	-2.152667653380721e-06	-1.4555550357448044e-05	2.1649802423411755e-10
0.00026245888441091226	-2.2929181374676195e-06	-1.5456726675509865e-05	2.4416787310654624e-10
0.00027079022373052773	-2.442501225626167e-06	-1.641357614619111e-05	2.753712941439991e-10
0.000279386028149179	-2.602055587871349e-06	-1.7429526554900612e-05	3.1055908921035813e-10
0.0002882546926902742	-2.7722651594406368e-06	-1.850821562405802e-05	3.5023949970087383e-10
0.00029740487886387016	-2.9538624817642583e-06	-1.965350376441975e-05	3.9498551377923576e-10
0.00030684552312586726	-3.1476323008441094e-06	-2.0869487590700647e-05	4.4544310139972543e-10
0.000316585845605727	-3.3544154437037864e-06	-2.2160514246320373e-05	5.023404946303268e-10
0.0003266353591112376	-3.575112995289805e-06	-2.3531196584637968e-05	5.664986456339677e-10
0.0003370038784191213	-3.8106908000682064e-06	-2.4986429256706485e-05	6.388430113741223e-10
0.0003477015298605576	-4.06218431458406e-06	-2.653140575838785e-05	7.204168329218688e-10
0.0003587387612109827	-4.330703839447717e-06	-2.8171636492623295e-05	8.123960984175118e-10
0.00037012635189382617	-4.617440161596028e-06	-2.9912967905762288e-05	9.161064025770847e-10
0.00038187542350814815	-4.923670640265364e-06	-3.1761602760120594e-05	1.0330419424655112e-09
0.00039399745069045966	-5.250765772923933e-06	-3.3724121608372045e-05	1.1648869194583756e-09
0.00040650427232133456	-5.6001962804627725e-06	-3.580750553898578e-05	1.3135396513042065e-09
0.00041940810308775694	-5.973540754258852e-06	-3.801916026570889e-05	1.4811397364524492e-09
0.0004327215454124973	-6.372493911322596e-06	-4.036694163807008e-05	1.6700986558611996e-09
0.0004464576017621676	-6.798875507650622e-06	-4.285918265405046e-05	1.883134245941791e-09
0.00046062968734597625	-7.254639964149181e-06	-4.550472206044119e-05	2.1233095308074337e-09
0.00047525164321758374	-7.741886764104059e-06	-4.8312934630990346e-05	2.3940764633265557e-09
0.0004903377497928578	-8.262871686179846e-06	-5.1293763217241913e-05	2.699325193488752e-09
0.0005059027407967255	-8.820018942370073e-06	-5.445775267199443e-05	3.0434395602278834e-09
0.0005219618176527488	-9.415934296226809e-06	-5.7816085750563785e-05	3.431359590187405e-09
0.0005385306643294724	-1.0053419243114466e-05	-6.138062110052988e-05	3.868651885164638e-09
0.0005556254626580453	-1.0735486341201387e-05	-6.516393345638882e-05	4.361588890490791e-09
0.0005732629081360769	-1.1465375789472378e-05	-6.917935616152606e-05	4.9172381609170934e-09
0.0005914602262331613	-1.2246573357266452e-05	-7.344102614617891e-05	5.543562880398643e-09
0.0006102351892139919	-1.3082829778773746e-05	-7.79639314965742e-05	6.249535049422883e-09
0.0006296061334955037	-1.3978181735623363e-05	-8.276396175721481e-05	7.04526293038383e-09
0.0006495919775549859	-1.49369745612266e-05	-8.785796111535086e-05	7.942134540389235e-09
0.0006702122404066618	-1.5963886811977974e-05	-9.326378462401187e-05	8.952979204539717e-09
0.000691487060664777	-1.7063956862837865e-05	-9.900035762760051e-05	1.009224943420959e-08
0.0007134372162118156	-1.824261169830779e-05	-0.00010508773856195292	1.1376225677640603e-08
0.0007360841444910528	-1.9505698084454287e-05	-0.0001115471853089632	1.2823246808114059e-08
0.0007594499634432606	-2.085951632353681e-05	-0.00011840122529434491	1.445396957245412e-08
0.0007835574931080188	-2.231085681005565e-05	-0.00012567372952585802	1.6291660624537326e-08
0.0008084302779107217	-2.3867039625772096e-05	-0.00013338999077836604	1.8362525220350752e-08
