r	P	Q	rho
9.358259720952035e-05	6.529108477982335e-13	-4.305363530565625e-14	4.281461906856405e-25
9.655322772756656e-05	7.390051155432637e-13	-4.873029307712468e-14	5.4850320226249495e-25
9.961815618067635e-05	8.364505644757503e-13	-5.515531303394933e-14	7.026916553676743e-25
0.00010278037590662884	9.467435671833913e-13	-6.242733443276247e-14	9.002205540875124e-25
0.00010604297526194391	1.0715777165969297e-12	-7.065799476600562e-14	1.1532713549314426e-24
0.00010940914063810108	1.2128697756074948e-12	-7.997363964239177e-14	1.4774488756198259e-24
0.00011288215957350292	1.3727891870991853e-12	-9.051726721661088e-14	1.8927435278808054e-24
0.00011646542396422338	1.5537912695463204e-12	-1.0245071531631269e-13	2.4247634583871904e-24
0.00012016243337667548	1.7586549050998785e-12	-1.1595714460887705e-13	3.1063131346177064e-24
0.00012397679846543505	1.990525174024539e-12	-1.3124384743292389e-13	3.9794154159144175e-24
0.0001279122444995575	2.252961594567988e-12	-1.4854542588305177e-13	5.0979016901491084e-24
0.00013197261500083178	2.5499927185963414e-12	-1.681273884432427e-13	6.530729683639105e-24
0.00013616187549752535	2.886177916218611e-12	-1.902902200598381e-13	8.366233331918426e-24
0.00014048411739728543	3.266677295614244e-12	-2.1537398792654986e-13	1.0717566508356977e-23
0.00014494356198297922	3.697330829028997e-12	-2.4376355347679364e-13	1.3729675929291882e-23
0.0001495445645353764	4.184747896346792e-12	-2.7589447031340494e-13	1.7588232714728415e-23
0.0001542916185866987	4.736408617042876e-12	-3.122596582913912e-13	2.2531072681794268e-23
0.0001591893603091924	5.360778521589111e-12	-3.534169558253622e-13	2.8862849902196e-23
0.00016424257304300857	6.0674383173072575e-12	-3.999976659044254e-13	3.6973805867057313e-23
0.00016945619196781394	6.867230734391999e-12	-4.5271622646949813e-13	4.7363809941086855e-23
0.00017483530892269442	7.77242669885376e-12	-5.123811529711267e-13	6.067315123497477e-23
0.000180385177379059	8.79691337443829e-12	-5.799074203409197e-13	7.772197753353771e-23
0.0001861112175714004	9.956406949662333e-12	-6.563304735717422e-13	9.956080903782332e-23
0.0001920190217909235	1.1268693424047406e-11	-7.428220809444249e-13	1.2753523612910786e-22
0.0001981143598472119	1.275390107518682e-11	-8.407082720391675e-13	1.6336878303432663e-22
0.00020440318470326576	1.443480877194818e-11	-9.514896344545833e-13	2.0926903680718665e-22
0.00021089163828941592	1.633719484624873e-11	-1.0768642791086628e-12	2.6806357211991628e-22
0.00021758605750179017	1.84902318547604e-11	-1.2187538246590764e-12	3.4337403492791738e-22
0.00022449298039119273	2.0926933262009003e-11	-1.3793327975716022e-12	4.398390947190354e-22
0.0002316191525484384	2.3684658868261633e-11	-1.5610618963819125e-12	5.633999799502599e-22
0.00023897153369238031	2.680568670137056e-11	-1.7667256275252865e-12	7.216661589749891e-22
0.00024655730446706306	3.033786010495634e-11	-1.999474886641569e-12	9.243836555702119e-22
0.00025438387345464136	3.4335319901336805e-11	-2.262875134505528e-12	1.1840347966014986e-21
0.00026245888441091226	3.88593328038206e-11	-2.5609609018235214e-12	1.5166062666987563e-21
0.00027079022373052773	4.397922871903002e-11	-2.8982974533621617e-12	1.94257268684892e-21
0.000279386028149179	4.977346123800786e-11	-3.280050550687001e-12	2.488156175226533e-21
0.0002882546926902742	5.633080749010577e-11	-3.712065375832028e-12	3.186939301841807e-21
0.00029740487886387016	6.375172565442808e-11	-4.200955817350369e-12	4.081930553696794e-21
0.00030684552312586726	7.214989082199878e-11	-4.754205477511159e-12	5.228209215348741e-21
0.000316585845605727	8.165393261409243e-11	-5.380281937277712e-12	6.6963121450713444e-21
0.0003266353591112376	9.240940102930947e-11	-6.08876601680676e-12	8.576570470203162e-21
0.0003370038784191213	1.0458099046030716e-10	-6.890497996574139e-12	1.098466252829965e-20
0.0003477015298605576	1.1835505574297018e-10	-7.797743021278692e-12	1.4068724016147478e-20
0.0003587387612109827	1.3394245853538734e-10	-8.824378199266228e-12	1.8018451849107643e-20
0.00037012635189382617	1.515817873381473e-10	-9.986104238713506e-12	2.307676053049377e-20
0.00038187542350814815	1.7154300013672655e-10	-1.13006848331479e-11	2.955470637360711e-20
0.00039399745069045966	1.9413154505648239e-10	-1.2788217428619916e-11	3.785059529101871e-20
0.00040650427232133456	2.1969302166742443e-10	-1.4471439479281984e-11	4.847444632996594e-20
0.00041940810308775694	2.4861845376849217e-10	-1.6376074834360357e-11	6.207931138121644e-20
0.0004327215454124973	2.8135025374261207e-10	-1.8531225505558136e-11	7.950137159977005e-20
0.0004464576017621676	3.183889690434006e-10	-2.096981474885356e-11	1.0181126873912075e-19
0.00046062968734597625	3.603009132091089e-10	-2.372908816868419e-11	1.3037981768463505e-19
0.00047525164321758374	4.077267971766795e-10	-2.6851180427180967e-11	1.6696212702628617e-19
0.0004903377497928578	4.613914917889955e-10	-3.038375612946885e-11	2.1380528133180972e-19
0.0005059027407967255	5.221150694778497e-10	-3.438073457279729e-11	2.7378618068562493e-19
0.0005219618176527488	5.908252924193815e-10	-3.890310930900904e-11	3.505879780763564e-19
0.0005385306643294724	6.685717362863111e-10	-4.40198748953442e-11	4.489259159466944e-19
0.0005556254626580453	7.565417633880188e-10	-4.980907481895789e-11	5.748363836845735e-19
0.0005732629081360769	8.5607858686324e-10	-5.635898639967113e-11	7.360468822337602e-19
0.0005914602262331613	9.687016990860983e-10	-6.376946053030587e-11	9.4244952590862e-19
0.0006102351892139919	1.0961299730331248e-09	-7.21534364348543e-11	1.2067070361709575e-18
0.0006296061334955037	1.2403077855658623e-09	-8.16386542459703e-11	1.5450282728023861e-18
0.0006495919775549859	1.4034345570077211e-09	-9.236959116350096e-11	1.9781606971751705e-18
0.0006702122404066618	1.5879981527087435e-09	-1.0450965029858992e-10	2.5326604000119154e-18
0.000691487060664777	1.796812650258157e-09	-1.182436350824393e-10	3.2425172573652514e-18
0.0007134372162118156	2.0330610414798767e-09	-1.337805463805389e-10	4.151234432973117e-18
0.0007360841444910528	2.3003435122981808e-09	-1.5135674426454215e-10	5.3144891386066926e-18
0.0007594499634432606	2.60273202708132e-09	-1.7123952182542288e-10	6.803536978629837e-18
0.0007835574931080188	2.9448320383909865e-09	-1.9373114454246536e-10	8.709567490699747e-18
0.0008084302779107217	3.3318522495740203e-09	-2.1917341564247903e-10	1.114927639911585e-17
0.0008340926096570547	3.76968347789513e-09	-2.4795283569317913e-10	1.4271994132243812e-17
0.0008605695512573886	4.2649878016912095e-09	-2.8050643348748643e-10	1.826880480780269e-17
0.0008878869612042718	4.8252993283191425e-09	-3.1732835521946967e-10	2.3384210892903462e-17
0.0009160715188269192	5.459138092713224e-09	-3.589773101718293e-10	2.993105342453078e-17
0.0009451507503473638	6.176138791693634e-09	-4.0608498379138437e-10	3.830959538832375e-17
0.0009751530557637228	6.987196279622978e-09	-4.593655433055881e-10	4.9031928552353615e-17
0.0010061077365868258	7.90462999980384e-09	-5.196263771351808e-10	6.27531870056135e-17
0.0010380450244573012	8.942369806762751e-09	-5.877802275170225e-10	8.031146335676205e-17
0.0010709961106710657	1.011616595134838e-08	-6.64858896227184e-10	1.0277885090711272e-16
0.001104993176642051	1.1443826357971285e-08	-7.52028726380329e-10	1.3152670891669954e-16
0.0011400694253319275	1.2945484726494408e-08	-8.506080893065858e-10	1.6830910892549382e-16
0.0011762591136775069	1.4643903446062725e-08	-9.62087134841827e-10	2.153695197926359e-16
0.0012135975860475053	1.656481582108226e-08	-1.08815009642785e-09	2.755771938187331e-16
0.001252121308761339	1.87373126879894e-08	-1.23070047967336e-09	3.526015104381568e-16
0.0012918679057036596	2.1194279153678727e-08	-1.391889505000704e-09	4.511348252381917e-16
0.0013328761950694233	2.3972887921805736e-08	-1.574148222287795e-09	5.771772979371912e-16
0.0013751862272753652	2.7115156502135575e-08	-1.7802237686730922e-09	7.384009088018538e-16
0.0014188393240749208	3.066857653246305e-08	-2.0132203006689198e-09	9.446146425065686e-16
0.0014638781189147824	3.46868244956388e-08	-2.2766451992612004e-09	1.2083589069545673e-15
0.0015103465985725143	3.923056430080265e-08	-2.5744612227004377e-09	1.5456650259465996e-15
0.0015582901461158852	4.4368353534790974e-08	-2.9111453672625765e-09	1.9770255627375332e-15
0.001607755585225878	5.017766669566153e-08	-3.291755292560278e-09	2.528633887926999e-15
0.0016587912259266614	5.6746050416493935e-08	-3.722004276339439e-09	3.2339675537043607e-15
0.0017114469117671873	6.417242759779888e-08	-4.208345785586777e-09	4.135810638045805e-15
0.0017657740685004942	7.256856951763617e-08	-4.758068887865248e-09	5.288836501377665e-15
0.0018218257543082537	8.206075740978525e-08	-5.379405880947741e-09	6.7629059142996e-15
0.0018796567116196208	9.279165772556146e-08	-6.081653692121984e-09	8.64727825508865e-15
0.0019393234205749856	1.0492243836173445e-07	-6.8753107933255096e-09	1.1055987970276783e-14
0.002000884154186851	1.186351565876433e-07	-7.772231597150963e-09	1.4134707962574396e-14
0.002064399035251701	1.341354532862794e-07	-8.785800544660572e-09	1.8069510119526203e-14
0.002129930095068451	1.5165559248977922e-07	-9.931128372129869e-09	2.3098046044169703e-14
0.0021975413340208118	1.714578900987447e-07	-1.1225273353954433e-08	2.952381483898421e-14
0.002267298784082756	1.938385811935106e-07	-1.2687490667075272e-08	3.7734367978540323e-14
0.0023392705733081146	2.191321815482368e-07	-1.4339513412959422e-08	4.8224534635009855e-14
0.0024135269923672934	2.477164059286924e-07	-1.6205869271489797e-08	6.162604796507333e-14
0.0024901405631960923	2.800177135848324e-07	-1.831423725273576e-08	7.874533120742674e-14
0.0025691861098236703	3.1651756014373204e-07	-2.069584956380593e-08	1.0061168406850872e-13
0.0026507408314488377	3.5775944498333573e-07	-2.3385944225860297e-08	1.2853872286211947e-13
0.0027348843778360284	4.043568542525776e-07	-2.6424274768711007e-08	1.642027078780926e-13
0.002821698927104608	4.5700221214362244e-07	-2.985568410598423e-08	2.097423837776008e-13
0.0029112692659874696	5.16476966978952e-07	-3.3730750562240233e-08	2.6788622095326955e-13
0.003003682872637324	5.836629543300612e-07	-3.8106514995526745e-08	3.421145507423994e-13
0.003099030002061525	6.595551969366715e-07	-4.3047299046533126e-08	4.3686612776137316e-13
0.0031974037742689087	7.452763208694911e-07	-4.862562576209765e-08	5.578012459295203e-13
0.003298900265214696	8.420927894250198e-07	-5.492325520102108e-08	7.121368299634872e-13
0.003403618600632304	9.514331809351265e-07	-6.203234915027605e-08	9.090731101254348e-13
0.003511661052843701	1.0749087643256828e-06	-7.005678077784182e-08	1.1603368041571208e-12
0.0036231331406428474	1.2143366572102942e-06	-7.911360694453201e-08	1.4808724798484454e-12
0.003738143732349776	1.3717658859379951e-06	-8.933472301341794e-08	1.889722338559137e-12
0.0038568051521359714	1.549506705750271e-06	-1.0086872235619363e-07	2.4111455303148282e-12
0.0039792332897248634	1.7501635825117157e-06	-1.1388298538801116e-07	3.076041899911129e-12
0.004105547713574594	1.9766722858793894e-06	-1.2856602589562672e-07	3.923762548778246e-12
0.004235871787653601	2.2323415978436806e-06	-1.4513012569082793e-07	5.004411762846312e-12
0.004370332791923041	2.5209002009444e-06	-1.6381429225801776e-07	6.3817729454695115e-12
0.0045090620466437465	2.846549377843314e-06	-1.8488757811101705e-07	8.137026777039917e-12
0.004652195040629097	3.214022229094905e-06	-2.086528050729584e-07	1.0373474882180996e-11
0.0047998715635690905	3.6286501997577353e-06	-2.3545074169208523e-07	1.3222539323965204e-11
0.00495223584255482	4.09643779887362e-06	-2.656647875573347e-07	1.6851380419388436e-11
0.005109436682936699	4.624146499850558e-06	-2.997262244375697e-07	2.147256666169577e-11
0.005271627613654022	5.219388925561136e-06	-3.3812010099924477e-07	2.735634595896997e-11
0.005438967037177764	5.89073455076667e-06	-3.81391825426658e-07	3.4846213272098483e-11
0.005611618384213085	6.64782829767609e-06	-4.301545486502073e-07	4.437865401110744e-11
0.005789750273312616	7.501523559556376e-06	-4.850974301609461e-07	5.650817523132811e-11
0.0059735366755564205	8.464031363979197e-06	-5.469948886405977e-07	7.193903033862248e-11
0.006163157084459443	9.549087583319343e-06	-6.167169509583842e-07	9.156541347150306e-11
0.00635879669127242	1.0772140317481258e-05	-6.952408255802906e-07	1.165223668250588e-10
0.006560646565847425	1.2150559814661569e-05	-7.836638402110404e-07	1.482502328241229e-10
0.00676890384324471	1.3703873562585196e-05	-8.832178986604252e-07	1.8857622447583562e-10
0.006983771916263069	1.5454029477604316e-05	-9.95285628618105e-07	2.3981762057719686e-10
0.007205460634081796	1.7425690445055774e-05	-1.1214184103673053e-06	3.049122667380188e-10
0.007434186507208199	1.9646563824284808e-05	-1.263356496609091e-06	3.875835397392209e-10
0.007670172918930839	2.214776992894105e-05	-1.4230514556544487e-06	4.925487882707456e-10
0.007913650343485042	2.4964253930954687e-05	-1.602691194428861e-06	6.257825933938863e-10
0.008164856571143702	2.8135246118669303e-05	-1.8047278441886824e-06	7.94849116749686e-10
0.008424036940453242	3.170477596985756e-05	-2.0319088207431048e-06	1.0093214727546712e-09
0.008691444577841542	3.572224608294393e-05	-2.2873114024888784e-06	1.2813106586623584e-09
0.008967340644831833	4.024307264912887e-05	-2.5743812038818214e-06	1.6261323348259639e-09
0.009251994593103996	4.532939984892306e-05	-2.8969749592781566e-06	2.063146954578231e-09
0.009545684427652391	5.105089632377683e-05	-3.2594080725708097e-06	2.6168177564445507e-09
0.0098486969782972	5.748564271217223e-05	-3.6665074319121824e-06	3.3180423947797874e-09
0.01016132817981447	6.472112015509141e-05	-4.123670036244225e-06	4.205828048697598e-09
0.010483883360958436	7.285531067371721e-05	-4.636928031531624e-06	5.329397394933458e-09
0.0108166775426584	8.199792140824478e-05	-5.213020809688064e-06	6.750834701234929e-09
0.0111600357456814	9.227174588655923e-05	-5.859474882357381e-06	8.548408534850738e-09
0.011514293308061117	0.00010381417677107806	-6.58469230510049e-06	1.0820741471409493e-08
0.011879796212603091	0.00011677888591704022	-7.398048495258083e-06	1.3692039317563285e-08
0.012256901424786047	0.00013133768907158688	-8.310000358887914e-06	1.731864467662955e-08
0.012645977241389364	0.00014768261415552356	-9.332205718751582e-06	2.1897244587386345e-08
0.013047403650187164	0.00016602819380370505	-1.0477655116335086e-05	2.7675142394457506e-08
0.013461572701060336	0.00018661400470004036	-1.1760817146253344e-05	3.4963103570134293e-08
0.013888888888888888	0.00020970747823295603	-1.3197798570959392e-05	4.4151408313945344e-08
0.01432976954859865	0.00023560700911964247	-1.4806520557214052e-05	5.5729895797314495e-08
0.014784645262748046	0.00026464539090421057	-1.66069124729256e-05	7.031297246872583e-08
0.015253960282053136	0.0002971936096262302	-1.8621124783276102e-05	8.867078789086245e-08
0.015738172959261477	0.0003336650294804339	-2.0873762687904197e-05	1.1176806586692977e-07
0.01623775619679867	0.0003745200069419114	-2.3392142245547558e-05	1.408124279186053e-07
0.016753197908624732	0.0004202709726075913	-2.6206570838012004e-05	1.773144747716185e-07
0.017285001496751322	0.000471488022894826	-2.9350653930474097e-05	2.2316241661941844e-07
0.017833686342885298	0.000528805066728518	-3.286163018855374e-05	2.807146853364017e-07
0.01839978831567869	0.0005929265754223194	-3.6780737112670106e-05	3.5291474646459075e-07
0.018983860294080505	0.0006646349870950428	-4.115360944498917e-05	4.434332856411785e-07
0.019586472707301537	0.0007447988201330427	-4.603071269154359e-05	5.56844108982464e-07
0.02020821409191946	0.0008343815533791099	-5.146781417927036e-05	6.988415125157284e-07
0.020849691666668373	0.0009344513338573574	-5.752649413181126e-05	8.765085928748919e-07
0.021511531925474076	0.001046191575882504	-6.42746992955961e-05	1.0986480504170561e-06
