r	P	Q	rho
9.358259720952035e-05	-9.992860869387923e-06	1.3363707418554466e-06	1.0164315511463164e-10
9.655322772756656e-05	-1.0612871278305455e-05	1.419297162291575e-06	1.1464744120476978e-10
9.961815618067635e-05	-1.1271311733996954e-05	1.5073646435946744e-06	1.2931461637369672e-10
0.00010278037590662884	-1.1970560533224292e-05	1.600891447255308e-06	1.4585717290548222e-10
0.00010604297526194391	-1.2713142801449078e-05	1.7002154928278302e-06	1.645147326120883e-10
0.00010940914063810108	-1.3501739520445694e-05	1.8056955675896008e-06	1.8555750656077787e-10
0.00011288215957350292	-1.4339197119806492e-05	1.9177126117636015e-06	2.0929019570198396e-10
0.00011646542396422338	-1.522853763727877e-05	2.036671079530399e-06	2.3605638765621156e-10
0.00012016243337667548	-1.6172969510462293e-05	2.163000386161326e-06	2.6624351345687693e-10
0.00012397679846543505	-1.7175899025250682e-05	2.297156441728904e-06	3.0028843504338393e-10
0.0001279122444995575	-1.8240942462126548e-05	2.4396232794729203e-06	3.3868374365235755e-10
0.00013197261500083178	-1.937193898320641e-05	2.5909147831424853e-06	3.8198485938257843e-10
0.00013616187549752535	-2.0572964304432304e-05	2.7515765198954605e-06	4.3081803361628576e-10
0.00014048411739728543	-2.1848345200248836e-05	2.9221876849295034e-06	4.8588936885519e-10
0.00014494356198297922	-2.3202674890864703e-05	3.1033631646336188e-06	5.479949850227682e-10
0.0001495445645353764	-2.4640829365142875e-05	3.29575572539172e-06	6.180324776035398e-10
0.0001542916185866987	-2.6167984695295537e-05	3.5000583356043456e-06	6.970138313658549e-10
0.0001591893603091924	-2.7789635402862197e-05	3.7170066289386904e-06	7.860799741035862e-10
0.00016424257304300857	-2.951161393894039e-05	3.94738151729e-06	8.865171781241034e-10
0.00016945619196781394	-3.134011134532715e-05	4.192011962436507e-06	9.997755434307144e-10
0.00017483530892269442	-3.328169916712582e-05	4.451777915897736e-06	1.1274898260635383e-09
0.000180385177379059	-3.534335269148823e-05	4.727613437063463e-06	1.2715029082852312e-09
0.0001861112175714004	-3.753247559150823e-05	5.020510000249641e-06	1.4338922446897678e-09
0.0001920190217909235	-3.985692605887019e-05	5.331520001959737e-06	1.6169996603935424e-09
0.0001981143598472119	-4.23250445136991e-05	5.661760480286854e-06	1.8234649248227486e-09
0.00020440318470326576	-4.494568298516876e-05	6.012417059085788e-06	2.0562635778956744e-09
0.00021089163828941592	-4.772823626181653e-05	6.384748130276352e-06	2.3187495453508458e-09
0.00021758605750179017	-5.068267491619933e-05	6.780089288412138e-06	2.614703147419982e-09
0.00022449298039119273	-5.381958031452215e-05	7.19985803246427e-06	2.9483851809189406e-09
0.0002316191525484384	-5.715018172819217e-05	7.645558750629883e-06	3.3245978401747235e-09
0.00023897153369238031	-6.068639567091334e-05	8.118788004882154e-06	3.748753338194868e-09
0.00024655730446706306	-6.444086759195607e-05	8.62124013293512e-06	4.2269511974337455e-09
0.00025438387345464136	-6.842701606362986e-05	9.154713186304624e-06	4.766065300895759e-09
0.00026245888441091226	-7.26590796087714e-05	9.72111522420894e-06	5.373841930796126e-09
0.00027079022373052773	-7.715216632225475e-05	1.0322470984171725e-05	6.059010175435928e-09
0.000279386028149179	-8.192230644915245e-05	1.096092895136826e-05	6.831406257425788e-09
0.0002882546926902742	-8.698650809124568e-05	1.1638768849996695e-05	7.702113530252005e-09
0.00029740487886387016	-9.236281622311619e-05	1.2358409581261444e-05	8.68362010804335e-09
0.00030684552312586726	-9.807037520907648e-05	1.3122417633929544e-05	9.789996338208309e-09
0.000316585845605727	-0.00010412949502272164	1.39335159948652e-05	1.1037094601666177e-08
0.0003266353591112376	-0.0001105617213819455	1.4794593588466152e-05	1.2442774234386828e-08
0.0003370038784191213	-0.00011738991002386716	1.5708715275521178e-05	1.4027154711019019e-08
0.0003477015298605576	-0.00012463830535629114	1.667913244368386e-05	1.581290062116202e-08
0.0003587387612109827	-0.00013233262373509166	1.7709294223517392e-05	1.782554240650845e-08
0.00037012635189382617	-0.00014050014163029267	1.8802859365911613e-05	2.009383731846655e-08
0.00038187542350814815	-0.00014916978895763156	1.996370881861011e-05	2.265017560745859e-08
0.00039399745069045966	-0.00015837224786706582	2.1195959041615585e-05	2.5531037574161178e-08
0.00040650427232133456	-0.00016814005729503365	2.2503976103368975e-05	2.8777507807638202e-08
0.00041940810308775694	-0.00017850772360332724	2.3892390601825516e-05	3.243585371471208e-08
0.0004327215454124973	-0.0001895118376442032	2.536611345688196e-05	3.6558176319190237e-08
0.0004464576017621676	-0.00020119119860886124	2.6930352623047987e-05	4.120314229007196e-08
0.00046062968734597625	-0.0002135869450346808	2.859063077380243e-05	4.6436807257291666e-08
0.00047525164321758374	-0.00022674269336563993	3.03528040117375e-05	5.2333541706079564e-08
0.0004903377497928578	-0.00024070468448016087	3.222308166137115e-05	5.897707212244919e-08
0.0005059027407967255	-0.00025552193862125075	3.420804720440514e-05	6.646165161030105e-08
0.0005219618176527488	-0.00027124641918523887	3.631468042022428e-05	7.489337593483734e-08
0.0005385306643294724	-0.0002879332058476708	3.855038079757448e-05	8.439166288935518e-08
0.0005556254626580453	-0.0003056406775279984	4.092299228662532e-05	9.509091505746512e-08
0.0005732629081360769	-0.0003244307057186147	4.344082946401756e-05	1.0714238847760021e-07
0.0005914602262331613	-0.00034436885872851777	4.61127051870203e-05	1.2071629244164688e-07
