r	P	Q	rho
0.0001005663731206786	1.6195346131706915e-08	-1.3282537552772924e-09	2.6405349436420235e-16
0.00010375869248335511	1.7763573755049288e-08	-1.456859380656562e-09	3.176669918060829e-16
0.00010705234694042834	1.948361234488192e-08	-1.5979130079474794e-09	3.8216447598660296e-16
0.00011045055321309368	2.1370152090211756e-08	-1.752618979261561e-09	4.597550736452497e-16
0.00011395663013223824	2.3439303939369527e-08	-1.9222980874300733e-09	5.530961990990812e-16
0.0001175740018797504	2.5708736799303088e-08	-2.1083988179810713e-09	6.653844933915048e-16
0.00012130620133271956	2.819782840583774e-08	-2.3125097107207163e-09	8.004652279672474e-16
0.0001251568735137923	3.0927830148374625e-08	-2.536372862768815e-09	9.629638649857006e-16
0.00012912977915105424	3.392204818041209e-08	-2.781898768655787e-09	1.1584443135132478e-15
0.0001332287983509153	3.720604194405131e-08	-3.0511825828804767e-09	1.3935992722965787e-15
0.0001374579343875842	4.0807841831418864e-08	-3.346521951695926e-09	1.6764791641112819e-15
0.00014182131761283418	4.4758187855256446e-08	-3.670436564148075e-09	2.0167674846578607e-15
0.00014632320948987802	4.909079134423437e-08	-4.02568958859113e-09	2.426111971466847e-15
0.0001509680067552918	5.384262188136927e-08	-4.415311175759668e-09	2.918522903838893e-15
0.00015576024571305227	5.905422191691104e-08	-4.842624227409207e-09	3.510852135619667e-15
0.00016070460666488213	6.477005172000286e-08	-5.31127264844669e-09	4.2233692169579835e-15
0.00016580591848122843	7.103886758951963e-08	-5.825252321429207e-09	5.0804542730096195e-15
0.00017106916331734108	7.791413652491383e-08	-6.388945065214129e-09	6.111431289469235e-15
0.000176499481479054	8.545449086514931e-08	-7.007155864646689e-09	7.351570242333338e-15
0.00018210217644302397	9.372422674046266e-08	-7.685153685670188e-09	8.843292265270025e-15
0.00018788272003632836	1.0279385055053892e-07	-8.428716220368935e-09	1.0637618968130042e-14
0.0001938467577804813	1.1274067808679057e-07	-9.24417893945327e-09	1.279591533973397e-14
0.00020000011440508695	1.236494913591359e-07	-1.0138488865842574e-08	1.5391985669855833e-14
0.0002063487995365148	1.3561325867265729e-07	-1.1119263522594418e-08	1.8514593949101954e-14
0.00021289901356715308	1.4873392403079338e-07	-1.2194855551792286e-08	2.2270494659526897e-14
0.0002196571537109722	1.6312327252367558e-07	-1.3374423548497732e-08	2.6788077244087944e-14
0.00022662982025131265	1.7890387899766913e-07	-1.4668009705886044e-08	3.2221748429144606e-14
0.00023382382298699843	1.9621014800037226e-07	-1.6086624924644534e-08	3.875720167979418e-14
0.0002412461878830728	2.151894537600309e-07	-1.7642342102086862e-08	4.6617753244387545e-14
0.00024890416393265027	2.360033897958182e-07	-1.934839838473584e-08	5.607196051517135e-14
0.0002568052302365878	2.588291386726056e-07	-2.121930724291004e-08	6.744278202587192e-14
0.0002649571033078887	2.838609734182355e-07	-2.327098130772622e-08	8.111859080097276e-14
0.00027336774460797283	3.113119032211262e-07	-2.552086700056836e-08	9.756641573962053e-14
0.0002820453683221744	3.414154772303107e-07	-2.7988092083204015e-08	1.1734786139085872e-13
0.0002909984493820596	3.7442776159855724e-07	-3.069362736414765e-08	1.4113824741647518e-13
0.00030023573174240136	4.1062950635281916e-07	-3.366046391444935e-08	1.697496183184959e-13
0.00030976623692089165	4.503285202566634e-07	-3.6913807274779126e-08	2.041584053240756e-13
0.0003195992728089351	4.938622735593898e-07	-4.048129027652032e-08	2.455386801077014e-13
0.00032974444276212604	5.416007504203272e-07	-4.4393206253718415e-08	2.953021296173467e-13
0.0003402116549792888	5.939495748696322e-07	-4.868276459139338e-08	3.551461090560779e-13
0.0003510111321792404	6.51353436435579e-07	-5.338637074027045e-08	4.271114037372554e-13
0.00036215342158472746	7.142998440511542e-07	-5.8543933029894956e-08	5.136516593061121e-13
0.00037364940522328574	7.833232395697648e-07	-6.419919883298706e-08	6.177168347808685e-13
0.00038551031055508587	8.590095051928751e-07	-7.040012287552518e-08	7.428535073125972e-13
0.0003977477214381416	9.420009023652996e-07	-7.71992707513451e-08	8.933254274615782e-13
