r	P	Q	rho
0.0001005663731206786	4.4535167942650364e-07	3.4337826508586547e-06	1.1989201411705898e-11
0.00010375869248335511	4.737827741408532e-07	3.6480065072527026e-06	1.3532421594030665e-11
0.00010705234694042834	5.040484316608848e-07	3.875584684307359e-06	1.5274221466697573e-11
0.00011045055321309368	5.362688625877327e-07	4.117348657165565e-06	1.724014425764422e-11
0.00011395663013223824	5.705723242320407e-07	4.374181573838133e-06	1.9459017218084596e-11
0.0001175740018797504	6.070956747161078e-07	4.647021456067833e-06	2.196337357141381e-11
0.00012130620133271956	6.459849667193872e-07	4.9368646018366025e-06	2.4789928674094723e-11
0.0001251568735137923	6.873960832820697e-07	5.244769191593136e-06	2.7980117248396053e-11
0.00012912977915105424	7.31495419941477e-07	5.571859120524267e-06	3.158069960836481e-11
0.0001332287983509153	7.784606152609638e-07	5.91932806624734e-06	3.564444568537595e-11
0.0001374579343875842	8.284813344976548e-07	6.2884438067731646e-06	4.0230906832554785e-11
0.00014182131761283418	8.817601097856448e-07	6.680552804325317e-06	4.540728666258805e-11
0.00014632320948987802	9.385132413681776e-07	7.09708507113852e-06	5.124942361120066e-11
0.0001509680067552918	9.98971764413985e-07	7.53955933445196e-06	5.784289954381807e-11
0.00015576024571305227	1.0633824864223974e-06	8.00958851893311e-06	6.528429055505497e-11
0.00016070460666488213	1.1320091005923167e-06	8.50888556585871e-06	7.368257817670253e-11
0.00016580591848122843	1.2051333809634937e-06	9.039269609541658e-06	8.316074153989591e-11
0.00017106916331734108	1.2830564656008216e-06	9.6026725327196e-06	9.385755366456754e-11
0.000176499481479054	1.3661002345945432e-06	1.020114592392005e-05	1.0592960801206992e-10
0.00018210217644302397	1.4546087901928628e-06	1.0836868461191932e-05	1.1955360477768272e-10
0.00018788272003632836	1.5489500469724442e-06	1.1512153748048122e-05	1.3492893016671438e-10
0.0001938467577804813	1.6495174405904338e-06	1.2229458629002722e-05	1.5228056614530114e-10
0.00020000011440508695	1.7567317643532564e-06	1.2991392013714951e-05	1.7186237294590433e-10
0.0002063487995365148	1.8710431435870888e-06	1.3800724240473498e-05	1.9396079200675707e-10
0.00021289901356715308	1.992933158607596e-06	1.4660397011576257e-05	2.1889902311171167e-10
