r	P	Q	rho
0.0001005663731206786	-8.37789372816648e-06	1.0400278621755737e-06	7.127076127455273e-11
0.00010375869248335511	-8.900365709423405e-06	1.1048946510249085e-06	8.043730195134344e-11
0.00010705234694042834	-9.45538831641385e-06	1.1738034259747604e-06	9.078218269700562e-11
0.00011045055321309368	-1.0044986378281636e-05	1.2470056890942007e-06	1.0245677452849691e-10
0.00011395663013223824	-1.0671310380339336e-05	1.3247685566487915e-06	1.156318769622234e-10
0.0001175740018797504	-1.133664423053797e-05	1.4073757248934443e-06	1.305002088408092e-10
0.00012130620133271956	-1.2043413513711208e-05	1.495128496495511e-06	1.4727921828327468e-10
0.0001251568735137923	-1.2794194237934544e-05	1.588346867641322e-06	1.6621425196994347e-10
0.00012912977915105424	-1.3591722127312876e-05	1.6873706846987862e-06	1.875821302136673e-10
0.0001332287983509153	-1.4438902483387068e-05	1.792560869994317e-06	2.1169517939739604e-10
0.0001374579343875842	-1.5338820650881737e-05	1.9043007239227017e-06	2.389057802070486e-10
0.00014182131761283418	-1.629475312519094e-05	2.0229973064861246e-06	2.6961149751297005e-10
0.00014632320948987802	-1.731017934026753e-05	2.149082903745842e-06	3.042608661193975e-10
0.0001509680067552918	-1.8388794178176345e-05	2.283016584123937e-06	3.4335991605071715e-10
0.00015576024571305227	-1.95345212439896e-05	2.4252858500572256e-06	3.8747953168636884e-10
0.00016070460666488213	-2.075152695228564e-05	2.5764083907688448e-06	4.3726375104746155e-10
0.00016580591848122843	-2.2044235474261313e-05	2.736933942279776e-06	4.93439125049084e-10
0.00017106916331734108	-2.341734459736718e-05	2.907446261143036e-06	5.568252717532766e-10
0.000176499481479054	-2.4875842552441087e-05	3.0885652187684213e-06	6.283467778044247e-10
0.00018210217644302397	-2.6425025866556085e-05	3.280949023611991e-06	7.090466185436987e-10
0.00018788272003632836	-2.8070518303224213e-05	3.485296578934257e-06	8.001012900547764e-10
0.0001938467577804813	-2.9818290955215993e-05	3.702349984285272e-06	9.02837870896053e-10
0.00020000011440508695	-3.1674683559078625e-05	3.9328971893548525e-06	1.018753258869801e-09
0.0002063487995365148	-3.364642710447358e-05	4.177774809333432e-06	1.1495358592541558e-09
0.00021289901356715308	-3.574066781571769e-05	4.437871111464832e-06	1.2970900359154523e-09
0.0002196571537109722	-3.796499258741319e-05	4.714129183038291e-06	1.463563676116712e-09
0.00022662982025131265	-4.032745596080288e-05	5.007550291664671e-06	1.6513792641940468e-09
0.00023382382298699843	-4.2836608732499725e-05	5.319197449312756e-06	1.863268909206047e-09
0.0002412461878830728	-4.5501528292528935e-05	5.650199192247562e-06	2.102313827867886e-09
0.00024890416393265027	-4.8331850794198265e-05	6.001753589715332e-06	2.3719888473443042e-09
