r	P	Q	rho
0.00011820959647518364	1.2551353867965316e-08	-8.741059488947378e-10	1.5830054512878108e-16
0.00012196197186639988	1.3771514809103176e-08	-9.5907257243971e-10	1.905744403365542e-16
0.0001258334604387491	1.5110257936830553e-08	-1.0522956438771198e-09	2.294272210396735e-16
0.0001298278432504785	1.657910326430116e-08	-1.1545771156680003e-09	2.761997133643856e-16
0.0001339490213835081	1.8190689358683256e-08	-1.2667967880585244e-09	3.3250595344634766e-16
0.00013820101975339083	1.995888178353775e-08	-1.3899198538923038e-09	4.002888392494791e-16
0.00014258799104021423	2.189889239069215e-08	-1.5250051978945358e-09	4.818871287927198e-16
0.00014711421974428215	2.4027409688037394e-08	-1.673214465393397e-09	5.801160629639949e-16
0.00015178412637053743	2.636274214041524e-08	-1.835822032123956e-09	6.983644156956572e-16
0.0001566022717458127	2.892497530351503e-08	-2.0142259339607247e-09	8.407113024219944e-16
0.00016157336147312526	3.1736144164867347e-08	-2.2099598551046817e-09	1.012066769014418e-15
0.00016670225052736648	3.482042218552088e-08	-2.4247062768163203e-09	1.2183410017067471e-15
0.00017199394799687418	3.820432865104952e-08	-2.6603108991373062e-09	1.466647981757472e-15
0.00017745362197551845	4.191695610296308e-08	-2.918798458406864e-09	1.7655505933785319e-15
0.00018308660461007905	4.599021979232943e-08	-3.2023900755029057e-09	2.1253556187424495e-15
0.00018889839730784388	5.0459131284203695e-08	-3.5135222826307337e-09	2.5584687687870464e-15
0.0001948946761095141	5.536209854688458e-08	-3.854867890749031e-09	3.0798219619700875e-15
0.00020108129723266408	6.074125508503562e-08	-4.229358875327679e-09	3.707387545801679e-15
0.00020746430279116877	6.664282092234132e-08	-4.640211475238447e-09	4.462797143022187e-15
0.00021404992669618605	7.311749850970075e-08	-5.0909537183260856e-09	5.37208639807823e-15
0.00022084460074445607	8.022090693124593e-08	-5.585455607750909e-09	6.466591223217778e-15
0.000227854960899864	8.801405810519131e-08	-6.127962225705263e-09	7.784026345183664e-15
0.00023508785377440047	9.656387903238736e-08	-6.72313003577349e-09	9.36978321125946e-15
0.0002425503433148508	1.0594378453544096e-07	-7.376066692232706e-09	1.1278491841540202e-14
0.00025024971770174127	1.1623430535862801e-07	-8.092374694204802e-09	1.3575900270394186e-14
0.0002581934964672831	1.275237769671256e-07	-8.878199255014185e-09	1.6341136113972926e-14
0.0002663894378392622	1.3990909489722588e-07	-9.74028079264976e-09	1.966942790488062e-14
0.0002748455463180508	1.5349654307143457e-07	-1.068601248616767e-08	2.3675379597735302e-14
0.0002835700804941381	1.6840270210836736e-07	-1.1723503385525109e-08	2.849691060902994e-14
0.00029257156111381696	1.847554453322508e-07	-1.2861647609057558e-08	3.429999655913789e-14
0.00030185877940090147	2.0269503092620274e-07	-1.4110200213986318e-08	4.128437331225307e-14
0.000311440805642606	2.223752994834231e-07	-1.547986038139213e-08	4.96903998977695e-14
0.00032132699804796803	2.439649870976697e-07	-1.698236261847413e-08	5.980731556967148e-14
0.00033152701188746814	2.676491651062327e-07	-1.863057674813468e-08	7.198317397203153e-14
0.00034205080892277186	2.9363081866308e-07	-2.0438617529540903e-08	8.663679475526943e-14
0.00035290866713580507	3.221325774856596e-07	-2.242196483391372e-08	1.0427214198456775e-13
0.00036411119076666215	3.53398613395607e-07	-2.4597595388043842e-08	1.254956216488116e-13
0.00037566932067015186	3.876967206717756e-07	-2.6984127194649306e-08	1.5103689034010583e-13
0.0003875943450010955	4.253205967650277e-07	-2.960197784445636e-08	1.8177388712486298e-13
0.00039989791023881306	4.6659234260061997e-07	-3.247353805066372e-08	2.1876294484706222e-13
0.0004125920325615633	5.118652035294424e-07	-3.562336186317563e-08	2.632750104946722e-13
0.00042568910958204806	5.615265739987894e-07	-3.90783751586868e-08	3.1683921271186097e-13
0.0004392019324554412	6.160012912130681e-07	-4.286810415448937e-08	3.8129526512996723e-13
0.0004531436983717676	6.757552454627357e-07	-4.702492585997056e-08	4.588564954225379e-13
0.00046752802344483303	7.412993374352754e-07	-5.158434256151086e-08	5.521856520794817e-13
0.00048236895601029247	8.131938157064818e-07	-5.658528263533335e-08	6.64486076114188e-13
0.0004976809903458439	8.920530307669378e-07	-6.207043020038062e-08	7.996113480057396e-13
0.0005134790808269489	9.78550645392746e-07	-6.808658636124084e-08	9.621971488408864e-13
0.0005297786565319036	1.0734253449489933e-06	-7.46850650513969e-08	1.1578198301205965e-12
0.0005465956363105229	1.177487095349359e-06	-8.192212677169531e-08	1.3931870945690681e-12
0.0005639464443311592	1.2916240009186825e-06	-8.985945383016996e-08	1.6763672811918412e-12
0.0005818480261212332	1.416809819353232e-06	-9.856467102966184e-08	2.0170650585909237e-12
0.000600317865116948	1.5541121963851023e-06	-1.0811191612171961e-07	2.4269529053604365e-12
0.0006193739997383467	1.704701688675493e-06	-1.1858246475195703e-07	2.9200696483197267e-12
0.00063903504100639	1.8698616499332416e-06	-1.300654150665537e-07	3.5132996020874995e-12
0.0006593201907192617	2.0509990623308965e-06	-1.426584376353659e-07	4.2269485835107804e-12
0.0006802492602056493	2.2496564030262387e-06	-1.5646859687792798e-07	5.085436353485902e-12
0.0007018426896733205	2.4675246440530477e-06	-1.7161325075856252e-07	6.118128976845041e-12
0.0007241215681718867	2.7064574930868977e-06	-1.8822103615033313e-07	7.36033932033572e-12
0.0007471076541892562	2.968486992691655e-06	-2.0643294795951622e-07	8.854529587782804e-12
0.0007708233969018845	3.2558406066882214e-06	-2.2640352085790467e-07	1.0651756610416782e-11
0.0007952919580995836	3.570959934344049e-06	-2.483021232953197e-07	1.2813408797123419e-11
0.0008205372348062978	3.916521206252513e-06	-2.723143743654258e-07	1.5413293477511673e-11
0.0008465838826189413	4.2954577301561645e-06	-2.986436950810804e-07	1.854014516817003e-11
0.0008734573397870867	4.710984470676619e-06	-3.27513006688365e-07	2.2300639452506318e-11
0.0009011838520570304	5.1666249640654716e-06	-3.591665898191021e-07	2.682301415854682e-11
0.0009297904983044877	5.6662407878146525e-06	-3.9387211955874124e-07	3.2261419912060115e-11
0.000959305216980961	6.214063825401473e-06	-4.319228928993763e-07	3.8801146611573757e-11
0.0009897568333996026	6.814731588746167e-06	-4.736402665665337e-07	4.666490172876808e-11
0.0010211750878872277	7.473325885293661e-06	-5.193763248642851e-07	5.6120351554629814e-11
0.001053590664829964	8.195415143176702e-06	-5.695167989881546e-07	6.748917875333972e-11
0.001087035222640912	8.9871007368692e-06	-6.244842612221536e-07	8.115796024714909e-11
0.00112154142467908	9.85506768730887e-06	-6.847416195791279e-07	9.759123020702326e-11
0.0011571429711497926	1.08066401448859e-05	-7.5079594077758e-07	1.1734716576574764e-10
0.0011938746320177228	1.1849842101208265e-05	-8.232026319896495e-07	1.4109642039688259e-10
0.0012317722809647024	1.2993463816433517e-05	-9.025700145617089e-07	1.6964473458015297e-10
0.0012708729304254645	1.424713449349259e-05	-9.895643259201803e-07	2.0396007883080022e-10
0.0013112147677355386	1.5621401779038572e-05	-1.0849151891513543e-06	2.4520523450980077e-10
0.0013528371924266091	1.7127818723773006e-05	-1.1894215933074438e-06	2.947768979610552e-10
0.001395780854705749	1.877903889230232e-05	-1.3039584313658331e-06	3.543526093093332e-10
0.0014400876951561194	2.0588920375254552e-05	-1.4294836469803077e-06	4.259470657155562e-10
0.0014858009856979035	2.2572639524470988e-05	-1.567046045739758e-06	5.119796884111785e-10
