r	P	Q	rho
0.00011820959647518364	2.422022170915518e-07	2.1688046178238467e-06	4.762375384258105e-12
0.00012196197186639988	2.57927568847548e-07	2.3053308981210853e-06	5.381077180603376e-12
0.0001258334604387491	2.746883913354266e-07	2.4504448750332678e-06	6.0801337979112515e-12
0.0001298278432504785	2.9255422316541826e-07	2.604686085197596e-06	6.869977575913899e-12
0.0001339490213835081	3.115993979205975e-07	2.7686279005013063e-06	7.762394636218751e-12
0.00013820101975339083	3.3190338607824705e-07	2.9428796432219495e-06	8.770700452180356e-12
0.00014258799104021423	3.5355116229274175e-07	3.128088835679164e-06	9.909938188259177e-12
0.00014711421974428215	3.766335999213475e-07	3.3249435857901426e-06	1.1197102717276724e-11
0.00015178412637053743	4.0124789524177275e-07	3.5341751236001487e-06	1.2651393677710078e-11
0.0001566022717458127	4.274980231644464e-07	3.7565604950533975e-06	1.4294501312805336e-11
0.00016157336147312526	4.5549522735274996e-07	3.9929254230739595e-06	1.615092933637149e-11
0.00016670225052736648	4.853585471902095e-07	4.244147346441862e-06	1.8248359617640087e-11
0.00017199394799687418	5.172153846069117e-07	4.511158647364483e-06	2.061806409576543e-11
0.00017745362197551845	5.512021138744013e-07	4.794950079371937e-06	2.3295370034008554e-11
0.00018308660461007905	5.874647377812866e-07	5.096574407863944e-06	2.6320185513030143e-11
0.00018889839730784388	6.261595938719889e-07	5.417150276381429e-06	2.9737592953897326e-11
0.0001948946761095141	6.674541147381913e-07	5.757866312469736e-06	3.359851946755477e-11
0.00020108129723266408	7.11527646683e-07	6.119985487839403e-06	3.796049396335915e-11
0.00020746430279116877	7.585723314373219e-07	6.504849748419423e-06	4.288850223153449e-11
0.00021404992669618605	8.087940559982321e-07	6.913884930839164e-06	4.845595266190295e-11
0.00022084460074445607	8.62413476083033e-07	7.348605982871821e-06	5.474576689522914e-11
0.000227854960899864	9.196671191532355e-07	7.81062250642732e-06	6.185161154796062e-11
0.00023508785377440047	9.808085734630664e-07	8.301644642799506e-06	6.98792892331004e-11
0.0002425503433148508	1.0461097701308476e-06	8.823489321054323e-06	7.894830944992288e-11
0.00025024971770174127	1.115862365822543e-06	9.378086891696621e-06	8.919366256767109e-11
0.0002581934964672831	1.1903792342791146e-06	9.967488169076371e-06	1.0076782312208038e-10
0.0002663894378392622	1.2699960756176411e-06	1.059387190739514e-05	1.1384301202238016e-10
0.0002748455463180508	1.3550731530953931e-06	1.125955273665406e-05	1.286137510797338e-10
0.0002835700804941381	1.445997167851657e-06	1.1966989586450445e-05	1.4529974757164839e-10
0.00029257156111381696	1.543183283039943e-06	1.2718794627185352e-05	1.6414915141357294e-10
0.00030185877940090147	1.6470773097397857e-06	1.351774275999439e-05	1.8544223298964041e-10
0.000311440805642606	1.7581580680995756e-06	1.4366781688563348e-05	2.0949553587926276e-10
0.00032132699804796803	1.8769399383175129e-06	1.526904260794434e-05	2.36666565695271e-10
0.00033152701188746814	2.003975617325047e-06	1.6227851547552526e-05	2.6735908412423623e-10
0.00034205080892277186	2.139859098405269e-06	1.7246741407703782e-05	3.0202908614523207e-10
0.00035290866713580507	2.2852288924674304e-06	1.8329464731356e-05	3.4119154842899145e-10
0.00036411119076666215	2.440771511318974e-06	1.948000725514716e-05	3.8542804823105227e-10
0.00037566932067015186	2.6072252350397982e-06	2.0702602286388453e-05	4.353953648546047e-10
0.0003875943450010955	2.7853841874828918e-06	2.2001745955377456e-05	4.91835190156848e-10
0.00039989791023881306	2.976102746014747e-06	2.338221339525114e-05	5.555850908158984e-10
0.0004125920325615633	3.180300313883467e-06	2.484907590460956e-05	6.275908833995346e-10
0.00042568910958204806	3.398966486078604e-06	2.6407719151314928e-05	7.089206039482108e-10
0.0004392019324554412	3.633166642242704e-06	2.806386247921599e-05	8.007802771026523e-10
0.0004531436983717676	3.884048003129813e-06	2.9823579383071968e-05	9.045317161090121e-10
0.00046752802344483303	4.1528461903022895e-06	3.1693319220662155e-05	1.0217126147031015e-09
0.00048236895601029247	4.440892332237436e-06	3.367993023497528e-05	1.1540592253393273e-09
0.0004976809903458439	4.7496207638051525e-06	3.579068396348568e-05	1.3035319559740803e-09
0.0005134790808269489	5.080577370204608e-06	3.803330111585031e-05	1.4723442601835758e-09
