r	P	Q	rho
0.00011820959647518364	1.359765663977958e-06	-1.4298807814282537e-07	1.8694082514243953e-12
0.00012196197186639988	1.4453308060370445e-06	-1.5198670557316005e-07	2.112081097550675e-12
0.0001258334604387491	1.536275007943286e-06	-1.615511199935193e-07	2.386239664402304e-12
0.0001298278432504785	1.632935917343255e-06	-1.717168447557291e-07	2.695966384922521e-12
0.0001339490213835081	1.7356723271936314e-06	-1.8252162869613474e-07	3.045872572327646e-12
0.00013820101975339083	1.8448654947856236e-06	-1.9400558504800234e-07	3.4411668608804213e-12
0.00014258799104021423	1.9609205444078605e-06	-2.0621133916080654e-07	3.887732497879313e-12
0.00014711421974428215	2.084267954398376e-06	-2.191841850561949e-07	4.392214612710738e-12
0.00015178412637053743	2.215365138011752e-06	-2.329722520306542e-07	4.962118764934064e-12
0.0001566022717458127	2.3546981219118703e-06	-2.476266813780836e-07	5.605922218665612e-12
0.00016157336147312526	2.502783328521127e-06	-2.6320181417370734e-07	6.333199584507622e-12
0.00016670225052736648	2.6601694686933275e-06	-2.7975539064134425e-07	7.154764680761031e-12
0.00017199394799687418	2.82743955143261e-06	-2.973487618816821e-07	8.082830703198008e-12
0.00017745362197551845	3.005213017824733e-06	-3.1604711469690884e-07	9.131191061211478e-12
0.00018308660461007905	3.1941480067735163e-06	-3.359197103190978e-07	1.0315423540956093e-11
0.00018889839730784388	3.3949437605894615e-06	-3.570401378917216e-07	1.1653120797631055e-11
0.0001948946761095141	3.608343178960624e-06	-3.794865836061274e-07	1.3164150564288711e-11
0.00020108129723266408	3.835135530345928e-06	-4.033421164486149e-07	1.487094939902299e-11
0.00020746430279116877	4.076159330370984e-06	-4.2869499157108354e-07	1.6798854282368562e-11
0.00021404992669618605	4.332305397377407e-06	-4.556389723587838e-07	1.8976476929277583e-11
0.00022084460074445607	4.6045200958805385e-06	-4.842736723327995e-07	2.143612630308242e-11
0.000227854960899864	4.8938087793289065e-06	-5.147049180926769e-07	2.4214285521345472e-11
0.00023508785377440047	5.201239444233698e-06	-5.470451345762986e-07	2.7352150135516067e-11
0.0002425503433148508	5.527946608449954e-06	-5.814137539898985e-07	3.089623565920197e-11
0.00025024971770174127	5.8751354271449576e-06	-6.179376498412374e-07	3.4899063226385077e-11
0.0002581934964672831	6.244086060785764e-06	-6.567515975936433e-07	3.941993339544089e-11
0.0002663894378392622	6.636158310318993e-06	-6.979987635481018e-07	4.4525799393530516e-11
0.0002748455463180508	7.052796535604358e-06	-7.418312236551245e-07	5.0292252537022504e-11
0.0002835700804941381	7.495534874101224e-06	-7.884105140579723e-07	5.680463418754481e-11
0.00029257156111381696	7.966002777797416e-06	-8.379082152742497e-07	6.415929043310023e-11
0.00030185877940090147	8.465930887413937e-06	-8.905065720342125e-07	7.246498774530545e-11
0.000311440805642606	8.997157264021267e-06	-9.463991509116083e-07	8.184451018637688e-11
0.00032132699804796803	9.561633999364823e-06	-1.0057915380068597e-06	9.243646135573555e-11
0.00033152701188746814	1.0161434227422472e-05	-1.0689020790731587e-06	1.0439729721287985e-10
0.00034205080892277186	1.0798759561008144e-05	-1.1359626646139802e-06	1.179036192318617e-10
0.00035290866713580507	1.1475947978596212e-05	-1.2072195626258996e-06	1.3315476107983314e-10
0.00036411119076666215	1.2195482187974229e-05	-1.282934301813872e-06	1.5037570621996732e-10
0.00037566932067015186	1.2959998494840504e-05	-1.3633846082675642e-06	1.6982037857632903e-10
0.0003875943450010955	1.3772296206050932e-05	-1.448865398757413e-06	1.9177535373092135e-10
0.00039989791023881306	1.463534759889028e-05	-1.5396898339881051e-06	2.1656404412522983e-10
0.0004125920325615633	1.5552308489500207e-05	-1.636190435335643e-06	2.4455141849326406e-10
0.00042568910958204806	1.6526529435443312e-05	-1.7387202687923995e-06	2.7614932335368374e-10
0.0004392019324554412	1.7561567609323367e-05	-1.8476542000530683e-06	3.118224829398094e-10
0.0004531436983717676	1.8661199382420126e-05	-1.963390224893585e-06	3.52095263565645e-10
0.00046752802344483303	1.9829433659436868e-05	-2.0863508792253784e-06	3.9755929924525234e-10
0.00048236895601029247	2.1070526007703777e-05	-2.2169847334491766e-06	4.48882087549668e-10
0.0004976809903458439	2.238899362653436e-05	-2.3557679759864617e-06	5.068166783656795e-10
0.0005134790808269489	2.3789631204899216e-05	-2.503206091133036e-06	5.722125935998001e-10
0.0005297786565319036	2.527752771816568e-05	-2.6598356366584995e-06	6.460281331566727e-10
0.0005465956363105229	2.685808421735636e-05	-2.826226126868121e-06	7.293442419467988e-10
0.0005639464443311592	2.8537032667209193e-05	-3.0029820271502166e-06	8.233801345047519e-10
0.0005818480261212332	3.032045589227852e-05	-3.1907448663530638e-06	9.295108983177656e-10
0.000600317865116948	3.221480869340604e-05	-3.3901954736710277e-06	1.0492873245024486e-09
0.0006193739997383467	3.4226940200113565e-05	-3.6020563470705218e-06	1.184458245389621e-09
0.00063903504100639	3.6364117527831725e-05	-3.827094160652874e-06	1.3369956932924618e-09
0.0006593201907192617	3.863405081238023e-05	-4.066122418733687e-06	1.5091232336977064e-09
0.0006802492602056493	4.104491969776088e-05	-4.320004264817189e-06	1.7033478698436781e-09
0.0007018426896733205	4.360540135711443e-05	-4.58965545405958e-06	1.9224959647020157e-09
0.0007241215681718867	4.632470013062873e-05	-4.876047498248016e-06	2.169753681397844e-09
0.0007471076541892562	4.921257886826969e-05	-5.1802109927716055e-06	2.4487125047952966e-09
0.0007708233969018845	5.227939206943756e-05	-5.503239135528055e-06	2.763420476132779e-09
0.0007952919580995836	5.5536120916029296e-05	-5.846291448194262e-06	3.118439850097056e-09
0.0008205372348062978	5.8994410299912126e-05	-6.210597710791545e-06	3.518911970559667e-09
0.0008465838826189413	6.266660795047898e-05	-6.597462120995952e-06	3.970630258457012e-09
0.0008734573397870867	6.656580577276383e-05	-7.008267690181254e-06	4.480122314194557e-09
0.0009011838520570304	7.070588351153491e-05	-7.444480888736573e-06	5.054742258849508e-09
0.0009297904983044877	7.51015548618525e-05	-7.907656553771464e-06	5.7027745748402445e-09
0.000959305216980961	7.976841615176642e-05	-8.399443072908368e-06	6.433550859296418e-09
0.0009897568333996026	8.472299772812732e-05	-8.921587858464857e-06	7.257581073956575e-09
0.0010211750878872277	8.998281818188163e-05	-9.47594312694498e-06	8.186701066098662e-09
0.001053590664829964	9.556644155470017e-05	-1.006447199938943e-05	9.234238348054416e-09
0.001087035222640912	0.00010149353767433705	-1.0689254938776372e-05	1.041519836079823e-08
0.00112154142467908	0.00010778494577170794	-1.1352496541317551e-05	1.1746473712730647e-08
0.0011571429711497926	0.00011446274153829312	-1.2056532699155138e-05	1.324707918118789e-08
0.0011938746320177228	0.00012155030778808368	-1.2803838152631976e-05	1.493841559481667e-08
0.0012317722809647024	0.0001290724088938682	-1.3597034450978398e-05	1.6844566083526998e-08
0.0012708729304254645	0.0001370552691731664	-1.4438898340929832e-05	1.89926285934288e-08
0.0013112147677355386	0.00014552665540451716	-1.5332370603457267e-05	2.1413089021546844e-08
0.0013528371924266091	0.000154515963660075	-1.628056535945349e-05	2.4140239834225055e-08
0.001395780854705749	0.00016405431064550938	-1.7286779865867234e-05	2.721264959950425e-08
0.0014400876951561194	0.0001741746297429806	-1.835450482440975e-05	3.0673689493453665e-08
0.0014858009856979035	0.00018491177195741613	-1.9487435225568155e-05	3.457212354010218e-08
0.0015329653718494803	0.0001963026119703647	-2.068948175124077e-05	3.896277012152249e-08
0.001581626916330112	0.00020838615950927536	-2.196478275985382e-05	4.390724315671272e-08
0.001631833144046728	0.00022120367624305532	-2.3317716878318647e-05	4.947478230385986e-08
0.0016836330885087452	0.0002347987984170887	-2.475291622563484e-05	5.574318259978195e-08
0.0017370773397162509	0.00024921766544245833	-2.6275280293326403e-05	6.279983512308196e-08
0.0017922180935683212	0.00026450905465476185	-2.78899905082058e-05	7.07428915649036e-08
0.0018491092028397249	0.00028072452245752987	-2.960252550317976e-05	7.968256702517459e-08
0.0019078062297758075	0.0002979185520636864	-3.1418677121929466e-05	8.974259693581549e-08
0.0019683665003569074	0.0003161487080455726	-3.3344567183299464e-05	1.0106186575952629e-07
0.00203084916028532	0.00033547579789960707	-3.5386665031098634e-05	1.1379622703840118e-07
0.002095315232749467	0.0003559640408254856	-3.755180589473392e-05	1.2812053648676373e-07
0.0021618276780217102	0.0003776812439117073	-3.9847210085643794e-05	1.4423092215430396e-07
0.002230451454947993	0.00040069898590892303	-4.2280503053851113e-05	1.62347318246926e-07
0.0023012535843893733	0.00042509280875987744	-4.4859736328090486e-05	1.8271629200278754e-07
0.002374303214677416	0.0004509424170392719	-4.759340936185772e-05	2.0561419609990597e-07
0.0024496716891473504	0.00047833188543842134	-5.04904923063487e-05	2.313506824404125e-07
0.00252743261581497	0.0005073498744077638	-5.356044972957407e-05	2.6027261683680794e-07
0.0026076619392653077	0.0005380898540447652	-5.681326529891661e-05	2.927684381398418e-07
0.0026904380148233065	0.0005706503362851509	-6.02594674420098e-05	3.2927300971875044e-07
0.00277584168507892	0.0006051351154212657	-6.391015599801358e-05	3.70273015955599e-07
0.0028639563588413754	0.0006416535169322694	-6.777702986811018e-05	4.1631296156929285e-07
0.002954868092599724	0.0006803206545663376	-7.18724156702901e-05	4.6800183716385307e-07
0.003048665674569213	0.0007212576955645118	-7.620929739919967e-05	5.260205204211096e-07
0.00314544071140559	0.0007645921338588062	-8.080134708692379e-05	5.911299888498241e-07
0.0032452877176720046	0.0008104580710129904	-8.566295645502585e-05	6.641804269787131e-07
0.003348304208145901	0.0008589965046025356	-9.080926954190216e-05	7.461213183541078e-07
0.003454590793056036	0.0009103556236498189	-9.625621628246676e-05	8.380126206838677e-07
0.0035642512763426615	0.0009646911106411177	-0.0001020205470092998	9.410371309620701e-07
0.003677392757036804	0.0010221664495524577	-0.00010811986783559432	1.0565141564114633e-06
