r	P	Q	rho
9.490066195895024e-05	5.596260104346048e-07	4.0831591059013865e-06	1.6985369555660363e-11
9.791313234344777e-05	5.95125561669658e-07	4.336866163723261e-06	1.9162582556200343e-11
0.00010102122880293944	6.328988877831907e-07	4.606324827667608e-06	2.161878942014422e-11
0.00010422798683489122	6.730936779756353e-07	4.8925118523070354e-06	2.4389727324295587e-11
0.00010753653829380228	7.158674046841579e-07	5.196464445889512e-06	2.751570887848303e-11
0.00011095011444990532	7.613879889893575e-07	5.519283999717683e-06	3.104220753931689e-11
0.00011447204914496072	8.098345130260976e-07	5.862140051464008e-06	3.502051792146666e-11
0.00011810578204822652	8.613979821353858e-07	6.226274484806065e-06	3.950850044377394e-11
0.00012185486201578356	9.162821416424564e-07	6.613005991205918e-06	4.4571421202818257e-11
0.00012572295055649751	9.74704350935521e-07	7.023734804608515e-06	5.0282899177201655e-11
0.00012971382540800198	1.036896520081988e-06	7.459947726242387e-06	5.67259744716271e-11
0.00013383138422619562	1.1031061130680628e-06	7.923223457486585e-06	6.399431305395379e-11
0.00013807964839185672	1.1735972228505498e-06	8.415238259414747e-06	7.219356540420028e-11
0.00014246276693809226	1.248651723496979e-06	8.937771958872267e-06	8.144289871539538e-11
0.0001469850206024578	1.3285705052001455e-06	9.492714322114932e-06	9.187672478857372e-11
0.00015165082600770565	1.4136747983812912e-06	1.0082071818290236e-05	1.0364664858474058e-10
0.00015646473997524374	1.504307593588285e-06	1.0707974796375766e-05	1.1692366557594602e-10
0.00016143146397551905	1.6008351644211792e-06	1.1372685100596704e-05	1.3190063962098164e-10
0.00016655584871967067	1.7036487012879796e-06	1.207860415083436e-05	1.4879509712995325e-10
0.0001718428988969381	1.8131660644104184e-06	1.2828281516114133e-05	1.6785237783380505e-10
0.00017729777806245068	1.92983366516726e-06	1.3624424010928584e-05	1.893491876047802e-10
0.0001829258136801725	2.054128485585449e-06	1.4469905345915046e-05	2.135976045550344e-10
0.0001887325023259272	2.186560246571908e-06	1.5367776366272103e-05	2.4094959615564e-10
0.0001947235150555844	2.3276737363260918e-06	1.6321275913271365e-05	2.718021124599143e-10
0.0002009047029436515	2.478051311291079e-06	1.7333842346305543e-05	3.066028287879667e-10
0.000207282102797678	2.638315582994945e-06	1.8409125765117527e-05	3.4585662055138797e-10
0.0002138619430540556	2.809132305211064e-06	1.9551000974183817e-05	3.9013286340071703e-10
0.00022065064986097037	2.991213477032829e-06	2.0763581233686253e-05	4.4007366371307075e-10
0.0002276548533544489	3.1853206787228817e-06	2.205123284410563e-05	4.964031377712624e-10
0.0002348813941336277	3.392268658567559e-06	2.3418590614216176e-05	5.599378730081537e-10
0.0002423373299415688	3.6129291904532215e-06	2.4870574265159535e-05	6.315987216140447e-10
0.0002500299425581485	3.848235223492143e-06	2.6412405826337864e-05	7.124240958704919e-10
0.000257966744911749	4.099185346772646e-06	2.8049628082097144e-05	8.035849560511683e-10
0.00026615548841669973	4.366848594202864e-06	2.9788124131581756e-05	9.06401705923215e-10
0.00027460417054363376	4.652369616472616e-06	3.163413812773923e-05	1.0223632381331623e-09
0.0002833210426301534	4.956974249387309e-06	3.3594297265249245e-05	1.1531484024550218e-09
0.000292314617939433	5.281975510246616e-06	3.5675635091153075e-05	1.3006502044479577e-09
0.00030159367997462886	5.628780056565311e-06	3.788561621617878e-05	1.467003081004776e-09
0.0003111672910572175	5.998895144281933e-06	4.023216250920504e-05	1.6546136431191726e-09
0.00032104480117763865	6.393936125692206e-06	4.272368086199166e-05	1.8661953255767444e-09
0.0003312358571268888	6.815634530699609e-06	4.5369092616240807e-05	2.104807438877101e-09
0.00034175041191798224	7.265846778617934e-06	4.817786475025084e-05	2.3738991813038152e-09
0.0003525987345064809	7.746563571715103e-06	5.116004292789523e-05	2.6773592395547066e-09
0.0003637914198195881	8.259920025980992e-06	5.432628651841728e-05	3.019571685716769e-09
0.0003753393991035984	8.808206599264056e-06	5.768790570158764e-05	3.405478967730587e-09
0.00038725395059981225	9.393880881984036e-06	6.125690077914059e-05	3.840652891090381e-09
0.00039954671055933937	1.0019580321125949e-05	6.504600382009948e-05	4.331374602775891e-09
0.00041222968460755057	1.0688135954191552e-05	6.906872277463609e-05	4.884724715894817e-09
0.00042531525946927463	1.140258723626977e-05	7.333938819849598e-05	5.508684857010434e-09
0.0004388162150661944	1.2166198050431723e-05	7.787320273777747e-05	6.2122520796413205e-09
0.0004527457369982545	1.2982473999307624e-05	8.268629353198942e-05	7.005567769201014e-09
0.0004671174294212717	1.3855181084014532e-05	8.779576770184806e-05	7.900062869227701e-09
0.0004819453283333244	1.4788365885633116e-05	9.321977109721869e-05	8.908621488985206e-09
0.0004972439152828979	1.5786377374240266e-05	9.897755048998145e-05	1.0045765211598752e-08
0.0005130281315121724	1.685389048116014e-05	0.00010508951940641412	1.1327860713422029e-08
0.0005293133925492664	1.7995931581672497e-05	0.00011157732780395335	1.27733536333631e-08
0.0005461156032636903	1.9217906047993267e-05	0.00011846393580793668	1.4403031999976439e-08
0.000563451173399708	2.0525628046004808e-05	0.00012577369173514944	1.624032293937134e-08
0.0005813370336027824	2.1925352764055903e-05	0.0001335324146427226	1.831162685414429e-08
0.0005997906519547552	2.3423811278275888e-05	0.0001417674816531578	2.0646693789078712e-08
0.0006188300510339074	2.5028248276363368e-05	0.00015050792031900994	2.327904729053673e-08
0.0006384738255165671	2.6746462880838288e-05	0.00015978450630404372	2.6246461731463048e-08
0.0006587411603374505	2.8586852833414983e-05	0.00016962986667151247	2.959149982191442e-08
0.0006796518494264739	3.05584623246049e-05	0.0001800785890845886	3.3362117866340414e-08
0.0007012263150403372	3.2671033777042753e-05	0.0001911673372389172	3.761234727507856e-08
0.0007234856277077568	3.493506391751381e-05	0.00020293497286277116	4.2403061901734436e-08
0.0007464515268078281	3.736186450142149e-05	0.0002154226846363556	4.78028419749573e-08
0.0007701464418016163	3.996362808466744e-05	0.00022867412439845337	5.388894673908895e-08
0.0007945935141377091	4.275349927182836e-05	0.00024273555102580165	6.074840943178578e-08
0.0008198166198531264	4.574565190633395e-05	0.0002576559823883572	6.847926992884492e-08
0.0008458403928916611	4.895537270832072e-05	0.00027348735580191304	7.719196230053278e-08
0.0008726902491624222	5.239915190922303e-05	0.0002902846974183776	8.701087667608485e-08
0.0009003924113620784	5.609478147925213e-05	0.0003081063010133812	9.807611723335331e-08
0.0009289739345850448	6.006146159501272e-05	0.0003270139166507276	1.1054548085217822e-07
0.0009584627327466224	6.431991604995049e-05	0.00034707294972351286	1.2459668403045277e-07
0.0009888876058449022	6.889251737047158e-05	0.0003683526708924628	1.4042986910325175e-07
0.0010202782680880486	7.380342246581393e-05	0.00039092643746314247	1.5827042467529165e-07
0.0010526653769144464	7.907871971049937e-05	0.00041487192676511987	1.783721595288547e-07
0.0010860805629340385	8.47465884349054e-05	0.00044027138211784144	2.010208741633096e-07
0.0011205564608201082	9.083747188264865e-05	0.000467211871989849	2.2653837962629006e-07
0.0011561267411816733	9.738426478359577e-05	0.0004957855629799227	2.5528701948676034e-07
0.0011928261434476126	0.00010442251678896408	0.0005260900072706976	2.8767475776262413e-07
0.001230690509794653	0.0001119906531207573	0.0005582284452271465	3.241609034471311e-07
0.001269756820152343	0.00012013021390233611	0.0005923101238339135	3.6526255108836694e-07
0.001310063228319204	0.00012888611376095523	0.000628450631686699	4.115618267878128e-07
0.0013516490992253303	0.0001383069234273413	0.0006667722512735421	4.637140401363239e-07
0.0013945550473778352	0.00014844517520264458	0.0007074043293017597	5.224568551558163e-07
0.0014388229765266802	0.00015935769432021704	0.0007504836658452592	5.886206074395944e-07
0.0014844961205896384	0.0001711059583995687	0.0007961549231047174	6.631399105837135e-07
0.0015316190858763526	0.00018375648737349668	0.0008445710545894524	7.470667129021859e-07
0.0015802378946527286	0.0001973812664678121	0.0008958937555444154	8.415849855759141e-07
0.0016304000300882144	0.00021205820502740808	0.0009502939354582737	9.4802724608822e-07
0.0016821544826298538	0.00022787163421379627	0.0010079522134987058	1.0678931463762066e-06
0.0017355517978484153	0.0002449128468489309	0.0010690594377283527	1.2028703839477096e-06
0.0017906441258033182	0.0002632806829494728	0.001133817228959	1.3548582266986065e-06
0.0018474852719745677	0.0002830821647860064	0.0012024385501019474	1.5259939787912053e-06
0.0019061307498114465	0.00030443318561461163	0.0012751483018687043	1.718682756262101e-06
0.0019666378349492814	0.00032745925656514776	0.0013521839456675283	1.9356309876312043e-06
0.0020290656211472287	0.00035229631653329647	0.001433796154527252	2.1798841073800647e-06
0.0020934750780017253	0.00037909161031354815	0.0015202494928597107	2.4548689695503266e-06
0.0021599291104919503	0.00040800464062971215	0.0016118231258450465	2.764441575784277e-06
0.00222849262041547	0.0004392082001700854	0.0017088115591895085	3.112940787916325e-06
0.002299232569774062	0.00047288949021808953	0.0018115254099621645	3.5052487808973127e-06
0.002372218046171609	0.0005092513329880297	0.0019202922091642325	3.946859088726933e-06
0.00244752033028796	0.0005485134853317642	0.002035457236621541	4.443953205705799e-06
0.002525212965494629	0.0005909140620776697	0.0021573843887157814	5.003486829435698e-06
0.0026053718296803418	0.000636711077900596	0.002286457079382576	5.633286972580038e-06
0.002688075209356568	0.0006861841173027907	0.002423079174702572	6.342161329715908e-06
0.0027734038761154088	0.0007396361430133635	0.0025676759612945957	7.140021466261811e-06
0.0028614411655145315	0.000797395453890071	0.00272069514858558	8.038021601421664e-06
