r	P	Q	rho
9.490066195895024e-05	-8.780627154438099e-09	7.638296505260814e-10	7.768284896027851e-17
9.791313234344777e-05	-9.629375620406946e-09	8.376578597765457e-10	9.342654552893309e-17
0.00010102122880293944	-1.0560141665799318e-08	9.186197329895116e-10	1.1236045421558852e-16
0.00010422798683489122	-1.1580847823510136e-08	1.0074042690174387e-09	1.3513089967253403e-16
0.00010753653829380228	-1.2700181498014874e-08	1.1047669745959839e-09	1.6251512015067728e-16
0.00011095011444990532	-1.392766869637715e-08	1.2115362741413406e-09	1.9544777545960427e-16
0.00011447204914496072	-1.5273755092612316e-08	1.3286205568394234e-09	2.3505282721315694e-16
0.00011810578204822652	-1.674989457697789e-08	1.4570158736438115e-09	2.826818635959234e-16
0.00012185486201578356	-1.8368646538792728e-08	1.5978143946057822e-09	3.399601865067115e-16
0.00012572295055649751	-2.014378248638278e-08	1.7522136761248178e-09	4.088422256255005e-16
0.00012971382540800198	-2.209040292645721e-08	1.9215268205974204e-09	4.916781667755045e-16
0.00013383138422619562	-2.4225065504781097e-08	2.1071936141750992e-09	5.912940636385553e-16
0.00013807964839185672	-2.6565925486594948e-08	2.3107927368301197e-09	7.1108816003190185e-16
0.00014246276693809226	-2.9132889763546787e-08	2.5340551476209177e-09	8.551467014661533e-16
0.0001469850206024578	-3.194778568763485e-08	2.7788787581341776e-09	1.0283831774954555e-15
0.00015165082600770565	-3.503454615702923e-08	3.0473445178208963e-09	1.2367057330393047e-15
0.00015646473997524374	-3.841941251535305e-08	3.341734046818357e-09	1.4872184444645315e-15
0.00016143146397551905	-4.2131156975676326e-08	3.6645489648330435e-09	1.788463307224739e-15
0.00016655584871967067	-4.6201326444440433e-08	4.0185320788850775e-09	2.150711165294779e-15
0.0001718428988969381	-5.066450980016025e-08	4.4066906082969375e-09	2.5863114754077868e-15
0.00017729777806245068	-5.5558630878522326e-08	4.83232164237696e-09	3.1101127975512794e-15
0.0001829258136801725	-6.092526963104089e-08	5.2990400449422616e-09	3.739968305012935e-15
0.0001887325023259272	-6.681001416053061e-08	5.8108090403003985e-09	4.497343493833137e-15
0.0001947235150555844	-7.326284659525562e-08	6.371973737732792e-09	5.4080467405543134e-15
0.0002009047029436515	-8.033856604685033e-08	6.987297876080351e-09	6.50310752607321e-15
0.000207282102797678	-8.809725220731445e-08	7.662004096924252e-09	7.819832153260456e-15
0.0002138619430540556	-9.66047734801119e-08	8.401818084303435e-09	9.40307280626546e-15
0.00022065064986097037	-1.0593334391244905e-07	9.213016941156057e-09	1.1306753033631234e-14
0.0002276548533544489	-1.1616213360321835e-07	1.0102482207979126e-08	1.3595701430014484e-14
0.0002348813941336277	-1.2737793770721798e-07	1.1077757967856904e-08	1.6347855736138323e-14
0.0002423373299415688	-1.396759096447434e-07	1.2147114524330353e-08	1.9656912126353718e-14
0.0002500299425581485	-1.5316036466048905e-07	1.3319618184911328e-08	2.3635509531525805e-14
0.000257966744911749	-1.6794566046126817e-07	1.460520773376357e-08	2.8419056960717964e-14
0.00026615548841669973	-1.8415716230312573e-07	1.6014778232589745e-08	3.4170333549378825e-14
0.00027460417054363376	-2.0193230060020618e-07	1.756027284953009e-08	4.1085017208241974e-14
0.0002833210426301534	-2.214217298959507e-07	1.9254783482385386e-08	4.9398329157068884e-14
0.000292314617939433	-2.427905988780692e-07	2.1112661015262842e-08	5.93930193587169e-14
0.00030159367997462886	-2.662199420390745e-07	2.314963612739516e-08	7.140896319211897e-14
0.0003111672910572175	-2.919082045914296e-07	2.5382951660041197e-08	8.585469414276792e-14
0.00032104480117763865	-3.2007291334866826e-07	2.783150764274316e-08	1.0322126267717217e-13
0.0003312358571268888	-3.509525074900963e-07	3.051602018455357e-08	1.2409889000149018e-13
0.00034175041191798224	-3.848083444465648e-07	3.345919554999101e-08	1.4919697972255863e-13
0.0003525987345064809	-4.219268975889269e-07	3.668592086434891e-08	1.793681636986821e-13
0.0003637914198195881	-4.6262216398071196e-07	4.0223473029560706e-08	2.1563719438875653e-13
0.0003753393991035984	-5.072383021849158e-07	4.410174758120382e-08	2.5923565934315217e-13
0.00038725395059981225	-5.561525220053917e-07	4.835350938058869e-08	3.1164368960237634e-13
0.00039954671055933937	-6.097782501111888e-07	5.301466721452006e-08	3.7464006924852985e-13
0.00041222968460755057	-6.685685977537426e-07	5.812457457064613e-08	4.5036243607142425e-13
0.00042531525946927463	-7.330201592599928e-07	6.372635906986288e-08	5.413796027218463e-13
0.0004388162150661944	-8.036771726888221e-07	6.986728327069406e-08	6.507784351727262e-13
0.0004527457369982545	-8.81136076995003e-07	7.659913981574725e-08	7.822682144026562e-13
0.0004671174294212717	-9.660505032773369e-07	8.397868416924514e-08	9.403059942771937e-13
0.0004819453283333244	-1.0591367412212132e-06	9.206810849941901e-08	1.1302471732073517e-12
0.0004972439152828979	-1.1611797257080122e-06	1.0093556059258935e-07	1.3585263427874748e-12
0.0005130281315121724	-1.2730395927847455e-06	1.1065571204962473e-07	1.6328744914067602e-12
