r	P	Q	rho
9.490066195895024e-05	1.6689028745362043e-11	1.8394672109416403e-10	3.411491988175769e-20
9.791313234344777e-05	1.832624384169038e-11	2.0172937858505466e-10	4.1030593397657403e-20
0.00010102122880293944	2.0124829531096256e-11	2.2123071289608702e-10	4.934803709216657e-20
0.00010422798683489122	2.2100789257180356e-11	2.42616776786952e-10	5.935134526428e-20
0.00010753653829380228	2.427172619141865e-11	2.6606965915132994e-10	7.138218021321609e-20
0.00011095011444990532	2.665700467987963e-11	2.9178903147607486e-10	8.585143478824892e-20
0.00011447204914496072	2.927792850620379e-11	3.1999384817891813e-10	1.0325325996996689e-19
0.00011810578204822652	3.2157936960003846e-11	3.5092420406199795e-10	1.2418192990607035e-19
0.00012185486201578356	3.532282128915336e-11	3.8484337505263436e-10	1.4935212502572806e-19
0.00012572295055649751	3.880096331809204e-11	4.2204005493691007e-10	1.7962332272556198e-19
0.00012971382540800198	4.262359859851866e-11	4.6283080745648836e-10	2.1602912748831264e-19
0.00013383138422619562	4.682510666258978e-11	5.075627548174319e-10	2.5981254069182336e-19
0.00013807964839185672	5.144333121734112e-11	5.566165252713758e-10	3.1246837253191727e-19
0.00014246276693809226	5.651993341807192e-11	6.104094847079901e-10	3.7579424189505728e-19
0.0001469850206024578	6.21007816978483e-11	6.693992795905868e-10	4.519519026038805e-19
0.00015165082600770565	6.8236382001052e-11	7.340877211840002e-10	5.4354098622171205e-19
0.00015646473997524374	7.498235268239428e-11	8.050250439012268e-10	6.536876745219592e-19
0.00016143146397551905	8.239994879115388e-11	8.828145737459916e-10	7.861513231791016e-19
0.00016655584871967067	9.055664096916887e-11	9.681178462805016e-10	9.454526695104159e-19
0.0001718428988969381	9.95267547559166e-11	1.0616602173301904e-09	1.1370279919738314e-18
0.00017729777806245068	1.0939217672116568e-10	1.1642370137815087e-09	1.3674144725866797e-18
0.0001829258136801725	1.202431345422122e-10	1.276720276369263e-09	1.644473075496944e-18
0.0001887325023259272	1.321790589164675e-10	1.4000661513243647e-09	1.9776565317002618e-18
0.0001947235150555844	1.453095360598995e-10	1.5353229932023815e-09	2.378331554725863e-18
0.0002009047029436515	1.597553604973119e-10	1.6836402471832127e-09	2.8601662571427753e-18
0.000207282102797678	1.756496989125718e-10	1.8462781856719157e-09	3.4395959556160583e-18
0.0002138619430540556	1.9313937700783688e-10	2.0246185811943924e-09	4.13638321826857e-18
0.00022065064986097037	2.1238630263416867e-10	2.2201764054284486e-09	4.9742912127678e-18
0.0002276548533544489	2.3356903991681853e-10	2.4346126528055197e-09	5.981893265608394e-18
0.0002348813941336277	2.5688455072387837e-10	2.669748396531985e-09	7.193546173185714e-18
0.0002423373299415688	2.8255012163582715e-10	2.927580195189071e-09	8.6505603704997e-18
0.0002500299425581485	3.108054965869198e-10	3.210296979361696e-09	1.0402606752407471e-17
0.000257966744911749	3.4191523759099837e-10	3.520298560112101e-09	1.250940798202424e-17
0.00026615548841669973	3.761713384605587e-10	3.860215914655288e-09	1.504277178363717e-17
0.00027460417054363376	4.138961192083289e-10	4.232933419421124e-09	1.808903533074792e-17
0.0002833210426301534	4.5544543191822013e-10	4.641613216924054e-09	2.1752003796979242e-17
0.000292314617939433	5.012122123242283e-10	5.089721920638344e-09	2.6156482911209423e-17
0.00030159367997462886	5.516304151830138e-10	5.581059881539987e-09	3.1452525516290117e-17
0.0003111672910572175	6.071793758146818e-10	6.1197932612844705e-09	3.7820536355277524e-17
0.00032104480117763865	6.683886449684313e-10	6.71048918031625e-09	4.5477408419864194e-17
0.0003312358571268888	7.358433495031373e-10	7.3581542347404185e-09	5.468389917723635e-17
0.00034175041191798224	8.101901373223197e-10	8.068276703737295e-09	6.575349702668431e-17
0.0003525987345064809	8.921437716409031e-10	8.846872799892894e-09	7.906307884676239e-17
0.0003637914198195881	9.824944470688336e-10	9.700537348299948e-09	9.506572018428329e-17
0.0003753393991035984	1.0821159082649483e-09	1.063649931692604e-08	1.1430609255788818e-16
0.00038725395059981225	1.1919744611453238e-09	1.1662682660842634e-08	1.374389699635421e-16
0.00039954671055933937	1.313138976937697e-09	1.2787772986784237e-08	1.6525147193428162e-16
0.00041222968460755057	1.446792000885299e-09	1.4021290592512924e-08	1.986897969735171e-16
0.00042531525946927463	1.5942420902626731e-09	1.5373670487984975e-08	2.388913521155053e-16
0.0004388162150661944	1.7569375207332636e-09	1.6856350062773143e-08	2.872233668905125e-16
0.0004527457369982545	1.9364815161335114e-09	1.8481865127049416e-08	3.4532929923677206e-16
0.0004671174294212717	2.1346491747124046e-09	2.0263955122178856e-08	4.1518460429277903e-16
0.0004819453283333244	2.3534062849148347e-09	2.2217678372161955e-08	4.991637533907098e-16
0.0004972439152828979	2.5949302462248456e-09	2.435953832938689e-08	6.001207706036415e-16
0.0005130281315121724	2.8616333356649707e-09	2.6707621858063945e-08	7.21486010661124e-16
0.0005293133925492664	3.15618858859854e-09	2.9281750697021748e-08	8.673824502893332e-16
0.0005461156032636903	3.4815585938602342e-09	3.210364735102184e-08	1.0427654234812536e-15
0.000563451173399708	3.841027538346428e-09	3.5197116777237715e-08	1.2535905219808444e-15
0.0005813370336027824	4.238236875480171e-09	3.858824536196574e-08	1.5070153319279506e-15
0.0005997906519547552	4.677225035929463e-09	4.230561882299e-08	1.811641818032851e-15
0.0006188300510339074	5.162471648166737e-09	4.638056082640237e-08	2.1778075360897354e-15
0.0006384738255165671	5.698946791545847e-09	5.084739427427138e-08	2.6179354990160764e-15
0.0006587411603374505	6.2921658662511106e-09	5.5743727402654266e-08	3.1469544960298437e-15
0.0006796518494264739	6.948250733538823e-09	6.11107670294644e-08	3.782804035185596e-15
0.0007012263150403372	7.673997857039441e-09	6.699366151017665e-08	4.5470409256499706e-15
0.0007234856277077568	8.476954262522654e-09	7.344187619794558e-08	5.4655679330432666e-15
0.0007464515268078281	9.365502230573708e-09	8.050960446524131e-08	6.5695090431804836e-15
0.0007701464418016163	1.0348953745351524e-08	8.825621762855385e-08	7.896260793722083e-15
0.0007945935141377091	1.1437655844415364e-08	9.674675742822458e-08	9.490755044091016e-15
0.0008198166198531264	1.2643108151107805e-08	1.0605247505436973e-07	1.1406975648878322e-14
0.0008458403928916611	1.397809402395296e-08	1.1625142107970305e-07	1.3709780015592897e-14
0.0008726902491624222	1.5456826928973235e-08	1.2742909106360006e-07	1.647708674800751e-14
0.0009003924113620784	1.7095113832992726e-08	1.396791320319656e-07	1.980250284216626e-14
0.0009289739345850448	1.891053763140258e-08	1.5310411551762325e-07	2.3798478621942418e-14
0.0009584627327466224	2.0922660865342576e-08	1.6781638336956057e-07	2.860009626492546e-14
0.0009888876058449022	2.3153253253977555e-08	1.839389731102653e-07	3.436961896510172e-14
0.0010202782680880486	2.5626545871079745e-08	2.0160663024272242e-07	4.1301953211108354e-14
0.0010526653769144464	2.836951513546204e-08	2.209669155868965e-07	4.963120717300786e-14
0.0010860805629340385	3.141220016642646e-08	2.421814164645813e-07	5.96385648000866e-14
0.0011205564608201082	3.478805748332223e-08	2.654270713566064e-07	7.166173915240796e-14
0.0011561267411816733	3.853435750818947e-08	2.908976185332847e-07	8.61063211769054e-14
0.0011928261434476126	4.2692627868620575e-08	3.1880518011380133e-07	1.0345940334172183e-13
0.001230690509794653	4.730914910149548e-08	3.4938199404968484e-07	1.2430593335484155e-13
0.001269756820152343	5.2435509035091906e-08	3.828823076587562e-07	1.4934834412586366e-13
0.001310063228319204	5.812922288615502e-08	4.195844475668124e-07	1.7943011519329544e-13
0.0013516490992253303	6.445442695983005e-08	4.5979308225316547e-07	2.1556405164258625e-13
0.0013945550473778352	7.14826547951236e-08	5.038416948521001e-07	2.589662234079956e-13
0.0014388229765266802	7.929370566932521e-08	5.520952854450797e-07	3.110966959694577e-13
0.0014844961205896384	8.797661657566768e-08	6.04953323798664e-07	3.7370840903915323e-13
0.0015316190858763526	9.763075013520414e-08	6.628529753719077e-07	4.489058303313536e-13
0.0015802378946527286	1.0836701241410633e-07	7.262726254466849e-07	5.392153358527797e-13
0.0016304000300882144	1.2030921631113022e-07	7.957357284379865e-07	6.476696570421313e-13
0.0016821544826298538	1.3359560807902638e-07	8.718150118328563e-07	7.77909201355128e-13
0.0017355517978484153	1.483805766730075e-07	9.55137066801297e-07	9.343036119115996e-13
0.0017906441258033182	1.6483656800681872e-07	1.046387360336372e-06	1.122097602023987e-12
0.0018474852719745677	1.8315622887358027e-07	1.1463157068311328e-06	1.347585903902951e-12
0.0019061307498114465	2.035548082891975e-07	1.2557422403053982e-06	1.6183231340648723e-12
0.0019666378349492814	2.2627284737968263e-07	1.3755639320755687e-06	1.943375532688509e-12
0.0020290656211472287	2.515791927037605e-07	1.5067617025366442e-06	2.3336229184326027e-12
0.0020934750780017253	2.7977437212731636e-07	1.6504081799198702e-06	2.802120859645653e-12
0.0021599291104919503	3.1119437710102066e-07	1.8076761634258885e-06	3.3645350521574317e-12
0.00222849262041547	3.4621490049765336e-07	1.9798478530372554e-06	4.03966227850283e-12
0.002299232569774062	3.852560851091858e-07	2.1683249136126904e-06	4.8500551821071375e-12
0.002372218046171609	4.287878445614674e-07	2.3746394465869056e-06	5.822771516930234e-12
0.00244752033028796	4.773358258610959e-07	2.600465948774526e-06	6.990272641386291e-12
0.002525212965494629	5.314880911392988e-07	2.847634344436201e-06	8.391500950635488e-12
0.0026053718296803418	5.919026055068741e-07	3.118144183943057e-06	1.007317184626374e-11
0.002688075209356568	6.593156284000789e-07	3.4141801101072614e-06	1.2091322922104623e-11
0.0027734038761154088	7.345511175109153e-07	3.7381287015685426e-06	1.4513171533727052e-11
0.0028614411655145315	8.185312675026572e-07	4.092596811577465e-06	1.7419342098013537e-11
0.0029522730584661664	9.122883203754129e-07	4.48043153013625e-06	2.0906536675732446e-11
0.0030459882652096805	1.0169778007481477e-06	4.904741907788445e-06	2.5090737029230772e-11
0.003142678311949716	1.1338933476644766e-06	5.368922590432944e-06	3.011104390593895e-11
0.003242437630244528	1.26448333503382e-06	5.876679526419867e-06	3.6134280360820685e-11
0.0033453636492318047	1.4103694957363233e-06	6.432057919911139e-06	4.336051119959514e-11
0.003451556890782055	1.5733677900260769e-06	7.0394726181034495e-06	5.2029660943719773e-11
0.003561121067672485	1.7555117874698835e-06	7.703741134462465e-06	6.242944910275474e-11
0.0036741631848772527	1.959078863599069e-06	8.430119525651792e-06	7.490490521057621e-11
0.003790793644073012	2.1866195481076208e-06	9.2243413564052e-06	8.98697785076537e-11
0.00391112635146183	2.4409904012202474e-06	1.009266000423216e-05	1.0782022009987687e-10
0.004035278829016761	2.7253908392425027e-06	1.1041894574610069e-05	1.2935119102343022e-10
0.004163372329258743	3.0434043798052487e-06	1.2079479717244548e-05	1.5517614045834018e-10
0.00429553195367689	3.3990448324947684e-06	1.3213519655112503e-05	1.8615060744935384e-10
0.0044318867749078734	3.796808022044655e-06	1.4452846760378e-05	2.2330053063523147e-10
0.0045725699627936585	4.241729699748e-06	1.58070850349208e-05	2.6785620814694137e-10
0.004717718914440774	4.739450374991305e-06	1.7286718878167806e-05	3.212930394298084e-10
0.004867475388408092	5.296287883655422e-06	1.890316755118808e-05	3.853804088148452e-10
0.005021985643154183	5.919318604498695e-06	2.0668865773612777e-05	4.6224034510918607e-10
0.005181400579879469	6.616468339550294e-06	2.25973509188726e-05	5.544179218389439e-10
0.0053458758899026715	7.396613991114293e-06	2.4703357303493955e-05	6.649657605976359e-10
0.005515572206715479	8.269697297442289e-06	2.700291809773479e-05	7.975454791842974e-10
0.005690655262863973	9.246852032816382e-06	2.9513475417626355e-05	9.565495037436356e-10
0.005871296051809977	1.0340546237163228e-05	3.225399919245485e-05	1.1472473603897886e-09
0.006057670994930454	1.15647412169977e-05	3.5245115436778536e-05	1.3759614015679702e-09
0.006249962113818027	1.2935069255221475e-05	3.8509244592118417e-05	1.6502779356929774e-09
0.0064483572080509055	1.4469032183983207e-05	4.207075064033967e-05	1.9793009517827825e-09
0.0066530500386058405	1.6186223214515502e-05	4.595610172827797e-05	2.3739571080099537e-09
0.006864240517093227	1.8108574682848787e-05	5.019404308114348e-05	2.8473624378759992e-09
0.007082134900999168	2.026063466299985e-05	5.481578302039297e-05	3.415263385086353e-09
0.0073069459951252014	2.2669875722277872e-05	5.985519293978872e-05	4.096567387122857e-09
0.007538893359422399	2.5367039449583343e-05	6.534902213089528e-05	4.913981383900958e-09
0.0077782035234228225	2.8386520780054103e-05	7.133712838587516e-05	5.894780448339279e-09
0.008025110207477789	3.176679657141714e-05	7.786272534063888e-05	7.0717333618815675e-09
0.008279854551018963	3.5550903362448014e-05	8.497264755461164e-05	8.484217562326365e-09
0.00854268534806526	3.9786969765766735e-05	9.271763435394802e-05	1.0179562683334437e-08
0.00881385929020551	4.452880951979457e-05	0.0001011526334922115	1.2214670139659816e-08
0.009093641217294257	4.983658185227909e-05	0.00011033712570549656	1.4657966199669462e-08
0.009382304376105462	5.577752649481765e-05	0.00012033547125675503	1.7591758104465402e-08
0.009680130687196793	6.242678143894699e-05	0.00013121727957562658	2.1115077500054204e-08
0.009987411020245049	6.986829234450161e-05	0.00014305780310417215	2.534711330412883e-08
0.010304445478121716	7.819582340514793e-05	0.00015593835645423556	3.043135781165731e-08
0.010631543689986018	8.751408044950573e-05	0.0001699467619672358	3.654061618007087e-08
0.01096902511368176	9.79399581144266e-05	0.00018517782274039024	4.388306143032703e-08
