r	P	Q	rho
0.00016434017070940163	7.1827957548435635e-09	-3.5892490725611927e-10	5.172138194484753e-17
0.00016955688771670227	7.884512841729364e-09	-3.939848169594344e-10	6.23207667873898e-17
0.00017493920109777313	8.65476411957307e-09	-4.324682456335207e-10	7.509197074893074e-17
0.00018049236744578724	9.500240498024715e-09	-4.74709340191436e-10	9.047991847797388e-17
0.00018622181021609664	1.0428285770351566e-08	-5.21074841287771e-10	1.0902066309834004e-16
0.00019213312502300677	1.1446960223327738e-08	-5.719672574647087e-10	1.3136004489805912e-16
0.0001982320851046881	1.2565110643712766e-08	-6.278283582145398e-10	1.582761739361222e-16
0.000204524646961563	1.3792446855969008e-08	-6.891429919637226e-10	1.9070650833810208e-16
0.000211016956173674	1.5139625891128974e-08	-7.56443286345495e-10	2.2978047856879995e-16
0.0002177153534027152	1.6618344321074798e-08	-8.303132536149302e-10	2.768587880729276e-16
0.0002246263805845888	1.8241439573147172e-08	-9.113938449298982e-10	3.3358075644135577e-16
0.0002317567873185339	2.0023001111572623e-08	-1.0003884959139408e-09	4.0192135065679547e-16
0.00023911353745906895	2.1978492440843136e-08	-1.0980692117686976e-09	4.842598859660332e-16
0.00024670381591718416	2.412488498310125e-08	-1.2052832440857686e-09	5.83462783146338e-16
0.00025453503567742696	2.6480804983519136e-08	-1.3229604168596067e-09	7.029832568397493e-16
0.00026261484503773417	2.90666947092232e-08	-1.4521211646787279e-09	8.46981397196092e-16
0.00027095113507908064	3.19049893300675e-08	-1.593885352188499e-09	1.0204688146676419e-15
0.0002795520473722403	3.502031100407863e-08	-1.7494819505982607e-09	1.22948286991786e-15
0.0002884259819291858	3.8439681837901204e-08	-1.9202596543338545e-09	1.4812965369391342e-15
0.0002975816054068928	4.2192757554327416e-08	-2.107698528969787e-09	1.7846711831272746e-15
0.00030702785957156093	4.631208387635651e-08	-2.3134227903820006e-09	2.1501610379777393e-15
0.0003167739700315183	5.083337783170031e-08	-2.5392148247162984e-09	2.5904799137064593e-15
0.0003268294552473373	5.579583639487232e-08	-2.787030569349921e-09	3.1209428983978496e-15
0.00033720413582796326	6.124247511776809e-08	-3.059016386623497e-09	3.7599983398040744e-15
0.00034790814412193305	6.722049965593374e-08	-3.3575275748345285e-09	4.529868565409162e-15
