r	P	Q	rho
0.00016434017070940163	-1.7230119854799307e-08	-2.0447236461090134e-07	4.210582491978413e-14
0.00016955688771670227	-1.838938457744866e-08	-2.1748812971785027e-07	4.763925603330578e-14
0.00017493920109777313	-1.9628477884285524e-08	-2.3133179238872675e-07	5.389967531383486e-14
0.00018049236744578724	-2.0953065501235747e-08	-2.460559519670204e-07	6.098256245229572e-14
0.00018622181021609664	-2.2369230413830583e-08	-2.617165436828544e-07	6.899593170660647e-14
0.00019213312502300677	-2.3883504919930983e-08	-2.7837304956459364e-07	7.806197653115208e-14
0.0001982320851046881	-2.550290523335065e-08	-2.9608872292150813e-07	8.831893001663088e-14
0.000204524646961563	-2.723496888459805e-08	-3.149308265410177e-07	9.992316903595359e-14
0.000211016956173674	-2.9087795165389585e-08	-3.349708861366496e-07	1.1305159438675591e-13
0.0002177153534027152	-3.1070088804684656e-08	-3.562849596905509e-07	1.2790432292002846e-13
0.0002246263805845888	-3.3191207224455266e-08	-3.7895392371820917e-07	1.44707732538443e-13
0.0002317567873185339	-3.546121163155396e-08	-4.030637775297644e-07	1.6371790628694127e-13
0.00023911353745906895	-3.789092229069394e-08	-4.287059666039745e-07	1.8522452779388754e-13
0.00024670381591718416	-4.049197832745644e-08	-4.55977726266921e-07	2.0955528716042234e-13
0.00025453503567742696	-4.327690244901176e-08	-4.849824469400043e-07	2.3708086412549536e-13
0.00026261484503773417	-4.625917100243968e-08	-5.158300622992265e-07	2.6822056407345683e-13
0.00027095113507908064	-4.945328982796284e-08	-5.486374617702845e-07	3.034486923325489e-13
0.0002795520473722403	-5.287487640471962e-08	-5.835289288712965e-07	3.43301763384497e-13
0.0002884259819291858	-5.6540748830773596e-08	-6.206366070075365e-07	3.88386654236172e-13
0.0002975816054068928	-6.046902222708907e-08	-6.601009944206561e-07	4.3938982548423923e-13
0.00030702785957156093	-6.467921320759322e-08	-7.020714700988046e-07	4.970877497478499e-13
0.0003167739700315183	-6.919235311458716e-08	-7.467068525641946e-07	5.623587053958597e-13
0.0003268294552473373	-7.403111078110085e-08	-7.941759935713171e-07	6.361961141284723e-13
0.00033720413582796326	-7.921992564978442e-08	-8.446584088725887e-07	7.197236242991307e-13
0.00034790814412193305	-8.478515215211557e-08	-8.983449483390834e-07	8.142121682318079e-13
0.00035895193411305214	-9.075521633264659e-08	-9.554385078625777e-07	9.210992515982545e-13
0.00037034629163019376	-9.716078579133792e-08	-1.0161547856118493e-06	1.0420107666174536e-12
0.00038210234488119256	-1.0403495411340801e-07	-1.0807230853714912e-06	1.1787856589322543e-12
0.00039423157532111886	-1.1141344106131435e-07	-1.1493871698558545e-06	1.333503821078374e-12
0.0004067458288655504	-1.1933480991827665e-07	-1.2224061670646883e-06	1.508517634136014e-12
0.00041965732745978974	-1.2784070349804986e-07	-1.3000555329310566e-06	1.70648763417553e-12
0.0004329786810153303	-1.3697610047241461e-07	-1.3826280737067732e-06	1.9304228423027316e-12
0.00044672289972522394	-1.4678959381713934e-07	-1.4704350317364692e-06	2.183726367410832e-12
0.0004609034067703825	-1.5733369334012618e-07	-1.563807238489066e-06	2.4702469702108433e-12
0.00047553405142921934	-1.686651544333544e-07	-1.6630963389455614e-06	2.7943373669341567e-12
0.0004906291226034363	-1.8084533538444385e-07	-1.7686760916852226e-06	3.160920152629226e-12
0.0005062033627731645	-1.9394058579569325e-07	-1.8809437492692837e-06	3.5755623387339668e-12
0.0005222719823950891	-2.08022668889932e-07	-2.0003215237927055e-06	4.044559629320462e-12
0.0005388506747576206	-2.2316922073526283e-07	-2.1272581427613136e-06	4.575031707027898e-12
0.0005559556313076182	-2.394642496967149e-07	-2.2622305007543055e-06	5.1750299654258865e-12
0.0005736035574636368	-2.569986797241117e-07	-2.405745412651772e-06	5.853659311874982e-12
0.0005918116889311399	-2.758709414144156e-07	-2.558341474544013e-06	6.621215876688909e-12
0.0006105978085356134	-2.961876151459856e-07	-2.720591038795276e-06	7.489342703739026e-12
0.0006299802635900184	-3.180641309743517e-07	-2.893102310109688e-06	8.471205768174482e-12
0.0006499779838135485	-3.4162553040730385e-07	-3.0765215698427896e-06	9.581692972734014e-12
0.0006706104998191871	-3.670072956446098e-07	-3.2715355362189645e-06	1.0837639119799877e-11
0.0006918979621881244	-3.943562523781373e-07	-3.4788738685543555e-06	1.2258080247100076e-11
0.0007138611611496608	-4.2383155280548034e-07	-3.6993118240474855e-06	1.386454115669104e-11
0.0007365215468858171	-4.556057461186786e-07	-3.933673076186871e-06	1.5681360466213838e-11
0.000759901250480483	-4.898659443939454e-07	-4.182832704337499e-06	1.7736058075952326e-11
0.0007840231055335627	-5.268150925335915e-07	-4.447720364607245e-06	2.005975058346318e-11
0.0008089106704612266	-5.666733517031091e-07	-4.729323652661293e-06	2.2687620899151986e-11
0.0008345882515040496	-6.096796065707191e-07	-5.0286916697484645e-06	2.5659449132065828e-11
0.0008610809264655063	-6.560931076002058e-07	-5.3469388038294204e-06	2.902021273773729e-11
0.0008884145692040056	-7.061952606777625e-07	-5.685248738353879e-06	3.2820764963158104e-11
0.0009166158749023881	-7.602915774776742e-07	-6.044878701923807e-06	3.711860180375554e-11
0.0009457123861395613	-8.18713801198554e-07	-6.42716397280296e-06	4.197872902156931e-11
0.0009757325197897379	-8.818222236407811e-07	-6.833522652991461e-06	4.747464228305422e-11
0.00100670559477555	-9.500082110569406e-07	-7.26546072737856e-06	5.36894351821558e-11
0.0010386618607021367	-1.0236969578014248e-06	-7.724577424318339e-06	6.071705184570043e-11
0.0010716325274001807	-1.1033504885449417e-06	-8.212570894843347e-06	6.866370300340041e-11
0.001105649795406738	-1.1894709317175467e-06	-8.731244228640651e-06	7.764946687757168e-11
0.0011407468874136337	-1.28260408891416e-06	-9.282511825865245e-06	8.781009904622744e-11
0.0011769580807141375	-1.3833433272547823e-06	-9.868406144857501e-06	9.929907860092162e-11
0.0012143187406796084	-1.49233382415462e-06	-1.049108484686602e-05	1.1228992150685778e-10
0.0012528653552987983	-1.6102771966452207e-06	-1.1152838359954976e-05	1.2697879613331878e-10
0.001292635570813556	-1.7379365503164404e-06	-1.1856097885397428e-05	1.4358748052105116e-10
0.001333668228485726	-1.8761419861420309e-06	-1.2603443871022727e-05	1.6236670616218533e-10
0.0013760034025311549	-2.025796606932315e-06	-1.3397614977198596e-05	1.835999389699146e-10
0.001419682439257853	-2.1878830689510925e-06	-1.424151756238608e-05	2.0760765480315399e-10
0.0014647479974465353	-2.3634707283681968e-06	-1.5138235716509128e-05	2.347521744924459e-10
0.0015112440900129753	-2.553723436723776e-06	-1.6091041871729444e-05	2.6544313190902253e-10
0.0015592161269928676	-2.7599080444877906e-06	-1.710340802161144e-05	3.00143658367751e-10
0.001608710959891175	-2.98340367714352e-06	-1.8179017581100607e-05	3.3937737771475844e-10
0.0016597769274392731	-3.225711854044898e-06	-1.9321777921220445e-05	3.8373631900228763e-10
0.0017124639028045863	-3.4884675266355583e-06	-2.053583361391696e-05	4.3388986790287244e-10
0.001766823342298816	-3.773451119516855e-06	-2.1825580424043564e-05	4.905948941977766e-10
0.001822908335632334	-4.0826016653611995e-06	-2.3195680087080656e-05	5.547072110602001e-10
0.0018807736577638224	-4.418031132837562e-06	-2.465107591282038e-05	6.271945427503551e-10
0.0019404758223957967	-4.782040055604468e-06	-2.6197009256914517e-05	7.091512011002704e-10
0.0020020731371682638	-5.177134580092595e-06	-2.783903690387776e-05	8.018146981958583e-10
0.0020656257606044026	-5.60604506031006e-06	-2.9583049406855138e-05	9.06584553426659e-10
0.002131195760863912	-6.071746339328912e-06	-3.1435290431194454e-05	1.0250435881026998e-09
0.002198847176361375	-6.577479869527591e-06	-3.340237715060688e-05	1.158982040745425e-09
0.002268646078308865	-7.12677783715311e-06	-3.549132174644173e-05	1.3104248816495842e-09
0.002340660635243865	-7.723489471416561e-06	-3.770955406233788e-05	1.4816627571954658e-09
0.0024149611796055195	-8.371809734241225e-06	-4.006494546823205e-05	1.675287053598744e-09
0.0024916202764242515	-9.076310604045951e-06	-4.2565833989393885e-05	1.8942296373937566e-09
0.0025707127941918127	-9.841975185676793e-06	-4.522105075780422e-05	2.1418079071953834e-09
0.002652315977981001	-1.0674234898914798e-05	-4.803994784478291e-05	2.4217758796066733e-09
0.0027365095248864327	-1.1579010020012508e-05	-5.1032427535289034e-05	2.7383821331880765e-09
0.0028233756618600784	-1.256275387458122e-05	-5.420897310574005e-05	3.0964355500921536e-09
0.002912999226017552	-1.363250100600848e-05	-5.7580681168508745e-05	3.5013799275082798e-09
0.0030054677474935973	-1.4795919671584957e-05	-6.11592956474317e-05	3.959378683017952e-09
0.003100871534927697	-1.6061369048824524e-05	-6.495724344967864e-05	4.477411052303357e-09
0.003199303763663275	-1.7437961567246335e-05	-6.898767190015656e-05	5.0633813778244115e-09
0.0033008605667466514	-1.89356308163376e-05	-7.326448800522776e-05	5.726243317080797e-09
0.0034056411288146088	-2.0565205518727837e-05	-7.780239961287024e-05	6.476141063548265e-09
0.003513747782962275	-2.233849009898829e-05	-8.261695853646686e-05	7.324569977718882e-09
0.003625286110685915	-2.426835242314442e-05	-8.772460570913171e-05	8.284559376156565e-09
0.003740365044998256	-2.6368819332188344e-05	-9.314271843482637e-05	9.370880630402934e-09
0.0038590969768170346	-2.865518064484773e-05	-9.88896598014331e-05	1.060028419343203e-08
0.003981597864730693	-3.114410236086542e-05	-0.00010498483031938196	1.1991769709053485e-08
0.004107987348248396	-3.3853749856342305e-05	-0.00011144872184731924	1.356689398073693e-08
0.004238388864645003	-3.6803921927576395e-05	-0.00011830297386358514	1.5350122294219248e-08
0.004372929769515089	-4.001619660959142e-05	-0.00012557043213887685	1.736922941864175e-08
0.004511741461153763	-4.351408977049332e-05	-0.00013327520986132672	1.9655757572135233e-08
0.004654959508885764	-4.732322756324268e-05	-0.00014144275126024965	2.2245539751071306e-08
0.004802723785468148	-5.147153390271312e-05	-0.00015009989776891542	2.5179298112537008e-08
0.004955178603695896	-5.5989434228355566e-05	-0.00015927495675979015	2.8503328596044375e-08
0.005112472857343849	-6.0910076911751386e-05	-0.00016899777287766356	3.227028470700582e-08
0.005274760166582617	-6.626957377416104e-05	-0.0001792998019868257	3.654007540072388e-08
0.005442199028010484	-7.210726129221126e-05	-0.00019021418773786385	4.1380894347838544e-08
0.005614952969447841	-7.846598419046331e-05	-0.00020177584074759224	4.687040058437575e-08
0.00579319070964532	-8.539240324811365e-05	-0.00021402152037197173	5.309707371481876e-08
0.005977086323061608	-9.293732928383744e-05	-0.00022698991903648567	6.016177051860274e-08
0.006166819409871865	-0.00010115608542811592	-0.00024072174907115867	6.817951409501817e-08
0.006362575271372804	-0.00011010889994660196	-0.0002552598319780869	7.728155166893195e-08
0.006564545090955704	-0.00011986133204145116	-0.00027064919003781863	8.761772298687827e-08
0.006772926120824144	-0.00013048473323032625	-0.00028693714013701714	9.935918799619962e-08
0.0069879218746387835	-0.00014205674708517798	-0.0003041733896733631	1.1270157037780581e-07
0.007209742326277334	-0.0001546618503050623	-0.000322410134364433	1.2786858268067725e-07
0.007438604114903885	-0.00016839193829926467	-0.000341702157755116	1.4511620949868554e-07
0.0076747307565477796	-0.0001833469586688717	-0.0003621069321828061	1.6473753758796828e-07
0.007918352862398774	-0.0001996355961965799	-0.0003836847209209247	1.8706833633693178e-07
0.008169708364031584	-0.0002173760131857632	-0.0004064986811790636	2.124935089088551e-07
0.008429042745779866	-0.00023669664923031325	-0.0004306149675919878	2.4145455407110665e-07
0.00869660928448651	-0.00025773708474605286	-0.00045610283577967074	2.7445820165965134e-07
0.008972669296864447	-0.0002806489728519447	-0.0004830347455062324	3.1208641132912226e-07
0.009257492394709502	-0.0003055970444540408	-0.0005114864629069041	3.550079553160608e-07
0.009551356748214609	-0.0003327601916560509	-0.0005415371611887201	4.0399184209930955e-07
0.009854549357642487	-0.0003623326348962236	-0.000573269519142347	4.599228798885378e-07
0.010167366333622157	-0.00039452517948928206	-0.0006067698167291048	5.238197277445217e-07
0.010490113186342982	-0.0004295665675324623	-0.0006421280269286052	5.96855838908845e-07
0.010823105123928776	-0.0004677049314139172	-0.0006794379029484208	6.803837668318447e-07
0.011166667360283275	-0.0005092093554370683	-0.0007187970598075871	7.759633808526666e-07
0.011521135432707675	-0.0005543715523426659	-0.0007603070492105102	8.853946271260104e-07
0.011886855529600466	-0.000603507661767544	-0.000804073426526835	1.0107555730587337e-06
0.012264184828559534	-0.0006569601779209433	-0.0008502058085860812	1.1544465923274296e-06
0.012653491845216813	-0.0007151000139807764	-0.0008988179208833238	1.3192416848963273e-06
0.013055156793146104	-0.0007783287109075459	-0.0009500276326740262	1.5083480850672166e-06
0.013469571955195618	-0.0008470807985362576	-0.001003956978312418	1.7254754935510246e-06
0.013897142066607878	-0.0009218263169291133	-0.0010607321630588431	1.974916480330586e-06
0.014338284710301134	-0.0010030735060457031	-0.001120483551447568	2.2616398475953743e-06
0.014793430724698376	-0.0010913716718033775	-0.0011833456361680852	2.5913990206529495e-06
0.015263024624502224	-0.0011873142365479777	-0.0012494569852705593	2.9708578543509016e-06
0.015747525034826636	-0.0012915419818224055	-0.001318960165360389	3.4077366086172518e-06
0.01624740513910946	-0.0014047464910946434	-0.0013920016382988002	3.910981265269257e-06
0.016763153141243225	-0.0015276737997734105	-0.0014687316287769355	4.4909598358838805e-06
0.01729527274237557	-0.0016611282593829136	-0.0015493039599813118	5.159689854534282e-06
0.01784428363284492	-0.0018059766221707688	-0.0016338758544201738	5.931101867484593e-06
0.01841072199973189	-0.001963152351666304	-0.0017226076968348998	6.821344433047777e-06
0.01899514105052207	-0.0021336601637695837	-0.0018156627559800767	7.849136937910415e-06
