r	P	Q	rho
0.00011229911665142444	2.9408790626485755e-07	2.513085263352684e-06	6.4020852374916764e-12
0.00011586387327307988	3.1308148560848897e-07	2.670884760383169e-06	7.231645419877876e-12
0.00011954178741681164	3.333177226791134e-07	2.838584982651963e-06	8.168665407989236e-12
0.0001233364510879546	3.548794149321102e-07	3.0168063837544608e-06	9.227060156204224e-12
0.0001272515703143327	3.7785501483983173e-07	3.2062082279106182e-06	1.0422545612961357e-11
0.0001312909687657213	4.023390286552469e-07	3.407491009906436e-06	1.1772871676572433e-11
0.00013545859148820353	4.2843244441713853e-07	3.621399028522032e-06	1.3298085283209562e-11
0.00013975850875706805	4.5624319123582244e-07	3.848723115033676e-06	1.5020827465743568e-11
0.00014419492005201057	4.858866328091953e-07	4.090303533926393e-06	1.6966668819593395e-11
0.00014877215815852206	5.174860970396778e-07	4.3470330629672e-06	1.9164488311159353e-11
0.000153494693399469	5.511734451813973e-07	4.619860264072697e-06	2.1646901026230982e-11
0.00015836713800099816	5.870896832132606e-07	4.9097929569089445e-06	2.4450741175848124e-11
0.00016339425059703046	6.253856188758301e-07	5.2179019076137405e-06	2.7617607489775817e-11
0.00016858094087674253	6.662225678786565e-07	5.545324745864013e-06	3.119447904704261e-11
0.00017393227437957506	7.097731131353825e-07	5.8932701243022125e-06	3.5234410630122904e-11
0.00017945347744245167	7.562219211826977e-07	6.263022135180753e-06	3.9797317859841325e-11
0.00018514994230403844	8.057666202824132e-07	6.655944999983123e-06	4.495086368916168e-11
0.0001910272323710309	8.586187450740819e-07	7.073488048731159e-06	5.077145932493513e-11
0.00019709108765161032	9.150047530459799e-07	7.517191006694981e-06	5.7345394329232635e-11
0.00020334743036137676	9.751671185265218e-07	7.98868960728846e-06	6.477011255065399e-11
0.00020980237070723328	1.0393655103695528e-06	8.489721551061726e-06	7.315565267870768e-11
0.0002164622128548708	1.1078780600186202e-06	9.022132831897043e-06	8.262627463226518e-11
0.00022333346108568047	1.1810027271908228e-06	9.587884452778783e-06	9.332229572146926e-11
0.00023042282614910823	1.2590587710240396e-06	1.0189059554846078e-05	1.0540216360109271e-10
0.00023773723181665427	1.3423883351863851e-06	1.0827870984852334e-05	1.1904479650705154e-10
0.000245283821643919	1.4313581561582836e-06	1.1506669327653143e-05	1.344522251871545e-10
0.0002530699659472991	1.5263614046704654e-06	1.222795143192774e-05	1.5185257535925125e-10
0.00026110326900214824	1.6278196711209809e-06	1.2994369459013872e-05	1.715034345190409e-10
0.00026939157646943123	1.7361851067068318e-06	1.3808740486506583e-05	1.9369565254843668e-10
0.0002779429830581261	1.8519427329975065e-06	1.4674056700142928e-05	2.1875763192531185e-10
0.0002867658404308564	1.9756129337555525e-06	1.5593496209472815e-05	2.470601704988653e-10
0.0002958687653604757	2.107754143980968e-06	1.6570434524906347e-05	2.790219278756772e-10
0.0003052606481455696	2.2489657524299525e-06	1.7608456735936006e-05	3.1511559557693295e-10
0.0003149506612930947	2.399891235243465e-06	1.871137043266443e-05	3.5587486140938706e-10
0.00032494826847663327	2.5612215398269613e-06	1.9883219415231192e-05	4.019022700903002e-10
0.00033526323377901484	2.7336987397603747e-06	2.112829823833196e-05	4.538780952476689e-10
0.000345905631228329	2.9181199832985226e-06	2.245116764076765e-05	5.125703526707787e-10
0.0003568858546366442	3.1153417599594757e-06	2.3856670912856863e-05	5.788461013256981e-10
0.0003682146277510407	3.326284511805796e-06	2.5349951257599415e-05	6.536841974161453e-10
0.0003799030147268724	3.551937618316167e-06	2.6936470204700413e-05	7.381896879331226e-10
0.0003919624309334851	3.7933647862391385e-06	2.8622027139960728e-05	8.336100540021276e-10
0.00040440465410294566	4.0517098785345465e-06	3.041278001611975e-05	9.413535412487072e-10
0.00041724183583266913	4.328203219461028e-06	3.2315267315007984e-05	1.0630098447493761e-09
0.0004304865134531792	4.62416841608131e-06	3.433643133484086e-05	1.2003734503525255e-09
0.00044415162227259136	4.941029739953697e-06	3.648364288066802e-05	1.3554699727352253e-09
0.00045825050820977775	5.2803201165835115e-06	3.876472744039655e-05	1.5305858740618299e-09
0.00047279694082855167	5.643689774349872e-06	4.118799293343982e-05	1.7283019961541897e-09
0.0004878051267856015	6.032915609130552e-06	4.376225912391732e-05	1.9515313943757763e-09
0.0005032897237053083	6.449911325753639e-06	4.649688879545429e-05	2.2035620237669277e-09
0.0005192658544949968	6.8967384227444295e-06	4.940182079001474e-05	2.4881048982404917e-09
0.0005357491221146012	7.375618092647971e-06	5.2487605018858005e-05	2.809348422864244e-09
0.0005527556248151715	7.88894411653379e-06	5.576543955964678e-05	3.172019688554411e-09
0.0005703019718611005	8.439296838175132e-06	5.9247209959967906e-05	3.581453619163353e-09
0.0005884052997514293	9.029458310889978e-06	6.294553087406345e-05	4.043670974405774e-09
0.0006070832889560706	9.662428718189091e-06	6.687379016642258e-05	4.565466339956802e-09
0.0006263541811832986	1.034144417825588e-05	7.104619562306466e-05	5.1545073802027545e-09
0.0006462367971953668	1.1069996051947627e-05	7.547782441886185e-05	5.8194467915946745e-09
0.0006667505551896544	1.1851851884526835e-05	8.018467549711644e-05	6.570048577670628e-09
0.0006879154897632925	1.269107812278003e-05	8.518372502583492e-05	7.4173304731955595e-09
0.0007097522714797934	1.3592064761641468e-05	9.049298510373775e-05	8.373724577469959e-09
0.0007322822270567903	1.4559552087998892e-05	9.613156589802038e-05	9.453258519008589e-09
0.0007555273601946044	1.559865970411463e-05	0.00010211974140524848	1.067175976923959e-08
0.000779510373065983	1.6714918029152246e-05	0.00010847901903653376	1.2047086055849933e-08
0.0008042546884879941	1.7914302494770045e-05	0.00011523221323830907	1.3599385201673258e-08
0.0008297844727977324	1.9203270669751463e-05	0.00012240352337060506	1.5351388137953997e-08
0.0008561246594541789	2.058880256932192e-05	0.00013001861607573318	1.7328739317487422e-08
0.0008833009733892633	2.207844442729713e-05	0.00013810471238170704	1.9560369290363274e-08
0.0009113399561319128	2.3680356233676455e-05	0.00014669067979658553	2.2078914810538206e-08
0.0009402689917296224	2.540336336690606e-05	0.0001558071296622006	2.4921192523924855e-08
0.0009701163334928663	2.7257012678975413e-05	0.00016548652004843737	2.812873305792369e-08
0.0010009111315884658	2.9251633422976727e-05	0.0001757632644823608	3.174838319940852e-08
0.0010326834615088664	3.139840344696534e-05	0.0001866738468200257	3.5832984825604816e-08
0.0010654643534451262	3.370942111514522e-05	0.00019825694258275345	4.044214035417939e-08
0.0010992858225923028	3.619778345781863e-05	0.0002105535470940005	4.564307572112461e-08
0.0011341809004168366	3.887767109545816e-05	0.00022360711076765868	5.15116132956666e-08
0.0011701836669164674	4.176444052997562e-05	0.00023746368191369436	5.8133268720790086e-08
0.001207329283904191	4.487472444809722e-05	0.000252172057442431	6.560448744904138e-08
0.0012456540293487616	4.822654073805019e-05	0.00026778394186446506	7.403403875203002e-08
0.0012851953328052786	5.183941098189586e-05	0.0002843541149991502	8.354458724789984e-08
0.0013259918119704617	5.573448925220693e-05	0.0003019406088207347	9.427446454724032e-08
0.0013680833103983134	5.9934702113815525e-05	0.00032060489388754525	1.0637966650211595e-07
0.0014115109364130085	6.446490080951708e-05	0.00034041207581600387	1.2003610479774165e-07
0.0014563171032570064	6.935202669340318e-05	0.0003614311022776893	1.35442145300148e-07
0.0015025455705136065	7.46252910674541e-05	0.00038373498101400386	1.5282146972072016e-07
0.0015502414868443916	8.031637067672214e-05	0.0004074010093792087	1.7242630184187877e-07
0.001599451434083308	8.645962022650574e-05	0.00043251101593852606	1.9454104483788755e-07
0.0016502234727304385	9.309230340201309e-05	0.000459151614663554	2.1948638220084122e-07
0.001702607188889905	0.00010025484399785638	0.0004874144722822714	2.476239015352396e-07
0.001756653742697739	0.00010799109890206991	0.0005173965893552656	2.79361308118538e-07
0.001812415918287017	0.0001163486548280188	0.0005492005956633232	3.151583037572384e-07
0.0018699481753390625	0.00012537915084843805	0.0005829350605040007	3.555332162322783e-07
0.0019293067022710536	0.00013513862895984068	0.0006187148185060145	4.01070475676076e-07
0.001990549471111993	0.00014568791509365255	0.0006566613115800263	4.524290467303357e-07
0.002053736294120625	0.00015709303319372896	0.0006969029476323978	5.103519394967307e-07
0.0021189288822005934	0.0001694256551995006	0.0007395754766744372	5.756769383380011e-07
0.0021861909051699045	0.00018276359001108536	0.0007848223849632648	6.493487057731672e-07
0.0022555880539435447	0.00019719131476853872	0.000832795307811313	7.324324393326846e-07
0.002327188104689983	0.00021280055205334577	0.0008836544616992885	8.261292826352681e-07
0.0024010609850242206	0.00022969089691768515	0.0009375690963216944	9.317937185043293e-07
0.0024772788423020418	0.00024797049796740486	0.0009947179671843413	1.050953202101551e-06
0.002555916114082141	0.0002677567970696112	0.001055289829359083	1.1853303263256994e-06
0.002637049600824974	0.00028917733262690974	0.0011194839529818324	1.336867850689044e-06
0.002720758540899307	0.0003123706117593773	0.0011875106610550572	1.5077569692103465e-06
0.002807124687969737	0.0003374870571640572	0.0012595918900848652	1.7004692433208188e-06
0.0028962323908407524	0.0003646900348820317	0.0013359617740446674	1.9177926832508326e-06
0.0029881686758353107	0.00039415696969682885	0.0014168672521115903	2.1628725268668355e-06
0.0030830233317884048	0.0004260805554170804	0.0015025687005673755	2.439257339629259e-06
0.003180888997738605	0.00046067006786296334	0.0015933405891916514	2.750951144590466e-06
0.0032818612534032342	0.000498152788982136	0.0016894721624011936	3.1024723886992458e-06
0.0033860387125255287	0.0005387755511687015	0.0017912681453030833	3.498920662914686e-06
0.003493523119184964	0.000582806411550338	0.0018990494747314485	3.946052220821973e-06
0.003604419447164789	0.0006305364667462395	0.0020131540552255733	4.450365485968002e-06
0.0037188360024738303	0.0006822818193840073	0.002133937539780284	5.019197904745482e-06
0.003836884529122691	0.0007383857084991798	0.002261774135056423	5.6608356925260654e-06
0.003958680318257636	0.0007992208168286507	0.002397057430578424	6.384638239543491e-06
0.0040843423207587645	0.0008651917689506608	0.002540201251266061	7.2011791939936366e-06
0.00421399326341244	0.0009367378352210688	0.0026916405324467806	8.122406527845042e-06
0.004347759768771416	0.001014335857509716	0.002851832216271987	9.161824221596765e-06
0.004485772478819731	0.001098503413853138	0.003021256168213516	1.0334698584215214e-05
