r	P	Q	rho
0.00011229911665142444	-4.094368840728619e-05	4.5372883376591594e-06	1.6969726058519994e-09
0.00011586387327307988	-4.351362950731952e-05	4.8221022505017165e-06	1.9166886230145613e-09
0.00011954178741681164	-4.62447222517905e-05	5.12477761973057e-06	2.1648376817969384e-09
0.0001233364510879546	-4.914705665070393e-05	5.446432960312908e-06	2.4450968094186846e-09
0.0001272515703143327	-5.223135299863644e-05	5.78825667355524e-06	2.761618151387125e-09
0.0001312909687657213	-5.550900109064038e-05	6.151511397377913e-06	3.1190902945527852e-09
0.00013545859148820353	-5.899210191822449e-05	6.5375386315272345e-06	3.5228075000888965e-09
0.00013975850875706805	-6.269351186765295e-05	6.947763638227209e-06	3.978747849872213e-09
0.00014419492005201057	-6.662688969904448e-05	7.383700657579302e-06	4.493661466369377e-09
0.00014877215815852206	-7.08067464193626e-05	7.846958437521933e-06	5.075170095216115e-09
0.000153494693399469	-7.524849823307185e-05	8.339246109738885e-06	5.731879512011412e-09
0.00015836713800099816	-7.996852276185677e-05	8.862379426561277e-06	6.4735064018139405e-09
0.00016339425059703046	-8.498421873195811e-05	9.418287383545165e-06	7.311021570720345e-09
0.00016858094087674253	-9.031406934088899e-05	1.0009019250423252e-05	8.25681158726625e-09
0.00017393227437957506	-9.597770952783839e-05	1.0636752035565146e-05	9.324861220076219e-09
0.00017945347744245167	-0.0001019959973854453	1.13037984103322e-05	1.0530959341153192e-08
0.00018514994230403844	-0.00010839108996485824	1.2012615121347013e-05	1.1892931305823607e-08
0.0001910272323710309	-0.00011518652374101568	1.2765811920360456e-05	1.3430901205525586e-08
0.00019709108765161032	-0.0001224073000209774	1.3566161043173024e-05	1.516758782387488e-08
0.00020334743036137676	-0.00013007997559494618	1.4416607270940657e-05	1.7128638615986332e-08
0.00020980237070723328	-0.00013823275894739146	1.532027860917687e-05	1.9343006582870438e-08
0.0002164622128548708	-0.0001468956123644752	1.628049762185835e-05	2.1843375534749495e-08
0.00022333346108568047	-0.00015610036029383922	1.7300793460256466e-05	2.466663993822087e-08
0.00023042282614910823	-0.0001658808043337985	1.8384914628458662e-05	2.785444633232365e-08
0.00023773723181665427	-0.00017627284525115693	1.9536842530018192e-05	3.1453804188981046e-08
0.000245283821643919	-0.00018731461245028228	2.0760805842785e-05	3.5517775096641257e-08
0.0002530699659472991	-0.00019904660134080897	2.2061295771732773e-05	4.010625027645481e-08
0.00026110326900214824	-0.00021151181907745232	2.3443082232513543e-05	4.528682771401332e-08
0.00026939157646943123	-0.00022475593917298036	2.4911231021551325e-05	5.113580162453755e-08
0.0002779429830581261	-0.0002388274655144786	2.647112203173729e-05	5.7739278585688595e-08
0.0002867658404308564	-0.00025377790634373125	2.812846857621997e-05	6.519443649265103e-08
0.0002958687653604757	-0.00026966195879490846	2.9889337886404143e-05	7.361094454039455e-08
0.0003052606481455696	-0.00028653770461688124	3.176017285409038e-05	8.311256474683279e-08
0.0003149506612930947	-0.00030446681774345654	3.374781509171371e-05	9.383895813029167e-08
0.00032494826847663327	-0.00032351478441273947	3.58595293888846e-05	1.0594772158161358e-07
0.00033526323377901484	-0.000343751136576761	3.810302964790871e-05	1.196166847661644e-07
0.000345905631228329	-0.00036524969938456594	4.0486506385674486e-05	1.3504650009983304e-07
0.0003568858546366442	-0.0003880888535662256	4.301865589426096e-05	1.5246356301729613e-07
0.0003682146277510407	-0.0004123518135918262	4.570871115784343e-05	1.7212330444817935e-07
0.0003799030147268724	-0.00043812692252848714	4.8566474628973834e-05	1.943139027021697e-07
0.0003919624309334851	-0.00046550796456998464	5.160235297309756e-05	2.193604679104502e-07
0.00040440465410294566	-0.0004945944962677169	5.482739389625241e-05	2.4762975885977145e-07
0.00041724183583266913	-0.0005254921975486282	5.825332517728953e-05	2.795354995786975e-07
0.0004304865134531792	-0.0005583132436654504	6.189259603267539e-05	3.1554437149590053e-07
0.00044415162227259136	-0.0005931766992873176	6.57584209489893e-05	3.5618276650310123e-07
0.00045825050820977775	-0.0006302089360045695	6.986482612563801e-05	4.0204439694957717e-07
0.00047279694082855167	-0.0006695440745905126	7.422669867807865e-05	4.5379887061591215e-07
0.0004878051267856015	-0.0007113244534351528	7.885983875999036e-05	5.122013522240705e-07
0.0005032897237053083	-0.0007557011246415614	8.378101477137275e-05	5.781034482206416e-07
0.0005192658544949968	-0.0008028343793547136	8.900802182849398e-05	6.524654686236899e-07
