r	P	Q	rho
0.00011229911665142444	-6.429243853253913e-09	4.715888042553185e-10	4.155757252490218e-17
0.00011586387327307988	-7.053558836143262e-09	5.173791493023148e-10	5.002037343906748e-17
0.00011954178741681164	-7.738480852032849e-09	5.676142482988708e-10	6.020627183215095e-17
0.0001233364510879546	-8.489891195078458e-09	6.227253578502066e-10	7.246603937558039e-17
0.0001272515703143327	-9.314241576346626e-09	6.831855533131596e-10	8.722183864279988e-17
0.0001312909687657213	-1.0218609363276896e-08	7.495137775317396e-10	1.0498174822196015e-16
0.00013545859148820353	-1.1210758339400677e-08	8.222792939962697e-10	1.263572457817768e-16
0.00013975850875706805	-1.229920509931179e-08	9.021065524168512e-10	1.5208424230685054e-16
0.00014419492005201057	-1.349329202280928e-08	9.896805373704732e-10	1.8304839717885845e-16
0.00014877215815852206	-1.4803267285435321e-08	1.0857526312657179e-09	2.2031558110034005e-16
0.000153494693399469	-1.6240372603561302e-08	1.1911470446037688e-09	2.651685335843728e-16
0.00015836713800099816	-1.7816939472843352e-08	1.3067678680644756e-09	3.191509744399693e-16
0.00016339425059703046	-1.954649471721161e-08	1.4336068066611827e-09	3.8412068420608663e-16
0.00016858094087674253	-2.144387624798923e-08	1.5727516616817555e-09	4.623133763283994e-16
0.00017393227437957506	-2.3525360019358497e-08	1.7253956326377752e-09	5.564195541295568e-16
0.00017945347744245167	-2.5808799261148164e-08	1.8928475183328086e-09	6.696769910299006e-16
0.00018514994230403844	-2.8313777174119196e-08	2.076542903790263e-09	8.059820082969549e-16
0.0001910272323710309	-3.1061774387054946e-08	2.2780564281241057e-09	9.700233691620202e-16
0.00019709108765161032	-3.4076352600040595e-08	2.499115237581133e-09	1.1674433834930038e-15
0.00020334743036137676	-3.738335597540174e-08	2.7416137380047983e-09	1.4050317498720215e-15
0.00020980237070723328	-4.101113198800143e-08	3.0076297719517607e-09	1.690958783782405e-15
0.0002164622128548708	-4.4990773611224745e-08	3.2994423577245677e-09	2.0350560300084238e-15
0.00022333346108568047	-4.935638489538338e-08	3.6195511407673805e-09	2.4491538804018592e-15
0.00023042282614910823	-5.414537219295325e-08	3.970697722315826e-09	2.947487770315439e-15
0.00023773723181665427	-5.9398763501660976e-08	4.355889046016832e-09	3.5471868749074612e-15
0.000245283821643919	-6.516155863376196e-08	4.778423040570674e-09	4.2688620503358545e-15
0.0002530699659472991	-7.148311317987427e-08	5.241916735439087e-09	5.137313160947991e-15
0.00026110326900214824	-7.841755952060643e-08	5.750337087466939e-09	6.18238001778735e-15
0.00026939157646943123	-8.602426845130353e-08	6.308034779052549e-09	7.439966065355672e-15
0.0002779429830581261	-9.436835532711832e-08	6.919781273460873e-09	8.9532698600178e-15
0.0002867658404308564	-1.0352123501011665e-07	7.590809440210205e-09	1.0774266485977387e-14
0.0002958687653604757	-1.1356123031034269e-07	8.32685809340105e-09	1.2965489595306333e-14
0.0003052606481455696	-1.2457423906207844e-07	9.134220818641523e-09	1.5602175027859573e-14
0.0003149506612930947	-1.3665446546863362e-07	1.0019799500125214e-08	1.877483931454069e-14
0.00032494826847663327	-1.499052218879397e-07	1.0991162998728964e-08	2.2592381213337062e-14
0.00033526323377901484	-1.6443980782141989e-07	1.2056611475040255e-08	2.7185812276605578e-14
0.000345905631228329	-1.803824735148981e-07	1.3225246898347758e-08	3.271274390687517e-14
0.0003568858546366442	-1.9786947628798494e-07	1.4507050334217602e-08	3.936278415588096e-14
0.0003682146277510407	-2.1705023848321265e-07	1.5912966659751085e-08	4.736402853353383e-14
0.0003799030147268724	-2.3808861677450363e-07	1.7454997417434425e-08	5.69908663724391e-14
0.0003919624309334851	-2.6116429350324737e-07	1.9146302586148072e-08	6.857336910377067e-14
0.00040440465410294566	-2.8647430172687707e-07	2.1001312121948125e-08	8.25085806607453e-14
0.00041724183583266913	-3.14234696777612e-07	2.3035848202261952e-08	9.927409496131541e-14
0.0004304865134531792	-3.4468238834698013e-07	2.526725919580548e-08	1.1944438322384646e-13
0.00044415162227259136	-3.780771484446727e-07	2.7714566477541913e-08	1.4371042737109315e-13
0.00045825050820977775	-4.147038120389648e-07	3.039862531413683e-08	1.7290332814063833e-13
0.00047279694082855167	-4.548746887820752e-07	3.334230116146948e-08	2.080226915413319e-13
0.0004878051267856015	-4.989322059702375e-07	3.657066284275934e-08	2.502707595350863e-13
0.0005032897237053083	-5.47251804798893e-07	4.011119421476765e-08	3.0109344575698054e-13
0.0005192658544949968	-6.002451140635233e-07	4.3994026081436975e-08	3.6222967128798623e-13
0.0005357491221146012	-6.583634277428795e-07	4.825219028043488e-08	4.35770676856213e-13
0.0005527556248151715	-7.221015154018588e-07	5.292189804967957e-08	5.242313258388417e-13
0.0005703019718611005	-7.920017970858467e-07	5.80428449794699e-08	6.306358184405215e-13
0.0005884052997514293	-8.686589173685595e-07	6.365854507287251e-08	7.586207250847128e-13
0.0006070832889560706	-9.527247564848225e-07	6.981669667422632e-08	9.125588327535652e-13
0.0006263541811832986	-1.0449139200539791e-06	7.656958328485342e-08	1.0977080014069894e-12
0.0006462367971953668	-1.1460097528066646e-06	8.397451256832026e-08	1.3203900722890794e-12
0.0006667505551896544	-1.2568709259980075e-06	9.209429715705917e-08	1.5882058841879418e-12
0.0006879154897632925	-1.3784386528570657e-06	1.0099778121021729e-07	1.910293671499789e-12
0.0007097522714797934	-1.511744591521651e-06	1.1076041704182953e-07	2.2976395799782436e-12
0.0007322822270567903	-1.6579195004789188e-06	1.2146489654163517e-07	2.763450791160138e-12
0.0007555273601946044	-1.8182027176180728e-06	1.332018425511262e-07	3.32360385321276e-12
0.000779510373065983	-1.9939525406487816e-06	1.460705658380617e-07	3.997183344563982e-12
0.0008042546884879941	-2.1866575938981387e-06	1.6017989383731502e-07	4.8071290313421305e-12
0.0008297844727977324	-2.397949274425271e-06	1.7564907789847006e-07	5.781013321283266e-12
0.0008561246594541789	-2.6296153790459505e-06	1.926087864053058e-07	6.9519751863155025e-12
0.0008833009733892633	-2.8836150233048296e-06	2.1120219181383986e-07	8.359841968456283e-12
0.0009113399561319128	-3.162094973740923e-06	2.3158616039895227e-07	1.0052476772645939e-11
0.0009402689917296224	-3.467407526039451e-06	2.5393255431023413e-07	1.2087396693773547e-11
0.0009701163334928663	-3.8021300739335134e-06	2.78429656421499e-07	1.453371617268466e-11
0.0010009111315884658	-4.169086527102604e-06	3.0528372942175387e-07	1.747448062591811e-11
0.0010326834615088664	-4.571370750909898e-06	3.347207216452826e-07	2.1009468503773266e-11
0.0010654643534451262	-5.012372216732748e-06	3.669881332823426e-07	2.5258555529044423e-11
0.0010992858225923028	-5.4958040689861885e-06	4.023570578579298e-07	3.0365753566693235e-11
0.0011341809004168366	-6.025733833842184e-06	4.4112441522290365e-07	3.650405898601617e-11
0.0011701836669164674	-6.60661701524308e-06	4.836153937789629e-07	4.3881272235199365e-11
0.001207329283904191	-7.243333846242181e-06	5.301861212667717e-07	5.274698253130145e-11
0.0012456540293487616	-7.941229488135876e-06	5.812265851959959e-07	6.340095012657738e-11
0.0012851953328052786	-8.7061579964509e-06	6.37163825899079e-07	7.620316480020029e-11
0.0013259918119704617	-9.544530401801919e-06	6.984654272600751e-07	9.15859145439987e-11
0.0013680833103983134	-1.0463367285137469e-05	7.656433324196708e-07	1.1006826465616373e-10
0.0014115109364130085	-1.1470356261161854e-05	8.392580142025147e-07	1.322734267723781e-10
0.0014563171032570064	-1.2573914820987807e-05	9.199230326692248e-07	1.5894959231149218e-10
0.0015025455705136065	-1.3783259025589963e-05	1.0083100150801418e-06	1.9099491845301812e-10
0.0015502414868443916	-1.5108478585660177e-05	1.105154096689571e-06	2.2948749075078186e-10
0.001599451434083308	-1.6560618911302268e-05	1.2112598641877377e-06	2.757212491839744e-10
0.0016502234727304385	-1.81517707669556e-05	1.327507847294224e-06	3.312490590607317e-10
0.001702607188889905	-1.989516822333781e-05	1.4548616080040563e-06	3.9793434093335466e-10
0.001756653742697739	-2.1805295659404513e-05	1.5943754813201412e-06	4.780129519694801e-10
0.001812415918287017	-2.3898004633720745e-05	1.7472030259994752e-06	5.741673438873999e-10
0.0018699481753390625	-2.6190641516635876e-05	1.9146062489231406e-06	6.896154201413464e-10
0.0019293067022710536	-2.870218685268876e-05	2.097965672201086e-06	8.282169900883936e-10
0.001990549471111993	-3.1453407507211635e-05	2.298791318073499e-06	9.946012853387672e-10
