r	P	Q	rho
0.00011229911665142444	3.3339946806444905e-13	-1.82953605821318e-14	1.114899255244878e-25
0.00011586387327307988	3.7748748074779757e-13	-2.0714460526803884e-14	1.4292588699623536e-25
0.00011954178741681164	4.274048783230421e-13	-2.3453377500534543e-14	1.8322499093051701e-25
0.0001233364510879546	4.839223104644531e-13	-2.655438484487061e-14	2.34885937919744e-25
0.0001272515703143327	5.47912287119899e-13	-3.0065342226875586e-14	3.011117991801778e-25
0.0001312909687657213	6.203626190619208e-13	-3.4040432570588776e-14	3.8600853017895867e-25
0.00013545859148820353	7.023917079817906e-13	-3.854100036969382e-14	4.948395201510738e-25
0.00013975850875706805	7.952657514487729e-13	-4.363649491289759e-14	6.343517591156648e-25
0.00014419492005201057	9.004182829989835e-13	-4.9405541556442094e-14	8.1319399189532275e-25
0.00014877215815852206	1.019472284081196e-12	-5.593715387446383e-14	1.0424527031933065e-24
0.000153494693399469	1.154265211482891e-12	-6.333210561503881e-14	1.3363391340412772e-24
0.00015836713800099816	1.306877331615785e-12	-7.170448384437564e-14	1.7130698928945826e-24
0.00016339425059703046	1.4796637964201965e-12	-8.118344711226473e-14	2.1959957025216588e-24
0.00016858094087674253	1.6752909547644496e-12	-9.191521567948222e-14	2.815048189988987e-24
0.00017393227437957506	1.896777458517324e-12	-1.0406532443023041e-13	3.608594318888208e-24
0.00017945347744245167	2.1475407960098484e-12	-1.1782117311499566e-13	4.625813299360807e-24
0.00018514994230403844	2.431449969093796e-12	-1.333949131382848e-13	5.929743155057393e-24
0.0001910272323710309	2.7528851244574e-12	-1.510267152734772e-13	7.60118557718513e-24
0.00019709108765161032	3.116805056744233e-12	-1.7098846853455412e-13	9.743710818118214e-24
0.00020334743036137676	3.5288236219943487e-12	-1.9358796705194626e-13	1.249007245613262e-23
0.00020980237070723328	3.995296236833469e-12	-2.1917364928798273e-13	1.6010429108597893e-23
0.0002164622128548708	4.52341779377306e-12	-2.48139962400863e-13	2.0522881977963039e-23
0.00022333346108568047	5.1213334983237055e-12	-2.80933434154171e-13	2.6306980395478177e-23
0.00023042282614910823	5.7982643320493205e-12	-3.18059545618084e-13	3.3721031138874135e-23
0.00023773723181665427	6.564649070235913e-12	-3.6009051018419885e-13	4.322428259087395e-23
0.000245283821643919	7.4323050369498e-12	-4.076740783055681e-13	5.540535631639166e-23
0.0002530699659472991	8.414610067800822e-12	-4.615435030889565e-13	7.101868499837858e-23
0.00026110326900214824	9.526708476100749e-12	-5.225288196470093e-13	9.103121075597154e-23
0.00026939157646943123	1.0785744186285967e-11	-5.915696112349313e-13	1.166822322569382e-22
0.0002779429830581261	1.2211124615079359e-11	-6.6972945795573e-13	1.495601019118507e-22
0.0002867658404308564	1.382481935225836e-11	-7.582122895665748e-13	1.9170051599862706e-22
0.0002958687653604757	1.5651698226267344e-11	-8.583808930480825e-13	2.457124751236903e-22
0.0003052606481455696	1.7719913943398112e-11	-9.717778585513585e-13	3.149397023678055e-22
