r	P	Q	rho
0.00011229911665142444	6.3671137010139385e-12	8.187546043685955e-11	6.744131158629393e-21
0.00011586387327307988	6.9980155666502805e-12	8.982694623718592e-11	8.11785249216937e-21
0.00011954178741681164	7.691829693349697e-12	9.855046606630471e-11	9.771358605917374e-21
0.0001233364510879546	8.454880958283172e-12	1.0812095411287958e-10	1.1761625730298152e-20
0.0001272515703143327	9.294136704661348e-12	1.1862061444124348e-10	1.4157231147503074e-20
0.0001312909687657213	1.02172728134243e-11	1.3013962529313984e-10	1.704071473518278e-20
0.00013545859148820353	1.123274678261411e-11	1.4277691380241058e-10	2.0511421715223306e-20
0.00013975850875706805	1.2349878305540527e-11	1.566410026151746e-10	2.4688923194448793e-20
0.00014419492005201057	1.357893839073512e-11	1.7185094044266108e-10	2.971713329884642e-20
0.00014877215815852206	1.4931247821387986e-11	1.8853732239691134e-10	3.5769264098100595e-20
0.000153494693399469	1.6419285972785184e-11	2.068434090224204e-10	4.3053788807872405e-20
0.00015836713800099816	1.805681109937576e-11	2.2692635371468508e-10	5.1821618437320906e-20
0.00016339425059703046	1.985899332495651e-11	2.4895854896288926e-10	6.2374738717588e-20
0.00016858094087674253	2.1842561702377325e-11	2.7312910290803057e-10	7.507660435706772e-20
0.00017393227437957506	2.4025966861322064e-11	2.99645458815614e-10	9.036464807244116e-20
0.00017945347744245167	2.642956092933205e-11	3.2873517127414464e-10	1.087653345235585e-19
0.00018514994230403844	2.907579659758074e-11	3.6064785426375693e-10	1.3091227673283595e-19
0.0001910272323710309	3.1989447410078726e-11	3.956573176996586e-10	1.5756803779489078e-19
0.00019709108765161032	3.5197851585642386e-11	4.340639106557743e-10	1.8965036729002892e-19
0.00020334743036137676	3.8731181938781625e-11	4.761970912286278e-10	2.282637741489811e-19
0.00020980237070723328	4.262274475169054e-11	5.224182449247406e-10	2.7473752100041403e-19
0.0002164622128548708	4.690931076814944e-11	5.731237755627934e-10	3.30671345552094e-19
0.00022333346108568047	5.1631481835167354e-11	6.287484949921709e-10	3.979904798714151e-19
0.00023042282614910823	5.6834097113853966e-11	6.897693404616316e-10	4.790118576356212e-19
0.00023773723181665427	6.256668322206404e-11	7.567094512469004e-10	5.765237834557953e-19
0.000245283821643919	6.888395316312082e-11	8.301426391871726e-10	6.938818004000232e-19
0.0002530699659472991	7.584635944335385e-11	9.106982911132296e-10	8.351240476773671e-19
0.00026110326900214824	8.352070739294385e-11	9.990667448019265e-10	1.0051100691325352e-18
0.00026939157646943123	9.198083538711823e-11	1.096005184093626e-09	1.209687837638615e-18
0.0002779429830581261	1.0130836942644391e-10	1.2023441031940664e-09	1.4558947282013886e-18
0.0002867658404308564	1.1159356038518403e-10	1.3189943949866254e-09	1.7521993367255754e-18
0.0002958687653604757	1.2293621318591222e-10	1.4469551234448746e-09	2.1087924417758646e-18
0.0003052606481455696	1.3544671821857166e-10	1.587322046002404e-09	2.537937091201439e-18
0.0003149506612930947	1.4924719650609752e-10	1.7412969580549279e-09	3.054389821796275e-18
0.00032494826847663327	1.644727714413666e-10	1.9101979386909542e-09	3.6759074575247745e-18
0.00033526323377901484	1.812729813981472e-10	2.09547058432903e-09	4.42385686357322e-18
0.000345905631228329	1.9981334917047083e-10	2.2987003252443446e-09	5.3239485597851765e-18
0.0003568858546366442	2.2027712604124847e-10	2.5216259290638015e-09	6.4071193383838724e-18
0.0003682146277510407	2.4286723034536536e-10	2.7661543052713596e-09	7.710594132146906e-18
0.0003799030147268724	2.678084027011046e-10	3.0343767356765027e-09	9.279163514572106e-18
0.0003919624309334851	2.953496026659606e-10	3.3285866677475924e-09	1.1166720592501962e-17
0.00040440465410294566	3.2576667446168484e-10	3.651299220796591e-09	1.3438109925979618e-17
0.00041724183583266913	3.593653126457674e-10	4.0052725693292275e-09	1.6171351782554142e-17
0.0004304865134531792	3.964843622240275e-10	4.393531383562229e-09	1.9460317867834424e-17
0.00044415162227259136	4.3749949174818495e-10	4.819392524284522e-09	2.3417950108409453e-17
0.00045825050820977775	4.8282728247555e-10	5.2864932080424035e-09	2.8180132623381183e-17
0.00047279694082855167	5.329297817440492e-10	5.798821879212005e-09	3.3910349339097607e-17
0.0004878051267856015	5.88319574400674e-10	6.360752048053249e-09	4.080528653843659e-17
0.0005032897237053083	6.495654324891852e-10	6.977079378499865e-09	4.9101571904972924e-17
0.0005192658544949968	7.172986105367053e-10	7.65306233642947e-09	5.908388042195319e-17
0.0005357491221146012	7.922198617721462e-10	8.394466738693364e-09	7.109468413641547e-17
0.0005527556248151715	8.751072595671825e-10	9.207614575505471e-09	8.554597888680798e-17
0.0005703019718611005	9.668249184305883e-10	1.009943751415266e-08	1.0293338852517238e-16
0.0005884052997514293	1.0683327201416711e-09	1.1077535530678029e-08	1.2385312823435945e-16
0.0006070832889560706	1.1806971632269983e-09	1.2150241158513246e-08	1.4902240600128161e-16
0.0006263541811832986	1.3051034681338712e-09	1.3326689889332925e-08	1.7930395846898347e-16
0.0006462367971953668	1.4428690863217971e-09	1.4616897312041177e-08	2.1573555823101967e-16
0.0006667505551896544	1.5954587792907174e-09	1.6031843631179095e-08	2.595654989309935e-16
0.0006879154897632925	1.7645014535290146e-09	1.7583566266599303e-08	3.12295268031395e-16
0.0007097522714797934	1.951808959761993e-09	1.928526130246723e-08	3.7573086171984727e-16
0.0007322822270567903	2.1593970900120267e-09	2.115139462603836e-08	4.520444904187569e-16
0.0007555273601946044	2.3895090341815655e-09	2.3197823675793e-08	5.438487767176177e-16
0.000779510373065983	2.6446415895179455e-09	2.5441930805002952e-08	6.542859722235662e-16
0.0008042546884879941	2.9275744518396545e-09	2.7902769361330522e-08	7.871352302026696e-16
0.0008297844727977324	3.2414029572751806e-09	3.060122368635198e-08	9.469415842335819e-16
0.0008561246594541789	3.5895746880248656e-09	3.356018435175339e-08	1.139171020164582e-15
0.0008833009733892633	3.9759304059068625e-09	3.680474007223393e-08	1.3703969143773169e-15
0.0009113399561319128	4.404749833868783e-09	4.036238786981648e-08	1.6485241756524756e-15
0.0009402689917296224	4.880802868999204e-09	4.426326321133482e-08	1.983058706761937e-15
0.0009701163334928663	5.4094068817148885e-09	4.854039200145901e-08	2.3854313384672503e-15
0.0010009111315884658	5.996490835693169e-09	5.322996648895165e-08	2.8693872347574682e-15
0.0010326834615088664	6.648667052846662e-09	5.83716473352385e-08	3.4514539862090644e-15
0.0010654643534451262	7.373311548415556e-09	6.400889430326268e-08	4.151504273116251e-15
0.0010992858225923028	8.178653974447538e-09	7.018932825253126e-08	4.993432181375329e-15
0.0011341809004168366	9.073878337082642e-09	7.696512737494997e-08	6.0059660999184515e-15
0.0011701836669164674	1.0069235795885514e-08	8.439346087731176e-08	7.223645748363494e-15
0.001207329283904191	1.1176171013908678e-08	9.253696361215208e-08	8.687996433088889e-15
0.0012456540293487616	1.2407463707406286e-08	1.0146425548126805e-07	1.0448940296018638e-14
0.0012851953328052786	1.377738724659366e-08	1.1125050978786422e-07	1.2566492327402272e-14
0.0013259918119704617	1.530188638631319e-08	1.2197807509657056e-07	1.5112798531244243e-14
0.0013680833103983134	1.6998776461007462e-08	1.337371555782293e-07	1.8174585183326807e-14
0.0014115109364130085	1.8887966665482753e-08	1.4662655527133862e-07	2.1856101995495307e-14
