r	P	Q	rho
8.865719735638772e-05	-3.7393663641349586e-07	-2.554607762709798e-06	6.6658494293493984e-12
9.147147889979991e-05	-3.974717701629464e-07	-2.7124760014727735e-06	7.515509866642192e-12
9.437509532906183e-05	-4.225009391689781e-07	-2.880092251528264e-06	8.473438420911813e-12
9.73708824378589e-05	-4.491201816733882e-07	-3.0580576815327377e-06	9.55342572116772e-12
0.00010046176603763109	-4.774318202094734e-07	-3.2470104631707127e-06	1.0771018090888617e-11
0.00010365076481504312	-5.075448829172339e-07	-3.4476280411703856e-06	1.2143740918439818e-11
0.00010694099328016068	-5.395755541736569e-07	-3.6606295448885966e-06	1.3691350443573103e-11
0.00011033566480821162	-5.736476561389081e-07	-3.886778342891907e-06	1.5436117520167224e-11
0.00011383809477790309	-6.098931642147602e-07	-4.126884756083419e-06	1.7403147461749592e-11
0.00011745170380935952	-6.484527581220805e-07	-4.381808935834874e-06	1.9620740529678484e-11
0.00012118002110484396	-6.89476411694557e-07	-4.652463917464729e-06	2.2120798225594453e-11
0.00012502668789552486	-7.331240239327969e-07	-4.939818859848831e-06	2.493928120258562e-11
0.00012899546099765562	-7.795660944480495e-07	-5.24490248234412e-06	2.8116725344912494e-11
0.00013309021648163884	-8.289844465053079e-07	-5.5688067109462094e-06	3.169882339642725e-11
0.00013731495345755928	-8.8157300117091e-07	-5.912690546301576e-06	3.573708045271752e-11
0.0001416737979808829	-9.375386063264143e-07	-6.2777841669421935e-06	4.0289552685062567e-11
0.0001461710070821356	-9.971019246025466e-07	-6.6653932819051846e-06	4.5421679850512873e-11
0.00015081097292449805	-1.0604983845992694e-06	-7.076903747738612e-06	5.120722347849447e-11
0.00015559822709337656	-1.1279792000960988e-06	-7.5137864657821454e-06	5.772932412922038e-11
0.00016053744502213954	-1.199812462321976e-06	-7.97760257654965e-06	6.508169281411474e-11
0.0001656334505583421	-1.2762843107487526e-06	-8.470008969033138e-06	7.336995357736521e-11
0.000170891220674898	-1.3577001882990869e-06	-8.992764123796574e-06	8.271315638755013e-11
0.00017631589033080037	-1.44438618732095e-06	-9.547734309836998e-06	9.324548190936213e-11
0.00018191275748613805	-1.536690493179988e-06	-1.0136900156362397e-05	1.0511816245188973e-10
0.000187687288276306	-1.6349849328607062e-06	-1.0762363621874398e-05	1.1850164646012693e-10
0.00019364512235046236	-1.7396666365514338e-06	-1.1426355384252265e-05	1.335880373735609e-10
0.00019979207837944664	-1.851159820819865e-06	-1.2131242676917008e-05	1.505938415684704e-10
0.00020613415973853809	-1.9699177026698235e-06	-1.2879537597614322e-05	1.6976306448365287e-10
0.0002126775603706036	-2.0964245545100734e-06	-1.3673905917896623e-05	1.9137069896424104e-10
0.0002194286708353627	-2.2311979108673653e-06	-1.4517176423011976e-05	2.1572665541431365e-10
0.00022639408455067607	-2.3747909385435348e-06	-1.5412350813625532e-05	2.431801896040521e-10
0.00023358060423195448	-2.5277949828561504e-06	-1.6362614202612076e-05	2.7412489101887517e-10
0.00024099524853597604	-2.690842303619912e-06	-1.737134624207076e-05	3.090043025648565e-10
0.00024864525891560107	-2.8646090156284885e-06	-1.844213291773085e-05	3.4831825136767175e-10
0.0002565381066920789	-3.0498182495909567e-06	-1.9578779050044728e-05	3.926299804460084e-10
0.0002646815003518538	-3.247243550771265e-06	-2.0785321543507496e-05	4.4257418234502246e-10
0.0002730833930749966	-3.4577125339818264e-06	-2.2066043428106887e-05	4.988660485387542e-10
0.00028175199050261385	-3.6821108151026153e-06	-2.34254887392983e-05	5.623114627296871e-10
0.0002906957587508216	-3.921386240945121e-06	-2.48684782855242e-05	6.338184822882623e-10
0.0002999234326791098	-4.176553441067176e-06	-2.6400126355060768e-05	7.144102702092643e-10
0.00030944402442117247	-4.448698727081776e-06	-2.802585841688442e-05	8.052396603675903e-10
0.000319266832186536	-4.738985367103687e-06	-2.9751429873312548e-05	9.076055618162571e-10
0.00032940144934158087	-5.0486592652555934e-06	-3.1582945925395e-05	1.0229714337030758e-09
0.00033985777377882573	-5.3790550786264315e-06	-3.35268826154205e-05	1.152986091447082e-09
0.0003506460175836248	-5.731602806754408e-06	-3.559010911446439e-05	1.299507137513876e-09
0.00036177671700771927	-6.107834891614583e-06	-3.777991132664758e-05	1.4646273469125787e-09
0.0003732607427593829	-6.5093938692447175e-06	-4.0104016885708646e-05	1.6507043789141647e-09
0.00038510931062021175	-6.9380406175650885e-06	-4.2570621623620194e-05	1.8603942330324223e-09
0.00039733399239892767	-7.395663248660762e-06	-4.5188417595314206e-05	2.096688919656094e-09
