r	P	Q	rho
8.865719735638772e-05	8.097194154738434e-13	-5.63892196798344e-14	6.588252758914033e-25
9.147147889979991e-05	9.163769456814112e-13	-6.38162915394789e-14	8.438192256422438e-25
9.437509532906183e-05	1.0370818418305085e-12	-7.222144679878259e-14	1.0807546840322693e-24
9.73708824378589e-05	1.1736839263578173e-12	-8.173346698898828e-14	1.3842143186167425e-24
0.00010046176603763109	1.3282765662010552e-12	-9.249808594370391e-14	1.7728745322221146e-24
0.00010365076481504312	1.5032286834816948e-12	-1.0468021747632529e-13	2.270654422773e-24
0.00010694099328016068	1.7012211533652253e-12	-1.1846648830308402e-13	2.9081877215081723e-24
0.00011033566480821162	1.9252877430322026e-12	-1.34068086811585e-13	3.7247071453713515e-24
0.00011383809477790309	2.178861585097745e-12	-1.5172399697765773e-13	4.770457978273535e-24
0.00011745170380935952	2.4658277438749575e-12	-1.7170465600079965e-13	6.109788951355816e-24
0.00012118002110484396	2.7905826855071155e-12	-1.943160922489734e-13	7.825110468359017e-24
0.00012502668789552486	3.1581015751138494e-12	-2.1990460760173877e-13	1.0021963595181051e-23
0.00012899546099765562	3.574014425953048e-12	-2.4886207549870973e-13	1.283551144954202e-23
0.00013309021648163884	4.0446922644547565e-12	-2.816319355980027e-13	1.6438852061288823e-23
0.00013731495345755928	4.577344628263237e-12	-3.187159766158621e-13	2.1053663719640513e-23
0.0001416737979808829	5.180129886962681e-12	-3.606820109031819e-13	2.6963837158793163e-23
0.0001461710070821356	5.862280070964404e-12	-4.0817255791916644e-13	3.4532932467464694e-23
0.00015081097292449805	6.6342421154417295e-12	-4.619146691434602e-13	4.4226533607870665e-23
0.00015559822709337656	7.507837676635388e-12	-5.227310443645213e-13	5.664087432344827e-23
0.00016053744502213954	8.496443961167165e-12	-5.915526089604736e-13	7.253949447442192e-23
0.0001656334505583421	9.615198329483698e-12	-6.694327440467508e-13	9.290017911410806e-23
0.000170891220674898	1.0881229797077522e-11	-7.575633865403287e-13	1.189750641814342e-22
0.00017631589033080037	1.2313920967208254e-11	-8.572932446650962e-13	1.5236760129399949e-22
0.00018191275748613805	1.3935204392701742e-11	-9.701484066286718e-13	1.9513110939725806e-22
0.000187687288276306	1.576989788908203e-11	-1.09785565662579e-12	2.498949664748591e-22
0.00019364512235046236	1.7846083914755018e-11	-1.2423688535190748e-12	3.2002619146067206e-22
0.00019979207837944664	2.0195538805218597e-11	-1.4058987741384338e-12	4.0983633899621417e-22
0.00020613415973853809	2.285421840750396e-11	-1.5909468758306446e-12	5.24846410979608e-22
0.0002126775603706036	2.5862807519769678e-11	-1.8003434924781874e-12	6.721260494955636e-22
0.0002194286708353627	2.9267341512188693e-11	-2.03729104559218e-12	8.607278339955337e-22
0.00022639408455067607	3.3119909603705605e-11	-2.3054129282869407e-12	1.1022433409275434e-21
0.00023358060423195448	3.7479450511532616e-11	-2.6088088061146994e-12	1.411515094033284e-21
0.00024099524853597604	4.241265259520423e-11	-2.9521171761794607e-12	1.807548095983378e-21
0.00024864525891560107	4.7994972205885566e-11	-3.3405861361298834e-12	2.314676872776631e-21
0.0002565381066920789	5.4311785748457104e-11	-3.78015343921427e-12	2.9640596312103117e-21
0.0002646815003518538	6.145969299584835e-11	-4.277537052444961e-12	3.7955911863789705e-21
0.0002730833930749966	6.954799149286946e-11	-4.840337594187031e-12	4.8603519887179434e-21
0.00028175199050261385	7.870034448509945e-11	-5.4771542075560464e-12	6.2237434402866726e-21
0.0002906957587508216	8.905666774645843e-11	-6.197715629591832e-12	7.969501749128377e-21
0.0002999234326791098	1.007752640012513e-10	-7.013028446331986e-12	1.0204836402510958e-20
0.00030944402442117247	1.1403523739282245e-10	-7.935544784100166e-12	1.3067008238257832e-20
0.000319266832186536	1.290392246981207e-10	-8.979351981458335e-12	1.6731750272699003e-20
0.00032940144934158087	1.4601648478942094e-10	-1.0160387118764911e-11	2.1424047296662362e-20
0.00033985777377882573	1.6522639327347332e-10	-1.1496679658119972e-11	2.74319346773219e-20
0.0003506460175836248	1.8696239537613848e-10	-1.3008625871297924e-11	3.512416163184292e-20
0.00036177671700771927	2.1155647707940186e-10	-1.4719299213431346e-11	4.4972800763582e-20
0.0003732607427593829	2.3938422236180934e-10	-1.6654801342903187e-11	5.758218832353974e-20
0.00038510931062021175	2.708705332606197e-10	-1.8844659101244895e-11	7.372596696553459e-20
0.00039733399239892767	3.064960994973811e-10	-2.1322273459990008e-11	9.439449835261112e-20
0.0004099467272328922	3.468047157385192e-10	-2.412542722474545e-11	1.208555470972516e-19
0.00042295983324836927	3.924115573686204e-10	-2.7296859171900573e-11	1.5473194887711663e-19
0.0004363860195909249	4.4401254012816837e-10	-3.088491329358874e-11	1.9810101366022081e-19
0.00045023839883771095	5.023949053260587e-10	-3.494427295663984e-11	2.536217431100476e-19
0.00046453049980376	5.684491908248254e-10	-3.9536791058124814e-11	3.2469764039657254e-19
0.00047927628075479257	6.431827688892815e-10	-4.4732428702668446e-11	4.1568506437372222e-19
0.0004944901430394463	7.27735155598987e-10	-5.061031655640826e-11	5.321598608366216e-19
0.0005101869451542369	8.233953232036027e-10	-5.7259954873470716e-11	6.812585607056772e-19
0.0005263820172549902	9.31621276945173e-10	-6.478257027038791e-11	8.721149850677925e-19
0.0005430911761289152	1.0540621919312939e-09	-7.32926496727569e-11	1.1164189169550574e-18
0.0005603307406419424	1.192583444124283e-09	-8.291967451135538e-11	1.4291309436204062e-18
0.0005781175476764134	1.3492949129854342e-09	-9.381008124102908e-11	1.8293970935508187e-18
0.0005964689685746876	1.5265829824250822e-09	-1.0612947763911632e-10	2.3417190682538105e-18
0.0006154029261047233	1.7271467221864e-09	-1.2006514816078418e-10	2.9974514397620965e-18
0.0006349379119642059	1.9540387944547433e-09	-1.3582888594258103e-10	3.836717096490549e-18
0.000655093004840315	2.210711701261513e-09	-1.536601939160901e-10	4.910857681288904e-18
0.0006758878890427728	2.5010700681870534e-09	-1.738299029921999e-10	6.28556832115547e-18
0.0006973428737283658	2.8295297501400927e-09	-1.966442614836612e-10	8.04490757250231e-18
0.0007194789127357206	3.2010846469313404e-09	-2.224495569400004e-10	1.0296426722202346e-17
0.0007423176250497019	3.6213822314657446e-09	-2.516373394767256e-10	1.317773061699474e-17
0.0007658813159154206	4.096808923342432e-09	-2.846503246052829e-10	1.686486916167607e-17
0.0007901929986224729	4.634586587380194e-09	-3.2198906364117843e-10	2.1583069793028915e-17
0.000815276416980684	5.242881602228669e-09	-3.6421948113125564e-10	2.7620463325423378e-17
0.0008411560685093101	5.93092813120381e-09	-4.119813915619608e-10	3.534563716449805e-17
0.0008678572283623443	6.709167438531328e-09	-4.659981220739457e-10	4.523008196802546e-17
0.000895405974013292	7.589405332370313e-09	-5.270873842233092e-10	5.78768944096183e-17
