r	P	Q	rho
8.865719735638772e-05	2.599221858410564e-09	-2.4230792165054777e-10	6.814667398133873e-18
9.147147889979991e-05	2.8498758531758702e-09	-2.6567348881002646e-10	8.192374781171385e-18
9.437509532906183e-05	3.1246944571898118e-09	-2.9129148304079447e-10	9.848566178884838e-18
9.73708824378589e-05	3.4260063683157805e-09	-3.1937894556387687e-10	1.1839522546609777e-17
0.00010046176603763109	3.7563645757377176e-09	-3.5017381943642086e-10	1.4232896529675897e-17
0.00010365076481504312	4.1185679298731745e-09	-3.8393695932037246e-10	1.7110009381711977e-17
0.00010694099328016068	4.515684852430849e-09	-4.2095434060006176e-10	2.0568612243343452e-17
0.00011033566480821162	4.951079230663654e-09	-4.61539471816606e-10	2.4726204232353755e-17
0.00011383809477790309	5.42843885941845e-09	-5.060360447489823e-10	2.972402092902947e-17
0.00011745170380935952	5.951806606548615e-09	-5.548208378051679e-10	3.573182804381857e-17
0.00012118002110484396	6.525614570097217e-09	-6.08306898283439e-10	4.29536827999643e-17
0.00012502668789552486	7.154721518698679e-09	-6.669470303249769e-10	5.163485835138924e-17
0.00012899546099765562	7.844453928872603e-09	-7.312376178895257e-10	6.207016589602157e-17
0.00013309021648163884	8.600650964312262e-09	-8.017228148401524e-10	7.461395648176066e-17
0.00013731495345755928	9.429713775262539e-09	-8.789991373445262e-10	8.96921413668285e-17
0.0001416737979808829	1.0338659532153612e-08	-9.637204971435431e-10	1.0781663811840534e-16
0.0001461710070821356	1.1335180647298932e-08	-1.0566037179289466e-09	1.296027317236415e-16
0.00015081097292449805	1.2427709681857088e-08	-1.1584345811072903e-09	1.5578993861522962e-16
0.00015559822709337656	1.362549048278164e-08	-1.270074451648362e-09	1.8726708000910293e-16
0.00016053744502213954	1.4938656146536636e-08	-1.3924675395576423e-09	2.2510241331317854e-16
0.0001656334505583421	1.637831446336413e-08	-1.5266488578143483e-09	2.705798413959085e-16
0.000170891220674898	1.7956641558324564e-08	-1.6737529434227038e-09	3.2524242496976503e-16
0.00017631589033080037	1.968698451370375e-08	-1.835023414581896e-09	3.9094467017487503e-16
0.00018191275748613805	2.158397383225427e-08	-2.0118234439418885e-09	4.699153599610313e-16
0.000187687288276306	2.3663646682728496e-08	-2.2056472355349033e-09	5.648330540526301e-16
0.00019364512235046236	2.5943581958937414e-08	-2.418132601318208e-09	6.789168101376607e-16
0.00019979207837944664	2.8443048281869487e-08	-2.6510747424012078e-09	8.160351928545564e-16
