r	P	Q	rho
8.217008535470081e-05	2.2799914477371564e-08	-2.2964513277691065e-09	5.251097888762699e-16
8.477844385835114e-05	2.499191857931574e-08	-2.5172177438452963e-09	6.309323794450769e-16
8.746960054888657e-05	2.7394602672887553e-08	-2.7592005160550193e-09	7.580774430931761e-16
9.02461837228936e-05	3.00282078162517e-08	-3.0244377210846097e-09	9.108404881847194e-16
9.311090510804833e-05	3.2914918675274274e-08	-3.315163100902634e-09	1.0943821777855056e-15
9.606656251150336e-05	3.607904987023267e-08	-3.633824817790963e-09	1.3149025223451297e-15
9.911604255234403e-05	3.954725075377369e-08	-3.983106063721268e-09	1.5798501760967068e-15
0.0001022623234807815	4.334872899754403e-08	-4.365947560732045e-09	1.898173803805577e-15
0.000105508478086837	4.751549611005368e-08	-4.7855722705003115e-09	2.2806240725407076e-15
0.0001088576767013576	5.2082636391527454e-08	-5.245512458567219e-09	2.7401164144450437e-15
0.0001123131902922944	5.708860162884388e-08	-5.749639349677283e-09	3.2921667885881936e-15
0.00011587839365926694	6.257553403038814e-08	-6.3021956228608835e-09	3.955415128857071e-15
0.00011955676872953447	6.858962009056388e-08	-6.907831017765924e-09	4.7522541135378936e-15
0.00012335190795859208	7.518147834243556e-08	-7.57164134927747e-09	5.709584438476195e-15
0.00012726751783871348	8.240658423892838e-08	-8.299211256228193e-09	6.859722033403105e-15
0.00013130742251886708	9.03257357112121e-08	-9.096661040847464e-09	8.24148777386381e-15
0.00013547556753954032	9.900556329151241e-08	-9.97069798962636e-09	9.901516381070008e-15
0.00013977602368612016	1.0851908905813421e-07	-1.09286726034764e-08	1.189582857488124e-14
0.0001442129909645929	1.1894633906620809e-07	-1.197864020579676e-08	1.429171939843327e-14
0.0001487908027034464	1.3037501437194553e-07	-1.3129428441665116e-08	1.7170026263689808e-14
0.00015351392978578046	1.4290122624462628e-07	-1.4390711230195221e-08	2.0627853031928736e-14
0.00015838698501575914	1.5663030169312748e-07	-1.5773089785558327e-08	2.478184176986342e-14
0.00016341472762366864	1.716776660168947e-07	-1.7288181380681455e-08	2.977210222445978e-14
0.00016860206791398163	1.8816980972961633e-07	-1.8948716591689795e-08	3.576693115415219e-14
0.00017395407206096652	2.0624534790269674e-07	-2.0768645831273957e-08	4.296848018116931e-14
0.00017947596705652607	2.2605618074063406e-07	-2.2763256055905163e-08	5.161956267730891e-14
0.00018517314581509688	2.477687650378179e-07	-2.4949298615815e-08	6.201182842978653e-14
0.00019105117244059628	2.7156550708288333e-07	-2.734512930858175e-08	7.44955807340866e-14
0.00019711578766055943	2.97646288580035e-07	-2.9970861797766225e-08	8.949156566237026e-14
0.0002033729144327752	3.2623013825482065e-07	-3.284853566812924e-08	1.0750512940129975e-13
0.00020982866372989487	3.5755706301359373e-07	-3.600230050942819e-08	1.2914321895287822e-13
0.00021648934050766516	3.9189005384106674e-07	-3.945861755260251e-08	1.5513479679871673e-13
0.00022336144986261197	4.2951728305955683e-07	-4.32464805263767e-08	1.8635535452478177e-13
0.00023045170338519124	4.7075451114836116e-07	-4.7397657560093084e-08	2.2385634770871632e-13
0.00023776702571460967	5.159477230448661e-07	-5.1946956131199786e-08	2.6890053916647864e-13
0.00024531456130171816	5.65476015734333e-07	-5.693251324464309e-08	3.2300443543512715e-13
0.00025310168138658224	6.197547609979672e-07	-6.239611323795573e-08	3.8798923872685123e-13
0.0002611359911975446	6.792390694453764e-07	-6.838353583174168e-08	4.660420214338721e-13
0.0002694253373788103	7.444275844259407e-07	-7.494493729232835e-08	5.597891720799921e-13
0.0002779778156538091	8.15866637113626e-07	-8.21352678435551e-08	6.723845717788296e-13
0.0002868017787318184	8.941547970129421e-07	-9.001472876012941e-08	8.076154524150154e-13
0.00029590584446557	9.799478553635245e-07	-9.864927289804874e-08	9.70029478274885e-13
0.0003052989042678067	1.0739642824528956e-06	-1.0811115277080595e-07	1.1650873013379956e-12
0.0003149901317950092	1.1769912037092913e-06	-1.1847952066624648e-07	1.39934569042635e-12
0.00032498899190677423	1.2898909436695666e-06	-1.2984108572106522e-07	1.68067735410199e-12
0.00033530524990959355	1.4136081915344673e-06	-1.4229083333132082e-07	2.018534800423469e-12
0.0003459489810940622	1.549177847071264e-06	-1.559328127816153e-07	2.4242670439583427e-12
0.0003569305805748304	1.697733611141587e-06	-1.7088099952666513e-07	2.9114997303990855e-12
0.0003682607734429085	1.8605173911634444e-06	-1.8726023916116122e-07	3.496591359992325e-12
0.0003799506252402415	2.0388895984080224e-06	-2.0520728077174482e-07	4.199180822578161e-12
0.0003920115527667813	2.2343404212352964e-06	-2.248719080837024e-07	5.042844493011127e-12
0.0004044553352306133	2.448502166243708e-06	-2.4641817760013635e-07	6.055884776351903e-12
0.0004172941257520248	2.68316276790919e-06	-2.700257737889376e-07	7.272276357604421e-12
0.00043054046323275314	2.9402805766841166e-06	-2.958914923094311e-07	8.732801644846983e-12
0.0004442072846020029	3.2220005457896566e-06	-3.2423086329322644e-07	1.0486413169780715e-11
0.00045830793745119407	3.530671948144346e-06	-3.552799278103705e-07	1.2591868232518335e-11
0.00047285619306978066	3.8688677671133e-06	-3.892971818708073e-07	1.5119690095220803e-11
0.00048786625989486897	4.239405918129633e-06	-4.2656570364161297e-07	1.8154520838195826e-11
0.0005033527973877748	4.645372472834094e-06	-4.673954810124817e-07	2.1797943947035636e-11
0.0005193309303510684	5.090147073311019e-06	-5.121259582263626e-07	2.6171870225026003e-11
0.0005358162637000905	5.577430741388841e-06	-5.61128822020797e-07	3.142259922989173e-11
0.0005528248977033689	6.1112763069520655e-06	-6.148110496112016e-07	3.77256907266377e-11
0.0005703734437068168	6.696121699920974e-06	-6.736182429040157e-07	4.529180735732565e-11
0.0005884790403570689	7.336826373149768e-06	-7.380382755704081e-07	5.4373721725952916e-11
0.0006071593703398042	8.038711148140726e-06	-8.086052820564874e-07	6.527471942541165e-11
0.0006264326776493992	8.807601802353766e-06	-8.859040202715269e-07	7.835867544195857e-11
