r	P	Q	rho
8.217008535470081e-05	-5.323458278560875e-07	-3.3754455307258303e-06	1.1677024611332765e-11
8.477844385835114e-05	-5.655349785348357e-07	-3.5825629888083907e-06	1.3154587380726105e-11
8.746960054888657e-05	-6.008088389831291e-07	-3.8023788105923706e-06	1.4819055880242107e-11
9.02461837228936e-05	-6.382998071269245e-07	-4.035670546155368e-06	1.6694063400884233e-11
9.311090510804833e-05	-6.781488237525809e-07	-4.283263262986356e-06	1.8806230007205537e-11
9.606656251150336e-05	-7.205059359609869e-07	-4.54603243999721e-06	2.1185539749262005e-11
9.911604255234403e-05	-7.655308991499256e-07	-4.824907040669112e-06	2.3865765508651665e-11
0.0001022623234807815	-8.133938194522873e-07	-5.120872767121272e-06	2.6884947402567454e-11
0.000105508478086837	-8.642758406082915e-07	-5.4349755146266235e-06	3.02859315732501e-11
0.0001088576767013576	-9.183698773916153e-07	-5.768325034684908e-06	3.4116976937472933e-11
0.0001123131902922944	-9.758813995707569e-07	-6.12209881961372e-06	3.843243846314388e-11
0.00011587839365926694	-1.037029269654192e-06	-6.4975462221880364e-06	4.329353661558953e-11
0.00011955676872953447	-1.1020466384141809e-06	-6.895992824336092e-06	4.876922382653486e-11
0.00012335190795859208	-1.171181902278248e-06	-7.3188450698241055e-06	5.4937160204312715e-11
0.00012726751783871348	-1.2446997270478223e-06	-7.767595176731227e-06	6.188481224009115e-11
0.00013130742251886708	-1.3228821427223735e-06	-8.24382634644368e-06	6.971068999385269e-11
0.00013547556753954032	-1.4060297145704955e-06	-8.749218286883542e-06	7.852574018979257e-11
0.00013977602368612016	-1.4944627959768673e-06	-9.285553068727966e-06	8.845491484072236e-11
0.0001442129909645929	-1.5885228690129367e-06	-9.854721334475094e-06	9.963893748553568e-11
0.0001487908027034464	-1.688573979131023e-06	-1.0458728881375888e-05	1.1223629189712451e-10
0.00015351392978578046	-1.7950042708691846e-06	-1.109970364048027e-05	1.2642546123892958e-10
0.00015838698501575914	-1.908227631980624e-06	-1.1779903075344808e-05	1.424074491599724e-10
0.00016341472762366864	-2.0286854539697267e-06	-1.2501722025321275e-05	1.6040861826955144e-10
0.00016860206791398163	-2.1568485176305563e-06	-1.3267701019795044e-05	1.8068388587867558e-10
