r	P	Q	rho
8.217008535470081e-05	1.0634534175323577e-12	-7.997133445721194e-14	1.1373285855961183e-24
8.477844385835114e-05	1.2032934795213704e-12	-9.048644052372278e-14	1.4561029937773e-24
8.746960054888657e-05	1.361519703012698e-12	-1.0238393486565521e-13	1.8642183718103603e-24
9.02461837228936e-05	1.5405491188120774e-12	-1.1584552223180782e-13	2.3867117724938286e-24
9.311090510804833e-05	1.7431164350791133e-12	-1.3107678550694057e-13	3.0556360299417488e-24
9.606656251150336e-05	1.9723157204615792e-12	-1.4831031817215462e-13	3.912025251656204e-24
9.911604255234403e-05	2.2316477899398238e-12	-1.678092852327729e-13	5.008411814553634e-24
0.0001022623234807815	2.525073492899408e-12	-1.8987142745835285e-13	6.412047303508289e-24
0.000105508478086837	2.857074192616667e-12	-2.148336060421236e-13	8.209026420401242e-24
0.0001088576767013576	3.2327201612214995e-12	-2.430769417175547e-13	1.0509566040362717e-23
0.0001123131902922944	3.657747942051123e-12	-2.750326275735965e-13	1.3454762953809262e-23
0.00011587839365926694	4.138647876397938e-12	-3.111885053214984e-13	1.722524453065739e-23
0.00011955676872953447	4.682763123463072e-12	-3.520965048375213e-13	2.2052242419184422e-23
0.00012335190795859208	5.298401682043759e-12	-3.9838106022659937e-13	2.8231767853431403e-23
0.00012726751783871348	5.9949631208114085e-12	-4.5074863055487005e-13	3.6142757147835956e-23
0.00013130742251886708	6.7830819472439515e-12	-5.099984701425995e-13	4.627029914257459e-23
0.00013547556753954032	7.674789798527428e-12	-5.770348123116931e-13	5.923536762620027e-23
0.00013977602368612016	8.683698924053934e-12	-6.528806519619906e-13	7.583288014932177e-23
0.0001442129909645929	9.825209752928701e-12	-7.386933366402863e-13	9.708041453464203e-23
0.0001487908027034464	1.111674570611904e-11	-8.357822032366279e-13	1.2428056698576318e-22
0.00015351392978578046	1.2578018827061198e-11	-9.456285285080682e-13	1.591007709278343e-22
0.00015838698501575914	1.4231330272963086e-11	-1.0699080967605977e-12	2.0367546467366946e-22
0.00016341472762366864	1.6101910238797716e-11	-1.210516727746703e-12	2.6073686408645333e-22
0.00016860206791398163	1.8218302485093545e-11	-1.3695991527592244e-12	3.337823472776044e-22
0.00017395407206096652	2.0612799318161517e-11	-1.5495816777006212e-12	4.272886991066653e-22
0.00017947596705652607	2.3321933637605687e-11	-1.7532091293474832e-12	5.46986330848111e-22
0.00018517314581509688	2.6387035532433645e-11	-1.9835866459802586e-12	7.002102601720269e-22
0.00019105117244059628	2.985486188691445e-11	-2.244226946987696e-12	8.963493328763228e-22
0.00019711578766055943	3.3778308565335805e-11	-2.5391037990920737e-12	1.1474211776376019e-21
