r	P	Q	rho
8.217008535470081e-05	3.916302632646571e-11	3.766742775149633e-10	1.4341725397246706e-19
8.477844385835114e-05	4.29709478465942e-11	4.1289227653787084e-10	1.7232653438346032e-19
8.746960054888657e-05	4.715046061421528e-11	4.525918443612075e-10	2.0706254351841211e-19
9.02461837228936e-05	5.173799893005086e-11	4.9610754436903e-10	2.4879951611315506e-19
9.311090510804833e-05	5.677359175291973e-11	5.43806075168991e-10	2.9894828811122955e-19
9.606656251150336e-05	6.230122001240833e-11	5.960893528548696e-10	3.5920395860197176e-19
9.911604255234403e-05	6.836921058745354e-11	6.53397898259636e-10	4.3160316240646115e-19
0.0001022623234807815	7.50306688146911e-11	7.162145355580841e-10	5.185928622074619e-19
0.000105508478086837	8.234395524076582e-11	7.850684538315851e-10	6.231130041662088e-19
0.0001088576767013576	9.037321030982048e-11	8.605396565907582e-10	7.486958177070431e-19
0.0001123131902922944	9.918893199765956e-11	9.43263837400344e-10	8.995851111780591e-19
0.00011587839365926694	1.0886861184006571e-10	1.0339377230232467e-09	1.0808795897344789e-18
0.00011955676872953447	1.1949743533707003e-10	1.1333249286523394e-09	1.2987050309569674e-18
0.00012335190795859208	1.3116905333814876e-10	1.2422623742565416e-09	1.560421127047126e-18
0.00012726751783871348	1.4398643170909195e-10	1.3616673157457871e-09	1.874869971286654e-18
0.00013130742251886708	1.5806278734167138e-10	1.4925450497740507e-09	2.2526745703472418e-18
0.00013547556753954032	1.7352261941271942e-10	1.6359973566196919e-09	2.7065974503144706e-18
0.00013977602368612016	1.905028457341311e-10	1.7932317517332436e-09	3.2519714496570796e-18
0.0001442129909645929	2.0915405507040655e-10	1.9655716232789303e-09	3.9072172249917634e-18
0.0001487908027034464	2.2964188744653022e-10	2.1544673403734808e-09	4.694464917205985e-18
0.00015351392978578046	2.521485557384031e-10	2.361508424804738e-09	5.640300934584718e-18
0.00015838698501575914	2.768745232442448e-10	2.588436887859445e-09	6.776665024053217e-18
0.00016341472762366864	3.040403534934297e-10	2.8371618435773358e-09	8.141927863203556e-18
0.00016860206791398163	3.3388875027586513e-10	3.1097755203566053e-09	9.782185484569974e-18
0.00017395407206096652	3.6668680778891144e-10	3.4085708044511087e-09	1.17528141439629e-17
0.00017947596705652607	4.0272849292073024e-10	3.7360604616173925e-09	1.4120338011870967e-17
0.00018517314581509688	4.4233738404193716e-10	4.094998197093952e-09	1.6964672595523782e-17
0.00019105117244059628	4.858696932872518e-10	4.488401729339902e-09	2.038181944279647e-17
0.00019711578766055943	5.33717602204124e-10	4.919578069649962e-09	2.448710286228337e-17
0.0002033729144327752	5.863129438580128e-10	5.392151218033624e-09	2.941905762627694e-17
0.00020982866372989487	6.441312680496172e-10	5.910092505747373e-09	3.534409851697047e-17
0.00021648934050766516	7.076963302576029e-10	6.4777538367628754e-09	4.246212886555623e-17
0.00022336144986261197	7.775850493153315e-10	7.099904104419015e-09	5.101327680086469e-17
0.00023045170338519124	8.544329837110987e-10	7.781769085736305e-09	6.12859858273747e-17
0.00023776702571460967	9.389403818232927e-10	8.529075144581331e-09	7.362673186253353e-17
0.00024531456130171816	1.0318788674259679e-09	9.348097106288822e-09	8.845169350564575e-17
0.00025310168138658224	1.1340988284949056e-09	1.0245710700734333e-08	1.0626076791593554e-16
0.0002611359911975446	1.2465375847855423e-09	1.1229450008478578e-08	1.276544034432025e-16
0.0002694253373788103	1.3702284179272667e-09	1.2307570385779257e-08	1.5335381471820604e-16
0.0002779778156538091	1.5063105569784616e-09	1.348911738931891e-08	1.8422525943689055e-16
0.0002868017787318184	1.6560402226193112e-09	1.478400227079075e-08	2.2130919236167905e-16
0.00029590584446557	1.820802844543185e-09	1.6203084665413737e-08	2.6585527567326237e-16
0.0003052989042678067	2.002126579274496e-09	1.775826315744625e-08	3.1936442120855026e-16
0.0003149901317950092	2.201697269739e-09	1.9462574470306187e-08	3.8363927587979033e-16
0.00032498899190677423	2.4213750036064527e-09	2.133030209949992e-08	4.60844844564021e-16
0.00033530524990959355	2.663212444899706e-09	2.3377095283776057e-08	5.535812844334135e-16
0.0003459489810940622	2.929475132824597e-09	2.5620099294366696e-08	6.649713124070465e-16
0.0003569305805748304	3.2226639634515877e-09	2.8078098114529618e-08	7.987651567504812e-16
0.0003682607734429085	3.5455400940303547e-09	3.077167068259141e-08	9.594665711562323e-16
0.0003799506252402415	3.901152536630036e-09	3.372336198211256e-08	1.1524841344906499e-15
0.0003920115527667813	4.2928687377923224e-09	3.695787038352256e-08	1.3843129052851686e-15
0.0004044553352306133	4.7244084743217795e-09	4.050225277355612e-08	1.6627525151652782e-15
0.0004172941257520248	5.1998814326199374e-09	4.438614915309813e-08	1.9971690035543795e-15
0.00043054046323275314	5.7238288805470675e-09	4.864202854174451e-08	2.398809157709672e-15
0.0004442072846020029	6.3012698871714235e-09	5.330545819974227e-08	2.881177876075444e-15
0.00045830793745119407	6.937752597503721e-09	5.841539836632705e-08	3.4604911774008545e-15
0.00047285619306978066	7.639411127044915e-09	6.401452491929632e-08	4.1562200030112275e-15
0.00048786625989486897	8.413028705403774e-09	7.014958258553464e-08	4.991742988922693e-15
0.0005033527973877748	9.266107770156584e-09	7.687177157788458e-08	5.9951300187306195e-15
0.0005193309303510684	1.0206947792408932e-08	8.423717080212393e-08	7.200082727983161e-15
0.0005358162637000905	1.1244731705168004e-08	9.230720107093072e-08	8.647063360670445e-15
0.0005528248977033689	1.2389621905751354e-08	1.0114913208183517e-07	1.0384649651876009e-14
0.0005703734437068168	1.365286691528464e-08	1.1083663726571547e-07	1.2471160935378263e-14
0.0005884790403570689	1.5046919903265608e-08	1.214504009940521e-07	1.497660970019134e-14
0.0006071593703398042	1.658557042474946e-08	1.3307878304980268e-07	1.7985043644330774e-14
0.0006264326776493992	1.8284090873683693e-08	1.4581854572154373e-07	2.159735625542306e-14
0.000646317785406778	2.0159399330238595e-08	1.5977564937686712e-07	2.5934659515155602e-14
0.0006668341142428632	2.223024067482792e-08	1.7506612291263176e-07	3.1142330992121467e-14
0.0006880017012655774	2.4517388059338736e-08	1.918170160706001e-07	3.739486997148106e-14
0.0007098412196289265	2.704386706963161e-08	2.1016744125161602e-07	4.490172410833138e-14
0.0007323739987232675	2.983520518570039e-08	2.3026971316457578e-07	5.391428026936885e-14
0.0007556220450064876	3.291970945043462e-08	2.522905954131769e-07	6.473425180423634e-14
0.0007796080634964338	3.632877559855688e-08	2.7641266395941696e-07	7.772374073363186e-14
