r	P	Q	rho
8.217008535470081e-05	3.5288831235136e-05	-5.404218041739538e-06	1.2745071825845732e-09
8.477844385835114e-05	3.745330420034525e-05	-5.735738512042752e-06	1.4356486918021292e-09
8.746960054888657e-05	3.975039997235225e-05	-6.087576638282461e-06	1.6171528872889445e-09
9.02461837228936e-05	4.21882316491589e-05	-6.460975770295497e-06	1.8215910975874378e-09
9.311090510804833e-05	4.477540740088094e-05	-6.857255170037748e-06	2.0518590563818726e-09
9.606656251150336e-05	4.75210605517392e-05	-7.277814628384423e-06	2.31121778172719e-09
9.911604255234403e-05	5.043488151812407e-05	-7.72413936692054e-06	2.6033396027068246e-09
0.0001022623234807815	5.352715161853645e-05	-8.197805225999644e-06	2.932359970917216e-09
0.000105508478086837	5.6808778958938655e-05	-8.70048417567403e-06	3.3029357916967053e-09
0.0001088576767013576	6.029133647562718e-05	-9.233950154032989e-06	3.7203110894644585e-09
0.0001123131902922944	6.398710226910789e-05	-9.800085260535222e-06	4.190390927911032e-09
0.00011587839365926694	6.790910236798181e-05	-1.0400886321768756e-05	4.719824620703389e-09
0.00011955676872953447	7.207115606665833e-05	-1.1038471853487618e-05	5.31609939764486e-09
0.00012335190795859208	7.648792399010948e-05	-1.1715089442012708e-05	5.987645836951123e-09
0.00012726751783871348	8.117495904768906e-05	-1.243312357011491e-05	6.743956538103743e-09
0.00013130742251886708	8.614876044743526e-05	-1.3195103913801878e-05	7.595719693925616e-09
0.00013547556753954032	9.142683095225545e-05	-1.40037141380079e-05	8.554969427631338e-09
0.00013977602368612016	9.702773756990557e-05	-1.486180122080982e-05	9.635254993461331e-09
0.0001442129909645929	0.00010297117587978306	-1.5772385337516775e-05	1.0851831201300329e-08
0.0001487908027034464	0.00010927803821127508	-1.673867033780093e-05	1.2221872719982473e-08
0.00015351392978578046	0.00011597048590077802	-1.7764054850958365e-05	1.376471524481041e-08
0.00015838698501575914	0.00012307202586755997	-1.8852144056417777e-05	1.5502126886669278e-08
0.00016341472762366864	0.00013060759176241417	-2.0006762158756643e-05	1.7458613558054495e-08
0.00016860206791398163	0.0001386036299575787	-2.123196560874434e-05	1.966176260102831e-08
0.00017395407206096652	0.00014708819066172078	-2.2532057114316657e-05	2.2142629429941555e-08
0.00017947596705652607	0.00015609102445993613	-2.3911600487901853e-05	2.493617255484541e-08
0.00018517314581509688	0.0001656436845957387	-2.5375436379171656e-05	2.808174301788595e-08
0.00019105117244059628	0.00017577963532995722	-2.692869894508848e-05	3.162363502360795e-08
