r	P	Q	rho
8.217008535470081e-05	0.00044816825305599937	0.0013152676256715887	1.9307837101870446e-06
8.477844385835114e-05	0.0004598238427263172	0.0013484008331635438	2.029622773215736e-06
8.746960054888657e-05	0.0004717918190190379	0.0013823617384725168	2.133511496486052e-06
9.02461837228936e-05	0.0004840810717321484	0.0014171706141646071	2.2427070336610352e-06
9.311090510804833e-05	0.0004967007715252972	0.0014528482057741495	2.3574795654549907e-06
9.606656251150336e-05	0.0005096603801997603	0.001489415741441276	2.4781129539984303e-06
9.911604255234403e-05	0.0005229696614041532	0.0015268949416589064	2.6049054296127296e-06
0.0001022623234807815	0.0005366386917591904	0.0015653080291480408	2.7381703116083394e-06
0.000105508478086837	0.0005506778725816244	0.0016046777387826042	2.8782367646954752e-06
0.0001088576767013576	0.0005650979419743336	0.001645027327662976	3.0254505927816196e-06
0.0001123131902922944	0.0005799099875335157	0.0016863805852413336	3.180175071920025e-06
0.00011587839365926694	0.0005951254595668616	0.001728761843544166	3.342791824318892e-06
0.00011955676872953447	0.0006107561849052135	0.0017721959874624786	3.513701735378081e-06
0.00012335190795859208	0.0006268143813177439	0.001816708465106708	3.6933259158171165e-06
0.00012726751783871348	0.00064331267256404	0.0018623252982165157	3.882106711058722e-06
0.00013130742251886708	0.0006602641041131873	0.0019090730926149169	4.080508760126673e-06
0.00013547556753954032	0.0006776821595623309	0.001956979048695696	4.289020106422976e-06
0.00013977602368612016	0.0006955807777886449	0.0020060709719319568	4.508153362857082e-06
0.0001442129909645929	0.000713974370870363	0.002056377283392675	4.7384469339131686e-06
0.0001487908027034464	0.0007328778428142935	0.002107927030253033	4.980466297359503e-06
0.00015351392978578046	0.0007523066091291004	0.0021607498962831666	5.234805348427041e-06
0.00015838698501575914	0.000772276617285577	0.0022148762122987395	5.5020878094128646e-06
0.00016341472762366864	0.0007928043681071803	0.002270336966555478	5.782968707798155e-06
0.00016860206791398163	0.0008139069381362219	0.002327163815068412	6.078135926110045e-06
0.00017395407206096652	0.0008356020030233534	0.0023853890918351366	6.388311826902699e-06
0.00017947596705652607	0.0008579078619903093	0.002445045818940859	6.7142549563849594e-06
0.00018517314581509688	0.0008808434634183226	0.002506167716521363	7.056761830380689e-06
0.00019105117244059628	0.0009044284316171786	0.0025687892125583335	7.416668806473573e-06
0.00019711578766055943	0.0009286830948325382	0.002632945452479602	7.794854046360757e-06
0.0002033729144327752	0.0009536285145519548	0.002698672308534997	8.192239572620179e-06
0.00020982866372989487	0.0009792865161729143	0.002766006388916421	8.609793424284542e-06
0.00021648934050766516	0.0010056797210992703	0.0028349850465886105	9.048531915811333e-06
0.00022336144986261197	0.001032831580335605	0.00290564638779478	9.509522004243396e-06
0.00023045170338519124	0.0010607664096523564	0.0029780292801989167	9.99388376956883e-06
0.00023776702571460967	0.0010895094263979907	0.0030521733606239747	1.0502793013512726e-05
0.00024531456130171816	0.0011190867880380758	0.0031281190423425175	1.1037483982227247e-05
0.00025310168138658224	0.0011495256325048458	0.0032059075218735422	1.1599252218591022e-05
0.0002611359911975446	0.001180854120444716	0.0032855807852362126	1.2189457550084671e-05
0.0002694253373788103	0.0012131014794552397	0.003367181613608109	1.2809527218477001e-05
0.0002779778156538091	0.0012462980504071774	0.003450753588332267	1.3460959157836748e-05
0.0002868017787318184	0.0012804753359516884	0.003536341095213777	1.4145325427678367e-05
0.00029590584446557	0.0013156660513171466	0.0036239893280430834	1.4864275808358611e-05
