r	P	Q	rho
0.00014647710867577102	6.210160867630297e-05	-5.247506655235763e-06	3.884146126281412e-09
0.00015112679122575637	6.604120465370357e-05	-5.580354851421454e-06	4.39258107238014e-09
0.00015592407054366736	7.023048313132307e-05	-5.934294048501931e-06	4.96753660671314e-09
0.00016087363185385384	7.468524534594593e-05	-6.310658593189776e-06	5.617710284263939e-09
0.00016598030910565137	7.942229027826333e-05	-6.710867048030483e-06	6.3529359295810624e-09
0.00017124908969441907	8.445947741356117e-05	-7.136427486127401e-06	7.184331922236604e-09
0.00017668511933243938	8.981579351695483e-05	-7.588943123108015e-06	8.124468822806034e-09
0.00018229370707443656	9.551142346050112e-05	-8.070118282371894e-06	9.187558820542636e-09
0.00018808033050262248	0.00010156782555648287	-8.58176476079905e-06	1.0389669874681828e-08
0.00019405064107633316	0.0001080078115846176	-9.125808566921283e-06	1.1748967745298349e-08
0.0002002104696514813	0.00011485563181299686	-9.704297094273086e-06	1.3285989541256613e-08
0.00020656583217521497	0.00012213706532799106	-1.0319406735147364e-05	1.5023952882299363e-08
0.00021312293556134408	0.00012987951599901916	-1.0973450971065694e-05	1.6989105302353858e-08
0.00021988818375227284	0.0001381121144264888	-1.1668888966352735e-05	1.92111191210646e-08
0.0002268681839733588	0.00014686582624204902	-1.2408334696499198e-05	2.172353768770008e-08
0.00023406975318580653	0.0001561735671525752	-1.3194566644045163e-05	2.456427966608407e-08
0.00024149992474439797	0.00016607032514306648	-1.4030538096870945e-05	2.7776208892411566e-08
0.000249165955266562	0.00017659329027871795	-1.491938808584107e-05	3.140777831231948e-08
0.00025707533171949167	0.00018778199257299543	-1.586445300097713e-05	3.551375760370472e-08
0.0002652357787322305	0.00019967844841665996	-1.6869278927682364e-05	4.015605533362468e-08
0.0002736552661398695	0.00021232731609244524	-1.793763474702682e-05	4.5404647899338905e-08
0.0002823420167672228	0.00022577606093157824	-1.9073526046730168e-05	5.133862908563503e-08
0.0002913045144595832	0.00024007513070163928	-2.0281209892258943e-05	5.804739585610305e-08
0.000300551512368402	0.0002552781418504908	-2.1565210510393433e-05	6.563198801099687e-08
0.0003100920414999838	0.0002714420772682596	-2.293033594072545e-05	7.420660161806233e-08
0.00031993541953554647	0.00028862749626874584	-2.4381695713830616e-05	8.390029868824671e-08
0.0003300912599312597	0.00030689875753327195	-2.5924719618326243e-05	9.485893846275488e-08
0.0003405694813071499	0.0003263242558039881	-2.7565177622689284e-05	1.0724735894339706e-07
0.00035138031713404075	0.0003469766731601429	-2.9309201021576128e-05	1.2125184098180379e-07
0.00036253432572799056	0.00036893324575994495	-3.1163304880470025e-05	1.3708289139804104e-07
0.00037404240056198657	0.00039227604698250366	-3.313441185679132e-05	1.549783862853149e-07
0.0003859157809049683	0.0004170922879591044	-3.5229877480153355e-05	1.752071209422271e-07
0.0003981660627985691	0.00044347463654086935	-3.745751697924338e-05	1.980728188333065e-07
0.0004108052103822975	0.00047152155581085765	-3.9825633747866007e-05	2.239186586977109e-07
0.0004238455675782173	0.0005013376633129957	-4.234304954801881e-05	2.531323865011606e-07
0.000437299870146541	0.0005330341122380893	-4.501913655348839e-05	2.861520874654696e-07
0.0004511812581239074	0.0005667289958787116	-4.786385134337464e-05	3.234727030351134e-07
0.00046550328865649246	0.0006025477767401563	-5.088777096118367e-05	3.656533884879031e-07
0.00048027994924048793	0.0006406237417740811	-5.410213116169186e-05	4.133258191208614e-07
0.000495525671382877	0.0006810984852851301	-5.751886697468654e-05	4.6720356671575027e-07
0.0005112553446958502	0.0007241224211488972	-6.11506557219511e-05	5.280926835057655e-07
0.0005274843314386247	0.0007698553260722832	-6.50109626314962e-05	5.969036483441352e-07
0.0005442284815208728	0.0008184669157248013	-6.91140892010609e-05	6.746648494621612e-07
0.0005615041479824077	0.0008701374556719076	-7.347522447133389e-05	7.625378003742939e-07
0.0005793282029642497	0.0009250584091491902	-7.81104993781904e-05	8.618343104507409e-07
0.0005977180541866668	0.0009834331238294327	-8.30370443625223e-05	9.7403585978138e-07
0.0006166916619502848	0.0010454775598534392	-8.827305042597062e-05	1.1008154595886074e-06
0.0006362675566768715	0.0011114210615202193	-9.383783383107221e-05	1.244062315048839e-06
0.0006564648570069239	0.0011815071751629675	-9.97519046550136e-05	1.4059096474438782e-06
0.0006773032884717349	0.0012559945158744073	-0.00010603703941737093	1.5887660776349878e-06
0.0006988032027581754	0.0013351576858887295	-0.00011271635801390952	1.7953510235516672e-06
0.0007209855975850063	0.0014192882475777932	-0.00011981440520074525	2.0287346214060518e-06
0.0007438721372101312	0.0015086957541765944	-0.00012735723688593736	2.292382744457704e-06
0.0007674851735888207	0.001603708841517582	-0.00013537251149891018	2.590207765231188e-06
0.0007918477682035702	0.0017046763842252486	-0.00014388958672199468	2.926625788102294e-06
0.0008169837145869112	0.0018119687200018973	-0.00015293962188285478	3.3066211702069845e-06
0.000842917561559174	0.0019259789458225985	-0.00016255568632162894	3.735819250907424e-06
0.0008696746372038969	0.002047124290052405	-0.00017277287406227527	4.220568324934302e-06
0.0008972810736042945	0.0021758475647019088	-0.00018362842513387328	4.7680320233363734e-06
0.000925763832364948	0.002312618702248388	-0.00019516185390450392	5.386293411208462e-06
0.0009551507309436398	0.002457936381669164	-0.00020741508480780397	6.084472273738731e-06
0.0009854704698190493	0.0026123297485614377	-0.0002204325958603692	6.872857244536806e-06
0.0010167526605208471	0.002776360234458792	-0.00023426157038685804	7.763054634844195e-06
0.0010490278545495575	0.002950623480698764	-0.0002489520573889048	8.768156051729059e-06
0.0010823275732144335	0.0031357513724482714	-0.0002645571410137891	9.902927150672608e-06
0.001116684338418494	0.0033324141887541535	-0.0002811331195991855	1.1184020156345573e-05
0.0011521317044207785	0.003541322874754429	-0.00029873969479122587	1.2630213108502927e-05
0.001188704290606843	0.003763231442461849	-0.0003174401712545001	1.4262679151859576e-05
0.0012264378152995075	0.003998939506814587	-0.00033730166751446365	1.610528959407053e-05
0.001265369130642869	0.004249294963979004	-0.0003583953384949623	1.8184954909552246e-05
0.001305536258593651	0.004515196819185877	-0.0003807966103361629	2.0532008374429774e-05
0.0013469784280550432	0.004797598171683616	-0.00040458542810103087	2.318063758557367e-05
0.001389736113189295	0.005097509364698992	-0.0004298465170015308	2.6169369751372274e-05
0.001433851072946482	0.00541600130860701	-0.0004566696577988589	2.9541617351186973e-05
0.0014793663918480477	0.0057542089858255	-0.0004851499770551328	3.334629155279152e-05
0.0015263265220649574	0.0061133351462657436	-0.0005153882529369432	3.76384916618334e-05
0.0015747773268315534	0.006494654202486454	-0.0005474912372938689	4.248027986478852e-05
0.0016247661252375152	0.0068995163340130365	-0.0005815719947573184	4.7941551628398695e-05
0.0016763417384416677	0.007329351810595562	-0.0006177502596266937	5.4101013346749286e-05
0.001729554537352776	0.007785675544484941	-0.0006561528113306927	6.104728019580806e-05
0.001784456491823887	0.0082700918821052	-0.000696913869271326	6.888010867964505e-05
0.001841101221408272	0.00878429964578769	-0.0007401755078766701	7.771178004944621e-05
0.0018995440477265304	0.009330097436507555	-0.0007860880927052631	8.766865266421785e-05
0.0019598420484960083	0.00990938920882036	-0.0008348107384599832	9.88929034609335e-05
0.0020220541132752934	0.01052419012943376	-0.0008865117897819693	0.0001115444810338934
0.0020862410009782274	0.011176632731061042	-0.0009413693257051885	0.00012580329541240365
0.0021524653992136154	0.011868973373385832	-0.000999571688659246	0.00014187167249891098
0.002220791985508572	0.012603599023114812	-0.0010613180389114777	0.00015997710431517954
0.002291287490475312	0.013383034365202292	-0.0011268189353387458	0.00018037532973322348
0.0023640207629830657	0.014209949257390428	-0.0011962969434141314	0.00020335378427443275
0.0024390628373987767	0.015087166540215084	-0.001269987271283216	0.00022923546188140698
0.002516487002962244	0.016017670214571515	-0.00134813843478826	0.0002583832363421248
0.00259636887536347	0.017004613998808434	-0.001431012952275507	0.00029120469531805204
0.00267878647059212	0.01805133027711396	-0.001518888069990336	0.00032815754574261016
0.0027638202811312083	0.01916133945066213	-0.0016120565188261055	0.0003697556557633906
0.002851553354569441	0.02033835970259384	-0.001710827303144444	0.0004165758054532775
0.002942071374708972	0.021586317187398386	-0.0018155265223262927	0.0004692652262682412
0.003035462745247804	0.022909356654628635	-0.001926498225643218	0.0005285500177423838
0.0031318186761185494	0.024311852516110344	-0.0020441053009561325	0.0005952445392464978
0.0032312332725678806	0.025798420364878064	-0.002168730397652348	0.0006702618848606565
0.0033338036270636625	0.027373928952971496	-0.002300776884120453	0.0007546255605928341
0.0034396299141195314	0.02904351263393718	-0.0024406698399344526	0.0008494824953852344
0.0035488154881295306	0.030812584274384075	-0.002588857082772291	0.000956117530661041
0.0036614669843083526	0.03268684863721534	-0.002745810229927773	0.0010759695476510024
0.003777694422835764	0.03467231623718217	-0.002912025794087103	0.001210649407476595
0.0038976113163069273	0.036775317667153674	-0.0030880263128300507	0.001361959896028796
0.004021334780593571	0.03900251839094602	-0.0032743615110791026	0.0015319178841413186
0.004148985649224268	0.04136093399567632	-0.0034716094954557945	0.001722778933483632
0.004280688591395523	0.04385794589337423	-0.0036803779792096473	0.001937064600055993
0.004416572233728951	0.04650131745796728	-0.003901305536059399	0.0021775927102123407
0.004556769285893431	0.049299210579722315	-0.004135062880926257	0.0024475109088130187
0.004701416670214942	0.05226020261474204	-0.004382354175142235	0.0027503338054502774
0.004850655655400648	0.0553933037021477	-0.004643918353280642	0.0030899840727103066
0.005004631994507858	0.05870797441608966	-0.004920530468278143	0.0034708378801294915
0.005163496067292568	0.06221414371367997	-0.005213003050995436	0.0038977750788361126
0.00532740302707665	0.06592222713329424	-0.005522187479794296	0.004376234584775632
0.005496512952277097	0.06984314519040488	-0.005848975355089252	0.004912275442792418
0.005670991002745325	0.0739883419101428	-0.006194299873160254	0.005512644089530826
0.005851007581069215	0.0783698034270959	-0.006559137192785245	0.006184848369915431
0.0060367384989954325	0.08300007657339982	-0.006944507787466174	0.006937238899600412
0.006228365149134567	0.08789228736591469	-0.0073514777751758275	0.007779098403891431
0.006426074682116756	0.09306015929216861	-0.007781160216643722	0.008720739701800874
0.006630060189370854	0.09851803128274352	-0.00823471637222454	0.009773613041558613
0.0068405208917056304	0.1042808752448401	-0.008713356906350287	0.010950423530407347
0.007057662333877168	0.1103643130178479	-0.009218343027455507	0.012265259436073348
0.007281696585332499	0.1167846325968264	-0.009750987550082052	0.013733732168977582
0.007512842447325533	0.123558803453847	-0.01031265586461459	0.015373128781928362
0.0077513256666075425	0.1307044907701157	-0.010904766798769797	0.017202577846410813
0.007997379155900918	0.1382400683736826	-0.011528793353560596	0.019243229580149544
0.008251243221371513	0.146184630158322	-0.01218626329498224	0.021518451107620018
0.008513165797321717	0.1545579997388362	-0.012878759581120443	0.024054037731618388
0.008783402688333523	0.1633807380765957	-0.01360792060276544	0.026878441077584334
0.009062217819098007	0.1726741487865988	-0.014375440213931782	0.03002301494052079
0.009349883492175264	0.1824602808137374	-0.015183067526936702	0.03352227961415544
0.00964668065393652	0.1927619281413464	-0.016032606444883822	0.03741420541018613
0.009952899168948136	0.2036026261695461	-0.01692591490254128	0.041740515978424014
0.010268838103065536	0.2150066443744512	-0.017864903784700983	0.04654701191239835
0.01059480601551346	0.2269989748321225	-0.018851535489168417	0.05188391496513396
0.010931121260237844	0.2396053161633116	-0.01988782209957165	0.057806233001584724
0.011278112296823682	0.2528520524267637	-0.020975823131207025	0.06437414557245852
0.011636118011282398	0.2667662264602924	-0.02211764281117311	0.07165340970338666
0.012005488047022185	0.2813755071402662	-0.023315426852102288	0.07971578514773774
0.012386583146324414	0.2967081500018228	-0.024571358676901328	0.08863947794473313
0.012779775502659707	0.3127929506343767	-0.02588765505008302	0.09850960065055168
0.013185449124187685	0.3296591902401902	-0.02726656106953716	0.10941864706237671
0.01360400020879546	0.347336572718354	-0.028710344470982984	0.12146697862737492
0.014035837531041132	0.3658551526129726	-0.03022128919590088	0.13476331901412372
0.01448138284138017	0.3852452532432135	-0.031801688172499176	0.14942525251704858
0.014941071278064611	0.4055373743147834	-0.03345383525827705	0.1655797210596167
0.015415351792117357	0.4267620882980365	-0.03518001629204624	0.1833635135548098
0.01590468758579656	0.4489499248480642	-0.03698249920292957	0.20292374026837715
0.01640955656497842	0.4721312425376222	-0.038863523123924014	0.2244182836097228
0.016930451805900106	0.4963360871755541	-0.04082528645817152	0.248016215447131
0.017467882036718712	0.5215940359924989	-0.04286993384719521	0.2738981696110071
0.018022372134356528	0.5479340269932353	-0.044999541992120015	0.30225665671652413
0.01859446363711788	0.5753841728022158	-0.04721610428139356	0.3332963068148015
0.01918471527357816	0.603971558366989	-0.04952151418185886	0.3672340236831133
0.019793703508261613	0.6337220219346367	-0.05191754735431348	0.4042990328082115
0.02042202310464078	0.6646599187805678	-0.05440584246003674	0.4447328033271774
0.02107028770600748	0.6968078672484758	-0.05698788063130719	0.4887888223982176
0.021739130434782608	0.7301864767566214	-0.05966496358679718	0.5367321987180619
0.02242920451085006	0.7648140575404206	-0.062438190382065446	0.588839070229629
0.02314118388951868	0.8007063120362772	-0.06530843279631643	0.6453957895290471
0.02387576391973534	0.8378760079683194	-0.06827630936931008	0.706697859150021
0.02463366202319188	0.8763326333797997	-0.0713421581169406	0.773048587851157
0.025415618394989223	0.9160820340559362	-0.07450600797070743	0.8447574383437927
0.026222396726543057	0.9571260340163072	-0.0777675490052246	0.9221380366700653
0.027054784951436848	0.9994620400138507	-0.08112610153918774	1.0055058137795947
0.0279135960149509	1.043082631265076	-0.08458058421896197	1.0951752508736956
0.02879966866801881	1.087975135952997	-0.08812948122026212	1.1914567019120947
0.02971386828638688	1.1341211963909583	-0.09177080873233116	1.2946527694386447
0.03065708771577632	1.1814963251118398	-0.09550208092060344	1.4050542137129476
