r	P	Q	rho
0.00014647710867577102	-3.494246361678215e-08	-3.773878640954557e-07	1.4364257573014027e-13
0.00015112679122575637	-3.726280230148158e-08	-4.013370687057177e-07	1.6245995915265727e-13
0.00015592407054366736	-3.9740287758685e-08	-4.2680494635174613e-07	1.8374175270145998e-13
0.00016087363185385384	-4.2385847364046966e-08	-4.538876872743653e-07	2.0781059271604035e-13
0.00016598030910565137	-4.521119418644731e-08	-4.82687563332415e-07	2.350313358755487e-13
0.00017124908969441907	-4.822888577417067e-08	-5.133133113177742e-07	2.6581658099903613e-13
0.00017668511933243938	-5.145238750531701e-08	-5.458805408553979e-07	3.00632913064579e-13
0.00018229370707443656	-5.4896140889356665e-08	-5.805121671497766e-07	3.400079624934742e-13
0.00018808033050262248	-5.8575637338558124e-08	-6.173388713433277e-07	3.84538387361072e-13
0.00019405064107633316	-6.2507497624956e-08	-6.564995896611026e-07	4.3489889848453e-13
0.0002002104696514813	-6.670955771236153e-08	-6.981420331855687e-07	4.918524635906585e-13
0.00020656583217521497	-7.12009613591243e-08	-7.424232402065946e-07	5.562618444973224e-13
0.00021312293556134408	-7.600226010740683e-08	-7.895101631575058e-07	6.291026412704255e-13
0.00021988818375227284	-8.113552125387453e-08	-8.395802922879686e-07	7.114780400074887e-13
0.0002268681839733588	-8.662444447053865e-08	-8.928223183541735e-07	8.046354865311506e-13
0.00023406975318580653	-9.249448779684512e-08	-9.494368367458761e-07	9.099855372428162e-13
0.00024149992474439797	-9.87730037875629e-08	-1.0096370956182096e-06	1.0291231711255916e-12
0.000249165955266562	-1.0548938666875053e-07	-1.0736497907529972e-06	1.1638518838837037e-12
0.00025707533171949167	-1.1267523142814937e-07	-1.1417159100405169e-06	1.3162109270170327e-12
0.0002652357787322305	-1.2036450584695085e-07	-1.2140916306488222e-06	1.4885061018792969e-12
0.0002736552661398695	-1.2859373656769354e-07	-1.2910492721343142e-06	1.683344572162984e-12
0.0002823420167672228	-1.374022103887017e-07	-1.3728783089449274e-06	1.903674218591185e-12
0.0002913045144595832	-1.4683219207969448e-07	-1.4598864459766329e-06	2.1528281277772124e-12
0.000300551512368402	-1.5692916012675481e-07	-1.552400761065666e-06	2.434574884255348e-12
0.0003100920414999838	-1.677420619385971e-07	-1.6507689185336145e-06	2.7531754217400513e-12
0.00031993541953554647	-1.79323590180942e-07	-1.75536045815101e-06	3.113447288035506e-12
0.0003300912599312597	-1.9173048205280934e-07	-1.8665681641480984e-06	3.5208372891594053e-12
0.0003405694813071499	-2.0502384347877797e-07	-1.98480951917985e-06	3.981503603821758e-12
0.00035138031713404075	-2.1926950036594795e-07	-2.1105282484468115e-06	4.502408601282699e-12
0.00036253432572799056	-2.345383792647865e-07	-2.2441959594850453e-06	5.091423755917156e-12
0.00037404240056198657	-2.509069199806884e-07	-2.386313883468009e-06	5.757448232926365e-12
0.0003859157809049683	-2.6845752290950197e-07	-2.5374147242118024e-06	6.510542924253563e-12
0.0003981660627985691	-2.872790341171775e-07	-2.69806462144381e-06	7.362081944930028e-12
0.0004108052103822975	-3.074672714529564e-07	-2.8688652352843417e-06	8.324923861237808e-12
0.0004238455675782173	-3.2912559527917845e-07	-3.050455959302684e-06	9.413605217113133e-12
0.000437299870146541	-3.5236552772107163e-07	-3.2435162699440686e-06	1.0644559258518033e-11
0.0004511812581239074	-3.7730742468923257e-07	-3.448768220583692e-06	1.2036363132033625e-11
0.00046550328865649246	-4.040812053085593e-07	-3.666979088949376e-06	1.3610017259275611e-11
0.00048027994924048793	-4.328271438030644e-07	-3.898964187167024e-06	1.538926106922373e-11
0.000495525671382877	-4.636967293394281e-07	-4.14558984422406e-06	1.740092981333375e-11
0.0005112553446958502	-4.968535998267933e-07	-4.407776571217076e-06	1.967535780143101e-11
0.0005274843314386247	-5.324745562099329e-07	-4.686502420352214e-06	2.2246834088978124e-11
0.0005442284815208728	-5.707506643816179e-07	-4.982806549302212e-06	2.5154117428661075e-11
0.0005615041479824077	-6.11888452482271e-07	-5.297793003193854e-06	2.8441018182970904e-11
0.0005793282029642497	-6.56111212055684e-07	-5.632634727205626e-06	3.2157055892707975e-11
0.0005977180541866668	-7.036604122940253e-07	-5.9885778234992965e-06	3.635820232393737e-11
0.0006166916619502848	-7.547972374393733e-07	-6.366946066992697e-06	4.1107721089639886e-11
0.0006362675566768715	-8.098042583189196e-07	-6.769145695306047e-06	4.647711638107184e-11
0.0006564648570069239	-8.689872499836663e-07	-7.196670489082366e-06	5.25472049690632e-11
0.0006773032884717349	-9.326771685034561e-07	-7.65110715979619e-06	5.940932747133215e-11
0.0006988032027581754	-1.0012323011526536e-06	-8.134141063125364e-06	6.716671695569366e-11
0.0007209855975850063	-1.0750406055097617e-06	-8.647562256970563e-06	7.593604529167661e-11
0.0007438721372101312	-1.1545222544003264e-06	-9.193271924268194e-06	8.584917030944344e-11
0.0007674851735888207	-1.2401324051463638e-06	-9.773289181856458e-06	9.705510981448657e-11
0.0007918477682035702	-1.332364213258698e-06	-1.038975829782392e-05	1.0972227188397346e-10
0.0008169837145869112	-1.4317521125336442e-06	-1.1044956340996764e-05	1.2404097468626915e-10
0.000842917561559174	-1.5388753855060628e-06	-1.1741301287507136e-05	1.4022629337613318e-10
0.0008696746372038969	-1.6543620503818767e-06	-1.2481360610732975e-05	1.5852127648890037e-10
0.0008972810736042945	-1.7788930929408615e-06	-1.3267860382311154e-05	1.792005797606146e-10
0.000925763832364948	-1.9132070744825502e-06	-1.4103694913402722e-05	2.025745715201919e-10
