r	P	Q	rho
8.638393588571112e-05	-1.071912052737787e-08	1.0260312967475438e-09	1.159522851023591e-16
8.91260563639076e-05	-1.1751789832152372e-08	1.1248724012295167e-09	1.3936990217812774e-16
9.195522108985513e-05	-1.2883916555095886e-08	1.2332322412827856e-09	1.6751616755961322e-16
9.487419314458048e-05	-1.4125075749159425e-08	1.3520271146050684e-09	2.01345742238119e-16
9.788582331871744e-05	-1.5485763788167202e-08	1.4822614730249351e-09	2.4200597917732467e-16
0.00010099305289670867	-1.697748688194027e-08	1.6250363902445943e-09	2.9087580409607315e-16
0.00010419891652938732	-1.861285836486173e-08	1.7815588685892976e-09	3.496124485126524e-16
0.00010750654519774464	-2.0405704938207424e-08	1.9531520012421157e-09	4.202075967651389e-16
0.00011091916927077735	-2.2371183355322613e-08	2.1412661350958457e-09	5.050548653787718e-16
0.0001144401216604016	-2.452590826857891e-08	2.34749109888734e-09	6.070308908581025e-16
0.00011807284107651462	-2.6888092336975576e-08	2.57356960504319e-09	7.295927700337268e-16
0.0001218208753853832	-2.9477699787678908e-08	2.821411937423656e-09	8.768951500931618e-16
0.00012568788507463883	-3.231661471555267e-08	3.093112048460933e-09	1.0539309288178095e-15
0.00012967764682826348	-3.542882553331237e-08	3.3909652004548754e-09	1.2667003236605826e-15
0.00013379405721505774	-3.8840627119844786e-08	3.7174872989830316e-09	1.5224140268809224e-15
0.0001380411364941936	-4.258084236172375e-08	4.0754360803931156e-09	1.829737315479338e-15
0.00014242303254156802	-4.668106494503424e-08	4.467834330841763e-09	2.199083368010353e-15
0.00014694402490079297	-5.1175925432007675e-08	4.897995331278583e-09	2.6429657020876368e-15
0.00015160852896277716	-5.6103382851243044e-08	5.369550741325274e-09	3.1764216425168187e-15
0.0001564211002779821	-6.150504424305642e-08	5.886481155313574e-09	3.8175211277321885e-15
0.00016138643900556407	-6.742651483450268e-08	6.453149585989748e-09	4.58797804230657e-15
0.00016650939450374677	-7.39177817737672e-08	7.074338155750052e-09	5.513884722696172e-15
0.00017179497006590804	-8.103363463302516e-08	7.755288301940068e-09	6.6265944384848225e-15
0.00017724832780700633	-8.883412619480419e-08	8.50174483194976e-09	7.96378164198198e-15
0.00018287479370511864	-9.738507737186856e-08	9.320004195803655e-09	9.570715772934624e-15
0.00018867986280301455	-1.0675863047741183e-07	1.0216967378942924e-08	1.150179160383495e-14
0.00019466920457484547	-1.1703385546389741e-07	1.1200197856208591e-08	1.382236775676265e-14
0.00020084866846319097	-1.282974141885006e-07	1.2277985089974253e-08	1.661097540532531e-14
0.00020722428959187017	-1.406442882443688e-07	1.3459414101283936e-08	1.9961971643714938e-14
0.00021380229466009705	-1.5417857642374328e-07	1.475444169309859e-08	2.3988726977727092e-14
0.0002205891080237357	-1.6901436845566677e-07	1.617397995975019e-08	2.8827454372206284e-14
0.00022759135796959672	-1.8527670229221433e-07	1.772998777689166e-08	3.464180887884655e-14
0.0002348158831888997	-2.0310261290805353e-07	1.94355710320993e-08	4.162841279142241e-14
0.00024226973945622673	-2.2264228133425763e-07	2.1305092428364176e-08	5.002349240110386e-14
0.0002499602065204871	-2.440602934747761e-07	2.3354291771581008e-08	6.011084979514597e-14
0.0002578947952146268	-2.675370191594924e-07	2.560041773944125e-08	7.22314380091805e-14
0.0002660812547910224	-2.932701228786662e-07	2.8062372223554404e-08	8.679486170808127e-14
0.0002745275804897263	-3.21476218727741e-07	3.076086843991556e-08	1.0429319023466415e-13
0.0002832420213469544	-3.523926832777106e-07	3.371860411583251e-08	1.253175474911851e-13
0.0002922330882514403	-3.862796413839834e-07	3.696045118502648e-08	1.5057803629953955e-13
0.000301509562256527	-4.2342214136635493e-07	4.0513663557809904e-08	1.8092766673414488e-13
0.000311080503156112	-4.641325375456377e-07	4.4408104681098574e-08	2.173910921699202e-13
0.0003209552583328224	-5.087530998210786e-07	4.867649676470676e-08	2.611991179148409e-13
0.00033114347188706095	-5.576588718304342e-07	5.3354693727182174e-08	3.138301406739141e-13
0.0003416550940558396	-6.11260801266225e-07	5.848198010776057e-08	3.7705990916195193e-13
0.00035250039093059833	-6.700091681433405e-07	6.410139840237842e-08	4.5302127467327154e-13
0.0003636899544835013	-7.343973392423766e-07	7.026010751274067e-08	5.442759345939843e-13
0.0003752347129120012	-8.04965879609008e-07	7.700977525000728e-08	6.539005728187607e-13
