r	P	Q	rho
8.638393588571112e-05	-4.212731441623318e-07	-2.8059731484422295e-06	8.050956371771215e-12
8.91260563639076e-05	-4.477041546050065e-07	-2.978977422562252e-06	9.074745494186221e-12
9.195522108985513e-05	-4.7580709590004267e-07	-3.162639788282148e-06	1.0228682822934182e-11
9.487419314458048e-05	-5.05689004016433e-07	-3.3576160260726337e-06	1.1529306747322917e-11
9.788582331871744e-05	-5.374638855613182e-07	-3.5646021874960277e-06	1.2995256183384134e-11
0.00010099305289670867	-5.712531825200595e-07	-3.7843370599455744e-06	1.464753718181681e-11
0.00010419891652938732	-6.071862691341421e-07	-4.0176047847270176e-06	1.6509823371686462e-11
0.00010750654519774464	-6.454009825743392e-07	-4.265237630035077e-06	1.8608794468975163e-11
0.00011091916927077735	-6.860441909003937e-07	-4.5281189355865285e-06	2.0974517726685454e-11
0.0001144401216604016	-7.292723998497151e-07	-4.807186235946399e-06	2.364087774025507e-11
0.00011807284107651462	-7.752524020772943e-07	-5.10343457366397e-06	2.664606073459536e-11
0.0001218208753853832	-8.241619714665172e-07	-5.417920013898732e-06	3.0033100232216014e-11
0.00012568788507463883	-8.761906059683699e-07	-5.7517633725965325e-06	3.385049187233026e-11
0.00012967764682826348	-9.315403224318961e-07	-6.106154171088931e-06	3.8152886133423274e-11
0.00013379405721505774	-9.904265072317683e-07	-6.482354830739853e-06	4.3001868817843623e-11
0.0001380411364941936	-1.0530788267691938e-06	-6.881705122067568e-06	4.8466840402480586e-11
0.00014242303254156802	-1.1197422022378552e-06	-7.305626883625847e-06	5.462600676222918e-11
0.00014694402490079297	-1.190677853382082e-06	-7.755629026830809e-06	6.156749535235515e-11
0.00015160852896277716	-1.2661644163378757e-06	-8.233312843875016e-06	6.939061271431754e-11
0.0001564211002779821	-1.346499141039725e-06	-8.740377636880066e-06	7.820726117209388e-11
0.00016138643900556407	-1.4319991741000047e-06	-9.278626687506627e-06	8.81435348407333e-11
0.00016650939450374677	-1.5230029335257131e-06	-9.849973587369171e-06	9.934151760739824e-11
0.00017179497006590804	-1.619871582132274e-06	-1.0456448950795342e-05	1.1196130860318872e-10
0.00017724832780700633	-1.7229906070491097e-06	-1.110020753273022e-05	1.2618330390166019e-10
0.00018287479370511864	-1.8327715132901149e-06	-1.1783535775917271e-05	1.4221076680224997e-10
0.00018867986280301455	-1.9496536399876173e-06	-1.250885981289434e-05	1.6027272313456e-10
0.00019466920457484547	-2.0741061085648383e-06	-1.327875394982866e-05	1.806272226096762e-10
0.00020084866846319097	-2.206629912853592e-06	-1.4095949660783684e-05	2.0356501241164792e-10
0.00020722428959187017	-2.3477601619555963e-06	-1.4963345122666718e-05	2.2941367503809962e-10
0.00021380229466009705	-2.4980684875024006e-06	-1.5884015322854634e-05	2.5854228894493334e-10
0.0002205891080237357	-2.6581656278960102e-06	-1.686122277334004e-05	2.9136667791752865e-10
