r	P	Q	rho
8.638393588571112e-05	2.9397934163759395e-11	2.965728323504865e-10	8.88196834214865e-20
8.91260563639076e-05	3.2265439922819797e-11	3.2514774881237685e-10	1.0676211717116961e-19
9.195522108985513e-05	3.541375459538991e-11	3.5647518865930005e-10	1.2832869414422607e-19
9.487419314458048e-05	3.8870520827255524e-11	3.90820203587e-10	1.5425134892116623e-19
9.788582331871744e-05	4.266612089500122e-11	4.284733564745191e-10	1.8540981508076718e-19
0.00010099305289670867	4.6833950452152317e-11	4.697531733594371e-10	2.2286146279621606e-19
0.00010419891652938732	5.1410720510509775e-11	5.150088385538486e-10	2.6787716597199384e-19
0.00010750654519774464	5.64367891612791e-11	5.646231379889566e-10	3.21984399123331e-19
0.00011091916927077735	6.19565274337224e-11	6.190156920102279e-10	3.8701903824654694e-19
0.0001144401216604016	6.801872215476542e-11	6.786464976108977e-10	4.651876152831054e-19
0.00011807284107651462	7.467701973165291e-11	7.440198105845642e-10	5.591421358182924e-19
0.0001218208753853832	8.199041507990581e-11	8.156884007086598e-10	6.720699952156264e-19
0.00012568788507463883	9.002379036246693e-11	8.942582155931011e-10	8.078020389869827e-19
0.00012967764682826348	9.884850868598528e-11	9.80393492400909e-10	9.709424276114947e-19
0.00013379405721505774	1.0854306844967259e-10	1.0748223603965615e-09	1.1670247041169064e-18
0.0001380411364941936	1.1919382463957883e-10	1.178342981377217e-09	1.4026993495931591e-18
0.00014242303254156802	1.3089578402684054e-10	1.2918302795475135e-09	1.685959177431808e-18
0.00014694402490079297	1.437534819650074e-10	1.4162433173305982e-09	2.026410197460641e-18
0.00015160852896277716	1.5788194929781962e-10	1.5526333790102679e-09	2.4355971195309214e-18
0.0001564211002779821	1.734077787934525e-10	1.7021528300166346e-09	2.927394514479717e-18
0.00016138643900556407	1.9047030152405643e-10	1.8660648261492388e-09	3.518476871154054e-18
0.00016650939450374677	2.0922288472128318e-10	2.045753954130488e-09	4.228883456331621e-18
0.00017179497006590804	2.2983436387153e-10	2.2427378926574136e-09	5.082697089977648e-18
0.00017724832780700633	2.5249062318234393e-10	2.4586801916349513e-09	6.108859799533089e-18
0.00018287479370511864	2.773963400688512e-10	2.6954042765995487e-09	7.34215294379473e-18
0.00018867986280301455	3.0477691099295753e-10	2.9549087955544796e-09	8.824374955519635e-18
0.00019466920457484547	3.3488057785707166e-10	3.239384436621824e-09	1.060575652965358e-17
0.00020084866846319097	3.6798077622903725e-10	3.5512323571625274e-09	1.2746661106232246e-17
0.00020722428959187017	4.043787289790147e-10	3.8930843784255895e-09	1.5319628133992044e-17
0.00021380229466009705	4.444063114680852e-10	4.2678251144703744e-09	1.8411828177376735e-17
0.0002205891080237357	4.884292172712017e-10	4.678616220182221e-09	2.212801283603633e-17
0.00022759135796959672	5.368504565759439e-10	5.1289229608025505e-09	2.65940591505734e-17
0.0002348158831888997	5.901142229092511e-10	5.6225433246642885e-09	3.196122823380674e-17
0.00024226973945622673	6.487101677469429e-10	6.163639921918611e-09	3.8411281968807125e-17
0.0002499602065204871	7.131781269001082e-10	6.756774935131861e-09	4.616263056471491e-17
0.0002578947952146268	7.841133473982419e-10	7.4069484129096505e-09	5.547771853307286e-17
0.0002660812547910224	8.621722689570563e-10	8.119640225374191e-09	6.667189841087319e-17
0.0002745275804897263	9.480789200914227e-10	8.900856030605046e-09	8.012409171627994e-17
