r	P	Q	rho
9.230064382308857e-05	1.8693569204670457e-08	-1.6726241115293563e-09	3.5224720102827306e-16
9.52305807723944e-05	2.0498857790957835e-08	-1.8341411446042767e-09	4.2356724447224303e-16
9.825352390422877e-05	2.2478437644608946e-08	-2.0112501278392636e-09	5.09325286019306e-16
0.00010137242555174352	2.4649129071433553e-08	-2.205455570379548e-09	6.124435982531089e-16
0.00010459033176520496	2.7029374783539133e-08	-2.418407070043747e-09	7.364357939454587e-16
0.0001079103852868942	2.9639396150482258e-08	-2.6519132828566326e-09	8.855264482250139e-16
0.00011133582862044124	3.250136497666952e-08	-2.907957280146462e-09	1.0647949408898369e-15
0.00011487000719759018	3.563959112539191e-08	-3.188713320751121e-09	1.2803483482270496e-15
0.00011851637264548812	3.9080728630897374e-08	-3.4965652777812908e-09	1.5395293190636273e-15
0.00012227848615768938	4.285400157472623e-08	-3.8341268289312215e-09	1.8511659795069686e-15
0.0001261600219721663	4.6991451676986e-08	-4.2042635886690554e-09	2.225872363033519e-15
0.00013016477095972452	5.1528209721077044e-08	-4.610117369226258e-09	2.6764095792173404e-15
0.0001342966443263264	5.650279309223866e-08	-5.0551327749428155e-09	3.218119994596634e-15
0.00013855967743293905	6.195743193908713e-08	-5.5430863537101646e-09	3.869449178811302e-15
0.00014295803373663704	6.793842670756061e-08	-6.078118551059973e-09	4.6525733486193246e-15
0.0001474960088568096	7.449654005938217e-08	-6.664768735789276e-09	5.594153623120685e-15
0.00015217803477044254	8.168742647588912e-08	-7.308013591787167e-09	6.726242706911537e-15
0.00015700868414057333	8.957210316416396e-08	-8.013309198913058e-09	8.087374789569016e-15
0.00016199267478214546	9.821746622864291e-08	-8.786637156653661e-09	9.723875664897297e-15
0.0001671348742696247	1.0769685645066736e-07	-9.634555138104654e-09	1.169143754206483e-14
0.0001724403046908767	1.1809067943389539e-07	-1.0564252298861808e-08	1.4057011995793051e-14
0.00017791414755194862	1.2948708532854117e-07	-1.1583610005970688e-08	1.6901085287651326e-14
0.0001835617488375456	1.419827138458112e-07	-1.2701268396507073e-08	2.0320413249901618e-14
0.00018938862423214373	1.5568351081977257e-07	-1.3926699324006942e-08	2.443130849523154e-14
0.0001954004645068391	1.7070562317170462e-07	-1.527028630423469e-08	2.937359142625331e-14
0.00020160314107719367	1.871763797866791e-07	-1.674341213010732e-08	3.531533899980576e-14
0.00020800271173750608	2.0523536652905337e-07	-1.8358554889458134e-08	4.245859221194413e-14
0.00021460542657710812	2.250356044086369e-07	-2.0129393189248257e-08	5.104621572172788e-14
0.000221417734084464	2.467448407689319e-07	-2.207092146638837e-08	6.137014202046103e-14
0.0002284462874450352	2.705469643100968e-07	-2.419957634914072e-08	7.378127939288669e-14
0.00023569795103906005	2.966435557898193e-07	-2.6533375124814802e-08	8.870141918714177e-14
0.00024317980714559645	3.252555873735409e-07	-2.9092067469894487e-08	1.0663754550738e-13
0.0002508991628593723	3.566252848406336e-07	-3.18973017086547e-08	1.28199031643956e-13
0.00025886355722720114	3.9101816820524634e-07	-3.4972806986632814e-08	1.541183050951106e-13
0.00026708076861093146	4.2872528779061426e-07	-3.8344592876986156e-08	1.8527568019404682e-13
0.0002755588222841218	4.700656744156525e-07	-4.2041168081855755e-08	2.2272919807752908e-13
0.00028430599826985946	5.153890241257781e-07	-4.609378004852925e-08	2.6775048274848405e-13
0.0002933308394273788	5.650786398404538e-07	-5.053667749271977e-08	3.2186782497594055e-13
0.000302642159795376	6.195546544135984e-07	-5.540739801004012e-08	3.869179495597963e-13
0.0003122490532001691	6.792775619268728e-07	-6.074708316326239e-08	4.651082142501609e-13
0.00032216090213711105	7.447520865786412e-07	-6.660082365886627e-08	5.590913401752793e-13
0.00033238738693392795	8.165314213135114e-07	-7.301803747349555e-08	6.72055195788744e-13
0.0003429384952049336	8.952218713811248e-07	-8.005288406123046e-08	8.078306632456438e-13
0.0003538245316053528	9.814879413425808e-07	-8.776471806818995e-08	9.710212247384863e-13
0.0003650561278952806	1.0760579076851733e-06	-9.621858630424577e-08	1.1671586370421804e-12
0.000376644253323105	1.1797299231899598e-06	-1.0548577207511597e-07	1.4028899397800717e-12
0.0003886002253385356	1.2933787035537394e-06	-1.1564439136459453e-07	1.6862020960604393e-12
0.0004009357206456999	1.4179628515318616e-06	-1.2678004577920872e-07	2.0266918283321464e-12
0.0004136627866071028	1.5545328790785268e-06	-1.3898653762948922e-07	2.435889729778407e-12
0.0004267938530095864	1.7042399936580796e-06	-1.5236665302690334e-07	2.9276495529383124e-12
0.0004403417442037817	1.8683457211289467e-06	-1.6703301942727685e-07	3.518615763239837e-12
0.0004543196916289081	2.0482324444103117e-06	-1.831090446545042e-07	4.228785068569325e-12
0.0004687413467351511	2.2454149445835347e-06	-2.0072994509719506e-07	5.082180784217801e-12
0.0004836207943162432	2.461553039213849e-06	-2.2004387149071842e-07	6.107662670243561e-12
0.0004989725662652635	2.698465421566223e-06	-2.412131414834223e-07	7.339899411012875e-12
0.0005148116557670947	2.9581448141014083e-06	-2.6441558904466613e-07	8.820536344924893e-12
0.0005311535319413974	3.24277456024922e-06	-2.898460417102681e-07	1.0599597576494633e-11
0.0005480141549504008	3.5547467900476297e-06	-3.177179376851804e-07	1.273716942928085e-11
0.0005654099915862677	3.896682307897486e-06	-3.4826509594144253e-07	1.5305421585732382e-11
0.0005833580313532549	4.271452364510257e-06	-3.817436536701601e-07	1.8391033519397708e-11
0.0006018758030603757	4.682202490225645e-06	-4.18434186778617e-07	2.2098107328140312e-11
0.0006209813919407707	5.132378583361825e-06	-4.5864403057760854e-07	2.6551664269735606e-11
0.0006406934573145066	5.62575546525802e-06	-5.027098193905531e-07	3.190184171739216e-11
0.0006610312508120499	6.166468133312752e-06	-5.510002655466432e-07	3.832893053179413e-11
0.0006820146351762184	6.759045964758508e-06	-6.039192001080353e-07	4.60494207539774e-11
0.0007036641036609689	7.408450147304906e-06	-6.619088997397146e-07	5.5323256976656713e-11
0.0007260008000459699	8.120114638301288e-06	-7.254537263752377e-07	6.646254484826657e-11
0.0007490465392865036	8.899990981904742e-06	-7.950841087783852e-07	7.984199821801765e-11
0.0007728238288188677	9.754597344095593e-06	-8.713808977674971e-07	9.591147401443088e-11
0.0007973558905420817	1.0691072158481308e-05	-9.549801297751016e-07	1.1521101094611944e-10
0.000822666683497369	1.1717232811912438e-05	-1.0465782365810774e-06	1.3838887077384262e-10
0.0008487809272675614	1.2841639838261815e-05	-1.1469377425054888e-06	1.6622317992081653e-10
0.0008757241261192817	1.4073667131573063e-05	-1.2568934941016538e-06	1.9964788778583505e-10
0.0009035225939114818	1.542357873647327e-05	-1.3773594714772124e-06	2.3978390015385836e-10
0.0009322034797946602	1.6902612824598713e-05	-1.5093362348192852e-06	2.8797641616802734e-10
0.0009617947947258637	1.8523073521160248e-05	-1.6539190645399156e-06	3.458397009423565e-10
0.0009923254388253624	2.029843130606431e-05	-1.8123068587228923e-06	4.1531076963718566e-10
0.001023825229601722	2.2243432779625512e-05	-1.9858118572784047e-06	4.987137505542262e-10
0.0010563249310728317	2.43742206543101e-05	-2.1758702684362414e-06	5.98837043930062e-10
0.001089856283811338	2.6708464911624307e-05	-2.3840538799727147e-06	7.190258108380797e-10
0.0011244520359438193	2.9265506147735607e-05	-2.612082744915818e-06	8.632928263494375e-10
0.0011601459751339794	3.206651222325546e-05	-2.8618390394550694e-06	1.0364513288519407e-09
0.0011969729615811011	3.513464943243175e-05	-3.1353821994486166e-06	1.2442742122764958e-09
0.0012349689620659778	3.84952695154565e-05	-3.43496545132567e-06	1.4936847627194353e-09
0.001274171085077582	4.217611395539807e-05	-3.763053863386428e-06	1.7929851627574717e-09
0.0013146176170547735	4.620753712917881e-05	-4.122344054567864e-06	2.1521302080486694e-09
0.0013563480597784425	5.062275002085636e-05	-4.51578570973999e-06	2.5830551402504044e-09
0.001399403168950607	5.5458086356107605e-05	-4.946605063596138e-06	3.1000682439366837e-09
0.0014438249939981416	6.075329318019773e-05	-5.418330529279923e-06	3.7203209379635867e-09
0.001489656919140014	6.655184807885105e-05	-5.934820663133739e-06	4.464370579014029e-09
0.0015369437057581334	7.290130543340131e-05	-6.500294673446812e-06	5.356854164735708e-09
0.0015857315361131948	7.985367430953694e-05	-7.119365698918842e-06	6.427294668688543e-09
0.001636068058448214	8.746583080409923e-05	-7.797077101837639e-06	7.711065969583315e-09
0.0016880024335238011	9.579996791804595e-05	-8.538942041801217e-06	9.250547384291872e-09
0.0017415853826306246	0.00010492408628725054	-9.350986618308489e-06	1.109650483395018e-08
0.0017968692371259493	0.00011491252938774668	-1.0239796894815584e-05	1.3309742850736819e-08
