r	P	Q	rho
9.230064382308857e-05	6.888128812008667e-13	-4.6058037934044136e-14	4.765845281665731e-25
9.52305807723944e-05	7.796175420081479e-13	-5.212926028939234e-14	6.105209715851455e-25
9.825352390422877e-05	8.823913017333658e-13	-5.900065473779055e-14	7.820954866341919e-25
0.00010137242555174352	9.987115776644097e-13	-6.677766237226158e-14	1.0018840715528381e-24
0.00010459033176520496	1.130363634660259e-12	-7.557961528770358e-14	1.2834342248093887e-24
0.0001079103852868942	1.279367925925633e-12	-8.554156343793434e-14	1.644099648962662e-24
0.00011133582862044124	1.4480111840593765e-12	-9.681635202374172e-14	2.1061097951802224e-24
0.00011487000719759018	1.6388813941403862e-12	-1.0957695812119833e-13	2.6979393338106305e-24
0.00011851637264548812	1.854907498605684e-12	-1.2401914347817986e-13	3.4560625763326575e-24
0.00012227848615768938	2.099404311800284e-12	-1.4036445516371798e-13	4.4272006446790315e-24
0.0001261600219721663	2.3761233381981123e-12	-1.5886362057085537e-13	5.671199768270621e-24
0.00013016477095972452	2.689310284338477e-12	-1.7980038943125582e-13	7.264717985488332e-24
0.0001342966443263264	3.043770141775597e-12	-2.0349588144086866e-13	9.305947249728034e-24
0.00013855967743293905	3.4449408372755624e-12	-2.3031350598735865e-13	1.1920661683369041e-23
0.00014295803373663704	3.8989765778063375e-12	-2.606645292437975e-13	1.526996435108831e-23
0.0001474960088568096	4.412842165689697e-12	-2.950143737512077e-13	1.956020946000875e-23
0.00015217803477044254	4.994419727053486e-12	-3.3388974680438805e-13	2.505571077300212e-23
0.00015700868414057333	5.6526294864501535e-12	-3.778867066099213e-13	3.209501847411822e-23
0.00016199267478214546	6.3975664351298155e-12	-4.276797894991637e-13	4.1111766294245665e-23
0.0001671348742696247	7.240654983277799e-12	-4.840323376720524e-13	5.26613718907779e-23
0.0001724403046908767	8.194823961230811e-12	-5.478081852650285e-13	6.7455233563406e-23
0.00017791414755194862	9.274704645455042e-12	-6.199848812566176e-13	8.640452751341213e-23
0.0001835617488375456	1.0496854836633743e-11	-7.016686511620496e-13	1.1067630035738478e-22
0.00018938862423214373	1.188001241491906e-11	-7.941113259795759e-13	1.4176530777668002e-22
0.0001954004645068391	1.3445382247301268e-11	-8.987294968382492e-13	1.8158601848453122e-22
0.00020160314107719367	1.521696083097789e-11	-1.0171261877148397e-12	2.3259044261325072e-22
0.00020800271173750608	1.7221903632299684e-11	-1.1511153769506302e-12	2.9791903133126923e-22
0.00021460542657710812	1.949094073207644e-11	-1.3027497416886644e-12	3.815939275107864e-22
0.000221417734084464	2.2058847124632087e-11	-1.4743520484260329e-12	4.887664504305873e-22
0.0002284462874450352	2.4964974851188227e-11	-1.6685506683772862e-12	6.260340306534028e-22
0.00023569795103906005	2.825385509057127e-11	-1.888319759114247e-12	8.018460789916614e-22
0.00024317980714559645	3.1975879396176056e-11	-2.1370247249341515e-12	1.0270237378337764e-21
0.0002508991628593723	3.6188070473740067e-11	-2.4184736486857994e-12	1.3154254594017651e-21
0.00025886355722720114	4.095495425805964e-11	-2.736975478565675e-12	1.6847993130500272e-21
0.00026708076861093146	4.63495465889696e-11	-3.0974058560544377e-12	2.157874392040184e-21
0.0002755588222841218	5.2454469531062204e-11	-3.5052815872488048e-12	2.7637583727910385e-21
0.00028430599826985946	5.936321435413924e-11	-3.966844891106628e-12	3.539727076845582e-21
0.0002933308394273788	6.718157042210927e-11	-4.489158706543597e-12	4.5335159502733625e-21
0.000302642159795376	7.602924176069273e-11	-5.080214508135741e-12	5.806254182154536e-21
0.0003122490532001691	8.604167592699863e-11	-5.749054269920671e-12	7.436221621325148e-21
0.00032216090213711105	9.737213302987935e-11	-6.505908431308795e-12	9.523659135305095e-21
0.00033238738693392795	1.1019402639764695e-10	-7.36235196164073e-12	1.2196927680132388e-20
0.0003429384952049336	1.2470357051428073e-10	-8.331480894105062e-12	1.5620394072899023e-20
0.0003538245316053528	1.4112277650885866e-10	-9.428112009680416e-12	2.000452734563635e-20
0.0003650561278952806	1.5970284075588107e-10	-1.0669008702140887e-11	2.5618825092184666e-20
0.000376644253323105	1.8072797810583175e-10	-1.207313645121971e-11	3.280836269399177e-20
0.0003886002253385356	2.0451975800545488e-10	-1.3661951778699991e-11	4.201498034101335e-20
0.0004009357206456999	2.3144200938718998e-10	-1.5459729068197567e-11	5.3804406932042206e-20
0.0004136627866071028	2.619063688215149e-10	-1.7493930201292392e-11	6.890098362315908e-20
0.0004267938530095864	2.963785561639749e-10	-1.979562260900172e-11	8.823211522832044e-20
0.0004403417442037817	3.353854729365601e-10	-2.239995206802653e-11	1.1298517330952997e-19
0.0004543196916289081	3.7952323112590476e-10	-2.5346677396643647e-11	1.4468033701929646e-19
0.0004687413467351511	4.2946623414496015e-10	-2.8680775137868118e-11	1.8526383313316269e-19
0.0004836207943162432	4.859774476009023e-10	-3.245312337146783e-11	2.372272847932515e-19
0.0004989725662652635	5.499200154778608e-10	-3.672127498725965e-11	3.0376047545986054e-19
0.0005148116557670947	6.222703976471164e-10	-4.1550332097555697e-11	3.8894687788531754e-19
0.0005311535319413974	7.041332275629041e-10	-4.701393478663945e-11	4.980139122222748e-19
0.0005480141549504008	7.967581149311843e-10	-5.319537911228008e-11	6.376532420675935e-19
0.0005654099915862677	9.015586474381789e-10	-6.018888121398114e-11	8.164306961923492e-19
0.0005833580313532549	1.0201338787313587e-09	-6.810100657360913e-11	1.0453108776318253e-18
0.0006018758030603757	1.1542926272503475e-09	-7.70522859486434e-11	1.3383285240944213e-18
0.0006209813919407707	1.3060809527646746e-09	-8.717904229305497e-11	1.7134476405898145e-18
0.0006406934573145066	1.477813225216682e-09	-9.863545613696392e-11	2.1936608818326784e-18
0.0006610312508120499	1.6721072543989884e-09	-1.1159590046019977e-10	2.808396315213246e-18
0.0006820146351762184	1.8919240099153845e-09	-1.2625758011909856e-10	3.595317435831838e-18
0.0007036641036609689	2.1406125296828954e-09	-1.4284351542937988e-10	4.6026262721356284e-18
0.0007260008000459699	2.4219606929474916e-09	-1.6160591463736195e-10	5.892010069828472e-18
0.0007490465392865036	2.7402526215531425e-09	-1.8282998580215518e-10	7.542411233637286e-18
0.0007728238288188677	3.100333572316638e-09	-2.0683824514743134e-10	9.654850319289315e-18
0.0007973558905420817	3.5076832952773147e-09	-2.339953863182397e-10	1.2358595940785743e-17
0.000822666683497369	3.968498958955725e-09	-2.6471378330354967e-10	1.581905737430355e-17
0.0008487809272675614	4.489788886422456e-09	-2.994597091797654e-10	2.024788036206463e-17
0.0008757241261192817	5.079478507037586e-09	-3.3876036343068204e-10	2.5915860487288475e-17
0.0009035225939114818	5.746530110528368e-09	-3.832118125587591e-10	3.316945960449375e-17
0.0009322034797946602	6.5010781952826046e-09	-4.334879621940158e-10	4.2451929514546045e-17
0.0009617947947258637	7.354582434339163e-09	-4.903506941249145e-10	5.433032658671895e-17
0.0009923254388253624	8.32000054392603e-09	-5.546613188393373e-10	6.953005822954603e-17
0.001023825229601722	9.411983634326738e-09	-6.273935135196784e-10	8.897905855364092e-17
0.0010563249310728317	1.0647096955624872e-08	-7.096479372615643e-10	1.1386427377733601e-16
0.001089856283811338	1.2044069326299193e-08	-8.026687398927726e-10	1.4570388304270213e-16
0.0011244520359438193	1.3624074956141796e-08	-9.07862208508541e-10	1.864396322002081e-16
0.0011601459751339794	1.541105185265247e-08	-1.0268178271062383e-09	2.385548740552063e-16
0.0011969729615811011	1.743206153879574e-08	-1.1613320599400212e-09	3.052254616458062e-16
0.0012349689620659778	1.971769541752448e-08	-1.3134352089232523e-09	3.905126246263052e-16
0.001274171085077582	2.2302533803475447e-08	-1.4854217401435548e-09	4.996094918012561e-16
0.0013146176170547735	2.5225664414514154e-08	-1.6798845249518752e-09	6.391561571708585e-16
0.0013563480597784425	2.8531267986354764e-08	-1.899753497850027e-09	8.176423162617857e-16
0.001399403168950607	3.226927965468298e-08	-2.1483392973247406e-09	1.0459217711685664e-15
0.0014438249939981416	3.649613585497624e-08	-2.4293825277515953e-09	1.337869831811027e-15
0.001489656919140014	4.12756177361869e-08	-2.747109361519551e-09	1.711223229347975e-15
0.0015369437057581334	4.667980348819768e-08	-3.1062942917283e-09	2.188653117923576e-15
0.0015857315361131948	5.2790143564216767e-08	-3.5123309484449045e-09	2.799135726222021e-15
0.001636068058448214	5.96986745602195e-08	-3.971312006984376e-09	3.579703063303817e-15
0.0016880024335238011	6.750938951905763e-08	-4.490119346582668e-09	4.577678844982404e-15
0.0017415853826306246	7.633978468488619e-08	-5.076525763932297e-09	5.853533839566652e-15
0.0017968692371259493	8.632260527545778e-08	-5.739309710335664e-09	7.484531857493645e-15
0.00185390798954264	9.760781570078086e-08	-6.4883847059216554e-09	9.569384821969641e-15
0.001912757346320534	1.1036482287608393e-07	-7.334945291955347e-09	1.2234195550905356e-14
0.001973474782211689	1.2478498489920225e-07	-8.291631615531726e-09	1.5640043611141816e-14
0.0020361195964126366	1.4108444143698528e-07	-9.372715002995328e-09	1.9992667402113505e-14
0.0021007529704784723	1.595073067476539e-07	-1.0594307172748512e-08	2.555482025036071e-14
0.002167438028075321	1.8032927141843478e-07	-1.197459606859001e-08	3.266203708130941e-14
0.002236239896629567	2.038616646899163e-07	-1.3534111665705777e-08	4.174275050872366e-14
0.0023072257709340306	2.3045603574837307e-07	-1.529602551776402e-08	5.33439528094955e-14
0.002380464978773221	2.605093196820072e-07	-1.7286488280656406e-08	6.816392831825952e-14
0.002456029048631762	2.9446966201420443e-07	-1.9535009972310373e-08	8.709399846137806e-14
0.0025339917795521136	3.328429849555281e-07	-2.207488831540008e-08	1.112717533282433e-13
0.002614429313209813	3.7620038887811845e-07	-2.4943691168196807e-08	1.4214892032114191e-13
0.002697420208276631	4.251864941474866e-07	-2.8183799786567274e-08	1.8157788137583998e-13
0.0027830455171442706	4.805288414993077e-07	-3.184302048653188e-08	2.319219454663725e-13
0.002871388865083532	5.430484837921976e-07	-3.597527320215867e-08	2.961958760309746e-13
0.0029625365319162645	6.136719183906261e-07	-4.0641366469363314e-08	3.782449440897284e-13
0.0030565775362798604	6.934445278457636e-07	-4.590986952515317e-08	4.829730293190506e-13
0.003153603722566596	7.835457171808445e-07	-5.185809350813287e-08	6.166331527747422e-13
0.0032537098506227142	8.853059592129228e-07	-5.85731951953606e-08	7.871974606133072e-13
0.0033569936882948755	1.0002259852453675e-06	-6.615341833028451e-08	1.0048282963168478e-12
0.003463556106914335	1.1299983874684994e-06	-7.470948940573529e-08	1.2824778634886747e-12
0.003573501179812123	1.2765319318686226e-06	-8.436618678608956e-08	1.6366514265530632e-12
0.003686936283961423	1.4419789167674304e-06	-9.526410430727295e-08	2.0883784459712386e-12
0.0038039722048464376	1.6287659527370867e-06	-1.0756163300822221e-07	2.6644480336909457e-12
0.003924723244660137	1.839628585052272e-06	-1.2143718745143306e-07	3.398980321437539e-12
0.004049307333936585	2.0776502305931574e-06	-1.3709170621487332e-07	4.335424616596705e-12
0.00417784614672684	2.3463059578050326e-06	-1.547514596176143e-07	5.529099661885174e-12
0.004310465219430945	2.6495117016174597e-06	-1.746712016152735e-07	7.05042228568157e-12
0.004447294073402051	2.991679575864884e-06	-1.971377071107744e-07	8.989009960211986e-12
0.004588466341442397	3.3777800245447286e-06	-2.2247374071710042e-07	1.1458892459522046e-11
0.00473411989831472	3.813411641095249e-06	-2.510425083321378e-07	1.460513068543045e-11
0.004884396995396534	4.304879582762353e-06	-2.832526487966167e-07	1.8612220285134472e-11
0.005039444399608799	4.859283616140383e-06	-3.19563829464907e-07	2.3714758303192634e-11
0.005199413536754652	5.484616951313068e-06	-3.604930167908556e-07	3.021097831778562e-11
0.005364460639408205	6.189877157001486e-06	-4.066215010886421e-07	3.847992026391638e-11
0.005534746899497837	6.985190599187304e-06	-4.5860276354971566e-07	4.900320420171013e-11
0.005710438625732992	7.881952012400526e-06	-5.171712834658296e-07	6.239263366222639e-11
0.0058917074060282505	8.892980997968489e-06	-5.831523945165736e-07	7.942517774545902e-11
0.006078730275083286	1.0032697448902972e-05	-6.574733110265733e-07	1.0108728925593646e-10
0.006271689887282386	1.131731812881176e-05	-7.411754583893555e-07	1.2863103068885e-10
0.006470774695082393	1.2765076884499322e-05	-8.354282565065e-07	1.636451282389484e-10
0.006676179133063276	1.4396471251200606e-05	-9.415445212251202e-07	2.081448905720946e-10
0.006888103807821108	1.6234538518312273e-05	-1.0609976665055735e-06	2.6468595695089515e-10
0.007106755693888895	1.8305164664902243e-05	-1.1954409095547768e-06	3.365081323774228e-10
0.007332348335876579	2.063742995127596e-05	-1.3467287025676642e-06	4.2771719319214167e-10
0.007565102057027677	2.326399536877944e-05	-1.5169406381877824e-06	5.435145894183767e-10
0.007805244174396205	2.6221534608395447e-05	-1.708408101493906e-06	6.904875354605302e-10
0.008053009220854062	2.955121671336693e-05	-1.9237439694170774e-06	8.769752001002455e-10
0.008308639174145665	3.3299245136148496e-05	-2.1658756891733445e-06	1.1135307441382613e-09
0.00857238369321358	3.751745952979558e-05	-2.4380821007499904e-06	1.4135040138998464e-09
0.008844500362025918	4.22640072730681e-05	-2.7440344049012115e-06	1.7937760355932347e-09
0.009125254941143668	4.760409246193104e-05	-3.0878417176908874e-06	2.2756843855975922e-09
0.009414921627273592	5.361081090290792e-05	-3.4741016955656382e-06	2.886188428258483e-09
0.009713783321060253	6.036608052125512e-05	-3.907956761450817e-06	3.659335803548026e-09
0.010022131903378657	6.796167755476057e-05	-4.395156512632808e-06	4.638107016827785e-09
0.01034026852039736	7.650038994790555e-05	-4.942126945413894e-06	5.876734280926195e-09
0.01066850387769048	8.609730049708247e-05	-5.556047189881639e-06	7.443614813261109e-09
0.011007158543685764	9.688121353156074e-05	-6.244934510788564e-06	9.424968742391906e-09
0.011356563262745213	0.00010899624025298744	-7.017738397634347e-06	1.1929429041504591e-08
0.01171705927818387	0.00012260355930441788	-7.884444638698876e-06	1.5093797221372617e-08
0.012088998665542404	0.00013788337070406263	-8.856190350071966e-06	1.9090256024230664e-08
0.012472744676438824	0.0001550370629647318	-9.945391011702528e-06	2.4135401695105868e-08
0.012868672093335283	0.00017428961503258183	-1.1165880648130044e-05	3.050154679885386e-08
0.013277167595566358	0.0001958922566228871	-1.2533066381783576e-05	3.8530853957737254e-08
0.0136986301369863	0.00022012541261009596	-1.4064098681378312e-05	4.865299614848454e-08
0.014133471335604149	0.00024730195934732365	-1.5778058726755362e-05	6.140720623421026e-08
0.014582115875587116	0.00027777082314840327	-1.769616441413709e-05	7.746978442751369e-08
0.015045001922025012	0.000311920953663832	-1.9841996631721607e-05	9.76883861648877e-08
0.015522581548860636	0.0003501857075187227	-2.2241747544185403e-05	1.2312472508420767e-07
0.01601532118040417	0.00039304768035222746	-2.49244927352046e-05	1.5510770936837404e-07
