r	P	Q	rho
9.230064382308857e-05	6.92073467892707e-08	4.916092858605805e-07	2.4646934679396037e-13
9.52305807723944e-05	7.358378907895752e-08	5.220903702671789e-07	2.779929287409365e-13
9.825352390422877e-05	7.823954639150486e-08	5.544598533329322e-07	3.1354715557752517e-13
0.00010137242555174352	8.319268557185441e-08	5.888345827180752e-07	3.5364718873742716e-13
0.00010459033176520496	8.846246436431995e-08	6.253386223759852e-07	3.988740002365036e-13
0.0001079103852868942	9.406941194299344e-08	6.641036967451386e-07	4.4988277429385956e-13
0.00011133582862044124	1.0003541509675469e-07	7.052696627400166e-07	5.074123814549967e-13
0.00011487000719759018	1.0638381039222888e-07	7.489850098223962e-07	5.722960600522247e-13
0.00011851637264548812	1.1313948288842782e-07	7.954073912174355e-07	6.454734605915875e-13
0.00012227848615768938	1.2032897174300713e-07	8.447041875474143e-07	7.280042259008667e-13
0.0001261600219721663	1.2798058331389562e-07	8.970531049227683e-07	8.210833027569441e-13
0.00013016477095972452	1.3612451225487482e-07	9.526428096170343e-07	9.260582055516647e-13
0.0001342966443263264	1.447929712178472e-07	1.0116736015312578e-06	1.0444484805493186e-12
0.00013855967743293905	1.540203297911784e-07	1.0743581287996787e-06	1.1779676509069304e-12
0.00014295803373663704	1.6384326336182285e-07	1.140922146027152e-06	1.328547958244254e-12
0.0001474960088568096	1.743009126399249e-07	1.2116053187967806e-06	1.498368256683759e-12
0.00015217803477044254	1.8543505464256176e-07	1.286662077243656e-06	1.6898854605072498e-12
0.00015700868414057333	1.9729028599534512e-07	1.3663625216568095e-06	1.9058699975364807e-12
0.00016199267478214546	2.0991421947783282e-07	1.450993383247391e-06	2.1494457777666977e-12
0.0001671348742696247	2.2335769481138213e-07	1.54085904340714e-06	2.4241352514810215e-12
0.0001724403046908767	2.376750047667015e-07	1.6362826149780123e-06	2.7339102039701334e-12
0.00017791414755194862	2.529241377534167e-07	1.7376070892618972e-06	3.083249016111512e-12
0.0001835617488375456	2.6916703814601204e-07	1.8451965527194055e-06	3.477201212591875e-12
0.00018938862423214373	2.8646988570012573e-07	1.9594374775392717e-06	3.921460223798507e-12
0.0001954004645068391	3.049033955210083e-07	2.080740090505776e-06	4.4224454048382244e-12
0.00020160314107719367	3.245431401627042e-07	2.2095398248514005e-06	4.9873944874310265e-12
0.00020800271173750608	3.454698955629361e-07	2.346298860056424e-06	5.62446778944234e-12
0.00021460542657710812	3.677700126555858e-07	2.4915077548471864e-06	6.342865674672357e-12
0.000221417734084464	3.915358166509826e-07	2.6456871789510484e-06	7.152960944586508e-12
0.0002284462874450352	4.168660361348793e-07	2.8093897494895145e-06	8.066448056619564e-12
0.00023569795103906005	4.438662643111059e-07	2.9832019782325244e-06	9.096511303523945e-12
