r	P	Q	rho
9.230064382308857e-05	-1.0490422865950936e-05	1.4231362496802457e-06	1.120742886916202e-10
9.52305807723944e-05	-1.1140606784360366e-05	1.51135261603922e-06	1.263973062537448e-10
9.825352390422877e-05	-1.1831047664146438e-05	1.6050321677470108e-06	1.4254981709080756e-10
0.00010137242555174352	-1.2564234172163692e-05	1.7045127473492869e-06	1.6076534403884208e-10
0.00010459033176520496	-1.3342808450571078e-05	1.810153042678604e-06	1.8130719138654957e-10
0.0001079103852868942	-1.416957554269502e-05	1.922333868183528e-06	2.044722385609063e-10
0.00011133582862044124	-1.5047513406982834e-05	2.0414595262265324e-06	2.305952167305492e-10
0.00011487000719759018	-1.5979783524164058e-05	2.167959248690884e-06	2.6005352878312944e-10
0.00011851637264548812	-1.6969742162829287e-05	2.3022887293965025e-06	2.9327268246641214e-10
0.00012227848615768938	-1.8020952329760275e-05	2.44493174844319e-06	3.3073241412603773e-10
0.0001261600219721663	-1.913719644791352e-05	2.596401896472422e-06	3.729735906940394e-10
0.00013016477095972452	-2.032248980667976e-05	2.757244403722552e-06	4.206059886444621e-10
0.0001342966443263264	-2.1581094830671008e-05	2.9280380807015604e-06	4.743170610924533e-10
0.00013855967743293905	-2.291753621632277e-05	3.109397377043016e-06	5.348818182748277e-10
0.00014295803373663704	-2.4336616988473203e-05	3.301974565707695e-06	6.03173962476223e-10
0.0001474960088568096	-2.584343553214436e-05	3.5064620600669967e-06	6.801784362827908e-10
0.00015217803477044254	-2.744340365800614e-05	3.723594871860445e-06	7.670055631060103e-10
0.00015700868414057333	-2.9142265763437166e-05	3.954153218488614e-06	8.649069815020859e-10
0.00016199267478214546	-3.0946119154725635e-05	4.198965288601715e-06	9.75293600233359e-10
0.0001671348742696247	-3.286143559978765e-05	4.458910175470644e-06	1.0997558296319067e-09
0.0001724403046908767	-3.489508418483024e-05	4.734920988183977e-06	1.2400863770307345e-09
0.00017791414755194862	-3.705435555266359e-05	5.027988151302516e-06	1.3983059302728498e-09
0.0001835617488375456	-3.934698760488281e-05	5.339162904224248e-06	1.5766920940966458e-09
0.00018938862423214373	-4.1781192754907113e-05	5.669561012168821e-06	1.7778119900934074e-09
0.0001954004645068391	-4.4365686823895696e-05	6.020366701383573e-06	2.0045589825751203e-09
